['UO', 62, 'CO', 137, 'diff3', 'chown', 'O3', 'O1', 0.16017699115044248, 0.08420157432556152]
['UO', 15, 'BO', 22, 'elfedit', 'perl', 'O1', 'O0', 0.9529287729852088, 6.166493892669678]
['CO', 73, 'UO', 34, 'hostid', 'ld', 'O3', 'O2', 0.9312331233123312, 2.585848093032837]
['BO', 69, 'CO', 336, 'cmp', 'tee', 'O3', 'O0', 0.12125162972620596, 0.05398225784301758]
['UO', 26, 'CO', 179, 'nm', 'mv', 'O2', 'O1', 0.6381654759161097, 1.736907958984375]
['UO', 66, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O0', 'O0', 0.45707156966123597, 145.82706260681152]
['BO', 27, 'CO', 269, 'perl', 'cksum', 'O3', 'O2', 0.9709691694940257, 2.91316819190979]
['UO', 77, 'CO', 131, 'ar', 'wc', 'O0', 'O1', 0.9075390384507752, 3.062431573867798]
['CO', 115, 'UO', 34, 'groups', 'ld', 'O1', 'O2', 0.9232699892434565, 2.6563305854797363]
['BO', 74, 'CO', 398, 'dot', 'timeout', 'O1', 'O0', 0.612736660929432, 0.03766512870788574]
['BO', 56, 'CO', 77, 'libvlc.so.12.0.0', 'env', 'O3', 'O3', 0.7604835663014734, 0.47922205924987793]
['CO', 266, 'UO', 81, 'df', 'diff3', 'O2', 'O0', 0.05315487571701716, 0.11983394622802734]
['CO', 299, 'UO', 50, 'comm', 'strings', 'O2', 'O3', 0.88617130103227, 1.1297032833099365]
['CO', 213, 'UO', 7, 'basename', 'ranlib', 'O2', 'O1', 0.9198340248962655, 1.5463128089904785]
['CO', 225, 'BO', 78, 'stdbuf', 'ssh', 'O2', 'O0', 0.9343963553530752, 3.1243956089019775]
['UO', 79, 'CO', 411, 'size', 'sort', 'O0', 'O0', 0.7222954102334405, 3.7405946254730225]
['UO', 17, 'CO', 147, 'objdump', 'chroot', 'O1', 'O1', 0.9170332423854335, 2.6380321979522705]
['BO', 38, 'UO', 7, 'acyclic', 'ranlib', 'O2', 'O1', 0.9566945783642054, 1.436039686203003]
['BO', 47, 'CO', 374, 'libvlc.so.12.0.0', 'printf', 'O0', 'O0', 0.7255676209279368, 0.7980332374572754]
['CO', 191, 'BO', 5, 'id', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9714249347673901, 43.18162274360657]
['BO', 72, 'CO', 207, 'make', 'ln', 'O2', 'O1', 0.557194362504097, 0.38360142707824707]
['CO', 197, 'BO', 27, 'nl', 'perl', 'O1', 'O3', 0.9592351457563494, 3.6382946968078613]
['CO', 55, 'BO', 58, 'cp', 'svn', 'O3', 'O1', 0.46897546897546905, 0.9974014759063721]
['CO', 82, 'BO', 83, 'shuf', 'lua', 'O3', 'O2', 0.738430583501006, 0.6314702033996582]
['CO', 154, 'UO', 66, 'dircolors', 'nm', 'O1', 'O0', 0.9181428736829917, 3.2409825325012207]
['UO', 75, 'CO', 223, 'gprof', 'join', 'O0', 'O2', 0.9153983885407341, 2.9531586170196533]
['BO', 12, 'CO', 337, 'libgeany.so.0.0.0', 'chgrp', 'O0', 'O0', 0.8748011728406891, 39.49659609794617]
['CO', 67, 'UO', 83, 'nohup', 'diff', 'O3', 'O0', 0.594306049822064, 0.20137476921081543]
['CO', 18, 'BO', 52, 'uptime', 'svn', 'O3', 'O3', 0.7423312883435583, 0.7029886245727539]
['CO', 276, 'UO', 49, 'yes', 'c++filt', 'O2', 'O3', 0.9115885540450613, 1.0525174140930176]
['UO', 61, 'CO', 46, 'find', 'whoami', 'O3', 'O3', 0.7901234567901234, 0.3477904796600342]
['CO', 342, 'UO', 27, 'expand', 'strip', 'O0', 'O2', 0.8852812244594696, 1.782700777053833]
['CO', 342, 'BO', 61, 'expand', 'git', 'O0', 'O1', 0.9698219416375115, 9.709944486618042]
['CO', 150, 'BO', 6, 'whoami', 'codeblocks', 'O1', 'O0', 0.9787119224399412, 42.1634726524353]
['BO', 58, 'UO', 56, 'svn', 'elfedit', 'O1', 'O3', 0.7723940070130698, 0.6397843360900879]
['BO', 80, 'CO', 28, 'ssh', 'factor', 'O3', 'O3', 0.8737743577013777, 1.7383029460906982]
['UO', 42, 'CO', 368, 'xargs', 'cut', 'O2', 'O0', 0.20977408944213927, 0.10736298561096191]
['BO', 39, 'CO', 106, 'codeblocks', 'stat', 'O3', 'O1', 0.9347996262720638, 15.18655514717102]
['BO', 17, 'CO', 171, 'codeblocks', 'nohup', 'O2', 'O1', 0.9666527936739153, 13.903756380081177]
['UO', 6, 'CO', 52, 'as', 'sha256sum', 'O1', 'O3', 0.9169005558307193, 2.4525442123413086]
['CO', 275, 'BO', 64, 'nohup', 'dot', 'O2', 'O0', 0.44845360824742264, 0.016887664794921875]
['UO', 0, 'CO', 229, 'locate', 'mktemp', 'O1', 'O2', 0.5162882527147088, 0.1604936122894287]
['CO', 148, 'BO', 49, 'seq', 'svn', 'O1', 'O0', 0.7879714576962283, 0.8368139266967773]
['CO', 150, 'UO', 70, 'whoami', 'ranlib', 'O1', 'O0', 0.9364989208224469, 3.289175510406494]
['UO', 54, 'BO', 49, 'addr2line', 'svn', 'O3', 'O0', 0.26063797220351437, 2.9583590030670166]
['BO', 50, 'CO', 165, 'perl', 'cksum', 'O2', 'O1', 0.9643772038214641, 3.192671298980713]
['BO', 15, 'CO', 385, 'diff', 'hostid', 'O0', 'O0', 0.6261738867009997, 0.20517969131469727]
['BO', 79, 'CO', 246, 'bash', 'sha1sum', 'O3', 'O2', 0.9512656730541755, 3.2786917686462402]
['UO', 86, 'CO', 185, 'xargs', 'cat', 'O0', 'O1', 0.44836716681376876, 0.1172792911529541]
['CO', 342, 'BO', 64, 'expand', 'dot', 'O0', 'O0', 0.5622489959839357, 0.027579784393310547]
['CO', 114, 'BO', 23, 'users', 'git', 'O1', 'O2', 0.9754204398447607, 9.192931175231934]
['CO', 52, 'UO', 25, 'sha256sum', 'sdiff', 'O3', 'O2', 0.1993067590987868, 0.05136752128601074]
['BO', 55, 'CO', 402, 'make', 'tr', 'O1', 'O0', 0.6416726748377793, 0.329479455947876]
['CO', 75, 'UO', 74, 'mv', 'ld', 'O3', 'O0', 0.8177997431606803, 7.931262493133545]
['CO', 336, 'BO', 8, 'tee', 'cp', 'O0', 'O0', 0.6029524051921609, 0.29023122787475586]
['BO', 79, 'CO', 326, 'bash', 'stty', 'O3', 'O0', 0.9240309474748261, 3.4101078510284424]
['CO', 383, 'UO', 86, 'readlink', 'xargs', 'O0', 'O0', 0.28941176470588237, 0.15723061561584473]
['BO', 15, 'CO', 292, 'diff', 'vdir', 'O0', 'O2', 0.17824773413897277, 0.338695764541626]
['CO', 289, 'BO', 58, 'cat', 'svn', 'O2', 'O1', 0.8247456514604529, 0.6966023445129395]
['UO', 27, 'BO', 83, 'strip', 'lua', 'O2', 'O2', 0.2990458696872289, 3.1211369037628174]
['CO', 33, 'BO', 21, 'chown', 'cp', 'O3', 'O1', 0.26809815950920246, 0.15697288513183594]
['CO', 229, 'BO', 19, 'mktemp', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.941162343900096, 7.307710409164429]
['UO', 41, 'BO', 59, 'locate', 'libgeany.so.0.0.0', 'O2', 'O3', 0.9316607806265192, 54.455740213394165]
['BO', 70, 'CO', 156, 'diff', 'sha256sum', 'O3', 'O1', 0.5137307434695244, 0.12253618240356445]
['UO', 71, 'CO', 60, 'c++filt', 'base64', 'O0', 'O3', 0.9161470396104282, 2.770111322402954]
['UO', 78, 'CO', 233, 'elfedit', 'chgrp', 'O0', 'O2', 0.1831425598335068, 0.06581592559814453]
['CO', 73, 'UO', 5, 'hostid', 'readelf', 'O3', 'O1', 0.8259276225377921, 0.37467312812805176]
['UO', 20, 'CO', 84, 'diff', 'vdir', 'O1', 'O3', 0.0990458882326215, 0.254194974899292]
['CO', 372, 'UO', 45, 'base64', 'strip', 'O0', 'O3', 0.8744832769635476, 1.637495756149292]
['BO', 27, 'UO', 74, 'perl', 'ld', 'O3', 'O0', 0.25735125706936346, 23.218260526657104]
['BO', 55, 'CO', 213, 'make', 'basename', 'O1', 'O2', 0.8082191780821918, 0.25976037979125977]
['BO', 29, 'CO', 209, 'libvlc.so.12.0.0', 'touch', 'O2', 'O2', 0.6344007319304666, 0.5894303321838379]
['CO', 26, 'UO', 22, 'kill', 'diff3', 'O3', 'O2', 0.19472361809045224, 0.04341244697570801]
['UO', 3, 'CO', 398, 'nm', 'timeout', 'O1', 'O0', 0.8442098262532214, 1.5723378658294678]
['BO', 16, 'CO', 254, 'make', 'whoami', 'O0', 'O2', 0.833541703875692, 0.29442405700683594]
['CO', 176, 'BO', 12, 'head', 'libgeany.so.0.0.0', 'O1', 'O0', 0.897970665838895, 41.21548843383789]
['UO', 32, 'BO', 72, 'strings', 'make', 'O2', 'O2', 0.3826035268476322, 2.053455352783203]
['UO', 53, 'CO', 31, 'gprof', 'date', 'O3', 'O3', 0.8118828176431863, 1.184180736541748]
['UO', 38, 'CO', 221, 'elfedit', 'printenv', 'O2', 'O2', 0.2639593908629442, 0.030408620834350586]
['BO', 4, 'CO', 294, 'libgeany.so.0.0.0', 'timeout', 'O2', 'O2', 0.9772723660579475, 36.67097210884094]
['CO', 149, 'UO', 47, 'split', 'as', 'O1', 'O3', 0.8876986869384934, 2.320590019226074]
['CO', 27, 'BO', 37, 'wc', 'gvmap', 'O3', 'O2', 0.5339597315436242, 0.17996740341186523]
['BO', 72, 'CO', 58, 'make', 'df', 'O2', 'O3', 0.5311544034777008, 0.3664360046386719]
['UO', 51, 'CO', 277, 'objcopy', 'who', 'O3', 'O2', 0.8916868932038835, 1.3088140487670898]
['BO', 45, 'CO', 337, 'diff', 'chgrp', 'O2', 'O0', 0.22052704576976423, 0.20179247856140137]
['BO', 34, 'CO', 388, 'cp', 'md5sum', 'O2', 'O0', 0.38620199146514933, 0.13138055801391602]
['CO', 307, 'UO', 74, 'sort', 'ld', 'O2', 'O0', 0.8488086756906514, 7.5956103801727295]
['UO', 87, 'CO', 4, 'find', 'test', 'O0', 'O3', 0.8056583818085669, 0.7395670413970947]
['BO', 30, 'UO', 87, 'libvlccore.so.9.0.0', 'find', 'O2', 'O0', 0.5636177168130249, 10.398849964141846]
['BO', 5, 'CO', 120, 'libgeany.so.0.0.0', 'dirname', 'O1', 'O1', 0.9775288071754604, 36.3573842048645]
['CO', 259, 'UO', 34, 'realpath', 'ld', 'O2', 'O2', 0.9144607697341026, 2.709918975830078]
['CO', 173, 'UO', 22, 'who', 'diff3', 'O1', 'O2', 0.09647602541883304, 0.05744433403015137]
['CO', 270, 'BO', 45, 'printf', 'diff', 'O2', 'O2', 0.5341506129597198, 0.131577730178833]
['UO', 24, 'BO', 8, 'diff', 'cp', 'O2', 'O0', 0.18711369170256598, 0.4204380512237549]
['UO', 58, 'BO', 54, 'objdump', 'lua', 'O3', 'O3', 0.42586561535824474, 3.3697965145111084]
['CO', 202, 'BO', 23, 'sleep', 'git', 'O1', 'O2', 0.9770092394609333, 9.143457412719727]
['UO', 1, 'CO', 84, 'xargs', 'vdir', 'O1', 'O3', 0.23116438356164382, 0.191192626953125]
['BO', 29, 'CO', 87, 'libvlc.so.12.0.0', 'id', 'O2', 'O3', 0.7149980820866897, 0.5038905143737793]
['CO', 350, 'UO', 72, 'sha1sum', 'strings', 'O0', 'O0', 0.8976396354288385, 3.2905285358428955]
['CO', 191, 'UO', 5, 'id', 'readelf', 'O1', 'O1', 0.7791009228937184, 0.42591047286987305]
['UO', 20, 'CO', 208, 'diff', 'sha384sum', 'O1', 'O2', 0.5606737710553454, 0.13168787956237793]
['CO', 115, 'BO', 39, 'groups', 'codeblocks', 'O1', 'O3', 0.9670363524337646, 16.54584836959839]
['CO', 413, 'BO', 13, 'rmdir', 'ruby', 'O0', 'O1', 0.9782081955471572, 19.60813069343567]
['UO', 39, 'CO', 28, 'size', 'factor', 'O2', 'O3', 0.8228024369016537, 1.2332262992858887]
['BO', 81, 'CO', 78, 'sort', 'chcon', 'O3', 'O3', 0.27894421115776846, 0.1310429573059082]
['CO', 187, 'UO', 50, 'csplit', 'strings', 'O1', 'O3', 0.8252339812814975, 1.3029634952545166]
['BO', 66, 'UO', 48, 'svn', 'ranlib', 'O2', 'O3', 0.3325214638007672, 3.7435669898986816]
['CO', 356, 'UO', 41, 'seq', 'locate', 'O0', 'O2', 0.4665792922673657, 0.17388248443603516]
['UO', 68, 'CO', 99, 'readelf', 'sort', 'O0', 'O3', 0.5960516324981018, 0.9106323719024658]
['BO', 69, 'CO', 203, 'cmp', 'sort', 'O3', 'O1', 0.45852782764811484, 0.14029145240783691]
['CO', 372, 'BO', 13, 'base64', 'ruby', 'O0', 'O1', 0.9745972832783195, 19.78765034675598]
['BO', 20, 'CO', 166, 'sort', 'printf', 'O1', 'O1', 0.4564359985657942, 0.13722443580627441]
['CO', 265, 'BO', 53, 'od', 'bash', 'O2', 'O0', 0.9352423996327813, 5.711455821990967]
['CO', 276, 'UO', 20, 'yes', 'diff', 'O2', 'O1', 0.659963436928702, 0.12920236587524414]
['BO', 76, 'CO', 39, 'openssl', 'paste', 'O2', 'O3', 0.9427935257343496, 9.856351852416992]
['CO', 142, 'BO', 37, 'sha1sum', 'gvmap', 'O1', 'O2', 0.5994389901823282, 0.1805124282836914]
['BO', 17, 'CO', 284, 'codeblocks', 'md5sum', 'O2', 'O2', 0.9679325333819204, 14.053918361663818]
