['UV', 54, 'CV', 47, 'as', 'od', 'V1', 'V2', 0.8996750840791199, 2.0378777980804443]
['CV', 54, 'UV', 73, 'false', 'nm', 'V2', 'V0', 0.919799962956103, 1.2100481986999512]
['UV', 36, 'BV', 61, 'objdump', 'cmp', 'V3', 'V0', 0.958198027986066, 2.091919183731079]
['CV', 334, 'UV', 5, 'shred', 'diff', 'V1', 'V2', 0.45924713584288046, 0.13117361068725586]
['BV', 69, 'CV', 127, 'gvmap', 'ls', 'V0', 'V3', 0.128586609989373, 0.2577662467956543]
['BV', 63, 'CV', 18, 'ruby', 'pwd', 'V0', 'V2', 0.9766367291420799, 11.717609167098999]
['UV', 86, 'CV', 165, 'size', 'rm', 'V0', 'V3', 0.8064418109996961, 1.1381072998046875]
['BV', 19, 'CV', 7, 'cp', 'dir', 'V3', 'V2', 0.13492927094668117, 0.1742701530456543]
['BV', 53, 'CV', 101, 'ssh', 'dirname', 'V2', 'V3', 0.9617639221955768, 4.617242813110352]
['UV', 28, 'CV', 312, 'strings', 'printf', 'V3', 'V1', 0.9051984963784725, 1.119631052017212]
['CV', 167, 'UV', 47, 'uniq', 'sdiff', 'V3', 'V1', 0.16947368421052633, 0.0496525764465332]
['CV', 96, 'UV', 9, 'users', 'readelf', 'V3', 'V2', 0.684285040113261, 0.14288640022277832]
['UV', 3, 'CV', 107, 'diff3', 'tee', 'V2', 'V3', 0.16073478760045923, 0.04302406311035156]
['CV', 256, 'BV', 76, 'sort', 'diff', 'V0', 'V2', 0.4273015873015873, 0.1282660961151123]
['CV', 132, 'UV', 52, 'cp', 'strip', 'V3', 'V1', 0.7414151597252852, 2.3931684494018555]
['CV', 105, 'UV', 46, 'pwd', 'diff', 'V3', 'V1', 0.5764283577624888, 0.1255171298980713]
['UV', 72, 'CV', 112, 'find', 'expand', 'V0', 'V3', 0.5889021479713604, 0.14728617668151855]
['CV', 218, 'BV', 5, 'true', 'libvlccore.so', 'V0', 'V0', 0.9643867532035281, 3.5610709190368652]
['UV', 30, 'CV', 4, 'ld', 'basename', 'V3', 'V2', 0.9412509801556186, 2.2299704551696777]
['CV', 330, 'BV', 73, 'csplit', 'geany', 'V1', 'V0', 0.9373732027873335, 24.379615306854248]
['BV', 34, 'CV', 36, 'svn', 'chroot', 'V0', 'V2', 0.7628747117601845, 0.3916056156158447]
['CV', 292, 'UV', 2, 'sha1sum', 'find', 'V1', 'V2', 0.7528604118993135, 0.20293831825256348]
['UV', 82, 'CV', 37, 'gprof', 'seq', 'V0', 'V2', 0.8943674028419791, 1.0857727527618408]
['UV', 77, 'CV', 223, 'ranlib', 'tsort', 'V0', 'V0', 0.9243070362473348, 1.0795235633850098]
['UV', 24, 'CV', 124, 'readelf', 'seq', 'V3', 'V3', 0.7669543773119606, 0.29544615745544434]
['CV', 46, 'BV', 3, 'cut', 'diff', 'V2', 'V1', 0.47092799383904504, 0.08949422836303711]
['BV', 41, 'CV', 47, 'libvlccore.so', 'od', 'V1', 'V2', 0.9072518882374689, 3.354417085647583]
['CV', 219, 'UV', 29, 'cp', 'objcopy', 'V0', 'V3', 0.8393620877129395, 1.8048102855682373]
['BV', 76, 'CV', 108, 'diff', 'chgrp', 'V2', 'V3', 0.30594405594405594, 0.13418221473693848]
