['CO', 266, 'BO', 44, 'df', 'cmp', 'O2', 'O2', 0.28855250709555347, 0.07726740837097168]
['UO', 43, 'BO', 19, 'find', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.654320987654321, 16.475297689437866]
['CO', 65, 'BO', 60, 'false', 'openssl', 'O3', 'O0', 0.9570970014875128, 13.131565809249878]
['UO', 42, 'BO', 65, 'xargs', 'gvmap', 'O2', 'O0', 0.5276197467425215, 0.39676594734191895]
['BO', 59, 'CO', 216, 'libgeany.so.0.0.0', 'dir', 'O3', 'O2', 0.9401142435968307, 36.80404782295227]
['CO', 364, 'UO', 87, 'sha256sum', 'find', 'O0', 'O0', 0.7661833247022268, 1.0319116115570068]
['UO', 50, 'CO', 382, 'strings', 'b2sum', 'O3', 'O0', 0.8102463405926454, 1.1943566799163818]
['CO', 180, 'UO', 52, 'md5sum', 'ld', 'O1', 'O3', 0.9146823022615771, 2.4413809776306152]
['CO', 148, 'BO', 52, 'seq', 'svn', 'O1', 'O3', 0.7721518987341772, 0.7242443561553955]
['BO', 25, 'UO', 54, 'dot', 'addr2line', 'O3', 'O3', 0.9568138195777351, 0.9965214729309082]
['BO', 3, 'CO', 361, 'openssl', 'nice', 'O1', 'O0', 0.9420713364847443, 10.171720027923584]
['CO', 234, 'BO', 20, 'kill', 'sort', 'O2', 'O1', 0.5744186046511628, 0.13068079948425293]
['CO', 13, 'UO', 25, 'printenv', 'sdiff', 'O3', 'O2', 0.31119791666666674, 0.041520118713378906]
['CO', 49, 'UO', 61, 'nice', 'find', 'O3', 'O3', 0.783001808318264, 0.4084665775299072]
['BO', 25, 'CO', 300, 'dot', 'sha512sum', 'O3', 'O2', 0.4930555555555556, 0.020514726638793945]
['BO', 62, 'CO', 155, 'bash', 'realpath', 'O1', 'O1', 0.9329009728111749, 3.584090232849121]
['UO', 67, 'BO', 72, 'strip', 'make', 'O0', 'O2', 0.6092641016062756, 4.85320782661438]
['CO', 117, 'BO', 15, 'printenv', 'diff', 'O1', 'O0', 0.6681168427594779, 0.20378971099853516]
['CO', 73, 'UO', 55, 'hostid', 'ar', 'O3', 'O3', 0.8997634276702007, 1.206207275390625]
['BO', 78, 'CO', 48, 'ssh', 'ls', 'O0', 'O3', 0.7995197514007251, 3.2912869453430176]
['BO', 39, 'CO', 148, 'codeblocks', 'seq', 'O3', 'O1', 0.9626527318835011, 14.243258714675903]
['CO', 277, 'BO', 31, 'who', 'bash', 'O2', 'O2', 0.9415329184408778, 4.162516355514526]
['CO', 64, 'BO', 56, 'tty', 'libvlc.so.12.0.0', 'O3', 'O3', 0.7820758330141708, 0.5597434043884277]
['UO', 3, 'BO', 29, 'nm', 'libvlc.so.12.0.0', 'O1', 'O2', 0.42708266323576716, 3.0389885902404785]
['UO', 77, 'CO', 100, 'ar', 'tac', 'O0', 'O3', 0.9099977583501457, 3.0489039421081543]
['BO', 63, 'CO', 147, 'cluster', 'chroot', 'O0', 'O1', 0.6929770043505282, 0.2748439311981201]
['CO', 165, 'BO', 63, 'cksum', 'cluster', 'O1', 'O0', 0.7487695270704045, 0.2788882255554199]
['CO', 126, 'BO', 65, 'pwd', 'gvmap', 'O1', 'O0', 0.7244241543888773, 0.29163646697998047]
['BO', 7, 'CO', 85, 'sort', '[', 'O0', 'O3', 0.5448717948717948, 0.1902470588684082]
['BO', 29, 'CO', 384, 'libvlc.so.12.0.0', 'head', 'O2', 'O0', 0.6489283074648928, 0.5839874744415283]
['UO', 46, 'CO', 331, 'readelf', 'dd', 'O3', 'O0', 0.6102394715111478, 0.4119272232055664]
['CO', 96, 'UO', 43, 'fold', 'find', 'O3', 'O2', 0.7682672233820459, 0.5027885437011719]
['CO', 11, 'BO', 47, 'groups', 'libvlc.so.12.0.0', 'O3', 'O0', 0.7776273481130479, 0.8373243808746338]
['CO', 128, 'UO', 26, 'tee', 'nm', 'O1', 'O2', 0.8778787611400335, 1.4232497215270996]
['BO', 66, 'CO', 401, 'svn', 'pathchk', 'O2', 'O0', 0.7834557649313318, 0.649432897567749]
['CO', 260, 'BO', 13, 'sha256sum', 'ruby', 'O2', 'O1', 0.980501945228469, 18.986689567565918]
['CO', 178, 'BO', 17, 'unexpand', 'codeblocks', 'O1', 'O2', 0.9644044897110787, 17.178370237350464]
['BO', 29, 'CO', 257, 'libvlc.so.12.0.0', 'nice', 'O2', 'O2', 0.8024691358024691, 0.5092699527740479]
['CO', 50, 'UO', 86, 'dircolors', 'xargs', 'O3', 'O0', 0.39562289562289554, 0.11932706832885742]
['CO', 390, 'UO', 73, 'chcon', 'objcopy', 'O0', 'O0', 0.8465797890114086, 5.066882610321045]
['BO', 51, 'CO', 366, 'lua', 'true', 'O1', 'O0', 0.850856055802156, 0.5812106132507324]
['CO', 352, 'UO', 8, 'sync', 'c++filt', 'O0', 'O1', 0.8836312653347353, 1.609229564666748]
['UO', 74, 'CO', 41, 'ld', 'echo', 'O0', 'O3', 0.9524346917450366, 5.350993871688843]
['UO', 61, 'CO', 344, 'find', 'expr', 'O3', 'O0', 0.6535750251762337, 0.47922182083129883]
['BO', 32, 'CO', 72, 'ruby', 'head', 'O2', 'O3', 0.9725943660536905, 20.030062198638916]
['CO', 123, 'BO', 29, 'dd', 'libvlc.so.12.0.0', 'O1', 'O2', 0.591021562389537, 0.7294185161590576]
['CO', 246, 'UO', 50, 'sha1sum', 'strings', 'O2', 'O3', 0.8851194348917185, 1.165459156036377]
['CO', 110, 'UO', 29, 'mkdir', 'as', 'O1', 'O2', 0.9039062944220163, 2.6499533653259277]
['UO', 45, 'CO', 66, 'strip', 'runcon', 'O3', 'O3', 0.9144918636782315, 1.2667229175567627]
['CO', 133, 'UO', 75, 'nproc', 'gprof', 'O1', 'O0', 0.9299768844787731, 3.32804274559021]
['CO', 337, 'UO', 15, 'chgrp', 'elfedit', 'O0', 'O1', 0.3256669733210671, 0.09111881256103516]
['UO', 59, 'BO', 65, 'locate', 'gvmap', 'O3', 'O0', 0.33098704207326834, 0.4690842628479004]
['BO', 16, 'CO', 326, 'make', 'stty', 'O0', 'O0', 0.6801963993453355, 0.36983680725097656]
['CO', 79, 'BO', 36, 'link', 'cluster', 'O3', 'O2', 0.6407588739290085, 0.14649415016174316]
['BO', 34, 'CO', 248, 'cp', 'sync', 'O2', 'O2', 0.5945835043085761, 0.10099673271179199]
['CO', 132, 'UO', 49, 'factor', 'c++filt', 'O1', 'O3', 0.817754474778521, 1.2839646339416504]
['UO', 43, 'BO', 32, 'find', 'ruby', 'O2', 'O2', 0.8393578112383033, 45.76210641860962]
['CO', 347, 'BO', 52, 'base32', 'svn', 'O0', 'O3', 0.7446153846153846, 0.7792446613311768]
['UO', 56, 'CO', 343, 'elfedit', 'date', 'O3', 'O0', 0.3109575518262586, 0.08315920829772949]
['BO', 14, 'CO', 76, 'cmp', 'md5sum', 'O0', 'O3', 0.15024038461538458, 0.053293466567993164]
['UO', 11, 'CO', 1, 'ld', 'touch', 'O1', 'O3', 0.8715378079864061, 2.7630581855773926]
['UO', 80, 'CO', 305, 'objdump', 'uniq', 'O0', 'O2', 0.9429000751314801, 5.233474493026733]
['CO', 112, 'BO', 50, 'dir', 'perl', 'O1', 'O2', 0.880174229093951, 5.967036962509155]
['CO', 308, 'BO', 73, 'tac', 'cluster', 'O2', 'O1', 0.6184016514302566, 0.16770672798156738]
['BO', 50, 'CO', 297, 'perl', 'pathchk', 'O2', 'O2', 0.9703748488512697, 3.135117292404175]
['CO', 15, 'UO', 13, 'join', 'addr2line', 'O3', 'O1', 0.8357040653143675, 1.6068148612976074]
['UO', 31, 'CO', 301, 'c++filt', 'nl', 'O2', 'O2', 0.8907555310750023, 1.1785309314727783]
['CO', 307, 'BO', 37, 'sort', 'gvmap', 'O2', 'O2', 0.2243010300609628, 0.3139793872833252]
['CO', 205, 'UO', 19, 'rmdir', 'cmp', 'O1', 'O1', 0.09908643710470832, 0.04484128952026367]
['BO', 53, 'CO', 388, 'bash', 'md5sum', 'O0', 'O0', 0.9385279241679341, 5.024604797363281]
['CO', 269, 'BO', 60, 'cksum', 'openssl', 'O2', 'O0', 0.9613966261278933, 13.550127267837524]
['UO', 81, 'CO', 185, 'diff3', 'cat', 'O0', 'O1', 0.3351063829787234, 0.0757589340209961]
['CO', 244, 'UO', 23, 'pinky', 'cmp', 'O2', 'O2', 0.0822695035460993, 0.043271780014038086]
['BO', 79, 'CO', 336, 'bash', 'tee', 'O3', 'O0', 0.9388810531264692, 3.3792788982391357]
['UO', 25, 'CO', 262, 'sdiff', 'true', 'O2', 'O2', 0.3980028530670471, 0.04049873352050781]
['CO', 172, 'UO', 81, 'yes', 'diff3', 'O1', 'O0', 0.38368246968026454, 0.07193255424499512]
['CO', 275, 'UO', 36, 'nohup', 'addr2line', 'O2', 'O2', 0.8995541806932945, 1.3362724781036377]
['CO', 109, 'BO', 38, 'basename', 'acyclic', 'O1', 'O2', 0.4178743961352658, 0.019539833068847656]
['BO', 16, 'CO', 221, 'make', 'printenv', 'O0', 'O2', 0.8427571351642434, 0.2894611358642578]
['CO', 88, 'UO', 70, 'shred', 'ranlib', 'O3', 'O0', 0.8729879690160962, 3.7438974380493164]
['UO', 51, 'BO', 4, 'objcopy', 'libgeany.so.0.0.0', 'O3', 'O2', 0.6662559927150012, 147.48027563095093]
['UO', 78, 'CO', 238, 'elfedit', 'expand', 'O0', 'O2', 0.18907260963335726, 0.04217171669006348]
['UO', 12, 'CO', 131, 'gprof', 'wc', 'O1', 'O1', 0.8679561985452802, 1.5541157722473145]
['CO', 6, 'BO', 64, 'mkdir', 'dot', 'O3', 'O0', 0.5985663082437276, 0.02484869956970215]
['UO', 18, 'CO', 231, 'diff3', 'pr', 'O1', 'O2', 0.06446921958313134, 0.07523441314697266]
['UO', 30, 'CO', 258, 'ranlib', 'dircolors', 'O2', 'O2', 0.8946829393189383, 1.3181183338165283]
['BO', 32, 'CO', 367, 'ruby', 'cp', 'O2', 'O0', 0.897150322527966, 23.489437103271484]
['CO', 58, 'UO', 60, 'df', 'xargs', 'O3', 'O3', 0.15634005763688763, 0.12983274459838867]
['CO', 383, 'BO', 71, 'readlink', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9241077019411397, 10.918495178222656]
['CO', 55, 'BO', 22, 'cp', 'perl', 'O3', 'O0', 0.8770303698626054, 7.835040807723999]
['CO', 401, 'UO', 21, 'pathchk', 'sdiff', 'O0', 'O1', 0.1997621878715814, 0.059983253479003906]
['CO', 308, 'UO', 2, 'tac', 'find', 'O2', 'O1', 0.7845378151260505, 0.5539302825927734]
['CO', 291, 'BO', 34, 'csplit', 'cp', 'O2', 'O2', 0.38156028368794326, 0.13116955757141113]
['BO', 0, 'CO', 395, 'codeblocks', 'csplit', 'O1', 'O0', 0.936963781145646, 14.857307195663452]
['CO', 379, 'BO', 30, 'nohup', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.9427911238596072, 7.319602966308594]
['CO', 237, 'BO', 32, 'nproc', 'ruby', 'O2', 'O2', 0.9820852740953063, 21.766838312149048]
['CO', 399, 'BO', 52, 'id', 'svn', 'O0', 'O3', 0.7268158976701691, 0.8144998550415039]
['UO', 35, 'CO', 265, 'gprof', 'od', 'O2', 'O2', 0.849672131147541, 1.36421799659729]
['CO', 60, 'UO', 24, 'base64', 'diff', 'O3', 'O2', 0.5151933701657458, 0.1359710693359375]
['BO', 25, 'CO', 138, 'dot', 'tail', 'O3', 'O1', 0.6801705756929638, 0.04274487495422363]
['CO', 45, 'UO', 68, 'split', 'readelf', 'O3', 'O0', 0.7698705126855458, 0.8688192367553711]
['BO', 27, 'CO', 334, 'perl', 'pwd', 'O3', 'O0', 0.9545920009362474, 3.2109439373016357]
['CO', 118, 'BO', 73, 'stty', 'cluster', 'O1', 'O1', 0.5244173140954494, 0.1891956329345703]
['CO', 32, 'UO', 13, 'expr', 'addr2line', 'O3', 'O1', 0.8522041960417905, 1.5475964546203613]
['BO', 21, 'CO', 390, 'cp', 'chcon', 'O1', 'O0', 0.12806389424400988, 0.22261381149291992]
['BO', 64, 'CO', 381, 'dot', 'who', 'O0', 'O0', 0.6188034188034188, 0.03652763366699219]
['CO', 380, 'BO', 13, 'yes', 'ruby', 'O0', 'O1', 0.9806530363137016, 19.534645795822144]
['UO', 13, 'CO', 86, 'addr2line', 'timeout', 'O1', 'O3', 0.8586771224002727, 1.4837274551391602]
['UO', 66, 'BO', 21, 'nm', 'cp', 'O0', 'O1', 0.7846269700392663, 3.5935873985290527]
['UO', 14, 'CO', 251, 'ar', 'chroot', 'O1', 'O2', 0.892196957304106, 1.5043809413909912]
['CO', 5, 'UO', 79, 'basename', 'size', 'O3', 'O0', 0.928913030642971, 3.093296766281128]
['CO', 173, 'BO', 77, 'who', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.9272265323714894, 7.906034231185913]
['CO', 299, 'BO', 65, 'comm', 'gvmap', 'O2', 'O0', 0.7434390090279236, 0.26911425590515137]
['CO', 323, 'UO', 63, 'groups', 'cmp', 'O0', 'O3', 0.1124497991967871, 0.050899505615234375]
['CO', 265, 'UO', 26, 'od', 'nm', 'O2', 'O2', 0.8413220280325315, 1.484642744064331]
['BO', 31, 'CO', 146, 'bash', 'sum', 'O2', 'O1', 0.9401824802585819, 3.6080193519592285]
['UO', 27, 'CO', 384, 'strip', 'head', 'O2', 'O0', 0.8594459914993404, 1.6222665309906006]
['UO', 84, 'CO', 395, 'sdiff', 'csplit', 'O0', 'O0', 0.06539735099337751, 0.11217403411865234]
['UO', 32, 'BO', 73, 'strings', 'cluster', 'O2', 'O1', 0.5825782380263459, 1.6784849166870117]
['BO', 79, 'CO', 233, 'bash', 'chgrp', 'O3', 'O2', 0.9142812935169427, 3.40478777885437]
['BO', 55, 'CO', 88, 'make', 'shred', 'O1', 'O3', 0.5968476357267951, 0.3283367156982422]
