['CO', 52, 'UO', 33, 'sha256sum', 'objcopy', 'O3', 'O2', 0.8876655259633983, 1.760117769241333]
['CO', 92, 'UO', 67, 'sha512sum', 'strip', 'O3', 'O0', 0.9239070970308848, 4.077147006988525]
['BO', 54, 'CO', 345, 'lua', 'chown', 'O3', 'O0', 0.6477495107632094, 0.5492956638336182]
['BO', 17, 'UO', 25, 'codeblocks', 'sdiff', 'O2', 'O2', 0.949663477655432, 14.346742391586304]
['UO', 62, 'CO', 391, 'diff3', 'link', 'O3', 'O0', 0.2605548854041013, 0.051351308822631836]
['CO', 204, 'UO', 58, 'tac', 'objdump', 'O1', 'O3', 0.915089986155976, 2.3110454082489014]
['CO', 120, 'UO', 75, 'dirname', 'gprof', 'O1', 'O0', 0.9379528985507246, 3.2385001182556152]
['UO', 59, 'CO', 323, 'locate', 'groups', 'O3', 'O0', 0.4830985915492958, 0.1456000804901123]
['UO', 50, 'CO', 44, 'strings', 'seq', 'O3', 'O3', 0.8610754266837952, 1.0223734378814697]
['CO', 107, 'UO', 70, 'unlink', 'ranlib', 'O1', 'O0', 0.9375994544214594, 3.2734358310699463]
['BO', 4, 'CO', 173, 'libgeany.so.0.0.0', 'who', 'O2', 'O1', 0.974542107100911, 36.83076620101929]
['BO', 0, 'CO', 171, 'codeblocks', 'nohup', 'O1', 'O1', 0.9665658251616941, 13.821887969970703]
['CO', 84, 'BO', 80, 'vdir', 'ssh', 'O3', 'O3', 0.7528442071047132, 3.0838918685913086]
['CO', 12, 'BO', 82, 'ptx', 'cp', 'O3', 'O3', 0.2773993808049535, 0.13100409507751465]
['BO', 45, 'CO', 278, 'diff', 'b2sum', 'O2', 'O2', 0.483739837398374, 0.1295943260192871]
['CO', 43, 'UO', 19, 'chroot', 'cmp', 'O3', 'O1', 0.11413748378728927, 0.04302239418029785]
['CO', 71, 'BO', 15, 'readlink', 'diff', 'O3', 'O0', 0.5445146467547387, 0.21237611770629883]
['CO', 348, 'UO', 7, 'pinky', 'ranlib', 'O0', 'O1', 0.8596463022508039, 1.8435592651367188]
['UO', 38, 'CO', 248, 'elfedit', 'sync', 'O2', 'O2', 0.2180936995153473, 0.03345203399658203]
['UO', 21, 'CO', 292, 'sdiff', 'vdir', 'O1', 'O2', 0.32204537758211993, 0.14740967750549316]
['BO', 23, 'CO', 288, 'git', 'uname', 'O2', 'O2', 0.9815961776676695, 8.49047040939331]
['BO', 32, 'CO', 362, 'ruby', 'dircolors', 'O2', 'O0', 0.9733650416171225, 19.939565420150757]
['UO', 1, 'CO', 391, 'xargs', 'link', 'O1', 'O0', 0.3812154696132597, 0.09224963188171387]
['UO', 56, 'CO', 24, 'elfedit', 'tee', 'O3', 'O3', 0.1578947368421053, 0.03689384460449219]
['CO', 40, 'BO', 64, 'sync', 'dot', 'O3', 'O0', 0.48711943793911006, 0.016288042068481445]
['BO', 5, 'CO', 86, 'libgeany.so.0.0.0', 'timeout', 'O1', 'O3', 0.9686998522378811, 37.4669623374939]
['CO', 152, 'UO', 29, 'ls', 'as', 'O1', 'O2', 0.7792656357936129, 3.6507456302642822]
['CO', 182, 'BO', 75, 'chcon', 'gvmap', 'O1', 'O1', 0.40558766859344897, 0.2248237133026123]
['BO', 39, 'CO', 415, 'codeblocks', 'ln', 'O3', 'O0', 0.9196271984767249, 15.61477780342102]
['BO', 56, 'CO', 114, 'libvlc.so.12.0.0', 'users', 'O3', 'O1', 0.7636122177954847, 0.5154139995574951]
['UO', 10, 'BO', 6, 'objcopy', 'codeblocks', 'O1', 'O0', 0.6040909296607485, 141.98957538604736]
['UO', 18, 'CO', 311, 'diff3', 'ln', 'O1', 'O2', 0.1266261925411969, 0.09208369255065918]
['UO', 64, 'CO', 123, 'diff', 'dd', 'O3', 'O1', 0.3146651270207852, 0.15575838088989258]
['BO', 60, 'CO', 330, 'openssl', 'uptime', 'O0', 'O0', 0.9284860173577628, 12.48957872390747]
['BO', 79, 'CO', 248, 'bash', 'sync', 'O3', 'O2', 0.9608526824629527, 3.0808804035186768]
['BO', 56, 'CO', 155, 'libvlc.so.12.0.0', 'realpath', 'O3', 'O1', 0.7053751605210054, 0.5381288528442383]
['BO', 70, 'CO', 151, 'diff', 'numfmt', 'O3', 'O1', 0.45413582233665917, 0.12638640403747559]
['CO', 2, 'BO', 15, 'stat', 'diff', 'O3', 'O0', 0.3667172483560951, 0.2674403190612793]
['UO', 7, 'CO', 267, 'ranlib', 'tsort', 'O1', 'O2', 0.9027800625102813, 1.4370496273040771]
['CO', 6, 'BO', 43, 'mkdir', 'diff', 'O3', 'O1', 0.43769765970904495, 0.1535930633544922]
['CO', 286, 'UO', 54, 'chcon', 'addr2line', 'O2', 'O3', 0.804903956802691, 1.3219923973083496]
['CO', 258, 'UO', 3, 'dircolors', 'nm', 'O2', 'O1', 0.8946109830045265, 1.5381016731262207]
['UO', 33, 'BO', 15, 'objcopy', 'diff', 'O2', 'O0', 0.6511612777307918, 2.1774888038635254]
['CO', 375, 'UO', 30, 'logname', 'ranlib', 'O0', 'O2', 0.8940363450217558, 1.46484375]
['UO', 66, 'BO', 70, 'nm', 'diff', 'O0', 'O3', 0.7601189843832997, 3.372288942337036]
['UO', 79, 'CO', 193, 'size', 'pathchk', 'O0', 'O1', 0.9322214336408801, 2.7732746601104736]
['BO', 63, 'UO', 68, 'cluster', 'readelf', 'O0', 'O0', 0.3461476854076566, 1.5270233154296875]
['UO', 22, 'BO', 61, 'diff3', 'git', 'O2', 'O1', 0.9637957911145753, 10.260681390762329]
['CO', 251, 'BO', 14, 'chroot', 'cmp', 'O2', 'O0', 0.16400765794511807, 0.0553128719329834]
['BO', 48, 'CO', 224, 'libvlccore.so.9.0.0', 'dirname', 'O0', 'O2', 0.972979337140166, 13.961292266845703]
['UO', 24, 'CO', 168, 'diff', 'tty', 'O2', 'O1', 0.5973741794310722, 0.11704111099243164]
['CO', 199, 'UO', 44, 'sha224sum', 'nm', 'O1', 'O3', 0.8690561959654178, 1.260713815689087]
['CO', 274, 'BO', 80, 'runcon', 'ssh', 'O2', 'O3', 0.943857841874839, 1.8070149421691895]
['BO', 79, 'CO', 143, 'bash', 'paste', 'O3', 'O1', 0.9501123064191985, 3.200322389602661]
['CO', 180, 'UO', 15, 'md5sum', 'elfedit', 'O1', 'O1', 0.125, 0.04487323760986328]
['UO', 2, 'CO', 372, 'find', 'base64', 'O1', 'O0', 0.7282059638259736, 0.5268418788909912]
['CO', 298, 'BO', 55, 'tr', 'make', 'O2', 'O1', 0.7434915773353752, 0.3118607997894287]
['UO', 52, 'CO', 137, 'ld', 'chown', 'O3', 'O1', 0.8582046219951225, 2.3354642391204834]
['BO', 1, 'CO', 380, 'ssh', 'yes', 'O2', 'O0', 0.9197061803444783, 1.844245195388794]
['UO', 18, 'CO', 358, 'diff3', 'whoami', 'O1', 'O0', 0.24548736462093856, 0.057626962661743164]
['UO', 10, 'BO', 18, 'objcopy', 'libvlc.so.12.0.0', 'O1', 'O1', 0.486734693877551, 3.524143934249878]
['CO', 87, 'BO', 25, 'id', 'dot', 'O3', 'O3', 0.5496957403651116, 0.020177841186523438]
['UO', 64, 'CO', 129, 'diff', 'chgrp', 'O3', 'O1', 0.31475029036004654, 0.15730810165405273]
['BO', 13, 'CO', 205, 'ruby', 'rmdir', 'O1', 'O1', 0.9799280092733818, 17.13070297241211]
['UO', 72, 'CO', 61, 'strings', 'cksum', 'O0', 'O3', 0.924968885201209, 2.739441156387329]
