['CO', 351, 'UO', 78, 'paste', 'elfedit', 'O0', 'O0', 0.11096774193548387, 0.05671882629394531]
['CO', 99, 'UO', 56, 'sort', 'elfedit', 'O3', 'O3', 0.4982431482782853, 0.11648225784301758]
['UO', 60, 'CO', 253, 'xargs', 'split', 'O3', 'O2', 0.21266968325791857, 0.10765433311462402]
['CO', 89, 'BO', 17, 'pathchk', 'codeblocks', 'O3', 'O2', 0.9650691340056139, 16.163905382156372]
['UO', 44, 'BO', 47, 'nm', 'libvlc.so.12.0.0', 'O3', 'O0', 0.32876624623855566, 3.2898714542388916]
['BO', 14, 'CO', 210, 'cmp', 'stat', 'O0', 'O2', 0.1507750117426021, 0.08851981163024902]
['BO', 61, 'CO', 337, 'git', 'chgrp', 'O1', 'O0', 0.9453731228043084, 9.47091817855835]
['CO', 91, 'BO', 12, 'comm', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8986336994915188, 40.046913385391235]
['UO', 44, 'CO', 14, 'nm', 'stty', 'O3', 'O3', 0.8421940179284636, 1.1002650260925293]
['CO', 154, 'BO', 7, 'dircolors', 'sort', 'O1', 'O0', 0.5777844132576888, 0.2290356159210205]
['CO', 249, 'BO', 50, 'echo', 'perl', 'O2', 'O2', 0.9729394315464479, 3.4213919639587402]
['BO', 27, 'CO', 36, 'perl', 'pinky', 'O3', 'O3', 0.9530491726597673, 3.0551419258117676]
['CO', 121, 'UO', 3, 'stdbuf', 'nm', 'O1', 'O1', 0.8752324598478445, 1.6013965606689453]
['BO', 82, 'CO', 306, 'cp', 'sleep', 'O3', 'O2', 0.6142410015649452, 0.09248852729797363]
['CO', 44, 'BO', 43, 'seq', 'diff', 'O3', 'O1', 0.5011562603237529, 0.14658093452453613]
['BO', 78, 'CO', 329, 'ssh', 'stdbuf', 'O0', 'O0', 0.915776808542638, 2.8164496421813965]
['UO', 54, 'BO', 3, 'addr2line', 'openssl', 'O3', 'O1', 0.4449086639626727, 32.06601881980896]
['UO', 11, 'CO', 309, 'ld', 'rmdir', 'O1', 'O2', 0.9336337566571078, 2.630901575088501]
['BO', 46, 'CO', 343, 'ruby', 'date', 'O3', 'O0', 0.9603703200277891, 18.611132621765137]
['BO', 77, 'CO', 10, 'libSDL2-2.0.so.0.16.0', 'users', 'O3', 'O3', 0.9384840049285812, 6.674619197845459]
['CO', 342, 'BO', 37, 'expand', 'gvmap', 'O0', 'O2', 0.5755733628074053, 0.1943202018737793]
['UO', 30, 'BO', 11, 'ranlib', 'ssh', 'O2', 'O1', 0.16366126455147223, 6.126788377761841]
['BO', 35, 'CO', 39, 'make', 'paste', 'O3', 'O3', 0.7549363351171803, 0.28310513496398926]
['CO', 363, 'BO', 3, 'realpath', 'openssl', 'O0', 'O1', 0.9181663837011884, 13.60737681388855]
