['BO', 67, 'UO', 36, 'libSDL2-2.0.so.0.16.0', 'addr2line', 'O1', 'O2', 0.34707001771769797, 12.254910230636597]
['CO', 233, 'BO', 8, 'chgrp', 'cp', 'O2', 'O0', 0.47944561898050275, 0.3121068477630615]
['BO', 65, 'CO', 65, 'gvmap', 'false', 'O0', 'O3', 0.7697382421791871, 0.22641777992248535]
['UO', 32, 'CO', 234, 'strings', 'kill', 'O2', 'O2', 0.8996251942590731, 1.1779091358184814]
['UO', 0, 'CO', 122, 'locate', 'uptime', 'O1', 'O1', 0.4770906760653637, 0.17253804206848145]
['BO', 69, 'CO', 377, 'cmp', 'false', 'O3', 'O0', 0.14754098360655732, 0.04198145866394043]
['CO', 182, 'UO', 59, 'chcon', 'locate', 'O1', 'O3', 0.2656483977238695, 0.18165159225463867]
['BO', 8, 'CO', 67, 'cp', 'nohup', 'O0', 'O3', 0.6465989053948398, 0.22238874435424805]
['UO', 49, 'CO', 248, 'c++filt', 'sync', 'O3', 'O2', 0.9063329541145241, 0.9959051609039307]
['CO', 205, 'BO', 39, 'rmdir', 'codeblocks', 'O1', 'O3', 0.9662287004721823, 16.966066598892212]
['CO', 292, 'BO', 8, 'vdir', 'cp', 'O2', 'O0', 0.2394587173955678, 0.4217710494995117]
['CO', 197, 'UO', 77, 'nl', 'ar', 'O1', 'O0', 0.9216283265674334, 3.4654324054718018]
['CO', 0, 'UO', 7, 'sha384sum', 'ranlib', 'O3', 'O1', 0.8759325332468375, 1.6762471199035645]
['CO', 162, 'UO', 87, 'df', 'find', 'O1', 'O0', 0.6571359340925612, 1.1629488468170166]
['CO', 44, 'UO', 16, 'seq', 'size', 'O3', 'O1', 0.8702767543483849, 1.5218806266784668]
['BO', 13, 'CO', 135, 'ruby', 'date', 'O1', 'O1', 0.9662228684812408, 18.457886457443237]
['CO', 279, 'BO', 51, 'readlink', 'lua', 'O2', 'O1', 0.8297392176529589, 0.6467487812042236]
['CO', 113, 'UO', 46, 'du', 'readelf', 'O1', 'O3', 0.5225084569346864, 0.5364513397216797]
['BO', 55, 'CO', 68, 'make', 'yes', 'O1', 'O3', 0.7728068469169422, 0.26629114151000977]
['BO', 34, 'CO', 97, 'cp', 'uniq', 'O2', 'O3', 0.38320395201129154, 0.11461305618286133]
['BO', 63, 'CO', 310, 'cluster', 'mknod', 'O0', 'O2', 0.7709327548806941, 0.2356247901916504]
['UO', 9, 'CO', 301, 'strings', 'nl', 'O1', 'O2', 0.896033548838022, 1.376981258392334]
['CO', 180, 'UO', 17, 'md5sum', 'objdump', 'O1', 'O1', 0.920455179338428, 3.1125857830047607]
['BO', 53, 'CO', 116, 'bash', 'ptx', 'O0', 'O1', 0.9219412981730196, 5.328631401062012]
['UO', 42, 'BO', 21, 'xargs', 'cp', 'O2', 'O1', 0.24382901866345574, 0.20317578315734863]
['BO', 43, 'UO', 13, 'diff', 'addr2line', 'O1', 'O1', 0.6553556517118349, 2.4186289310455322]
['BO', 79, 'CO', 302, 'bash', 'rm', 'O3', 'O2', 0.9074195413374446, 3.6554243564605713]
['CO', 259, 'UO', 86, 'realpath', 'xargs', 'O2', 'O0', 0.3923728813559322, 0.1287403106689453]
['CO', 133, 'BO', 45, 'nproc', 'diff', 'O1', 'O2', 0.5581643543223053, 0.13966155052185059]
['BO', 28, 'CO', 371, 'ruby', 'tsort', 'O0', 'O0', 0.9765582409594766, 18.0885169506073]
