['BO', 2, 'CO', 415, 'perl', 'ln', 'O1', 'O0', 0.9173685701774721, 3.904085636138916]
['UO', 52, 'CO', 88, 'ld', 'shred', 'O3', 'O3', 0.8653610771113831, 2.2669761180877686]
['CO', 239, 'UO', 0, 'date', 'locate', 'O2', 'O1', 0.3841994592970862, 0.19358158111572266]
['BO', 6, 'CO', 392, 'codeblocks', 'uname', 'O0', 'O0', 0.9760276518248717, 38.6618275642395]
['UO', 19, 'CO', 43, 'cmp', 'chroot', 'O1', 'O3', 0.11413748378728927, 0.04322171211242676]
['CO', 356, 'UO', 37, 'seq', 'ar', 'O0', 'O2', 0.8628849542670135, 1.6150472164154053]
['UO', 25, 'CO', 125, 'sdiff', 'mktemp', 'O2', 'O1', 0.11506392440244584, 0.06589508056640625]
['CO', 359, 'UO', 29, 'numfmt', 'as', 'O0', 'O2', 0.8727069351230425, 2.9718010425567627]
['CO', 344, 'UO', 56, 'expr', 'elfedit', 'O0', 'O3', 0.24871355060034306, 0.06279182434082031]
['CO', 51, 'UO', 56, 'realpath', 'elfedit', 'O3', 'O3', 0.16518424396442188, 0.0409543514251709]
['CO', 54, 'BO', 60, 'true', 'openssl', 'O3', 'O0', 0.9570970014875128, 13.32519245147705]
['BO', 71, 'CO', 114, 'libSDL2-2.0.so.0.16.0', 'users', 'O0', 'O1', 0.947028260043087, 8.911116600036621]
['CO', 196, 'BO', 64, 'sha512sum', 'dot', 'O1', 'O0', 0.5436382754994742, 0.024864673614501953]
['BO', 36, 'CO', 118, 'cluster', 'stty', 'O2', 'O1', 0.5151343705799152, 0.17302966117858887]
['UO', 69, 'CO', 8, 'as', 'dir', 'O0', 'O3', 0.8405410482810445, 5.826869249343872]
['CO', 294, 'BO', 58, 'timeout', 'svn', 'O2', 'O1', 0.7724302788844621, 0.7718145847320557]
['CO', 201, 'UO', 36, 'uniq', 'addr2line', 'O1', 'O2', 0.8548329779673063, 1.4541888236999512]
['UO', 20, 'CO', 238, 'diff', 'expand', 'O1', 'O2', 0.5946610467158412, 0.13062071800231934]
['CO', 380, 'UO', 42, 'yes', 'xargs', 'O0', 'O2', 0.3519668737060042, 0.09110045433044434]
['UO', 32, 'CO', 369, 'strings', 'od', 'O2', 'O0', 0.8014737754659731, 1.4241149425506592]
['UO', 85, 'CO', 386, 'locate', 'unexpand', 'O0', 'O0', 0.5881891821269924, 0.26668763160705566]
['CO', 145, 'UO', 51, 'echo', 'objcopy', 'O1', 'O3', 0.9165449934680704, 1.4966151714324951]
['BO', 58, 'CO', 267, 'svn', 'tsort', 'O1', 'O2', 0.8081612745894976, 0.6325421333312988]
['CO', 47, 'UO', 13, 'numfmt', 'addr2line', 'O3', 'O1', 0.851575104016303, 1.5905351638793945]
['BO', 76, 'CO', 304, 'openssl', 'fold', 'O2', 'O2', 0.9532480950535968, 10.385735034942627]
['UO', 82, 'CO', 232, 'cmp', 'tee', 'O0', 'O2', 0.21139827700463887, 0.0508878231048584]
['CO', 356, 'BO', 41, 'seq', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.9203198907690057, 8.287895917892456]
['CO', 4, 'BO', 70, 'test', 'diff', 'O3', 'O3', 0.5063291139240507, 0.1195991039276123]
['CO', 280, 'UO', 69, 'head', 'as', 'O2', 'O0', 0.9457204164348725, 5.603661298751831]
['UO', 57, 'CO', 400, 'size', 'shred', 'O3', 'O0', 0.7739975698663426, 1.3331987857818604]
['CO', 86, 'UO', 16, 'timeout', 'size', 'O3', 'O1', 0.8588095035340203, 1.6344645023345947]
['BO', 50, 'CO', 117, 'perl', 'printenv', 'O2', 'O1', 0.9677575172080667, 3.2532405853271484]
['BO', 17, 'CO', 206, 'codeblocks', 'mknod', 'O2', 'O1', 0.9676764522173642, 14.321042776107788]
['BO', 54, 'CO', 110, 'lua', 'mkdir', 'O3', 'O1', 0.7770742646088906, 0.453233003616333]
['BO', 24, 'CO', 265, 'cluster', 'od', 'O3', 'O2', 0.48926679676609974, 0.16367506980895996]
['UO', 55, 'CO', 175, 'ar', 'readlink', 'O3', 'O1', 0.8670341026524285, 1.1973226070404053]
['BO', 75, 'CO', 315, 'gvmap', 'unlink', 'O1', 'O0', 0.6517553793884485, 0.16621041297912598]
['UO', 36, 'CO', 109, 'addr2line', 'basename', 'O2', 'O1', 0.8961038961038961, 1.2120692729949951]
['BO', 5, 'CO', 277, 'libgeany.so.0.0.0', 'who', 'O1', 'O2', 0.9723035782503502, 38.416402101516724]
['BO', 74, 'CO', 280, 'dot', 'head', 'O1', 'O2', 0.513215859030837, 0.019430875778198242]
['CO', 108, 'UO', 53, 'test', 'gprof', 'O1', 'O3', 0.8710061182868797, 1.3091192245483398]
['UO', 17, 'BO', 59, 'objdump', 'libgeany.so.0.0.0', 'O1', 'O3', 0.571975916803503, 170.0032308101654]
['CO', 305, 'BO', 23, 'uniq', 'git', 'O2', 'O2', 0.971748870150451, 10.439683675765991]
['CO', 184, 'UO', 46, 'uname', 'readelf', 'O1', 'O3', 0.8249883013570426, 0.3394651412963867]
['CO', 381, 'UO', 79, 'who', 'size', 'O0', 'O0', 0.890515595162317, 3.4841461181640625]
['CO', 226, 'BO', 83, 'uptime', 'lua', 'O2', 'O2', 0.8096609503861762, 0.6100218296051025]
['CO', 186, 'BO', 23, 'shuf', 'git', 'O1', 'O2', 0.9589099673456695, 10.936094999313354]
['BO', 70, 'CO', 15, 'diff', 'join', 'O3', 'O3', 0.3969725054062403, 0.12106013298034668]
