['BO', 62, 'CO', 360, 'bash', 'ls', 'O1', 'O0', 0.7849355036855037, 4.8299880027771]
['BO', 83, 'CO', 278, 'lua', 'b2sum', 'O2', 'O2', 0.8014073494917905, 0.5268888473510742]
['CO', 24, 'BO', 36, 'tee', 'cluster', 'O3', 'O2', 0.5664621676891616, 0.16255474090576172]
['BO', 8, 'CO', 160, 'cp', 'cut', 'O0', 'O1', 0.6265495867768595, 0.24059081077575684]
['BO', 65, 'CO', 296, 'gvmap', 'shred', 'O0', 'O2', 0.618065018493284, 0.3002943992614746]
['CO', 320, 'UO', 39, 'dir', 'size', 'O0', 'O2', 0.577940179311384, 2.536133289337158]
['CO', 22, 'BO', 64, 'pwd', 'dot', 'O3', 'O0', 0.5310492505353319, 0.01873612403869629]
['CO', 297, 'UO', 15, 'pathchk', 'elfedit', 'O2', 'O1', 0.23138510808646917, 0.03370189666748047]
['CO', 244, 'BO', 38, 'pinky', 'acyclic', 'O2', 'O2', 0.45833333333333326, 0.022477388381958008]
['CO', 257, 'BO', 64, 'nice', 'dot', 'O2', 'O0', 0.398876404494382, 0.015414714813232422]
['BO', 18, 'UO', 87, 'libvlc.so.12.0.0', 'find', 'O1', 'O0', 0.21818822700035245, 2.1545119285583496]
['UO', 73, 'CO', 55, 'objcopy', 'cp', 'O0', 'O3', 0.8087362765708946, 4.35340428352356]
['BO', 53, 'CO', 297, 'bash', 'pathchk', 'O0', 'O2', 0.9648669964866996, 4.824889421463013]
['UO', 59, 'CO', 199, 'locate', 'sha224sum', 'O3', 'O1', 0.4906261054120976, 0.1440277099609375]
['BO', 66, 'UO', 10, 'svn', 'objcopy', 'O2', 'O1', 0.4069319640564827, 4.7097015380859375]
['UO', 74, 'CO', 231, 'ld', 'pr', 'O0', 'O2', 0.915525301402444, 5.5640575885772705]
['CO', 380, 'BO', 21, 'yes', 'cp', 'O0', 'O1', 0.5244544770504138, 0.13839268684387207]
['BO', 28, 'CO', 3, 'ruby', 'unlink', 'O0', 'O3', 0.9820208339660461, 17.744837284088135]
['BO', 24, 'CO', 98, 'cluster', 'sleep', 'O3', 'O3', 0.6307129798903108, 0.13209915161132812]
['UO', 73, 'CO', 218, 'objcopy', 'users', 'O0', 'O2', 0.9460710333031492, 3.530470848083496]
['BO', 77, 'CO', 105, 'libSDL2-2.0.so.0.16.0', 'touch', 'O3', 'O1', 0.9021987371814966, 7.354348182678223]
['BO', 68, 'CO', 132, 'git', 'factor', 'O3', 'O1', 0.9607774470320434, 8.913709878921509]
['CO', 144, 'BO', 40, 'sync', 'lua', 'O1', 'O0', 0.8791061682627948, 1.0244698524475098]
['BO', 38, 'CO', 63, 'acyclic', 'logname', 'O2', 'O3', 0.4141656662665065, 0.015528678894042969]
['CO', 83, 'BO', 76, 'csplit', 'openssl', 'O3', 'O2', 0.9145955525549602, 12.74175214767456]
['BO', 46, 'CO', 366, 'ruby', 'true', 'O3', 'O0', 0.9820427858113576, 17.498607397079468]
['BO', 34, 'CO', 337, 'cp', 'chgrp', 'O2', 'O0', 0.16200119118522927, 0.18803882598876953]
['CO', 19, 'UO', 24, 'dd', 'diff', 'O3', 'O2', 0.2676695997729208, 0.1671135425567627]
['CO', 312, 'BO', 36, 'sha384sum', 'cluster', 'O0', 'O2', 0.49790327089740005, 0.19621992111206055]
['BO', 53, 'CO', 274, 'bash', 'runcon', 'O0', 'O2', 0.9686781609195402, 4.785871505737305]
