['UV', 43, 'CV', 210, 'sdiff', 'chroot', 'V3', 'V0', 0.4698620188816267, 0.034482717514038086]
['BV', 77, 'UV', 34, 'perl', 'elfedit', 'V2', 'V3', 0.951937984496124, 3.0402534008026123]
['CV', 279, 'UV', 57, 'pwd', 'strings', 'V1', 'V1', 0.9173256649892164, 1.2582271099090576]
['BV', 35, 'CV', 13, 'libvlccore.so', 'join', 'V2', 'V2', 0.9277521298367521, 4.409938097000122]
['CV', 83, 'BV', 22, 'tac', 'cmp', 'V2', 'V3', 0.2827125119388729, 0.06016039848327637]
['BV', 48, 'CV', 306, 'gvmap', 'cp', 'V3', 'V1', 0.45854986389507546, 0.199082612991333]
['UV', 70, 'CV', 121, 'locate', 'echo', 'V0', 'V3', 0.4815850815850815, 0.06828808784484863]
['UV', 61, 'CV', 126, 'addr2line', 'whoami', 'V1', 'V3', 0.8963684676705048, 1.1502010822296143]
['CV', 104, 'BV', 15, 'mkfifo', 'libvlccore.so', 'V3', 'V3', 0.9410950403360542, 4.89848518371582]
['BV', 65, 'CV', 53, 'ssh', 'tty', 'V1', 'V2', 0.9680440401463529, 4.622435092926025]
['CV', 1, 'UV', 31, 'stat', 'gprof', 'V2', 'V3', 0.8977377848793205, 1.4397964477539062]
['BV', 7, 'CV', 253, 'libSDL2-2.0.so', 'fold', 'V0', 'V0', 0.9425536375707597, 3.916475534439087]
['BV', 47, 'UV', 73, 'dot', 'nm', 'V3', 'V0', 0.9575070821529745, 1.0837833881378174]
['CV', 191, 'BV', 36, 'mkfifo', 'libvlc.so', 'V0', 'V2', 0.848862512363996, 0.432081937789917]
['CV', 5, 'UV', 28, 'mkdir', 'strings', 'V2', 'V3', 0.8608399749261216, 1.3862414360046387]
['CV', 9, 'UV', 57, 'users', 'strings', 'V2', 'V1', 0.9010959636460839, 1.2799949645996094]
['CV', 3, 'BV', 77, 'test', 'perl', 'V2', 'V2', 0.9620779220779221, 3.2517144680023193]
['CV', 197, 'BV', 59, 'wc', 'make', 'V0', 'V1', 0.8169826875515251, 0.2518575191497803]
['CV', 55, 'UV', 7, 'nohup', 'nm', 'V2', 'V2', 0.9004835164835164, 1.326918125152588]
['BV', 47, 'CV', 185, 'dot', 'printenv', 'V3', 'V0', 0.285968028419183, 0.010056018829345703]
['CV', 184, 'BV', 7, 'ptx', 'libSDL2-2.0.so', 'V0', 'V0', 0.8313364055299539, 4.71383810043335]
['BV', 8, 'CV', 78, 'cluster', 'rm', 'V2', 'V2', 0.4678316123907864, 0.18074440956115723]
['BV', 36, 'CV', 136, 'libvlc.so', 'tsort', 'V2', 'V3', 0.7340740740740741, 0.42946958541870117]
['CV', 287, 'BV', 50, 'date', 'sort', 'V1', 'V0', 0.181062060140755, 0.04341292381286621]
['BV', 83, 'CV', 180, 'git', 'fmt', 'V2', 'V0', 0.9827865292747444, 8.361053705215454]
['CV', 211, 'BV', 67, 'seq', 'cluster', 'V0', 'V0', 0.7095755875131533, 0.11928868293762207]
['BV', 11, 'CV', 125, 'bash', 'split', 'V1', 'V3', 0.8998994423621903, 3.040073871612549]
