['BO', 52, 'UO', 37, 'svn', 'ar', 'O3', 'O2', 0.3409660107334527, 3.7430644035339355]
['BO', 76, 'CO', 124, 'openssl', 'mkfifo', 'O2', 'O1', 0.9503933284615054, 10.115846395492554]
['UO', 29, 'CO', 39, 'as', 'paste', 'O2', 'O3', 0.9232624928202182, 2.1230828762054443]
['BO', 56, 'CO', 315, 'libvlc.so.12.0.0', 'unlink', 'O3', 'O0', 0.7662929887896637, 0.5185027122497559]
['UO', 59, 'CO', 156, 'locate', 'sha256sum', 'O3', 'O1', 0.4906261054120976, 0.13866782188415527]
['BO', 55, 'UO', 32, 'make', 'strings', 'O1', 'O2', 0.3993576017130621, 2.6892786026000977]
['CO', 31, 'UO', 53, 'date', 'gprof', 'O3', 'O3', 0.8118828176431863, 1.3750829696655273]
['UO', 73, 'BO', 71, 'objcopy', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.22161932622440317, 35.71467137336731]
['CO', 206, 'UO', 12, 'mknod', 'gprof', 'O1', 'O1', 0.8990736226231106, 1.6205532550811768]
['BO', 36, 'UO', 22, 'cluster', 'diff3', 'O2', 'O2', 0.4854288093255621, 0.17035841941833496]
['BO', 83, 'UO', 58, 'lua', 'objdump', 'O2', 'O3', 0.4127254168084382, 5.325594902038574]
['CO', 269, 'BO', 73, 'cksum', 'cluster', 'O2', 'O1', 0.6964451313755796, 0.15249133110046387]
['UO', 86, 'CO', 269, 'xargs', 'cksum', 'O0', 'O2', 0.5386779184247539, 0.10422873497009277]
['CO', 287, 'UO', 24, 'link', 'diff', 'O2', 'O2', 0.655328798185941, 0.11529660224914551]
['BO', 5, 'CO', 131, 'libgeany.so.0.0.0', 'wc', 'O1', 'O1', 0.9687936951824075, 37.58580207824707]
['UO', 51, 'CO', 313, 'objcopy', 'touch', 'O3', 'O0', 0.815006185867113, 1.5603971481323242]
['UO', 16, 'CO', 257, 'size', 'nice', 'O1', 'O2', 0.9144009822838098, 1.333430290222168]
