['CV', 64, 'UV', 83, 'md5sum', 'addr2line', 'V2', 'V0', 0.8909327387588257, 1.1417901515960693]
['CV', 278, 'BV', 2, 'mkfifo', 'cmp', 'V1', 'V1', 0.3251318101933216, 0.02515697479248047]
['BV', 53, 'CV', 144, 'ssh', 'who', 'V2', 'V3', 0.9440227077694897, 4.699743270874023]
['CV', 148, 'BV', 62, 'ginstall', 'diff', 'V3', 'V0', 0.3103057757644394, 0.16215729713439941]
['CV', 265, 'BV', 32, 'basename', 'perl', 'V1', 'V0', 0.967318329603513, 2.6415278911590576]
['UV', 7, 'CV', 97, 'nm', 'ptx', 'V2', 'V3', 0.8052772211088844, 1.2819387912750244]
['BV', 40, 'UV', 76, 'lua', 'as', 'V2', 'V0', 0.4274081696568386, 5.028114080429077]
['UV', 84, 'CV', 301, 'ar', 'ls', 'V0', 'V1', 0.7827050997782705, 1.3686480522155762]
['CV', 322, 'BV', 3, 'ginstall', 'diff', 'V1', 'V1', 0.22355163727959693, 0.1335906982421875]
['CV', 177, 'UV', 0, 'test', 'locate', 'V0', 'V2', 0.4997195737521032, 0.054369449615478516]
['BV', 12, 'UV', 73, 'sort', 'nm', 'V2', 'V0', 0.7375898378739763, 1.5455975532531738]
['CV', 276, 'UV', 37, 'uptime', 'locate', 'V1', 'V3', 0.624275222265172, 0.12032222747802734]
['UV', 73, 'CV', 51, 'nm', 'printf', 'V0', 'V2', 0.8657186571865718, 1.0883092880249023]
['CV', 103, 'UV', 8, 'dd', 'strip', 'V3', 'V2', 0.8128909819357559, 1.8929738998413086]
['UV', 72, 'CV', 219, 'find', 'cp', 'V0', 'V0', 0.42165469539771216, 0.18892526626586914]
['BV', 41, 'CV', 291, 'libvlccore.so', 'pinky', 'V1', 'V1', 0.9390977443609022, 3.2823848724365234]
['BV', 75, 'CV', 193, 'cmp', 'pr', 'V2', 'V0', 0.061118335500650156, 0.04105973243713379]
['CV', 159, 'BV', 44, 'id', 'make', 'V3', 'V0', 0.6846921797004991, 0.23866629600524902]
['CV', 339, 'BV', 37, 'rm', 'geany', 'V1', 'V1', 0.9692073824326168, 28.817723751068115]
['BV', 34, 'CV', 321, 'svn', 'hostid', 'V0', 'V1', 0.8551486951244184, 0.357379674911499]
['UV', 40, 'CV', 138, 'diff3', 'printf', 'V3', 'V3', 0.1346362649294246, 0.04587197303771973]
['CV', 153, 'UV', 48, 'link', 'locate', 'V3', 'V1', 0.5243154883530854, 0.07825469970703125]
['CV', 4, 'BV', 39, 'basename', 'svn', 'V2', 'V1', 0.8213096559378469, 0.4711954593658447]
['BV', 53, 'CV', 226, 'ssh', 'logname', 'V2', 'V0', 0.9763111096198369, 4.507734060287476]
['UV', 53, 'CV', 310, 'readelf', 'tsort', 'V1', 'V1', 0.7457084666860634, 0.09563016891479492]
['CV', 308, 'BV', 75, 'od', 'cmp', 'V1', 'V2', 0.11063218390804597, 0.03426241874694824]
['UV', 55, 'BV', 9, 'ranlib', 'dot', 'V1', 'V2', 0.9611331836241147, 1.1222200393676758]
['CV', 191, 'BV', 1, 'mkfifo', 'libSDL2-2.0.so', 'V0', 'V3', 0.9650135091816642, 6.849667072296143]
['UV', 40, 'CV', 341, 'diff3', 'uniq', 'V3', 'V1', 0.3103015075376885, 0.03866219520568848]
['UV', 77, 'CV', 145, 'ranlib', 'readlink', 'V0', 'V3', 0.8627450980392157, 1.1666944026947021]
['CV', 6, 'BV', 48, 'fmt', 'gvmap', 'V2', 'V3', 0.680367921816614, 0.1491403579711914]
['CV', 113, 'BV', 58, 'date', 'ruby', 'V3', 'V3', 0.8510121457489879, 0.021530866622924805]
['BV', 72, 'CV', 1, 'perl', 'stat', 'V1', 'V2', 0.9595865598723786, 2.7394893169403076]
['CV', 20, 'UV', 1, 'tee', 'xargs', 'V2', 'V2', 0.4111787493082457, 0.05083346366882324]
['BV', 28, 'UV', 87, 'openssl', 'objdump', 'V1', 'V0', 0.5054412313116589, 16.003557920455933]
['BV', 65, 'CV', 184, 'ssh', 'ptx', 'V1', 'V0', 0.9155748684941353, 4.606100797653198]
['CV', 216, 'UV', 30, 'dircolors', 'ld', 'V0', 'V3', 0.9424225964149918, 2.498995304107666]
['CV', 57, 'BV', 16, 'who', 'libvlc.so', 'V2', 'V3', 0.7281445960900037, 0.4939100742340088]
['UV', 19, 'CV', 114, 'elfedit', 'expr', 'V2', 'V3', 0.16321243523316065, 0.035906314849853516]
['UV', 5, 'CV', 330, 'diff', 'csplit', 'V2', 'V1', 0.22718553028226918, 0.14391088485717773]
['UV', 29, 'CV', 0, 'objcopy', 'touch', 'V3', 'V2', 0.892028931474163, 1.46561598777771]
['CV', 309, 'BV', 83, 'df', 'git', 'V1', 'V2', 0.9716164491117872, 9.368076801300049]
['CV', 125, 'UV', 65, 'split', 'objdump', 'V3', 'V1', 0.8647062457527646, 2.3019583225250244]
['BV', 60, 'UV', 4, 'codeblocks', 'cmp', 'V1', 'V2', 0.9594782422752058, 12.755896806716919]
['CV', 321, 'BV', 82, 'hostid', 'gvmap', 'V1', 'V1', 0.7807633587786259, 0.13358259201049805]
['CV', 273, 'UV', 12, 'stty', 'c++filt', 'V1', 'V2', 0.8973105134474327, 1.2363686561584473]
['BV', 35, 'UV', 46, 'libvlccore.so', 'diff', 'V2', 'V1', 0.7706694633805279, 5.008226156234741]
['BV', 29, 'CV', 119, 'perl', 'paste', 'V3', 'V3', 0.95271633339232, 3.0131027698516846]
['CV', 10, 'UV', 42, 'ptx', 'diff', 'V2', 'V3', 0.1585365853658537, 0.16265439987182617]
['CV', 301, 'BV', 8, 'ls', 'cluster', 'V1', 'V2', 0.37001711910002444, 0.22683024406433105]
['CV', 33, 'UV', 77, 'sync', 'ranlib', 'V2', 'V0', 0.9195320808224035, 1.194671869277954]
['BV', 59, 'CV', 154, 'make', 'uname', 'V1', 'V3', 0.7661661661661662, 0.22866153717041016]
['UV', 39, 'BV', 49, 'find', 'make', 'V3', 'V3', 0.09944180277031212, 0.9017260074615479]
['BV', 38, 'UV', 39, 'ruby', 'find', 'V2', 'V3', 0.9633100697906282, 0.29340600967407227]
['BV', 53, 'CV', 285, 'ssh', 'factor', 'V2', 'V1', 0.971416139505305, 4.635869026184082]
['CV', 187, 'UV', 31, 'join', 'gprof', 'V0', 'V3', 0.8974186496258303, 1.39170503616333]
['CV', 244, 'UV', 27, 'vdir', 'c++filt', 'V0', 'V3', 0.7772417951589284, 1.6403369903564453]
['UV', 28, 'CV', 236, 'strings', 'unexpand', 'V3', 'V0', 0.924074074074074, 1.0943942070007324]
['BV', 6, 'CV', 282, 'libvlc.so', 'chgrp', 'V0', 'V1', 0.6536640360766629, 0.30933403968811035]
['CV', 263, 'UV', 78, 'unlink', 'c++filt', 'V1', 'V0', 0.9307559145989613, 1.0297083854675293]
['BV', 29, 'CV', 155, 'perl', 'cat', 'V3', 'V3', 0.951473136915078, 3.0431666374206543]
['CV', 27, 'UV', 17, 'expr', 'addr2line', 'V2', 'V2', 0.7706422018348624, 1.4671657085418701]
['CV', 45, 'UV', 18, 'cp', 'ar', 'V2', 'V2', 0.7366109270247361, 1.8875412940979004]
['BV', 36, 'CV', 90, 'libvlc.so', 'test', 'V2', 'V3', 0.7278434268833087, 0.4100148677825928]
['CV', 121, 'UV', 71, 'echo', 'xargs', 'V3', 'V0', 0.14479254868755298, 0.026284456253051758]
['CV', 280, 'UV', 20, 'pr', 'size', 'V1', 'V2', 0.8637835945023199, 1.3506855964660645]
['BV', 24, 'CV', 337, 'git', 'comm', 'V0', 'V1', 0.9745111922008605, 4.379106044769287]
['UV', 36, 'CV', 309, 'objdump', 'df', 'V3', 'V1', 0.9164451635271005, 2.2102084159851074]
['CV', 124, 'UV', 16, 'seq', 'gprof', 'V3', 'V2', 0.876084465542642, 1.4194464683532715]
['UV', 30, 'BV', 1, 'ld', 'libSDL2-2.0.so', 'V3', 'V3', 0.20531600394172633, 26.743987321853638]
['UV', 1, 'CV', 236, 'xargs', 'unexpand', 'V2', 'V0', 0.5133531157270029, 0.04329180717468262]
['BV', 25, 'CV', 43, 'git', 'chmod', 'V3', 'V2', 0.9713866810710703, 11.80335545539856]
['UV', 43, 'CV', 327, 'sdiff', 'link', 'V3', 'V1', 0.47345454545454546, 0.03258538246154785]
['CV', 98, 'BV', 19, 'printenv', 'cp', 'V3', 'V3', 0.5730080060998857, 0.09584879875183105]
['CV', 68, 'BV', 80, 'cat', 'cluster', 'V2', 'V1', 0.5241264559068219, 0.1685957908630371]
['CV', 156, 'UV', 43, 'csplit', 'sdiff', 'V3', 'V3', 0.1339594661393969, 0.056884765625]
['CV', 333, 'UV', 44, 'id', 'diff3', 'V1', 'V1', 0.36645962732919257, 0.03575778007507324]
['CV', 306, 'UV', 38, 'cp', 'xargs', 'V1', 'V3', 0.15000000000000002, 0.10711312294006348]
['UV', 77, 'CV', 306, 'ranlib', 'cp', 'V0', 'V1', 0.8134515643299314, 1.2591125965118408]
['UV', 55, 'CV', 217, 'ranlib', 'chmod', 'V1', 'V0', 0.8880758356893398, 1.2646691799163818]
['CV', 238, 'UV', 13, 'md5sum', 'strings', 'V0', 'V2', 0.9094278224713007, 1.287808895111084]
['BV', 24, 'UV', 41, 'git', 'cmp', 'V0', 'V3', 0.9592520536100303, 4.533033609390259]
['UV', 20, 'CV', 329, 'size', 'cat', 'V2', 'V1', 0.9244327939980114, 1.1013438701629639]
['BV', 8, 'CV', 33, 'cluster', 'sync', 'V2', 'V2', 0.7190237797246558, 0.12112283706665039]
['BV', 68, 'CV', 32, 'dot', 'paste', 'V0', 'V2', 0.40934065934065933, 0.012596845626831055]
['BV', 3, 'CV', 47, 'diff', 'od', 'V1', 'V2', 0.37132616487455194, 0.09282517433166504]
['CV', 345, 'BV', 33, 'rmdir', 'openssl', 'V1', 'V0', 0.9820079335096336, 7.499800682067871]
['CV', 47, 'BV', 42, 'od', 'libvlc.so', 'V2', 'V1', 0.6501410721483273, 0.3819005489349365]
['UV', 53, 'BV', 30, 'readelf', 'bash', 'V1', 'V0', 0.734889684750409, 4.23103928565979]
['UV', 80, 'CV', 310, 'objcopy', 'tsort', 'V0', 'V1', 0.9362183463475151, 1.3812994956970215]
['BV', 49, 'UV', 70, 'make', 'locate', 'V3', 'V0', 0.501817607080765, 0.3774223327636719]
['BV', 66, 'CV', 206, 'lua', 'paste', 'V1', 'V0', 0.8778697485553647, 0.4728405475616455]
['CV', 338, 'UV', 46, 'nl', 'diff', 'V1', 'V1', 0.374934725848564, 0.14828920364379883]
['UV', 7, 'CV', 61, 'nm', 'ginstall', 'V2', 'V2', 0.7352587244283996, 1.47593092918396]
['UV', 53, 'BV', 33, 'readelf', 'openssl', 'V1', 'V0', 0.8665806853305463, 10.826598405838013]
['BV', 64, 'UV', 12, 'openssl', 'c++filt', 'V2', 'V2', 0.37198559633361217, 11.491604804992676]
['CV', 335, 'BV', 25, 'pathchk', 'git', 'V1', 'V3', 0.9877067675022952, 12.098055601119995]
['CV', 303, 'BV', 6, 'dircolors', 'libvlc.so', 'V1', 'V0', 0.7649334945586457, 0.3059711456298828]
['CV', 104, 'UV', 36, 'mkfifo', 'objdump', 'V3', 'V3', 0.9279195489158868, 2.3819878101348877]
['CV', 186, 'UV', 3, 'stty', 'diff3', 'V0', 'V2', 0.2911555842479019, 0.038683414459228516]
['UV', 48, 'BV', 80, 'locate', 'cluster', 'V1', 'V1', 0.20304678998911863, 0.25527215003967285]
['CV', 56, 'UV', 84, 'yes', 'ar', 'V2', 'V0', 0.9188518781006378, 1.1704275608062744]
['UV', 68, 'CV', 239, 'diff', 'env', 'V0', 'V0', 0.6895179124281291, 0.0651865005493164]
['CV', 260, 'UV', 59, 'ln', 'ld', 'V0', 'V1', 0.9302325581395349, 2.1211252212524414]
