['CV', 187, 'BV', 39, 'join', 'svn', 'V0', 'V1', 0.7804304575872671, 0.5176229476928711]
['CV', 127, 'BV', 35, 'ls', 'libvlccore.so', 'V3', 'V2', 0.8107492293258276, 6.7559239864349365]
['BV', 0, 'CV', 53, 'bash', 'tty', 'V2', 'V2', 0.9573763152003582, 2.8787856101989746]
['UV', 75, 'BV', 30, 'readelf', 'bash', 'V0', 'V0', 0.7472503005744311, 4.1879661083221436]
['UV', 22, 'CV', 334, 'nm', 'shred', 'V3', 'V1', 0.8559344205110316, 1.2274863719940186]
['CV', 258, 'UV', 5, 'rmdir', 'diff', 'V0', 'V2', 0.7259001161440186, 0.0906822681427002]
['CV', 68, 'BV', 46, 'cat', 'cluster', 'V2', 'V3', 0.5241264559068219, 0.1647350788116455]
['CV', 308, 'BV', 39, 'od', 'svn', 'V1', 'V1', 0.7723752926346119, 0.5287375450134277]
['BV', 81, 'CV', 0, 'dot', 'touch', 'V1', 'V2', 0.5342465753424658, 0.019989490509033203]
['BV', 14, 'UV', 38, 'openssl', 'xargs', 'V3', 'V3', 0.8680503333834662, 7.753597021102905]
['BV', 20, 'CV', 200, 'sort', 'date', 'V1', 'V0', 0.2672364672364672, 0.05141949653625488]
['CV', 230, 'BV', 65, 'yes', 'ssh', 'V0', 'V1', 0.9766697009541149, 4.657219648361206]
['UV', 79, 'CV', 0, 'strings', 'touch', 'V0', 'V2', 0.8666052510363887, 1.0380544662475586]
['UV', 9, 'BV', 24, 'readelf', 'git', 'V2', 'V0', 0.8209854839519816, 7.482529640197754]
['BV', 79, 'CV', 238, 'bash', 'md5sum', 'V3', 'V0', 0.9568809708236509, 3.0692038536071777]
['UV', 25, 'CV', 224, 'as', 'cksum', 'V3', 'V0', 0.9569842197545295, 1.981564998626709]
['BV', 11, 'CV', 257, 'bash', 'tac', 'V1', 'V0', 0.8892777601018136, 2.879716634750366]
['CV', 44, 'BV', 74, 'true', 'git', 'V2', 'V1', 0.9796684979105038, 5.948671340942383]
['CV', 14, 'BV', 59, 'dirname', 'make', 'V2', 'V1', 0.8025347506132461, 0.2371218204498291]
['BV', 9, 'CV', 320, 'dot', 'head', 'V2', 'V1', 0.4378238341968912, 0.013672351837158203]
['BV', 55, 'CV', 197, 'codeblocks', 'wc', 'V3', 'V0', 0.976782492744529, 13.289302349090576]
['CV', 274, 'UV', 33, 'join', 'ar', 'V1', 'V3', 0.8937132133412949, 1.384331226348877]
['UV', 46, 'CV', 294, 'diff', 'sync', 'V1', 'V1', 0.7635632953784327, 0.0909876823425293]
['BV', 23, 'CV', 273, 'diff', 'stty', 'V3', 'V1', 0.5994338287331918, 0.10126638412475586]
['BV', 41, 'CV', 248, 'libvlccore.so', 'pathchk', 'V1', 'V0', 0.9583446330747952, 3.1819701194763184]
['BV', 53, 'CV', 267, 'ssh', 'fmt', 'V2', 'V1', 0.970097334180687, 4.596979856491089]
['UV', 67, 'BV', 42, 'cmp', 'libvlc.so', 'V0', 'V1', 0.6941858059176494, 0.3911111354827881]
['BV', 58, 'UV', 20, 'ruby', 'size', 'V3', 'V2', 0.9828629971127876, 1.038156270980835]
['CV', 72, 'UV', 23, 'id', 'strip', 'V2', 'V3', 0.9135746606334841, 1.5529134273529053]
['UV', 87, 'CV', 237, 'objdump', 'mv', 'V0', 'V0', 0.8368374669520332, 1.9579360485076904]
['CV', 58, 'BV', 11, 'readlink', 'bash', 'V2', 'V1', 0.9392553886348791, 3.1490821838378906]
['UV', 30, 'BV', 64, 'ld', 'openssl', 'V3', 'V2', 0.3247153341991603, 16.30154013633728]
['BV', 19, 'CV', 293, 'cp', 'paste', 'V3', 'V1', 0.6738336713995943, 0.07872152328491211]
['CV', 45, 'BV', 1, 'cp', 'libSDL2-2.0.so', 'V2', 'V3', 0.853431160984031, 9.196534633636475]
['BV', 43, 'UV', 19, 'lua', 'elfedit', 'V0', 'V2', 0.7826157071440091, 0.34832143783569336]
['BV', 13, 'CV', 147, 'cp', 'hostid', 'V2', 'V3', 0.5026223776223776, 0.06891894340515137]
['BV', 32, 'CV', 239, 'perl', 'env', 'V0', 'V0', 0.9703133589884552, 2.370075225830078]
['BV', 74, 'UV', 4, 'git', 'cmp', 'V1', 'V2', 0.9646776485938628, 5.837229013442993]
['CV', 325, 'UV', 81, 'md5sum', 'ld', 'V1', 'V0', 0.9368846580165613, 1.9105710983276367]
['CV', 41, 'BV', 3, 'nice', 'diff', 'V2', 'V1', 0.5759075907590759, 0.07900786399841309]
['BV', 77, 'CV', 159, 'perl', 'id', 'V2', 'V3', 0.9508667721212513, 2.884012222290039]
['UV', 83, 'BV', 48, 'addr2line', 'gvmap', 'V0', 'V3', 0.5544524209561631, 1.496307373046875]
['BV', 23, 'CV', 271, 'diff', 'ptx', 'V3', 'V1', 0.2757456387169386, 0.13024067878723145]
['CV', 308, 'BV', 5, 'od', 'libvlccore.so', 'V1', 'V0', 0.9308615049073065, 3.8307623863220215]
['UV', 1, 'CV', 68, 'xargs', 'cat', 'V2', 'V2', 0.19682094436652642, 0.061888694763183594]
['BV', 1, 'CV', 83, 'libSDL2-2.0.so', 'tac', 'V3', 'V2', 0.882430357534547, 6.743370056152344]
['BV', 31, 'CV', 120, 'codeblocks', 'sync', 'V0', 'V3', 0.9652643766885373, 11.960144519805908]
['BV', 56, 'CV', 44, 'ssh', 'true', 'V3', 'V2', 0.9427778511959826, 1.5893981456756592]
['BV', 16, 'CV', 312, 'libvlc.so', 'printf', 'V3', 'V1', 0.8011155991536834, 0.40222644805908203]
['CV', 3, 'UV', 6, 'test', 'sdiff', 'V2', 'V2', 0.2941176470588236, 0.040042877197265625]
['CV', 126, 'BV', 83, 'whoami', 'git', 'V3', 'V2', 0.976971677131104, 8.718328952789307]
['CV', 294, 'BV', 40, 'sync', 'lua', 'V1', 'V2', 0.8954538723530283, 0.40618395805358887]
['UV', 9, 'CV', 128, 'readelf', 'nice', 'V2', 'V3', 0.7108607048669384, 0.12534761428833008]
['CV', 152, 'UV', 31, 'env', 'gprof', 'V3', 'V3', 0.891058409452778, 1.3576838970184326]
['CV', 240, 'UV', 21, 'link', 'objdump', 'V0', 'V2', 0.9526167849016196, 1.8361871242523193]
['UV', 1, 'CV', 224, 'xargs', 'cksum', 'V2', 'V0', 0.55203895313451, 0.040506601333618164]
['BV', 75, 'UV', 48, 'cmp', 'locate', 'V2', 'V1', 0.42397548831865184, 0.0921621322631836]
['BV', 66, 'CV', 107, 'lua', 'tee', 'V1', 'V3', 0.7796183996450229, 0.387556791305542]
['CV', 131, 'UV', 77, 'true', 'ranlib', 'V3', 'V0', 0.9036737563719459, 1.2153987884521484]
['BV', 27, 'CV', 162, 'libSDL2-2.0.so', 'tr', 'V1', 'V3', 0.9137742850905916, 4.559770107269287]
['CV', 297, 'BV', 79, 'chroot', 'bash', 'V1', 'V3', 0.9672939649578196, 3.3719542026519775]
['UV', 55, 'BV', 16, 'ranlib', 'libvlc.so', 'V1', 'V3', 0.41602743997505454, 2.5458948612213135]
['CV', 247, 'UV', 66, 'shred', 'diff3', 'V0', 'V0', 0.16983372921615203, 0.04785799980163574]
['UV', 78, 'CV', 231, 'c++filt', 'who', 'V0', 'V0', 0.8939622641509434, 1.0090255737304688]
['BV', 83, 'CV', 190, 'git', 'dd', 'V2', 'V0', 0.9694515793807964, 8.32305383682251]
['CV', 97, 'BV', 39, 'ptx', 'svn', 'V3', 'V1', 0.6181399934275386, 0.6236140727996826]
['CV', 66, 'UV', 85, 'link', 'elfedit', 'V2', 'V0', 0.2273120138288678, 0.02489924430847168]
['UV', 55, 'CV', 216, 'ranlib', 'dircolors', 'V1', 'V0', 0.9193575655114117, 1.2186329364776611]
['CV', 311, 'UV', 36, 'cksum', 'objdump', 'V1', 'V3', 0.9553118735998113, 2.289485454559326]
['CV', 251, 'BV', 83, 'nl', 'git', 'V0', 'V2', 0.9533653565663834, 10.16256308555603]
['BV', 37, 'CV', 135, 'geany', 'df', 'V1', 'V3', 0.9438256285950636, 26.6483097076416]
['CV', 263, 'BV', 70, 'unlink', 'ssh', 'V1', 'V0', 0.9749739311783108, 4.601235628128052]
['CV', 12, 'UV', 27, 'stty', 'c++filt', 'V2', 'V3', 0.8638914027149321, 1.278256893157959]
['CV', 147, 'UV', 29, 'hostid', 'objcopy', 'V3', 'V3', 0.9135746606334841, 1.5594418048858643]
['CV', 313, 'UV', 24, 'logname', 'readelf', 'V1', 'V3', 0.880557834290402, 0.2855544090270996]
['CV', 115, 'UV', 65, 'chown', 'objdump', 'V3', 'V1', 0.8486036256736894, 2.342493772506714]
['CV', 255, 'BV', 72, 'sleep', 'perl', 'V0', 'V1', 0.9740198868391978, 2.9144914150238037]
