['UO', 65, 'CO', 300, 'sdiff', 'sha512sum', 'O3', 'O2', 0.23104912067919958, 0.050113677978515625]
['CO', 102, 'BO', 68, 'mknod', 'git', 'O3', 'O3', 0.973370405905504, 9.431624174118042]
['CO', 309, 'BO', 16, 'rmdir', 'make', 'O2', 'O0', 0.8010526315789473, 0.35300588607788086]
['BO', 4, 'UO', 36, 'libgeany.so.0.0.0', 'addr2line', 'O2', 'O2', 0.7127321283537299, 53.26049995422363]
['CO', 348, 'BO', 32, 'pinky', 'ruby', 'O0', 'O2', 0.9703862005800641, 24.4829261302948]
['CO', 250, 'BO', 36, 'sum', 'cluster', 'O2', 'O2', 0.6169184290030212, 0.1679394245147705]
['CO', 139, 'BO', 18, 'base32', 'libvlc.so.12.0.0', 'O1', 'O1', 0.7369631901840491, 0.6577305793762207]
['CO', 6, 'BO', 36, 'mkdir', 'cluster', 'O3', 'O2', 0.5036455412226585, 0.18048334121704102]
['UO', 72, 'CO', 323, 'strings', 'groups', 'O0', 'O0', 0.9128386336866903, 2.9981777667999268]
['CO', 59, 'UO', 87, 'tsort', 'find', 'O3', 'O0', 0.8097509273979863, 0.8990836143493652]
['BO', 51, 'CO', 282, 'lua', 'unexpand', 'O1', 'O2', 0.8506213542987573, 0.5525789260864258]
['UO', 1, 'CO', 8, 'xargs', 'dir', 'O1', 'O3', 0.23116438356164382, 0.20285868644714355]
['BO', 12, 'CO', 163, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O1', 0.9015122064997667, 39.157822608947754]
['CO', 218, 'BO', 37, 'users', 'gvmap', 'O2', 'O2', 0.6837126810523204, 0.16308045387268066]
['UO', 63, 'CO', 209, 'cmp', 'touch', 'O3', 'O2', 0.17327293318233294, 0.05747270584106445]
['BO', 29, 'CO', 317, 'libvlc.so.12.0.0', 'basename', 'O2', 'O0', 0.7439812096300646, 0.5542829036712646]
['UO', 18, 'CO', 284, 'diff3', 'md5sum', 'O1', 'O2', 0.2540933899332929, 0.05430316925048828]
['UO', 57, 'CO', 214, 'size', 'mkdir', 'O3', 'O2', 0.8624145785876993, 1.1153790950775146]
['UO', 87, 'BO', 37, 'find', 'gvmap', 'O0', 'O2', 0.4162184526272239, 1.1864712238311768]
['CO', 347, 'BO', 74, 'base32', 'dot', 'O0', 'O1', 0.581042654028436, 0.031381845474243164]
['CO', 245, 'UO', 69, 'truncate', 'as', 'O2', 'O0', 0.958091734314392, 5.5921385288238525]
['CO', 319, 'BO', 36, 'fmt', 'cluster', 'O0', 'O2', 0.5368723098995696, 0.19945693016052246]
['BO', 54, 'CO', 270, 'lua', 'printf', 'O3', 'O2', 0.8202945547898932, 0.4377593994140625]
['BO', 41, 'CO', 48, 'libSDL2-2.0.so.0.16.0', 'ls', 'O2', 'O3', 0.806617175327651, 8.198904037475586]
['CO', 275, 'BO', 33, 'nohup', 'sort', 'O2', 'O2', 0.5515840779853778, 0.11603808403015137]
['BO', 81, 'CO', 90, 'sort', 'tr', 'O3', 'O3', 0.45927446954140994, 0.10655879974365234]
['CO', 269, 'BO', 18, 'cksum', 'libvlc.so.12.0.0', 'O2', 'O1', 0.8039450089659295, 0.6005947589874268]
['CO', 392, 'BO', 80, 'uname', 'ssh', 'O0', 'O3', 0.9196337741607324, 2.057756185531616]
['BO', 12, 'UO', 57, 'libgeany.so.0.0.0', 'size', 'O0', 'O3', 0.6054340340405995, 51.649739503860474]
['CO', 306, 'UO', 38, 'sleep', 'elfedit', 'O2', 'O2', 0.2206952303961196, 0.03262734413146973]
['BO', 73, 'CO', 25, 'cluster', 'chgrp', 'O1', 'O3', 0.4004054738976178, 0.18784046173095703]
['BO', 3, 'CO', 285, 'openssl', 'env', 'O1', 'O2', 0.955263271751828, 10.489982843399048]
['UO', 37, 'CO', 108, 'ar', 'test', 'O2', 'O1', 0.8719959524411839, 1.3813636302947998]
['UO', 24, 'CO', 353, 'diff', 'echo', 'O2', 'O0', 0.564844587352626, 0.13007068634033203]
['CO', 298, 'UO', 32, 'tr', 'strings', 'O2', 'O2', 0.8788426763110307, 1.3766837120056152]
['CO', 123, 'BO', 77, 'dd', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.8933345214756728, 9.021363973617554]
['CO', 24, 'BO', 44, 'tee', 'cmp', 'O3', 'O2', 0.1430472388556221, 0.03898358345031738]
['CO', 214, 'UO', 41, 'mkdir', 'locate', 'O2', 'O2', 0.49498327759197325, 0.1632230281829834]
['CO', 295, 'BO', 38, 'id', 'acyclic', 'O2', 'O2', 0.45434543454345433, 0.02103257179260254]
['CO', 208, 'BO', 53, 'sha384sum', 'bash', 'O2', 'O0', 0.9544271297650038, 5.825332164764404]
['UO', 76, 'CO', 225, 'addr2line', 'stdbuf', 'O0', 'O2', 0.9232863738605422, 3.0430679321289062]
['CO', 67, 'BO', 29, 'nohup', 'libvlc.so.12.0.0', 'O3', 'O2', 0.7374051740906439, 0.6176972389221191]
['BO', 58, 'CO', 296, 'svn', 'shred', 'O1', 'O2', 0.6990528567063856, 0.7517373561859131]
['UO', 42, 'CO', 166, 'xargs', 'printf', 'O2', 'O1', 0.27140077821011666, 0.09588360786437988]
['CO', 9, 'UO', 15, 'du', 'elfedit', 'O3', 'O1', 0.4252873563218391, 0.10033082962036133]
['BO', 39, 'CO', 137, 'codeblocks', 'chown', 'O3', 'O1', 0.9382256962889884, 16.221713304519653]
['CO', 19, 'BO', 80, 'dd', 'ssh', 'O3', 'O3', 0.838091180230081, 2.356276035308838]
['UO', 21, 'CO', 382, 'sdiff', 'b2sum', 'O1', 'O0', 0.10067763794772511, 0.08654212951660156]
['CO', 55, 'BO', 83, 'cp', 'lua', 'O3', 'O2', 0.5469637883008357, 0.8531618118286133]
['UO', 35, 'CO', 24, 'gprof', 'tee', 'O2', 'O3', 0.8756648936170213, 1.3185739517211914]
['CO', 42, 'UO', 24, 'sum', 'diff', 'O3', 'O2', 0.4772956609485368, 0.13505911827087402]
['UO', 50, 'CO', 408, 'strings', 'fold', 'O3', 'O0', 0.8643257652357753, 1.1038124561309814]
['UO', 41, 'CO', 299, 'locate', 'comm', 'O2', 'O2', 0.5700737618545838, 0.14363408088684082]
['BO', 52, 'CO', 57, 'svn', 'od', 'O3', 'O3', 0.6818585380290026, 0.6330606937408447]
['BO', 13, 'CO', 65, 'ruby', 'false', 'O1', 'O3', 0.9832554160173557, 17.473270177841187]
['BO', 79, 'UO', 18, 'bash', 'diff3', 'O3', 'O1', 0.9198510299879737, 3.500359296798706]
['CO', 15, 'UO', 74, 'join', 'ld', 'O3', 'O0', 0.9196186405851895, 6.192123651504517]
['CO', 172, 'UO', 42, 'yes', 'xargs', 'O1', 'O2', 0.4076467420570813, 0.08047366142272949]
['CO', 85, 'UO', 49, '[', 'c++filt', 'O3', 'O3', 0.8542973072666913, 1.163691759109497]
['BO', 60, 'CO', 195, 'openssl', 'comm', 'O0', 'O1', 0.9446129910540646, 12.27881669998169]
['BO', 64, 'CO', 265, 'dot', 'od', 'O0', 'O2', 0.6073619631901841, 0.027788877487182617]
['CO', 216, 'UO', 59, 'dir', 'locate', 'O2', 'O3', 0.11703703703703705, 0.25806117057800293]
['CO', 183, 'UO', 62, 'link', 'diff3', 'O1', 'O3', 0.3148614609571788, 0.044666290283203125]
['UO', 61, 'CO', 254, 'find', 'whoami', 'O3', 'O2', 0.827426238634255, 0.3643960952758789]
['BO', 75, 'UO', 19, 'gvmap', 'cmp', 'O1', 'O1', 0.5840130505709625, 0.17138242721557617]
