['CV', 250, 'UV', 48, 'comm', 'locate', 'V0', 'V1', 0.6057192374350087, 0.08006739616394043]
['BV', 2, 'UV', 4, 'cmp', 'cmp', 'V1', 'V2', 0.017892644135188873, 0.042221784591674805]
['BV', 40, 'CV', 231, 'lua', 'who', 'V2', 'V0', 0.8385521401896007, 0.4314157962799072]
['UV', 86, 'CV', 45, 'size', 'cp', 'V0', 'V2', 0.7478868063212054, 1.3893156051635742]
['UV', 25, 'CV', 256, 'as', 'sort', 'V3', 'V0', 0.8957142048349658, 2.3255043029785156]
['UV', 43, 'CV', 68, 'sdiff', 'cat', 'V3', 'V2', 0.1430096051227321, 0.05440020561218262]
['BV', 47, 'CV', 1, 'dot', 'stat', 'V3', 'V2', 0.48139255702280914, 0.017648935317993164]
['CV', 21, 'UV', 9, 'chgrp', 'readelf', 'V2', 'V2', 0.5618838992332968, 0.18060088157653809]
['CV', 342, 'UV', 50, 'sleep', 'find', 'V1', 'V1', 0.7808499743983615, 0.20468735694885254]
['UV', 68, 'CV', 30, 'diff', 'pinky', 'V0', 'V2', 0.48119426134160526, 0.09205317497253418]
['BV', 1, 'UV', 39, 'libSDL2-2.0.so', 'find', 'V3', 'V3', 0.628174994313443, 9.563887119293213]
['CV', 344, 'UV', 61, 'tac', 'addr2line', 'V1', 'V1', 0.7946353730092205, 1.513913631439209]
['CV', 33, 'UV', 2, 'sync', 'find', 'V2', 'V2', 0.7672391694437324, 0.20149636268615723]
['BV', 14, 'CV', 74, 'openssl', 'pathchk', 'V3', 'V2', 0.9469146768378703, 7.230879783630371]
['BV', 27, 'CV', 0, 'libSDL2-2.0.so', 'touch', 'V1', 'V2', 0.9206922992660751, 4.858472108840942]
['CV', 219, 'BV', 67, 'cp', 'cluster', 'V0', 'V0', 0.3888261851015802, 0.17098140716552734]
['CV', 73, 'BV', 12, 'shred', 'sort', 'V2', 'V2', 0.2626182965299684, 0.09607195854187012]
['CV', 3, 'UV', 21, 'test', 'objdump', 'V2', 'V2', 0.9230160822567888, 2.0440425872802734]
['UV', 58, 'CV', 27, 'objcopy', 'expr', 'V1', 'V2', 0.8188763748929724, 1.7586779594421387]
['CV', 113, 'UV', 62, 'date', 'ar', 'V3', 'V1', 0.8170614596670934, 1.6044025421142578]
['CV', 292, 'BV', 78, 'sha1sum', 'make', 'V1', 'V2', 0.8045052292839904, 0.2790241241455078]
['BV', 8, 'CV', 159, 'cluster', 'id', 'V2', 'V3', 0.5717956037681987, 0.1570720672607422]
['CV', 307, 'BV', 54, 'cut', 'lua', 'V1', 'V3', 0.8636363636363636, 0.5237472057342529]
['UV', 57, 'CV', 18, 'strings', 'pwd', 'V1', 'V2', 0.8961962317810167, 1.1686267852783203]
['CV', 293, 'BV', 41, 'paste', 'libvlccore.so', 'V1', 'V1', 0.9564345705770794, 3.6423416137695312]
['CV', 202, 'UV', 65, 'chown', 'objdump', 'V0', 'V1', 0.9019533711405167, 2.274366855621338]
['CV', 264, 'UV', 56, 'test', 'c++filt', 'V1', 'V1', 0.9155261488262485, 1.2243034839630127]
['BV', 81, 'CV', 273, 'dot', 'stty', 'V1', 'V1', 0.4545454545454546, 0.01700878143310547]
['CV', 293, 'UV', 66, 'paste', 'diff3', 'V1', 'V0', 0.41527272727272724, 0.03233909606933594]
['BV', 54, 'UV', 79, 'lua', 'strings', 'V3', 'V0', 0.1999529937129091, 3.2342848777770996]
['BV', 38, 'CV', 122, 'ruby', 'sum', 'V2', 'V3', 0.7897142857142857, 0.015228271484375]
['CV', 132, 'UV', 46, 'cp', 'diff', 'V3', 'V1', 0.14437819420783649, 0.2374739646911621]
['BV', 30, 'CV', 101, 'bash', 'dirname', 'V0', 'V3', 0.9431429844980437, 2.6346027851104736]
['CV', 100, 'UV', 38, 'join', 'xargs', 'V3', 'V3', 0.21447253705318226, 0.09429931640625]
['UV', 20, 'BV', 54, 'size', 'lua', 'V2', 'V3', 0.22386357155078995, 2.7467968463897705]
['CV', 209, 'BV', 54, 'sum', 'lua', 'V0', 'V3', 0.8679322033898305, 0.5301477909088135]
['CV', 82, 'UV', 31, 'sort', 'gprof', 'V2', 'V3', 0.7552002483700714, 1.8521764278411865]
['UV', 29, 'CV', 217, 'objcopy', 'chmod', 'V3', 'V0', 0.899251497005988, 1.5175275802612305]
['CV', 323, 'UV', 42, 'unexpand', 'diff', 'V1', 'V3', 0.685820895522388, 0.10407090187072754]
['UV', 10, 'CV', 323, 'as', 'unexpand', 'V2', 'V1', 0.9510037823683445, 2.119366407394409]
['CV', 23, 'UV', 6, 'wc', 'sdiff', 'V2', 'V2', 0.20776927604473217, 0.04975104331970215]
['UV', 51, 'CV', 59, 'nm', 'head', 'V1', 'V2', 0.8865604433668167, 1.1937596797943115]
['CV', 37, 'BV', 11, 'seq', 'bash', 'V2', 'V1', 0.9423364485981308, 3.2011101245880127]
['CV', 273, 'BV', 40, 'stty', 'lua', 'V1', 'V2', 0.837232668293383, 0.47916078567504883]
['UV', 68, 'BV', 76, 'diff', 'diff', 'V0', 'V2', 0.08045421599420144, 0.2026660442352295]
['UV', 56, 'CV', 219, 'c++filt', 'cp', 'V1', 'V0', 0.8101927194860814, 1.246598482131958]
['BV', 55, 'CV', 262, 'codeblocks', 'stat', 'V3', 'V1', 0.9733771826795082, 14.02316689491272]
['BV', 74, 'CV', 30, 'git', 'pinky', 'V1', 'V2', 0.9687602148027084, 5.997846364974976]
['UV', 45, 'CV', 256, 'cmp', 'sort', 'V1', 'V0', 0.12372982665869692, 0.04760432243347168]
['CV', 112, 'BV', 57, 'expand', 'svn', 'V3', 'V2', 0.7524012806830309, 0.5649299621582031]
['BV', 4, 'CV', 111, 'geany', 'factor', 'V3', 'V3', 0.9648504937504316, 32.82919216156006]
['BV', 27, 'CV', 145, 'libSDL2-2.0.so', 'readlink', 'V1', 'V3', 0.9129391228452979, 4.866982698440552]
['BV', 35, 'CV', 63, 'libvlccore.so', 'mv', 'V2', 'V2', 0.8510094089704942, 5.059489488601685]
['CV', 31, 'BV', 19, 'sha1sum', 'cp', 'V2', 'V3', 0.5605143721633888, 0.1060628890991211]
['CV', 156, 'UV', 61, 'csplit', 'addr2line', 'V3', 'V1', 0.8271036012971497, 1.4565341472625732]
['CV', 180, 'UV', 56, 'fmt', 'c++filt', 'V0', 'V1', 0.9207488866672726, 1.229790449142456]
['BV', 42, 'CV', 183, 'libvlc.so', 'users', 'V1', 'V0', 0.8065943792874529, 0.29679107666015625]
['UV', 76, 'CV', 346, 'as', 'mknod', 'V0', 'V1', 0.9484517192939595, 1.9171228408813477]
['UV', 17, 'CV', 262, 'addr2line', 'stat', 'V2', 'V1', 0.908314606741573, 1.205594778060913]
['BV', 18, 'UV', 81, 'sort', 'ld', 'V3', 'V0', 0.7489549602590521, 2.973057270050049]
['BV', 81, 'CV', 99, 'dot', 'stty', 'V1', 'V3', 0.5964125560538116, 0.02385091781616211]
['BV', 53, 'CV', 259, 'ssh', 'mknod', 'V2', 'V0', 0.9720762045066461, 4.884570837020874]
['BV', 70, 'CV', 227, 'ssh', 'tty', 'V0', 'V0', 0.9756606397774688, 4.341273069381714]
['BV', 79, 'CV', 95, 'bash', 'du', 'V3', 'V3', 0.8494387506100537, 3.964282989501953]
['UV', 2, 'CV', 43, 'find', 'chmod', 'V2', 'V2', 0.5770461819844536, 0.22513413429260254]
['CV', 162, 'BV', 78, 'tr', 'make', 'V3', 'V2', 0.7016679302501896, 0.3037431240081787]
['BV', 31, 'CV', 215, 'codeblocks', 'nice', 'V0', 'V0', 0.9784635879218473, 12.630574941635132]
['CV', 170, 'BV', 42, 'tac', 'libvlc.so', 'V3', 'V1', 0.6790174002047082, 0.41002488136291504]
['CV', 51, 'UV', 17, 'printf', 'addr2line', 'V2', 'V2', 0.8686735322594842, 1.3956246376037598]
['BV', 71, 'CV', 152, 'ruby', 'env', 'V1', 'V3', 0.7520215633423181, 0.011401176452636719]
['BV', 51, 'UV', 72, 'cp', 'find', 'V0', 'V0', 0.42165469539771216, 0.22112584114074707]
['BV', 14, 'CV', 100, 'openssl', 'join', 'V3', 'V3', 0.9002498852567699, 7.515244960784912]
['UV', 8, 'CV', 128, 'strip', 'nice', 'V2', 'V3', 0.9100807347603881, 1.546586036682129]
['CV', 297, 'BV', 46, 'chroot', 'cluster', 'V1', 'V3', 0.7583333333333333, 0.1404564380645752]
['UV', 14, 'CV', 315, 'objcopy', 'false', 'V2', 'V1', 0.9497958566460003, 1.4626662731170654]
['CV', 265, 'UV', 19, 'basename', 'elfedit', 'V1', 'V2', 0.27615457115928366, 0.02423238754272461]
['CV', 265, 'UV', 29, 'basename', 'objcopy', 'V1', 'V3', 0.9407985314364388, 1.576371192932129]
['BV', 3, 'CV', 140, 'diff', 'tty', 'V1', 'V3', 0.5369774919614148, 0.08052349090576172]
['CV', 308, 'UV', 71, 'od', 'xargs', 'V1', 'V0', 0.0818619582664526, 0.03172922134399414]
['BV', 27, 'CV', 156, 'libSDL2-2.0.so', 'csplit', 'V1', 'V3', 0.890764004960371, 5.15871524810791]
['CV', 206, 'UV', 65, 'paste', 'objdump', 'V0', 'V1', 0.949492992314151, 2.0263211727142334]
['BV', 47, 'CV', 224, 'dot', 'cksum', 'V3', 'V0', 0.31534569983136596, 0.010537862777709961]
['UV', 54, 'CV', 169, 'as', 'sort', 'V1', 'V3', 0.7739824421388667, 2.6220314502716064]
['CV', 38, 'UV', 15, 'split', 'ld', 'V2', 'V2', 0.883270799833244, 2.480949878692627]
['BV', 10, 'CV', 192, 'gvmap', 'pwd', 'V2', 'V0', 0.7336504161712247, 0.13907670974731445]
['UV', 42, 'CV', 218, 'diff', 'true', 'V3', 'V0', 0.7511627906976744, 0.08717846870422363]
['CV', 173, 'BV', 68, 'ln', 'dot', 'V3', 'V0', 0.727932285368803, 0.046530961990356445]
['CV', 221, 'BV', 31, 'od', 'codeblocks', 'V0', 'V0', 0.9656436981277745, 15.049639463424683]
['CV', 93, 'UV', 7, 'fmt', 'nm', 'V3', 'V2', 0.8746206537761207, 1.4114878177642822]
['CV', 77, 'BV', 7, 'nl', 'libSDL2-2.0.so', 'V2', 'V0', 0.8272530072963913, 4.706582069396973]
['CV', 37, 'BV', 13, 'seq', 'cp', 'V2', 'V2', 0.4708404802744426, 0.08090877532958984]
['CV', 190, 'BV', 3, 'dd', 'diff', 'V0', 'V1', 0.42952770546671626, 0.10141420364379883]
['CV', 272, 'UV', 64, 'printenv', 'size', 'V1', 'V1', 0.9370263442800433, 1.1968715190887451]
['CV', 337, 'BV', 66, 'comm', 'lua', 'V1', 'V1', 0.8555555555555555, 0.41805362701416016]
['CV', 41, 'BV', 16, 'nice', 'libvlc.so', 'V2', 'V3', 0.8033102386451116, 0.46758341789245605]
['BV', 30, 'UV', 22, 'bash', 'nm', 'V0', 'V3', 0.3055059818890872, 6.52241849899292]
['UV', 69, 'CV', 19, 'sdiff', 'pr', 'V0', 'V2', 0.14255431902490723, 0.054349660873413086]
['UV', 85, 'CV', 16, 'elfedit', 'dd', 'V0', 'V2', 0.22007255139056836, 0.04689478874206543]
['UV', 62, 'BV', 39, 'ar', 'svn', 'V1', 'V1', 0.39773844641101275, 2.8935625553131104]
['BV', 49, 'CV', 245, 'make', '[', 'V3', 'V0', 0.8143975558525873, 0.26253533363342285]
['CV', 315, 'UV', 35, 'false', 'size', 'V1', 'V3', 0.9385412810070344, 1.2303359508514404]
['UV', 8, 'BV', 21, 'strip', 'cp', 'V2', 'V1', 0.8396347553145955, 1.6726739406585693]
['BV', 24, 'UV', 39, 'git', 'find', 'V0', 'V3', 0.7608859314665954, 7.096647262573242]
