['CV', 127, 'BV', 18, 'ls', 'sort', 'V3', 'V3', 0.060506566604127565, 0.21533966064453125]
['BV', 16, 'UV', 82, 'libvlc.so', 'gprof', 'V3', 'V0', 0.4053470502317902, 2.9051311016082764]
['CV', 134, 'BV', 38, 'od', 'ruby', 'V3', 'V2', 0.8440677966101695, 0.01914668083190918]
['UV', 70, 'CV', 153, 'locate', 'link', 'V0', 'V3', 0.4663594470046083, 0.06424832344055176]
['CV', 312, 'BV', 32, 'printf', 'perl', 'V1', 'V0', 0.9565783395624239, 2.7621567249298096]
['CV', 330, 'UV', 48, 'csplit', 'locate', 'V1', 'V1', 0.14207149404216313, 0.11585569381713867]
['CV', 140, 'UV', 43, 'tty', 'sdiff', 'V3', 'V3', 0.30100755667506296, 0.03946805000305176]
['CV', 32, 'BV', 53, 'paste', 'ssh', 'V2', 'V2', 0.9664140486762595, 5.013884782791138]
['CV', 60, 'UV', 66, 'hostid', 'diff3', 'V2', 'V0', 0.34530386740331487, 0.031616926193237305]
['BV', 33, 'CV', 20, 'openssl', 'tee', 'V0', 'V2', 0.9749664729548503, 6.953761100769043]
['CV', 121, 'UV', 53, 'echo', 'readelf', 'V3', 'V1', 0.6845054637153264, 0.11116576194763184]
['BV', 76, 'CV', 77, 'diff', 'nl', 'V2', 'V2', 0.26072234762979685, 0.13061738014221191]
['CV', 73, 'UV', 84, 'shred', 'ar', 'V2', 'V0', 0.8410539736506587, 1.4106082916259766]
['BV', 40, 'CV', 281, 'lua', 'tee', 'V2', 'V1', 0.8729880011706175, 0.3864748477935791]
['CV', 223, 'UV', 66, 'tsort', 'diff3', 'V0', 'V0', 0.39242315939957106, 0.03178977966308594]
['CV', 113, 'UV', 84, 'date', 'ar', 'V3', 'V0', 0.8090704084189426, 1.4216501712799072]
['UV', 39, 'CV', 87, 'find', 'touch', 'V3', 'V3', 0.6285902938263453, 0.41460561752319336]
['CV', 272, 'UV', 38, 'printenv', 'xargs', 'V1', 'V3', 0.5843843843843843, 0.060820817947387695]
['UV', 78, 'CV', 151, 'c++filt', 'md5sum', 'V0', 'V3', 0.8599221789883269, 1.0344557762145996]
['UV', 65, 'CV', 317, 'objdump', 'yes', 'V1', 'V1', 0.9537834164023561, 1.7638394832611084]
['UV', 79, 'CV', 312, 'strings', 'printf', 'V0', 'V1', 0.9028925619834711, 0.9953770637512207]
['UV', 13, 'CV', 119, 'strings', 'paste', 'V2', 'V3', 0.881032947462155, 1.1303069591522217]
['BV', 25, 'CV', 172, 'git', 'mknod', 'V3', 'V3', 0.9789304083782612, 11.329875946044922]
['CV', 129, 'UV', 48, 'dircolors', 'locate', 'V3', 'V1', 0.4412673879443586, 0.0870523452758789]
['BV', 6, 'CV', 180, 'libvlc.so', 'fmt', 'V0', 'V0', 0.786660127513487, 0.2593963146209717]
['BV', 2, 'UV', 6, 'cmp', 'sdiff', 'V1', 'V2', 0.15580736543909346, 0.049956560134887695]
['CV', 165, 'UV', 1, 'rm', 'xargs', 'V3', 'V2', 0.06786975284425267, 0.08358001708984375]
['UV', 8, 'CV', 258, 'strip', 'rmdir', 'V2', 'V0', 0.9465579710144928, 1.3904542922973633]
['CV', 100, 'BV', 29, 'join', 'perl', 'V3', 'V3', 0.9315245930334325, 3.847351312637329]
['CV', 15, 'UV', 35, 'uptime', 'size', 'V2', 'V3', 0.8837920489296636, 1.2939212322235107]
['CV', 37, 'UV', 78, 'seq', 'c++filt', 'V2', 'V0', 0.8841858282496481, 1.1037330627441406]
['UV', 71, 'BV', 64, 'xargs', 'openssl', 'V0', 'V2', 0.9305689488910318, 6.653253555297852]
['BV', 61, 'CV', 308, 'cmp', 'od', 'V0', 'V1', 0.2834008097165992, 0.020986318588256836]
['BV', 43, 'CV', 38, 'lua', 'split', 'V0', 'V2', 0.6990932841555249, 0.3748311996459961]
['UV', 27, 'CV', 257, 'c++filt', 'tac', 'V3', 'V0', 0.7884682181312956, 1.1926815509796143]
['UV', 9, 'CV', 172, 'readelf', 'mknod', 'V2', 'V3', 0.6819038642789821, 0.13069558143615723]
['CV', 70, 'UV', 25, 'vdir', 'as', 'V2', 'V3', 0.824679923726505, 3.0899057388305664]
['UV', 76, 'CV', 272, 'as', 'printenv', 'V0', 'V1', 0.9571779141104294, 1.7592015266418457]
['CV', 286, 'UV', 7, 'expand', 'nm', 'V1', 'V2', 0.9253651585322408, 1.2326898574829102]
['BV', 59, 'CV', 69, 'make', 'csplit', 'V1', 'V2', 0.48451178451178456, 0.31013059616088867]
['UV', 14, 'CV', 248, 'objcopy', 'pathchk', 'V2', 'V0', 0.9421599638499774, 1.3905160427093506]
['CV', 77, 'UV', 52, 'nl', 'strip', 'V2', 'V1', 0.8260927064735832, 1.9387640953063965]
['CV', 61, 'BV', 14, 'ginstall', 'openssl', 'V2', 'V3', 0.836742741657219, 10.356550931930542]
['CV', 20, 'BV', 1, 'tee', 'libSDL2-2.0.so', 'V2', 'V3', 0.9516077682266794, 7.030057430267334]
['BV', 80, 'CV', 257, 'cluster', 'tac', 'V1', 'V0', 0.391919191919192, 0.16974592208862305]
['CV', 153, 'UV', 9, 'link', 'readelf', 'V3', 'V2', 0.7166907166907167, 0.13423657417297363]
['CV', 339, 'UV', 81, 'rm', 'ld', 'V1', 'V0', 0.8989963561976603, 2.0528407096862793]
['BV', 24, 'CV', 138, 'git', 'printf', 'V0', 'V3', 0.9566613595272149, 4.54231858253479]
['CV', 209, 'UV', 59, 'sum', 'ld', 'V0', 'V1', 0.9400873469889893, 2.1644275188446045]
['BV', 8, 'UV', 62, 'cluster', 'ar', 'V2', 'V1', 0.6109258602341255, 2.322567939758301]
['UV', 18, 'CV', 267, 'ar', 'fmt', 'V2', 'V1', 0.9236484755316423, 1.217116355895996]
['UV', 35, 'CV', 73, 'size', 'shred', 'V3', 'V2', 0.8360655737704918, 1.226736307144165]
['UV', 78, 'CV', 308, 'c++filt', 'od', 'V0', 'V1', 0.881184407796102, 1.010840892791748]
['UV', 70, 'CV', 194, 'locate', 'tee', 'V0', 'V0', 0.5787893946973487, 0.058747053146362305]
['BV', 78, 'CV', 128, 'make', 'nice', 'V2', 'V3', 0.7628117023365404, 0.23736119270324707]
['CV', 238, 'UV', 73, 'md5sum', 'nm', 'V0', 'V0', 0.9077857537272225, 1.1475985050201416]
['CV', 91, 'BV', 23, 'basename', 'diff', 'V3', 'V3', 0.5791681230339042, 0.10723423957824707]
['BV', 58, 'UV', 85, 'ruby', 'elfedit', 'V3', 'V0', 0.7613488975356679, 0.012989044189453125]
['CV', 308, 'UV', 70, 'od', 'locate', 'V1', 'V0', 0.4334841628959276, 0.07339096069335938]
['UV', 45, 'CV', 169, 'cmp', 'sort', 'V1', 'V3', 0.478502080443828, 0.11291766166687012]
['CV', 252, 'UV', 32, 'rm', 'addr2line', 'V0', 'V3', 0.8637743260132119, 1.7485332489013672]
['BV', 9, 'CV', 28, 'dot', 'chown', 'V2', 'V2', 0.6425734710087371, 0.02780938148498535]
['CV', 151, 'UV', 5, 'md5sum', 'diff', 'V3', 'V2', 0.4948073701842546, 0.11792230606079102]
['UV', 66, 'CV', 234, 'diff3', 'hostid', 'V0', 'V0', 0.47352496217851736, 0.02852010726928711]
['CV', 133, 'BV', 2, 'cut', 'cmp', 'V3', 'V1', 0.099933818663137, 0.038275718688964844]
['CV', 65, 'BV', 40, 'env', 'lua', 'V2', 'V2', 0.8650735829812035, 0.7059178352355957]
['UV', 87, 'CV', 296, 'objdump', 'sum', 'V0', 'V1', 0.9339872746553552, 1.693866491317749]
['UV', 67, 'CV', 242, 'cmp', 'cat', 'V0', 'V0', 0.30224525043177897, 0.026091337203979492]
['CV', 57, 'BV', 64, 'who', 'openssl', 'V2', 'V2', 0.9166525877118883, 6.994370222091675]
['UV', 62, 'CV', 100, 'ar', 'join', 'V1', 'V3', 0.8413753953450653, 1.3054718971252441]
['UV', 86, 'BV', 73, 'size', 'geany', 'V0', 'V0', 0.5860475115554122, 65.67184162139893]
['CV', 291, 'BV', 68, 'pinky', 'dot', 'V1', 'V0', 0.46464646464646464, 0.016866683959960938]
['CV', 39, 'UV', 66, 'whoami', 'diff3', 'V2', 'V0', 0.3342465753424657, 0.03214406967163086]
['CV', 215, 'BV', 17, 'nice', 'codeblocks', 'V0', 'V2', 0.9792994904900365, 14.057883262634277]
['UV', 87, 'CV', 52, 'objdump', 'logname', 'V0', 'V2', 0.9364257747693941, 1.6609766483306885]
['BV', 33, 'UV', 5, 'openssl', 'diff', 'V0', 'V2', 0.8991402714932126, 8.084025382995605]
['CV', 109, 'UV', 12, 'kill', 'c++filt', 'V3', 'V2', 0.8809587934284945, 1.26596999168396]
['BV', 47, 'UV', 9, 'dot', 'readelf', 'V3', 'V2', 0.8812351543942993, 0.10876655578613281]
['CV', 185, 'UV', 54, 'printenv', 'as', 'V0', 'V1', 0.960237633080407, 2.053274631500244]
['UV', 44, 'BV', 69, 'diff3', 'gvmap', 'V1', 'V0', 0.4499017681728881, 0.15526199340820312]
['UV', 3, 'CV', 19, 'diff3', 'pr', 'V2', 'V2', 0.08163265306122447, 0.04838418960571289]
['BV', 80, 'CV', 165, 'cluster', 'rm', 'V1', 'V3', 0.37749003984063745, 0.17814064025878906]
['UV', 24, 'CV', 24, 'readelf', 'factor', 'V3', 'V2', 0.826904686005738, 0.27202463150024414]
['CV', 148, 'UV', 73, 'ginstall', 'nm', 'V3', 'V0', 0.6415317804974339, 1.8260369300842285]
['UV', 60, 'CV', 164, 'gprof', 'nl', 'V1', 'V3', 0.8819613573632084, 1.2303822040557861]
['CV', 147, 'BV', 36, 'hostid', 'libvlc.so', 'V3', 'V2', 0.7834540602363705, 0.43912768363952637]
['BV', 24, 'CV', 42, 'git', 'dircolors', 'V0', 'V2', 0.9702725469416592, 4.386398553848267]
['UV', 44, 'CV', 314, 'diff3', 'tty', 'V1', 'V1', 0.4655810510732791, 0.029888153076171875]
['CV', 218, 'BV', 4, 'true', 'geany', 'V0', 'V3', 0.9887815192129589, 32.53600859642029]
['BV', 75, 'CV', 40, 'cmp', 'ls', 'V2', 'V2', 0.36566849430619985, 0.0932013988494873]
['CV', 6, 'BV', 38, 'fmt', 'ruby', 'V2', 'V2', 0.7186544342507645, 0.009046316146850586]
