['UV', 46, 'CV', 266, 'diff', 'mkdir', 'V1', 'V1', 0.6399875428215509, 0.1098625659942627]
['UV', 70, 'CV', 119, 'locate', 'paste', 'V0', 'V3', 0.41800356506238856, 0.06845235824584961]
['BV', 74, 'CV', 342, 'git', 'sleep', 'V1', 'V1', 0.9799009133813895, 5.588489532470703]
['CV', 252, 'UV', 66, 'rm', 'diff3', 'V0', 'V0', 0.13594470046082952, 0.04629015922546387]
['CV', 261, 'BV', 74, 'touch', 'git', 'V1', 'V1', 0.9710151702858746, 6.5352935791015625]
['BV', 61, 'CV', 131, 'cmp', 'true', 'V0', 'V3', 0.2572062084257206, 0.017183542251586914]
['UV', 75, 'CV', 321, 'readelf', 'hostid', 'V0', 'V1', 0.775, 0.08487844467163086]
['CV', 296, 'UV', 60, 'sum', 'gprof', 'V1', 'V1', 0.9176110513690131, 1.3235011100769043]
['CV', 292, 'UV', 63, 'sha1sum', 'elfedit', 'V1', 'V1', 0.18685121107266434, 0.027661800384521484]
['CV', 160, 'BV', 33, 'shred', 'openssl', 'V3', 'V0', 0.9463908920166021, 8.743337631225586]
['BV', 17, 'CV', 103, 'codeblocks', 'dd', 'V2', 'V3', 0.9306307243963364, 12.816981077194214]
['CV', 7, 'UV', 3, 'dir', 'diff3', 'V2', 'V2', 0.24788948580199544, 0.10018682479858398]
['UV', 59, 'CV', 57, 'ld', 'who', 'V1', 'V2', 0.9103573591762568, 1.8914554119110107]
['UV', 54, 'CV', 83, 'as', 'tac', 'V1', 'V2', 0.8511359217908127, 2.088791608810425]
['CV', 192, 'BV', 60, 'pwd', 'codeblocks', 'V0', 'V1', 0.9757971053553621, 13.577991485595703]
['BV', 46, 'CV', 204, 'cluster', 'pinky', 'V3', 'V0', 0.6634323832625834, 0.1338520050048828]
['BV', 53, 'UV', 87, 'ssh', 'objdump', 'V2', 'V0', 0.338283378746594, 10.528119325637817]
['CV', 59, 'UV', 31, 'head', 'gprof', 'V2', 'V3', 0.8902663762774334, 1.3220067024230957]
['CV', 250, 'BV', 49, 'comm', 'make', 'V0', 'V3', 0.8252016903572801, 0.2729833126068115]
['UV', 63, 'CV', 328, 'elfedit', 'uname', 'V1', 'V1', 0.3017408123791103, 0.021298885345458984]
['CV', 277, 'UV', 59, 'dd', 'ld', 'V1', 'V1', 0.9035548313114853, 2.2339296340942383]
['CV', 188, 'UV', 26, 'dirname', 'ranlib', 'V0', 'V3', 0.9373418273845885, 1.250671148300171]
['BV', 57, 'CV', 247, 'svn', 'shred', 'V2', 'V0', 0.7482244318181818, 0.47002387046813965]
['UV', 19, 'CV', 73, 'elfedit', 'shred', 'V2', 'V2', 0.20323182100683657, 0.044782161712646484]
