['CO', 127, 'UO', 46, 'pr', 'readelf', 'O1', 'O3', 0.6742987979393246, 0.42064905166625977]
['BO', 0, 'CO', 104, 'codeblocks', 'sha384sum', 'O1', 'O1', 0.9621649752797293, 14.078811168670654]
['UO', 78, 'CO', 195, 'elfedit', 'comm', 'O0', 'O1', 0.1231979030144168, 0.04822182655334473]
['CO', 407, 'UO', 58, 'sha224sum', 'objdump', 'O0', 'O3', 0.896817688396275, 2.5082366466522217]
['CO', 134, 'UO', 42, 'expand', 'xargs', 'O1', 'O2', 0.32724505327245046, 0.0868523120880127]
['UO', 16, 'CO', 137, 'size', 'chown', 'O1', 'O1', 0.7987639060568603, 1.5889370441436768]
['UO', 5, 'CO', 51, 'readelf', 'realpath', 'O1', 'O3', 0.7495611468695144, 0.37500524520874023]
['UO', 24, 'CO', 13, 'diff', 'printenv', 'O2', 'O3', 0.5941818181818181, 0.10768723487854004]
['BO', 48, 'CO', 245, 'libvlccore.so.9.0.0', 'truncate', 'O0', 'O2', 0.9692117864802139, 14.331206321716309]
['CO', 51, 'UO', 61, 'realpath', 'find', 'O3', 'O3', 0.7060349299671451, 0.4469311237335205]
['BO', 59, 'CO', 349, 'libgeany.so.0.0.0', 'truncate', 'O3', 'O0', 0.977091352924608, 34.3568012714386]
['UO', 13, 'CO', 261, 'addr2line', 'chmod', 'O1', 'O2', 0.8325909740314312, 1.4470951557159424]
['BO', 67, 'UO', 81, 'libSDL2-2.0.so.0.16.0', 'diff3', 'O1', 'O0', 0.8821264205879591, 7.549081325531006]
['UO', 38, 'CO', 232, 'elfedit', 'tee', 'O2', 'O2', 0.15539033457249074, 0.03649282455444336]
['BO', 9, 'UO', 27, 'git', 'strip', 'O0', 'O2', 0.5977361362123086, 15.389055490493774]
['UO', 6, 'CO', 188, 'as', 'vdir', 'O1', 'O1', 0.786897860770533, 3.145171642303467]
['CO', 247, 'BO', 27, 'paste', 'perl', 'O2', 'O3', 0.9686459407691175, 3.3993260860443115]
['UO', 79, 'CO', 24, 'size', 'tee', 'O0', 'O3', 0.9123156169515336, 2.8139097690582275]
['CO', 372, 'UO', 64, 'base64', 'diff', 'O0', 'O3', 0.46024563671622487, 0.1447892189025879]
['UO', 71, 'CO', 118, 'c++filt', 'stty', 'O0', 'O1', 0.898670118865482, 2.824091911315918]
['BO', 0, 'CO', 313, 'codeblocks', 'touch', 'O1', 'O0', 0.9347770308410736, 15.114290714263916]
['CO', 130, 'UO', 8, 'kill', 'c++filt', 'O1', 'O1', 0.8880983750548967, 1.5234663486480713]
['CO', 40, 'UO', 51, 'sync', 'objcopy', 'O3', 'O3', 0.9039694656488549, 1.437103033065796]
['CO', 175, 'BO', 59, 'readlink', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9758546273418197, 39.51286292076111]
['CO', 186, 'UO', 28, 'shuf', 'readelf', 'O1', 'O2', 0.6885680612846199, 0.44300246238708496]
['CO', 204, 'BO', 24, 'tac', 'cluster', 'O1', 'O3', 0.5695830886670581, 0.166398286819458]
['CO', 260, 'UO', 12, 'sha256sum', 'gprof', 'O2', 'O1', 0.8962999026290166, 1.5938479900360107]
['BO', 48, 'CO', 296, 'libvlccore.so.9.0.0', 'shred', 'O0', 'O2', 0.9428422364569143, 15.111706495285034]
['CO', 0, 'UO', 15, 'sha384sum', 'elfedit', 'O3', 'O1', 0.14698162729658792, 0.03950381278991699]
['CO', 172, 'BO', 9, 'yes', 'git', 'O1', 'O0', 0.9780569185475957, 9.400332927703857]
['UO', 30, 'CO', 326, 'ranlib', 'stty', 'O2', 'O0', 0.8382048521983937, 1.4403746128082275]
['BO', 43, 'CO', 227, 'diff', 'dd', 'O1', 'O2', 0.34887839433293977, 0.16983461380004883]
['CO', 155, 'UO', 4, 'realpath', 'strip', 'O1', 'O1', 0.884051724137931, 2.0127041339874268]
['BO', 78, 'CO', 412, 'ssh', 'tac', 'O0', 'O0', 0.909936025589764, 2.860672950744629]
['CO', 80, 'BO', 18, 'uname', 'libvlc.so.12.0.0', 'O3', 'O1', 0.7735627688697693, 0.5739214420318604]
