['CV', 227, 'BV', 30, 'tty', 'bash', 'V0', 'V0', 0.9649421545550158, 2.754676342010498]
['BV', 61, 'UV', 64, 'cmp', 'size', 'V0', 'V1', 0.936152944359275, 1.2193994522094727]
['CV', 333, 'BV', 54, 'id', 'lua', 'V1', 'V3', 0.8750510412413229, 0.5144367218017578]
['BV', 50, 'CV', 16, 'sort', 'dd', 'V0', 'V2', 0.08755274261603374, 0.05523276329040527]
['CV', 82, 'BV', 37, 'sort', 'geany', 'V2', 'V1', 0.9385672077049998, 36.186681509017944]
['CV', 340, 'UV', 17, 'fold', 'addr2line', 'V1', 'V2', 0.9235299447313582, 1.2857041358947754]
['UV', 36, 'CV', 51, 'objdump', 'printf', 'V3', 'V2', 0.9139015523111547, 2.3415706157684326]
['BV', 4, 'CV', 90, 'geany', 'test', 'V3', 'V3', 0.9742233169699388, 33.249226570129395]
['UV', 83, 'CV', 1, 'addr2line', 'stat', 'V0', 'V2', 0.8872508113120074, 1.081216812133789]
['UV', 49, 'BV', 48, 'xargs', 'gvmap', 'V1', 'V3', 0.5779519048905701, 0.17769670486450195]
['CV', 76, 'UV', 68, 'comm', 'diff', 'V2', 'V0', 0.5221027479091995, 0.08866381645202637]
['BV', 19, 'UV', 61, 'cp', 'addr2line', 'V3', 'V1', 0.681234335839599, 1.9012773036956787]
['BV', 29, 'CV', 60, 'perl', 'hostid', 'V3', 'V2', 0.9661463901361271, 3.0888214111328125]
['BV', 43, 'CV', 301, 'lua', 'ls', 'V0', 'V1', 0.6182717486179808, 0.4853973388671875]
['CV', 97, 'BV', 33, 'ptx', 'openssl', 'V3', 'V0', 0.945894570911957, 9.056703329086304]
['UV', 77, 'CV', 48, 'ranlib', 'df', 'V0', 'V2', 0.8086172344689379, 1.3204426765441895]
['CV', 331, 'BV', 65, 'vdir', 'ssh', 'V1', 'V1', 0.9121388037310025, 6.650348424911499]
['CV', 209, 'UV', 62, 'sum', 'ar', 'V0', 'V1', 0.9177364864864865, 1.3856191635131836]
['UV', 18, 'CV', 19, 'ar', 'pr', 'V2', 'V2', 0.856730689967851, 1.3655447959899902]
['CV', 205, 'UV', 41, 'sha1sum', 'cmp', 'V0', 'V3', 0.2063745019920319, 0.03255057334899902]
['UV', 17, 'CV', 269, 'addr2line', 'du', 'V2', 'V1', 0.8126707650273224, 1.3279578685760498]
['CV', 118, 'UV', 45, 'sha1sum', 'cmp', 'V3', 'V1', 0.09806537691794526, 0.03914308547973633]
['UV', 19, 'CV', 307, 'elfedit', 'cut', 'V2', 'V1', 0.16638370118845502, 0.028181076049804688]
