['CV', 307, 'UV', 26, 'cut', 'ranlib', 'V1', 'V3', 0.9131334022750776, 1.36466646194458]
['BV', 52, 'CV', 171, 'libSDL2-2.0.so', 'rmdir', 'V2', 'V3', 0.9275780364685279, 5.045735836029053]
['BV', 72, 'CV', 328, 'perl', 'uname', 'V1', 'V1', 0.9756073044060982, 2.64839506149292]
['CV', 118, 'BV', 21, 'sha1sum', 'cp', 'V3', 'V1', 0.2164617851416355, 0.054132699966430664]
['BV', 67, 'CV', 51, 'cluster', 'printf', 'V0', 'V2', 0.5348837209302325, 0.12508082389831543]
['CV', 132, 'BV', 4, 'cp', 'geany', 'V3', 'V3', 0.930031033254761, 45.52209234237671]
['CV', 186, 'UV', 29, 'stty', 'objcopy', 'V0', 'V3', 0.916031110775504, 1.569885015487671]
['BV', 48, 'CV', 199, 'gvmap', 'expand', 'V3', 'V0', 0.7551879699248121, 0.12622332572937012]
['CV', 44, 'BV', 62, 'true', 'diff', 'V2', 'V0', 0.4798798798798799, 0.044905900955200195]
['CV', 151, 'BV', 51, 'md5sum', 'cp', 'V3', 'V0', 0.20171673819742486, 0.052023887634277344]
['BV', 55, 'CV', 245, 'codeblocks', '[', 'V3', 'V0', 0.9746141189375539, 13.323212385177612]
['CV', 48, 'BV', 23, 'df', 'diff', 'V2', 'V3', 0.3268722466960352, 0.1416616439819336]
['BV', 16, 'CV', 141, 'libvlc.so', 'false', 'V3', 'V3', 0.7923518164435946, 0.3892390727996826]
['BV', 55, 'CV', 196, 'codeblocks', 'kill', 'V3', 'V0', 0.9775063426882536, 13.272955179214478]
['CV', 318, 'BV', 32, 'who', 'perl', 'V1', 'V0', 0.951987934140517, 2.8906428813934326]
['CV', 253, 'UV', 60, 'fold', 'gprof', 'V0', 'V1', 0.931511414764206, 1.2747399806976318]
['CV', 149, 'BV', 69, 'unexpand', 'gvmap', 'V3', 'V0', 0.5709068776628119, 0.13500523567199707]
['CV', 227, 'UV', 84, 'tty', 'ar', 'V0', 'V0', 0.9373881932021467, 1.1641018390655518]
['UV', 62, 'CV', 52, 'ar', 'logname', 'V1', 'V2', 0.9190331304935767, 1.1571648120880127]
['CV', 31, 'UV', 74, 'sha1sum', 'strip', 'V2', 'V0', 0.9160829060446306, 1.590773344039917]
['UV', 8, 'CV', 343, 'strip', 'sort', 'V2', 'V1', 0.8414738646101114, 1.566692590713501]
['CV', 174, 'UV', 17, 'touch', 'addr2line', 'V0', 'V2', 0.8921568627450981, 1.3099634647369385]
['CV', 210, 'BV', 18, 'chroot', 'sort', 'V0', 'V3', 0.7062825130052021, 0.08633565902709961]
['UV', 65, 'CV', 101, 'objdump', 'dirname', 'V1', 'V3', 0.9267202859696158, 1.810542106628418]
['UV', 40, 'CV', 49, 'diff3', 'tsort', 'V3', 'V2', 0.30325814536340845, 0.037191152572631836]
['UV', 53, 'CV', 39, 'readelf', 'whoami', 'V1', 'V2', 0.722397476340694, 0.09761881828308105]
['BV', 2, 'CV', 261, 'cmp', 'touch', 'V1', 'V1', 0.10430342815463167, 0.03567242622375488]
['CV', 168, 'BV', 0, 'sleep', 'bash', 'V3', 'V2', 0.9455297939566553, 3.3256893157958984]
['BV', 41, 'CV', 32, 'libvlccore.so', 'paste', 'V1', 'V2', 0.9457857296831214, 3.1898977756500244]
['UV', 72, 'BV', 30, 'find', 'bash', 'V0', 'V0', 0.7619004850008981, 4.557602643966675]
['CV', 143, 'UV', 23, 'yes', 'strip', 'V3', 'V3', 0.9115564260961277, 1.5602049827575684]
['CV', 12, 'BV', 49, 'stty', 'make', 'V2', 'V3', 0.7270579683808831, 0.3103787899017334]
['CV', 39, 'BV', 20, 'whoami', 'sort', 'V2', 'V1', 0.3976205385097057, 0.04063606262207031]
['CV', 189, 'UV', 21, 'uptime', 'objdump', 'V0', 'V2', 0.9359033906177426, 2.0026657581329346]
['BV', 53, 'CV', 95, 'ssh', 'du', 'V2', 'V3', 0.8817290182422287, 5.357609987258911]
['CV', 259, 'UV', 44, 'mknod', 'diff3', 'V0', 'V1', 0.4072494669509594, 0.03318953514099121]
['CV', 347, 'BV', 42, 'ln', 'libvlc.so', 'V1', 'V1', 0.7425827107790822, 0.35381531715393066]
['CV', 283, 'BV', 19, 'kill', 'cp', 'V1', 'V3', 0.6477635782747604, 0.09020113945007324]
['UV', 24, 'CV', 188, 'readelf', 'dirname', 'V3', 'V0', 0.8821018062397373, 0.2573261260986328]
['CV', 101, 'UV', 41, 'dirname', 'cmp', 'V3', 'V3', 0.18674698795180722, 0.03127551078796387]
['CV', 300, 'UV', 28, 'whoami', 'strings', 'V1', 'V3', 0.9308678684259432, 1.1771576404571533]
['CV', 14, 'UV', 69, 'dirname', 'sdiff', 'V2', 'V0', 0.3675099866844207, 0.03513646125793457]
['CV', 285, 'BV', 33, 'factor', 'openssl', 'V1', 'V0', 0.9798575404500213, 7.657444477081299]
['BV', 77, 'CV', 214, 'perl', 'ls', 'V2', 'V0', 0.9168331905985346, 3.3196778297424316]
['CV', 136, 'BV', 59, 'tsort', 'make', 'V3', 'V1', 0.7184031158714703, 0.26639437675476074]
['BV', 24, 'CV', 124, 'git', 'seq', 'V0', 'V3', 0.9590932425495123, 4.520795106887817]
['CV', 25, 'BV', 25, 'expand', 'git', 'V2', 'V3', 0.9837863022208417, 12.11505126953125]
['CV', 176, 'UV', 40, 'unlink', 'diff3', 'V0', 'V3', 0.49855907780979825, 0.03130030632019043]
['UV', 61, 'CV', 335, 'addr2line', 'pathchk', 'V1', 'V1', 0.9288288288288288, 1.0623950958251953]
['BV', 74, 'CV', 249, 'git', 'tr', 'V1', 'V0', 0.9740606344375512, 5.69496750831604]
['CV', 247, 'BV', 3, 'shred', 'diff', 'V0', 'V1', 0.4589851201831362, 0.09962821006774902]
['CV', 201, 'BV', 63, 'expr', 'ruby', 'V0', 'V0', 0.9503039393700166, 14.36222219467163]
['BV', 23, 'CV', 224, 'diff', 'cksum', 'V3', 'V0', 0.7198325085649029, 0.08537411689758301]
['CV', 149, 'BV', 5, 'unexpand', 'libvlccore.so', 'V3', 'V0', 0.9227971116781585, 3.8603005409240723]
['CV', 344, 'BV', 12, 'tac', 'sort', 'V1', 'V2', 0.15994338287331922, 0.09198808670043945]
['BV', 65, 'CV', 47, 'ssh', 'od', 'V1', 'V2', 0.941712204007286, 4.5717902183532715]
['BV', 24, 'UV', 63, 'git', 'elfedit', 'V0', 'V1', 0.9637092406023183, 4.480109930038452]
['UV', 76, 'BV', 40, 'as', 'lua', 'V0', 'V2', 0.4274081696568386, 3.405303955078125]
['UV', 38, 'CV', 29, 'xargs', 'tail', 'V3', 'V2', 0.1788022404136148, 0.09697270393371582]
['CV', 131, 'BV', 67, 'true', 'cluster', 'V3', 'V0', 0.6380697050938338, 0.12094831466674805]
['UV', 62, 'CV', 177, 'ar', 'test', 'V1', 'V0', 0.9239112014912727, 1.1730403900146484]
['UV', 73, 'CV', 66, 'nm', 'link', 'V0', 'V2', 0.9118325186756433, 1.015599250793457]
['UV', 50, 'BV', 77, 'find', 'perl', 'V1', 'V2', 0.7935537484418591, 6.253197908401489]
['CV', 228, 'BV', 33, 'false', 'openssl', 'V0', 'V0', 0.9848198240802043, 7.292351007461548]
['BV', 70, 'CV', 274, 'ssh', 'join', 'V0', 'V1', 0.9570833189818483, 4.177638292312622]
['BV', 8, 'CV', 116, 'cluster', 'tail', 'V2', 'V3', 0.4138192862566439, 0.1836533546447754]
['UV', 55, 'BV', 26, 'ranlib', 'geany', 'V1', 'V2', 0.6463593520801473, 101.89020109176636]
['CV', 53, 'BV', 64, 'tty', 'openssl', 'V2', 'V2', 0.9455782312925171, 6.2736639976501465]
['CV', 221, 'BV', 56, 'od', 'ssh', 'V0', 'V3', 0.9186896371704516, 1.8505072593688965]
['CV', 148, 'BV', 22, 'ginstall', 'cmp', 'V3', 'V3', 0.5062213490504257, 0.12375974655151367]
['BV', 12, 'UV', 80, 'sort', 'objcopy', 'V2', 'V0', 0.7863725028586803, 2.0439090728759766]
['BV', 32, 'CV', 118, 'perl', 'sha1sum', 'V0', 'V3', 0.9378613317805599, 2.5013911724090576]
['UV', 20, 'CV', 104, 'size', 'mkfifo', 'V2', 'V3', 0.889924545051043, 1.2441155910491943]
['BV', 79, 'CV', 277, 'bash', 'dd', 'V3', 'V1', 0.9321040108769545, 3.1972427368164062]
['CV', 190, 'UV', 6, 'dd', 'sdiff', 'V0', 'V2', 0.15225878416062466, 0.05120682716369629]
['UV', 46, 'CV', 272, 'diff', 'printenv', 'V1', 'V1', 0.7659289067739772, 0.08929586410522461]
['BV', 5, 'CV', 99, 'libvlccore.so', 'stty', 'V0', 'V3', 0.9044955904495591, 3.4571189880371094]
['BV', 73, 'CV', 59, 'geany', 'head', 'V0', 'V2', 0.9706166027409551, 18.909353017807007]
['CV', 134, 'BV', 35, 'od', 'libvlccore.so', 'V3', 'V2', 0.8984957120764797, 5.1394524574279785]
['CV', 126, 'UV', 29, 'whoami', 'objcopy', 'V3', 'V3', 0.9118444846292948, 1.5674703121185303]
['BV', 6, 'CV', 312, 'libvlc.so', 'printf', 'V0', 'V1', 0.753786968021159, 0.27979207038879395]
['CV', 71, 'BV', 81, '[', 'dot', 'V2', 'V1', 0.5005945303210464, 0.01523900032043457]
['CV', 281, 'UV', 32, 'tee', 'addr2line', 'V1', 'V3', 0.9201692265244182, 1.2061784267425537]
['UV', 53, 'BV', 18, 'readelf', 'sort', 'V1', 'V3', 0.2014809041309431, 0.2257699966430664]
['CV', 223, 'BV', 48, 'tsort', 'gvmap', 'V0', 'V3', 0.7457373616512115, 0.13919758796691895]
['BV', 14, 'CV', 335, 'openssl', 'pathchk', 'V3', 'V1', 0.9584778723851571, 6.734915494918823]
['CV', 60, 'UV', 41, 'hostid', 'cmp', 'V2', 'V3', 0.2497965825874695, 0.026848554611206055]
['UV', 65, 'CV', 37, 'objdump', 'seq', 'V1', 'V2', 0.921446304666115, 1.8345117568969727]
['UV', 36, 'CV', 42, 'objdump', 'dircolors', 'V3', 'V2', 0.9361354349095155, 2.119971513748169]
['UV', 23, 'CV', 286, 'strip', 'expand', 'V3', 'V1', 0.9360598199298031, 1.3708164691925049]
['UV', 51, 'CV', 119, 'nm', 'paste', 'V1', 'V3', 0.8844390623648474, 1.1564626693725586]
['CV', 122, 'BV', 33, 'sum', 'openssl', 'V3', 'V0', 0.9633718482481172, 8.226637840270996]
['BV', 6, 'CV', 308, 'libvlc.so', 'od', 'V0', 'V1', 0.7104770813844715, 0.2833261489868164]
['BV', 43, 'UV', 84, 'lua', 'ar', 'V0', 'V0', 0.3266491410405331, 2.929222345352173]
['UV', 14, 'CV', 294, 'objcopy', 'sync', 'V2', 'V1', 0.9467049143202234, 1.3833622932434082]
['CV', 95, 'UV', 10, 'du', 'as', 'V3', 'V2', 0.8011281224818695, 3.091428279876709]
['CV', 87, 'UV', 38, 'touch', 'xargs', 'V3', 'V3', 0.17258261933904528, 0.10170984268188477]
['CV', 313, 'BV', 59, 'logname', 'make', 'V1', 'V1', 0.8474434199497066, 0.22973084449768066]
['UV', 40, 'CV', 173, 'diff3', 'ln', 'V3', 'V3', 0.17341977309562395, 0.08255743980407715]
['BV', 19, 'UV', 34, 'cp', 'elfedit', 'V3', 'V3', 0.47132169576059857, 0.10330080986022949]
['CV', 192, 'UV', 9, 'pwd', 'readelf', 'V0', 'V2', 0.7762272614004485, 0.12766456604003906]
['UV', 63, 'BV', 33, 'elfedit', 'openssl', 'V1', 'V0', 0.96857484580568, 8.335143804550171]
['CV', 343, 'BV', 38, 'sort', 'ruby', 'V1', 'V2', 0.8469217970049917, 0.024039030075073242]
['UV', 37, 'CV', 202, 'locate', 'chown', 'V3', 'V0', 0.46004169562195973, 0.1289501190185547]
['UV', 34, 'CV', 310, 'elfedit', 'tsort', 'V3', 'V1', 0.26333615580016934, 0.026764869689941406]
['CV', 288, 'BV', 71, 'expr', 'ruby', 'V1', 'V1', 0.8628912071535022, 0.018857717514038086]
['CV', 76, 'UV', 63, 'comm', 'elfedit', 'V2', 'V1', 0.1565696302124311, 0.02808976173400879]
['UV', 14, 'CV', 167, 'objcopy', 'uniq', 'V2', 'V3', 0.871019223793979, 1.5054426193237305]
['CV', 20, 'UV', 28, 'tee', 'strings', 'V2', 'V3', 0.9025819446987731, 1.214768409729004]
['UV', 8, 'CV', 38, 'strip', 'split', 'V2', 'V2', 0.858728557013118, 1.5045559406280518]
['CV', 258, 'BV', 73, 'rmdir', 'geany', 'V0', 'V0', 0.9840115622600605, 19.99761438369751]
['BV', 75, 'CV', 150, 'cmp', 'mv', 'V2', 'V3', 0.5108099386899, 0.13061118125915527]
['CV', 87, 'UV', 16, 'touch', 'gprof', 'V3', 'V2', 0.8199428389965068, 1.5743684768676758]
['CV', 221, 'UV', 0, 'od', 'locate', 'V0', 'V2', 0.3633111905978539, 0.06315302848815918]
['CV', 330, 'UV', 9, 'csplit', 'readelf', 'V1', 'V2', 0.4301765650080257, 0.1909947395324707]
['BV', 17, 'CV', 337, 'codeblocks', 'comm', 'V2', 'V1', 0.9750845156653446, 12.726858377456665]
['BV', 1, 'CV', 52, 'libSDL2-2.0.so', 'logname', 'V3', 'V2', 0.9563235160025532, 6.333216667175293]
['UV', 47, 'CV', 100, 'sdiff', 'join', 'V1', 'V3', 0.15953699043784597, 0.05275464057922363]
['UV', 85, 'BV', 29, 'elfedit', 'perl', 'V0', 'V3', 0.9519564140663694, 3.60211443901062]
['UV', 39, 'CV', 287, 'find', 'date', 'V3', 'V1', 0.7692722371967655, 0.36810922622680664]
['BV', 57, 'CV', 8, 'svn', 'du', 'V2', 'V2', 0.5034293552812071, 0.623647928237915]
['BV', 59, 'CV', 168, 'make', 'sleep', 'V1', 'V3', 0.7573705179282868, 0.22818636894226074]
['BV', 75, 'UV', 32, 'cmp', 'addr2line', 'V2', 'V3', 0.8646065910511744, 1.3164889812469482]
['CV', 87, 'UV', 41, 'touch', 'cmp', 'V3', 'V3', 0.22075172048703018, 0.05301976203918457]
['CV', 12, 'UV', 58, 'stty', 'objcopy', 'V2', 'V1', 0.8967032967032967, 1.7913072109222412]
['CV', 269, 'UV', 44, 'du', 'diff3', 'V1', 'V1', 0.0924772400574988, 0.06577110290527344]
['UV', 3, 'CV', 124, 'diff3', 'seq', 'V2', 'V3', 0.14400000000000002, 0.04458808898925781]
['CV', 185, 'BV', 81, 'printenv', 'dot', 'V0', 'V1', 0.285968028419183, 0.009662628173828125]
['UV', 83, 'CV', 33, 'addr2line', 'sync', 'V0', 'V2', 0.9145894083341172, 0.979520320892334]
['BV', 1, 'UV', 9, 'libSDL2-2.0.so', 'readelf', 'V3', 'V2', 0.7221311803029697, 7.835253953933716]
['CV', 55, 'BV', 35, 'nohup', 'libvlccore.so', 'V2', 'V2', 0.9456213671518471, 4.630479335784912]
['BV', 28, 'CV', 285, 'openssl', 'factor', 'V1', 'V1', 0.9809506814481052, 8.063312768936157]
['BV', 76, 'CV', 268, 'diff', 'dir', 'V2', 'V1', 0.2662192393736018, 0.1671907901763916]
['UV', 69, 'CV', 117, 'sdiff', 'pinky', 'V0', 'V3', 0.17408017572762224, 0.05019664764404297]
['BV', 78, 'CV', 196, 'make', 'kill', 'V2', 'V0', 0.8250610252237591, 0.2206723690032959]
['CV', 146, 'UV', 64, 'head', 'size', 'V3', 'V1', 0.8601628833824294, 1.416912317276001]
['BV', 81, 'CV', 39, 'dot', 'whoami', 'V1', 'V2', 0.4044943820224719, 0.012033224105834961]
['CV', 66, 'UV', 71, 'link', 'xargs', 'V2', 'V0', 0.1798165137614679, 0.02309703826904297]
['UV', 66, 'CV', 69, 'diff3', 'csplit', 'V0', 'V2', 0.22395209580838327, 0.07293415069580078]
['CV', 210, 'BV', 78, 'chroot', 'make', 'V0', 'V2', 0.8487533484442613, 0.24196386337280273]
['UV', 2, 'BV', 33, 'find', 'openssl', 'V2', 'V0', 0.84820996080849, 13.103628158569336]
['CV', 177, 'BV', 75, 'test', 'cmp', 'V0', 'V2', 0.2692626346313174, 0.02822256088256836]
['UV', 85, 'BV', 57, 'elfedit', 'svn', 'V0', 'V2', 0.7575, 0.5550806522369385]
['BV', 74, 'CV', 89, 'git', 'unlink', 'V1', 'V3', 0.9723060370032512, 5.750353097915649]
['CV', 10, 'UV', 62, 'ptx', 'ar', 'V2', 'V1', 0.7425940138142747, 1.6768145561218262]
['CV', 114, 'UV', 60, 'expr', 'gprof', 'V3', 'V1', 0.8603643367305994, 1.430253267288208]
['UV', 20, 'CV', 143, 'size', 'yes', 'V2', 'V3', 0.895477207977208, 1.1212162971496582]
['UV', 70, 'CV', 57, 'locate', 'who', 'V0', 'V2', 0.3687392055267703, 0.07545280456542969]
['CV', 312, 'BV', 59, 'printf', 'make', 'V1', 'V1', 0.7900507614213198, 0.25579380989074707]
['BV', 60, 'CV', 151, 'codeblocks', 'md5sum', 'V1', 'V3', 0.9595829991980753, 12.527551174163818]
