['CV', 31, 'BV', 49, 'sha1sum', 'make', 'V2', 'V3', 0.7820705176294074, 0.31847691535949707]
['UV', 72, 'CV', 213, 'find', 'whoami', 'V0', 'V0', 0.7609561752988048, 0.13128447532653809]
['UV', 78, 'CV', 11, 'c++filt', 'printenv', 'V0', 'V2', 0.914187643020595, 1.0190093517303467]
['CV', 0, 'BV', 75, 'touch', 'cmp', 'V2', 'V2', 0.07692307692307687, 0.04112720489501953]
['BV', 46, 'CV', 82, 'cluster', 'sort', 'V3', 'V2', 0.29772046972139077, 0.23462748527526855]
['CV', 7, 'UV', 30, 'dir', 'ld', 'V2', 'V3', 0.8177915842982209, 3.554948568344116]
['CV', 65, 'UV', 68, 'env', 'diff', 'V2', 'V0', 0.6097766540244416, 0.08131647109985352]
['CV', 345, 'UV', 19, 'rmdir', 'elfedit', 'V1', 'V2', 0.28341232227488145, 0.02430248260498047]
['UV', 35, 'CV', 49, 'size', 'tsort', 'V3', 'V2', 0.8989935624263306, 1.1911072731018066]
['UV', 42, 'CV', 169, 'diff', 'sort', 'V3', 'V3', 0.08312457299020726, 0.23067212104797363]
['BV', 18, 'CV', 332, 'sort', '[', 'V3', 'V1', 0.6182163187855787, 0.09464073181152344]
['UV', 44, 'CV', 328, 'diff3', 'uname', 'V1', 'V1', 0.46233382570162473, 0.03155159950256348]
['BV', 69, 'CV', 10, 'gvmap', 'ptx', 'V0', 'V2', 0.2249411764705882, 0.19127273559570312]
['CV', 71, 'UV', 85, '[', 'elfedit', 'V2', 'V0', 0.16756756756756763, 0.030670642852783203]
['BV', 50, 'CV', 4, 'sort', 'basename', 'V0', 'V2', 0.3210227272727273, 0.03252577781677246]
['UV', 60, 'CV', 252, 'gprof', 'rm', 'V1', 'V0', 0.8764772543305812, 1.3257265090942383]
['CV', 109, 'BV', 22, 'kill', 'cmp', 'V3', 'V3', 0.13338038108680306, 0.0370175838470459]
['UV', 34, 'BV', 76, 'elfedit', 'diff', 'V3', 'V2', 0.5015136226034309, 0.12918925285339355]
['UV', 7, 'CV', 283, 'nm', 'kill', 'V2', 'V1', 0.9216, 1.2007720470428467]
['UV', 23, 'BV', 35, 'strip', 'libvlccore.so', 'V3', 'V2', 0.2517457040500334, 15.013322353363037]
['UV', 28, 'CV', 222, 'strings', 'df', 'V3', 'V0', 0.8710606879164415, 1.2179882526397705]
['CV', 103, 'BV', 67, 'dd', 'cluster', 'V3', 'V0', 0.3175908729105863, 0.17891383171081543]
['CV', 106, 'UV', 48, 'pr', 'locate', 'V3', 'V1', 0.2433333333333334, 0.11433625221252441]
['UV', 30, 'CV', 272, 'ld', 'printenv', 'V3', 'V1', 0.9575451614865276, 2.295992851257324]
['BV', 5, 'CV', 82, 'libvlccore.so', 'sort', 'V0', 'V2', 0.8345677733464546, 4.190316200256348]
['BV', 62, 'CV', 204, 'diff', 'pinky', 'V0', 'V0', 0.37807606263982096, 0.055873870849609375]
['BV', 54, 'UV', 76, 'lua', 'as', 'V3', 'V0', 0.3969087963571085, 5.354677677154541]
['CV', 223, 'BV', 74, 'tsort', 'git', 'V0', 'V1', 0.9799938948505412, 6.558892488479614]
['BV', 40, 'UV', 7, 'lua', 'nm', 'V2', 'V2', 0.2623627171828694, 3.427070140838623]
['CV', 41, 'UV', 52, 'nice', 'strip', 'V2', 'V1', 0.9282223153190895, 1.7289564609527588]
['UV', 55, 'CV', 69, 'ranlib', 'csplit', 'V1', 'V2', 0.7622041133100504, 1.485255241394043]
['UV', 35, 'CV', 28, 'size', 'chown', 'V3', 'V2', 0.8202676864244742, 1.2828428745269775]
['CV', 92, 'UV', 66, 'mkdir', 'diff3', 'V3', 'V0', 0.08310991957104563, 0.05275464057922363]
['UV', 86, 'BV', 66, 'size', 'lua', 'V0', 'V1', 0.32968383420846825, 2.26489520072937]
['UV', 28, 'BV', 51, 'strings', 'cp', 'V3', 'V0', 0.8072708297095147, 1.3184187412261963]
['BV', 61, 'CV', 125, 'cmp', 'split', 'V0', 'V3', 0.5113871635610766, 0.03629159927368164]
['CV', 300, 'UV', 26, 'whoami', 'ranlib', 'V1', 'V3', 0.9351464435146444, 1.3686909675598145]
['CV', 100, 'BV', 27, 'join', 'libSDL2-2.0.so', 'V3', 'V1', 0.8943388072601556, 5.6627490520477295]
['UV', 65, 'CV', 8, 'objdump', 'du', 'V1', 'V2', 0.8039684437006933, 2.2831783294677734]
['CV', 271, 'BV', 6, 'ptx', 'libvlc.so', 'V1', 'V0', 0.5001012760785902, 0.4133777618408203]
['CV', 189, 'UV', 2, 'uptime', 'find', 'V0', 'V2', 0.7541984732824427, 0.212998628616333]
['UV', 17, 'CV', 221, 'addr2line', 'od', 'V2', 'V0', 0.8891261790354156, 1.200589895248413]
['UV', 79, 'CV', 36, 'strings', 'chroot', 'V0', 'V2', 0.8844866071428571, 1.0702431201934814]
['CV', 68, 'UV', 87, 'cat', 'objdump', 'V2', 'V0', 0.8881842888572538, 2.1221392154693604]
['UV', 66, 'CV', 327, 'diff3', 'link', 'V0', 'V1', 0.45739910313901344, 0.030651330947875977]
['UV', 51, 'CV', 155, 'nm', 'cat', 'V1', 'V3', 0.8815096295016841, 1.2394599914550781]
['CV', 129, 'BV', 68, 'dircolors', 'dot', 'V3', 'V0', 0.5395833333333333, 0.020099163055419922]
['BV', 38, 'CV', 312, 'ruby', 'printf', 'V2', 'V1', 0.6978653530377669, 0.010431289672851562]
['UV', 79, 'CV', 244, 'strings', 'vdir', 'V0', 'V0', 0.7752141234049992, 1.2849326133728027]
['CV', 261, 'BV', 14, 'touch', 'openssl', 'V1', 'V3', 0.9355877616747182, 8.669289112091064]
['CV', 192, 'BV', 28, 'pwd', 'openssl', 'V0', 'V1', 0.9799790426504359, 9.35016393661499]
['CV', 274, 'UV', 15, 'join', 'ld', 'V1', 'V2', 0.9241815747839844, 2.2813334465026855]
['UV', 81, 'CV', 3, 'ld', 'test', 'V0', 'V2', 0.924337630368595, 1.7949292659759521]
['UV', 53, 'CV', 228, 'readelf', 'false', 'V1', 'V0', 0.8066847335140018, 0.09343147277832031]
['CV', 82, 'UV', 43, 'sort', 'sdiff', 'V2', 'V3', 0.23094599770202984, 0.09544634819030762]
['BV', 25, 'CV', 13, 'git', 'join', 'V3', 'V2', 0.9764807823234511, 12.044549942016602]
['BV', 6, 'CV', 94, 'libvlc.so', 'dir', 'V0', 'V3', 0.30620020782819535, 0.5073769092559814]
['BV', 69, 'CV', 303, 'gvmap', 'dircolors', 'V0', 'V1', 0.6790606653620352, 0.12161493301391602]
['CV', 132, 'BV', 40, 'cp', 'lua', 'V3', 'V2', 0.52191894127378, 0.7345504760742188]
['CV', 122, 'BV', 68, 'sum', 'dot', 'V3', 'V0', 0.5654761904761905, 0.020778179168701172]
['CV', 329, 'UV', 19, 'cat', 'elfedit', 'V1', 'V2', 0.2417582417582418, 0.024910926818847656]
['BV', 67, 'CV', 135, 'cluster', 'df', 'V0', 'V3', 0.2659137577002053, 0.1859598159790039]
['UV', 37, 'CV', 284, 'locate', 'wc', 'V3', 'V1', 0.608728943338438, 0.11637544631958008]
['CV', 328, 'BV', 48, 'uname', 'gvmap', 'V1', 'V3', 0.7787259981712893, 0.14270901679992676]
['CV', 221, 'UV', 12, 'od', 'c++filt', 'V0', 'V2', 0.887737634021083, 1.3528010845184326]
['UV', 42, 'BV', 17, 'diff', 'codeblocks', 'V3', 'V2', 0.8852075816860613, 23.856117725372314]
['UV', 11, 'BV', 16, 'ranlib', 'libvlc.so', 'V2', 'V3', 0.4128198695434019, 2.7608206272125244]
['BV', 50, 'CV', 148, 'sort', 'ginstall', 'V0', 'V3', 0.4293697609438063, 0.15294575691223145]
['CV', 336, 'BV', 57, 'tr', 'svn', 'V1', 'V2', 0.7947502734232592, 0.5297994613647461]
['CV', 58, 'BV', 38, 'readlink', 'ruby', 'V2', 'V2', 0.7523553162853297, 0.01112818717956543]
['CV', 45, 'UV', 29, 'cp', 'objcopy', 'V2', 'V3', 0.7618386335231218, 2.2684926986694336]
['UV', 67, 'CV', 282, 'cmp', 'chgrp', 'V0', 'V1', 0.060880829015544036, 0.04343986511230469]
['CV', 273, 'UV', 35, 'stty', 'size', 'V1', 'V3', 0.8972733037412809, 1.3578312397003174]
['UV', 55, 'CV', 324, 'ranlib', 'mv', 'V1', 'V1', 0.7970418413351261, 1.5229594707489014]
['CV', 307, 'BV', 76, 'cut', 'diff', 'V1', 'V2', 0.6311745334796927, 0.11040115356445312]
['BV', 83, 'UV', 66, 'git', 'diff3', 'V2', 'V0', 0.9619884754370543, 8.916776180267334]
['BV', 74, 'UV', 14, 'git', 'objcopy', 'V1', 'V2', 0.5315956770502225, 12.51078724861145]
['CV', 36, 'UV', 9, 'chroot', 'readelf', 'V2', 'V2', 0.7037037037037037, 0.14894580841064453]
['BV', 12, 'CV', 76, 'sort', 'comm', 'V2', 'V2', 0.4541326067211626, 0.06663107872009277]
['BV', 70, 'CV', 285, 'ssh', 'factor', 'V0', 'V1', 0.9703852689253389, 4.395171403884888]
['UV', 79, 'CV', 135, 'strings', 'df', 'V0', 'V3', 0.7480804072124925, 1.277522087097168]
