['BO', 10, 'UO', 51, 'openssl', 'objcopy', 'O3', 'O3', 0.4051375519735718, 17.30369734764099]
['UO', 1, 'BO', 19, 'xargs', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.8929784161430077, 8.953341484069824]
['BO', 53, 'CO', 27, 'bash', 'wc', 'O0', 'O3', 0.9379110388232799, 4.8451828956604]
['UO', 11, 'CO', 97, 'ld', 'uniq', 'O1', 'O3', 0.8979955200735168, 2.6885581016540527]
['BO', 64, 'CO', 316, 'dot', 'test', 'O0', 'O0', 0.6040145985401459, 0.03418755531311035]
['BO', 7, 'CO', 179, 'sort', 'mv', 'O0', 'O1', 0.09326424870466321, 0.39547038078308105]
['CO', 132, 'BO', 30, 'factor', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9207530820434047, 7.4832587242126465]
['CO', 341, 'UO', 41, 'nproc', 'locate', 'O0', 'O2', 0.5234853641933288, 0.17022323608398438]
['CO', 9, 'UO', 66, 'du', 'nm', 'O3', 'O0', 0.7992181561515909, 4.142595529556274]
['BO', 48, 'UO', 66, 'libvlccore.so.9.0.0', 'nm', 'O0', 'O0', 0.3462321792260692, 30.677895545959473]
['UO', 25, 'CO', 101, 'sdiff', 'rmdir', 'O2', 'O3', 0.23645026801667657, 0.050485849380493164]
['BO', 9, 'UO', 82, 'git', 'cmp', 'O0', 'O0', 0.9645996997992163, 9.033655881881714]
['CO', 124, 'UO', 61, 'mkfifo', 'find', 'O1', 'O3', 0.7909090909090909, 0.44339609146118164]
['BO', 31, 'CO', 99, 'bash', 'sort', 'O2', 'O3', 0.8349972912313288, 4.269540071487427]
['UO', 18, 'CO', 95, 'diff3', 'sha224sum', 'O1', 'O3', 0.18791946308724827, 0.055780649185180664]
['UO', 20, 'CO', 165, 'diff', 'cksum', 'O1', 'O1', 0.5868577420482349, 0.13506507873535156]
['CO', 330, 'UO', 40, 'uptime', 'objdump', 'O0', 'O2', 0.8941176470588236, 3.0312843322753906]
['UO', 46, 'CO', 93, 'readelf', 'nl', 'O3', 'O3', 0.779534742283716, 0.2926945686340332]
['UO', 53, 'CO', 348, 'gprof', 'pinky', 'O3', 'O0', 0.8530550412388487, 1.2317640781402588]
['CO', 53, 'UO', 52, 'chmod', 'ld', 'O3', 'O3', 0.8708131174373064, 2.5242583751678467]
['CO', 390, 'BO', 9, 'chcon', 'git', 'O0', 'O0', 0.9381899303819378, 11.964269638061523]
['BO', 20, 'CO', 6, 'sort', 'mkdir', 'O1', 'O3', 0.396510434485118, 0.14027118682861328]
