['UO', 61, 'BO', 45, 'find', 'diff', 'O3', 'O2', 0.3895683958948404, 0.633922815322876]
['CO', 48, 'UO', 61, 'ls', 'find', 'O3', 'O3', 0.41261516654854713, 0.6641802787780762]
['BO', 53, 'UO', 63, 'bash', 'cmp', 'O0', 'O3', 0.9464450600184672, 4.970561265945435]
['CO', 328, 'UO', 82, 'dirname', 'cmp', 'O0', 'O0', 0.19401041666666663, 0.05921053886413574]
['UO', 10, 'CO', 237, 'objcopy', 'nproc', 'O1', 'O2', 0.923009238891333, 1.7523562908172607]
['BO', 18, 'CO', 134, 'libvlc.so.12.0.0', 'expand', 'O1', 'O1', 0.7434615384615385, 0.5772356986999512]
['CO', 346, 'UO', 26, 'tail', 'nm', 'O0', 'O2', 0.7385834490646189, 1.9716215133666992]
['CO', 207, 'BO', 74, 'ln', 'dot', 'O1', 'O1', 0.7144670050761421, 0.05467343330383301]
['BO', 20, 'CO', 337, 'sort', 'chgrp', 'O1', 'O0', 0.18630295995356938, 0.22101616859436035]
['UO', 19, 'CO', 189, 'cmp', '[', 'O1', 'O1', 0.0813214739517154, 0.04958677291870117]
['BO', 51, 'CO', 412, 'lua', 'tac', 'O1', 'O0', 0.7801902903147109, 0.630014181137085]
['BO', 53, 'CO', 406, 'bash', 'rm', 'O0', 'O0', 0.8942420681551116, 5.656764507293701]
['BO', 31, 'CO', 211, 'bash', 'unlink', 'O2', 'O2', 0.9620174603831354, 3.5911760330200195]
['BO', 46, 'CO', 385, 'ruby', 'hostid', 'O3', 'O0', 0.9811654812417961, 17.40019392967224]
['UO', 83, 'CO', 275, 'diff', 'nohup', 'O0', 'O2', 0.6588380716934487, 0.18432855606079102]
['BO', 26, 'CO', 191, 'gvmap', 'id', 'O3', 'O1', 0.588644586696354, 0.16109442710876465]
['BO', 1, 'CO', 6, 'ssh', 'mkdir', 'O2', 'O3', 0.8889719626168224, 1.920353651046753]
['CO', 195, 'BO', 56, 'comm', 'libvlc.so.12.0.0', 'O1', 'O3', 0.7359970126960418, 0.633836030960083]
['BO', 27, 'UO', 70, 'perl', 'ranlib', 'O3', 'O0', 0.32428146679881076, 10.91468596458435]
['BO', 68, 'CO', 387, 'git', 'mv', 'O3', 'O0', 0.8797000895255148, 10.853082656860352]
['CO', 19, 'UO', 11, 'dd', 'ld', 'O3', 'O1', 0.8510054332605165, 3.416762113571167]
['CO', 103, 'BO', 54, 'ln', 'lua', 'O3', 'O3', 0.6502143294549908, 0.601879358291626]
['UO', 69, 'CO', 329, 'as', 'stdbuf', 'O0', 'O0', 0.9336571496268214, 5.171456336975098]
['UO', 25, 'CO', 225, 'sdiff', 'stdbuf', 'O2', 'O2', 0.20935960591133007, 0.052243709564208984]
['CO', 81, 'UO', 27, 'cat', 'strip', 'O3', 'O2', 0.8974052194720706, 1.7282209396362305]
['CO', 194, 'UO', 5, 'tr', 'readelf', 'O1', 'O1', 0.7746102449888641, 0.44779396057128906]
['UO', 19, 'CO', 411, 'cmp', 'sort', 'O1', 'O0', 0.5509245670678016, 0.23273205757141113]
['CO', 7, 'UO', 11, 'fmt', 'ld', 'O3', 'O1', 0.9161447459986082, 3.0253419876098633]
['BO', 61, 'CO', 117, 'git', 'printenv', 'O1', 'O1', 0.9790279823269514, 8.697320461273193]
['BO', 70, 'CO', 257, 'diff', 'nice', 'O3', 'O2', 0.6447033127047689, 0.10567140579223633]
['BO', 43, 'UO', 41, 'diff', 'locate', 'O1', 'O2', 0.0912319644839068, 0.31116199493408203]
['CO', 106, 'UO', 82, 'stat', 'cmp', 'O1', 'O0', 0.17780809458844926, 0.09725451469421387]
['UO', 41, 'BO', 70, 'locate', 'diff', 'O2', 'O3', 0.12149532710280375, 0.2923853397369385]
['BO', 44, 'CO', 29, 'cmp', 'nproc', 'O2', 'O3', 0.15948275862068972, 0.03660082817077637]
['CO', 236, 'BO', 75, 'factor', 'gvmap', 'O2', 'O1', 0.5173131996875814, 0.19690990447998047]
['CO', 266, 'UO', 56, 'df', 'elfedit', 'O2', 'O3', 0.3278688524590163, 0.07585000991821289]
['CO', 304, 'UO', 10, 'fold', 'objcopy', 'O2', 'O1', 0.9204745166959578, 1.8838741779327393]
['UO', 87, 'CO', 373, 'find', 'cksum', 'O0', 'O0', 0.8172372452377781, 0.8245556354522705]
['CO', 355, 'UO', 57, 'chroot', 'size', 'O0', 'O3', 0.8442659929621944, 1.37626051902771]
['CO', 371, 'BO', 30, 'tsort', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.938620552574041, 7.461165189743042]
['BO', 11, 'CO', 328, 'ssh', 'dirname', 'O1', 'O0', 0.9205767041861641, 1.9625685214996338]
['CO', 57, 'UO', 72, 'od', 'strings', 'O3', 'O0', 0.8744228993536473, 3.4296765327453613]
['UO', 48, 'CO', 386, 'ranlib', 'unexpand', 'O3', 'O0', 0.8644650842793258, 1.2134020328521729]
['BO', 63, 'CO', 179, 'cluster', 'mv', 'O0', 'O1', 0.2796531433880458, 0.4839470386505127]
['UO', 52, 'CO', 251, 'ld', 'chroot', 'O3', 'O2', 0.9208883553421369, 2.169945001602173]
['CO', 24, 'UO', 24, 'tee', 'diff', 'O3', 'O2', 0.494385845525689, 0.13216805458068848]
['CO', 405, 'BO', 71, 'nl', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9304741162673815, 10.583829641342163]
['CO', 208, 'BO', 44, 'sha384sum', 'cmp', 'O2', 'O2', 0.09978463747307964, 0.04239797592163086]
['CO', 203, 'BO', 37, 'sort', 'gvmap', 'O1', 'O2', 0.20295202952029523, 0.3437817096710205]
['UO', 58, 'CO', 156, 'objdump', 'sha256sum', 'O3', 'O1', 0.9160847232642696, 2.2164306640625]
['CO', 240, 'UO', 71, 'expr', 'c++filt', 'O2', 'O0', 0.9069794929377696, 3.3099985122680664]
['CO', 3, 'UO', 69, 'unlink', 'as', 'O3', 'O0', 0.9527816550348953, 5.487964630126953]
['CO', 294, 'BO', 64, 'timeout', 'dot', 'O2', 'O0', 0.531416400425985, 0.02372288703918457]
['CO', 195, 'BO', 44, 'comm', 'cmp', 'O1', 'O2', 0.10504774897680769, 0.04549360275268555]
['BO', 39, 'CO', 200, 'codeblocks', 'fold', 'O3', 'O1', 0.9670363524337646, 14.733417987823486]
['UO', 36, 'CO', 402, 'addr2line', 'tr', 'O2', 'O0', 0.8261173795154377, 1.3125033378601074]
['BO', 16, 'UO', 16, 'make', 'size', 'O0', 'O1', 0.3679815541845828, 3.2494630813598633]
['CO', 112, 'UO', 78, 'dir', 'elfedit', 'O1', 'O0', 0.43964026288481495, 0.14353704452514648]
['CO', 104, 'BO', 20, 'sha384sum', 'sort', 'O1', 'O1', 0.472806381435823, 0.14885616302490234]
['CO', 6, 'UO', 71, 'mkdir', 'c++filt', 'O3', 'O0', 0.8952129221732746, 3.307028293609619]
['BO', 23, 'CO', 246, 'git', 'sha1sum', 'O2', 'O2', 0.9757689819443628, 8.677845478057861]
['UO', 0, 'CO', 280, 'locate', 'head', 'O1', 'O2', 0.5426849681955139, 0.15278935432434082]
['CO', 105, 'UO', 69, 'touch', 'as', 'O1', 'O0', 0.9146041055718475, 6.318028926849365]
['CO', 327, 'UO', 87, 'join', 'find', 'O0', 'O0', 0.748526018969495, 1.0421762466430664]
['CO', 397, 'BO', 32, '[', 'ruby', 'O0', 'O2', 0.9692505890529385, 23.9827983379364]
['CO', 64, 'UO', 44, 'tty', 'nm', 'O3', 'O3', 0.8946599726152442, 1.1589930057525635]
['CO', 327, 'UO', 1, 'join', 'xargs', 'O0', 'O1', 0.17722056948576292, 0.12130403518676758]
['CO', 266, 'UO', 51, 'df', 'objcopy', 'O2', 'O3', 0.8033261026753434, 1.902190923690796]
['CO', 177, 'UO', 49, 'hostid', 'c++filt', 'O1', 'O3', 0.8968021884727856, 1.1409029960632324]
['BO', 41, 'CO', 290, 'libSDL2-2.0.so.0.16.0', 'shuf', 'O2', 'O2', 0.9096110949471439, 7.337686538696289]
['CO', 354, 'UO', 16, 'sum', 'size', 'O0', 'O1', 0.8536005434782609, 1.7237019538879395]
['UO', 44, 'CO', 403, 'nm', 'comm', 'O3', 'O0', 0.8575136489752081, 1.1567151546478271]
['CO', 241, 'BO', 25, 'chown', 'dot', 'O2', 'O3', 0.6712929145361578, 0.03749895095825195]
