['UV', 39, 'CV', 304, 'find', 'chmod', 'V3', 'V1', 0.7067082683307332, 0.4020061492919922]
['UV', 70, 'CV', 238, 'locate', 'md5sum', 'V0', 'V0', 0.5194992778045258, 0.06859517097473145]
['UV', 81, 'CV', 310, 'ld', 'tsort', 'V0', 'V1', 0.9428384565075213, 1.7152647972106934]
['BV', 42, 'CV', 40, 'libvlc.so', 'ls', 'V1', 'V2', 0.46128182616330116, 0.471942663192749]
['BV', 28, 'CV', 216, 'openssl', 'dircolors', 'V1', 'V0', 0.9787437891312583, 8.133108854293823]
['CV', 303, 'UV', 67, 'dircolors', 'cmp', 'V1', 'V0', 0.21221864951768488, 0.030112028121948242]
['UV', 21, 'CV', 251, 'objdump', 'nl', 'V2', 'V0', 0.848102869449547, 2.0213308334350586]
['CV', 81, 'UV', 54, 'sleep', 'as', 'V2', 'V1', 0.938121546961326, 2.2754523754119873]
['CV', 31, 'BV', 13, 'sha1sum', 'cp', 'V2', 'V2', 0.49390243902439024, 0.0821981430053711]
['UV', 51, 'CV', 264, 'nm', 'test', 'V1', 'V1', 0.917950523813716, 1.1620030403137207]
['BV', 10, 'CV', 27, 'gvmap', 'expr', 'V2', 'V2', 0.3617715617715618, 0.18764519691467285]
['UV', 11, 'CV', 122, 'ranlib', 'sum', 'V2', 'V3', 0.8701535907015359, 1.3303203582763672]
['CV', 120, 'BV', 67, 'sync', 'cluster', 'V3', 'V0', 0.594259621656882, 0.13199996948242188]
['BV', 37, 'UV', 72, 'geany', 'find', 'V1', 'V0', 0.900285864740841, 28.629218578338623]
['CV', 260, 'BV', 41, 'ln', 'libvlccore.so', 'V0', 'V1', 0.9387853729259518, 3.8533337116241455]
['BV', 74, 'CV', 210, 'git', 'chroot', 'V1', 'V0', 0.9827407825432656, 5.742621421813965]
['BV', 4, 'CV', 245, 'geany', '[', 'V3', 'V0', 0.9830638416504043, 31.00735640525818]
['UV', 22, 'CV', 242, 'nm', 'cat', 'V3', 'V0', 0.9263215061549602, 1.1636700630187988]
['CV', 203, 'UV', 61, 'tail', 'addr2line', 'V0', 'V1', 0.8729769923891173, 1.3502147197723389]
['BV', 9, 'CV', 78, 'dot', 'rm', 'V2', 'V2', 0.6492063492063492, 0.031018733978271484]
['UV', 55, 'CV', 194, 'ranlib', 'tee', 'V1', 'V0', 0.9281589673913043, 1.2140262126922607]
['BV', 65, 'CV', 285, 'ssh', 'factor', 'V1', 'V1', 0.9712863963418734, 4.53864860534668]
['BV', 53, 'CV', 53, 'ssh', 'tty', 'V2', 'V2', 0.9681881975539665, 4.614595413208008]
['UV', 7, 'CV', 52, 'nm', 'logname', 'V2', 'V2', 0.9151311126860383, 1.1712186336517334]
['CV', 292, 'UV', 28, 'sha1sum', 'strings', 'V1', 'V3', 0.9106289076866495, 1.2509136199951172]
['CV', 345, 'UV', 38, 'rmdir', 'xargs', 'V1', 'V3', 0.5556865055981143, 0.06522679328918457]
['UV', 32, 'BV', 5, 'addr2line', 'libvlccore.so', 'V3', 'V0', 0.26580209628708473, 11.617895364761353]
['BV', 81, 'CV', 258, 'dot', 'rmdir', 'V1', 'V0', 0.2884283246977548, 0.010463476181030273]
['UV', 47, 'CV', 275, 'sdiff', 'dirname', 'V1', 'V1', 0.44946236559139785, 0.03444504737854004]
['CV', 170, 'UV', 4, 'tac', 'cmp', 'V3', 'V2', 0.09288917360666238, 0.04186511039733887]
['CV', 235, 'BV', 76, 'ginstall', 'diff', 'V0', 'V2', 0.30371660859465743, 0.16377854347229004]
['CV', 190, 'UV', 40, 'dd', 'diff3', 'V0', 'V3', 0.17491749174917492, 0.05182528495788574]
['UV', 28, 'CV', 118, 'strings', 'sha1sum', 'V3', 'V3', 0.8658525635269821, 1.1769897937774658]
['CV', 277, 'UV', 87, 'dd', 'objdump', 'V1', 'V0', 0.896159594515563, 2.0984513759613037]
['BV', 27, 'UV', 74, 'libSDL2-2.0.so', 'strip', 'V1', 'V0', 0.23753246753246748, 11.198215961456299]
['UV', 78, 'CV', 70, 'c++filt', 'vdir', 'V0', 'V2', 0.7279203501845335, 1.3023407459259033]
['CV', 47, 'UV', 78, 'od', 'c++filt', 'V2', 'V0', 0.8387983147096538, 1.2500414848327637]
['CV', 316, 'UV', 26, 'nohup', 'ranlib', 'V1', 'V3', 0.9194189866851116, 1.357020616531372]
['CV', 318, 'BV', 46, 'who', 'cluster', 'V1', 'V3', 0.6549019607843137, 0.15614867210388184]
['UV', 81, 'CV', 339, 'ld', 'rm', 'V0', 'V1', 0.8989963561976603, 1.8348407745361328]
['CV', 135, 'UV', 73, 'df', 'nm', 'V3', 'V0', 0.7530655391120508, 1.601407766342163]
['CV', 237, 'UV', 49, 'mv', 'xargs', 'V0', 'V1', 0.25, 0.0656893253326416]
['CV', 247, 'UV', 28, 'shred', 'strings', 'V0', 'V3', 0.8719034321232322, 1.38873291015625]
['CV', 18, 'BV', 79, 'pwd', 'bash', 'V2', 'V3', 0.949916384374598, 3.719764232635498]
['CV', 201, 'UV', 75, 'expr', 'readelf', 'V0', 'V0', 0.38570383020248844, 0.1427774429321289]
