['CV', 60, 'UV', 29, 'hostid', 'objcopy', 'V2', 'V3', 0.9278225193739553, 1.6321849822998047]
['CV', 21, 'UV', 47, 'chgrp', 'sdiff', 'V2', 'V1', 0.09751243781094532, 0.06040596961975098]
['CV', 339, 'BV', 1, 'rm', 'libSDL2-2.0.so', 'V1', 'V3', 0.9290627107215105, 8.172226428985596]
['CV', 15, 'UV', 71, 'uptime', 'xargs', 'V2', 'V0', 0.0842607313195548, 0.032598257064819336]
['BV', 34, 'CV', 9, 'svn', 'users', 'V0', 'V2', 0.7855196574542623, 0.4071474075317383]
['CV', 81, 'UV', 13, 'sleep', 'strings', 'V2', 'V2', 0.9040923021453038, 1.285780906677246]
['CV', 86, 'BV', 10, 'ln', 'gvmap', 'V2', 'V2', 0.5389884088514225, 0.18915510177612305]
['UV', 24, 'BV', 68, 'readelf', 'dot', 'V3', 'V0', 0.9244459368703828, 0.2653977870941162]
['CV', 149, 'UV', 55, 'unexpand', 'ranlib', 'V3', 'V1', 0.8818166749544174, 1.4797894954681396]
['UV', 43, 'CV', 224, 'sdiff', 'cksum', 'V3', 'V0', 0.4687953555878084, 0.03365206718444824]
['BV', 75, 'UV', 62, 'cmp', 'ar', 'V2', 'V1', 0.8748245396746759, 1.5330119132995605]
['UV', 31, 'BV', 3, 'gprof', 'diff', 'V3', 'V1', 0.7109072993253999, 1.6367850303649902]
['BV', 16, 'CV', 179, 'libvlc.so', 'mkdir', 'V3', 'V0', 0.7928393643499905, 0.4259665012359619]
['UV', 57, 'CV', 264, 'strings', 'test', 'V1', 'V1', 0.9162924375785881, 1.1393308639526367]
['CV', 162, 'UV', 58, 'tr', 'objcopy', 'V3', 'V1', 0.8917659953418277, 1.9234726428985596]
['CV', 181, 'UV', 47, 'dir', 'sdiff', 'V0', 'V1', 0.15517241379310343, 0.09068608283996582]
['CV', 315, 'UV', 58, 'false', 'objcopy', 'V1', 'V1', 0.9530410183875531, 1.673269271850586]
['BV', 80, 'CV', 273, 'cluster', 'stty', 'V1', 'V1', 0.662133575098217, 0.14691376686096191]
['CV', 187, 'UV', 65, 'join', 'objdump', 'V0', 'V1', 0.9223028913514202, 2.1362791061401367]
['CV', 114, 'BV', 70, 'expr', 'ssh', 'V3', 'V0', 0.9405737704918032, 5.375557899475098]
['UV', 86, 'CV', 187, 'size', 'join', 'V0', 'V0', 0.9024, 1.0706305503845215]
['CV', 277, 'UV', 52, 'dd', 'strip', 'V1', 'V1', 0.890600397069898, 1.9093308448791504]
['BV', 81, 'CV', 96, 'dot', 'users', 'V1', 'V3', 0.5283648498331479, 0.018182992935180664]
['UV', 35, 'CV', 244, 'size', 'vdir', 'V3', 'V0', 0.7805312738691335, 1.444298505783081]
['UV', 73, 'CV', 222, 'nm', 'df', 'V0', 'V0', 0.8707697861203862, 1.1803679466247559]
['UV', 40, 'CV', 201, 'diff3', 'expr', 'V3', 'V0', 0.12532637075718012, 0.05999588966369629]
['UV', 61, 'CV', 185, 'addr2line', 'printenv', 'V1', 'V0', 0.9387847505206919, 1.141444206237793]
['BV', 70, 'CV', 324, 'ssh', 'mv', 'V0', 'V1', 0.9131986531986532, 5.075700044631958]
['CV', 86, 'UV', 73, 'ln', 'nm', 'V2', 'V0', 0.843322070069358, 1.391474723815918]
['CV', 152, 'BV', 83, 'env', 'git', 'V3', 'V2', 0.9744456675577922, 9.539597749710083]
['BV', 1, 'CV', 214, 'libSDL2-2.0.so', 'ls', 'V3', 'V0', 0.887463761749978, 7.759443044662476]
['BV', 71, 'CV', 9, 'ruby', 'users', 'V1', 'V2', 0.7156105100463679, 0.009636402130126953]
['CV', 108, 'BV', 46, 'chgrp', 'cluster', 'V3', 'V3', 0.40177439797211667, 0.2003495693206787]
['UV', 11, 'CV', 25, 'ranlib', 'expand', 'V2', 'V2', 0.9114052953156823, 1.2801153659820557]
['UV', 61, 'BV', 67, 'addr2line', 'cluster', 'V1', 'V0', 0.6292519595160185, 1.6850647926330566]
['CV', 170, 'UV', 30, 'tac', 'ld', 'V3', 'V3', 0.905060668836934, 2.829378128051758]
['CV', 312, 'BV', 65, 'printf', 'ssh', 'V1', 'V1', 0.9653392330383481, 5.478535413742065]
['BV', 17, 'UV', 43, 'codeblocks', 'sdiff', 'V2', 'V3', 0.9469941483639035, 14.396056652069092]
['CV', 28, 'BV', 10, 'chown', 'gvmap', 'V2', 'V2', 0.47986832109394784, 0.19817233085632324]
['UV', 62, 'CV', 200, 'ar', 'date', 'V1', 'V0', 0.8924820803467245, 1.3530807495117188]
['CV', 258, 'UV', 58, 'rmdir', 'objcopy', 'V0', 'V1', 0.9500070611495551, 1.6967997550964355]
['CV', 127, 'BV', 5, 'ls', 'libvlccore.so', 'V3', 'V0', 0.7854622441778405, 5.99236798286438]
['CV', 272, 'BV', 76, 'printenv', 'diff', 'V1', 'V2', 0.7292474786656322, 0.09632515907287598]
['BV', 52, 'CV', 269, 'libSDL2-2.0.so', 'du', 'V2', 'V1', 0.8892366720516963, 5.815118312835693]
['UV', 66, 'CV', 318, 'diff3', 'who', 'V0', 'V1', 0.26131953428201804, 0.04113340377807617]
['BV', 16, 'CV', 221, 'libvlc.so', 'od', 'V3', 'V0', 0.7673892554194156, 0.42717623710632324]
['CV', 290, 'BV', 79, 'tail', 'bash', 'V1', 'V3', 0.9346522016592215, 4.08591103553772]
['CV', 203, 'BV', 4, 'tail', 'geany', 'V0', 'V3', 0.9748056635202665, 37.76851534843445]
['BV', 54, 'CV', 125, 'lua', 'split', 'V3', 'V3', 0.7276713015157209, 0.5449938774108887]
['UV', 16, 'CV', 214, 'gprof', 'ls', 'V2', 'V0', 0.7973692452239274, 1.589639663696289]
['BV', 17, 'UV', 23, 'codeblocks', 'strip', 'V2', 'V3', 0.4951592817257864, 24.103404760360718]
['CV', 344, 'UV', 37, 'tac', 'locate', 'V1', 'V3', 0.2667669172932331, 0.16051149368286133]
['CV', 232, 'UV', 32, 'readlink', 'addr2line', 'V0', 'V3', 0.9231761238025056, 1.2649104595184326]
['CV', 337, 'UV', 51, 'comm', 'nm', 'V1', 'V1', 0.917612886189596, 1.3132011890411377]
['CV', 207, 'BV', 32, 'sync', 'perl', 'V0', 'V0', 0.9710635417548016, 2.6503186225891113]
['CV', 265, 'BV', 56, 'basename', 'ssh', 'V1', 'V3', 0.9487009544008483, 1.8601129055023193]
['UV', 56, 'CV', 126, 'c++filt', 'whoami', 'V1', 'V3', 0.8950860832137734, 1.1619548797607422]
['CV', 154, 'BV', 18, 'uname', 'sort', 'V3', 'V3', 0.5682236116219198, 0.10605311393737793]
['UV', 66, 'CV', 123, 'diff3', 'chroot', 'V0', 'V3', 0.12914285714285711, 0.04697728157043457]
['UV', 10, 'CV', 88, 'as', 'stat', 'V2', 'V3', 0.8591549295774648, 2.4756405353546143]
