['CO', 316, 'UO', 78, 'test', 'elfedit', 'O0', 'O0', 0.1245551601423488, 0.06325554847717285]
['BO', 42, 'CO', 232, 'cmp', 'tee', 'O1', 'O2', 0.13323572474377743, 0.039795875549316406]
['CO', 188, 'BO', 24, 'vdir', 'cluster', 'O1', 'O3', 0.17842848114598697, 0.308366060256958]
['BO', 83, 'CO', 239, 'lua', 'date', 'O2', 'O2', 0.7417160136071563, 0.5607864856719971]
['BO', 55, 'CO', 306, 'make', 'sleep', 'O1', 'O2', 0.8046364176738656, 0.26969289779663086]
['CO', 154, 'UO', 6, 'dircolors', 'as', 'O1', 'O1', 0.9219775975280031, 2.8673346042633057]
['UO', 86, 'BO', 68, 'xargs', 'git', 'O0', 'O3', 0.9369234317343174, 12.524441003799438]
['BO', 14, 'CO', 27, 'cmp', 'wc', 'O0', 'O3', 0.10414333706606937, 0.06132316589355469]
['BO', 75, 'CO', 259, 'gvmap', 'realpath', 'O1', 'O2', 0.6046255506607929, 0.16474199295043945]
['BO', 3, 'CO', 184, 'openssl', 'uname', 'O1', 'O1', 0.9515481279958544, 10.335143566131592]
['BO', 78, 'CO', 330, 'ssh', 'uptime', 'O0', 'O0', 0.9074573225516622, 3.0730581283569336]
['CO', 93, 'BO', 61, 'nl', 'git', 'O3', 'O1', 0.9715560076685317, 9.691969394683838]
['UO', 71, 'CO', 406, 'c++filt', 'rm', 'O0', 'O0', 0.8268697276793296, 3.3296098709106445]
['CO', 33, 'BO', 51, 'chown', 'lua', 'O3', 'O1', 0.710301183639986, 0.7408308982849121]
['UO', 86, 'CO', 360, 'xargs', 'ls', 'O0', 'O0', 0.2769022962629446, 0.41153907775878906]
['BO', 79, 'CO', 22, 'bash', 'pwd', 'O3', 'O3', 0.944213090280506, 3.319732189178467]
['CO', 41, 'UO', 79, 'echo', 'size', 'O3', 'O0', 0.9326786559394227, 3.089348554611206]
['BO', 63, 'CO', 181, 'cluster', 'env', 'O0', 'O1', 0.7428023032629558, 0.2509312629699707]
['BO', 50, 'CO', 113, 'perl', 'du', 'O2', 'O1', 0.893336431766688, 3.97853946685791]
['UO', 11, 'CO', 199, 'ld', 'sha224sum', 'O1', 'O1', 0.9156954832724532, 2.861631155014038]
['UO', 13, 'CO', 255, 'addr2line', 'numfmt', 'O1', 'O2', 0.8699939970842981, 1.4206147193908691]
['CO', 24, 'BO', 4, 'tee', 'libgeany.so.0.0.0', 'O3', 'O2', 0.9762044700014296, 43.61567974090576]
['BO', 68, 'CO', 243, 'git', 'base32', 'O3', 'O2', 0.9773971393254459, 8.769879817962646]
['CO', 168, 'BO', 2, 'tty', 'perl', 'O1', 'O1', 0.9707712266024199, 3.796692132949829]
['CO', 78, 'BO', 59, 'chcon', 'libgeany.so.0.0.0', 'O3', 'O3', 0.9626568907667453, 42.71389317512512]
['UO', 56, 'BO', 27, 'elfedit', 'perl', 'O3', 'O3', 0.9581440337661576, 3.7161784172058105]
['UO', 81, 'CO', 243, 'diff3', 'base32', 'O0', 'O2', 0.3708356089568542, 0.0711052417755127]
['CO', 363, 'BO', 51, 'realpath', 'lua', 'O0', 'O1', 0.7666142113545575, 0.7968997955322266]
['CO', 198, 'UO', 29, 'rm', 'as', 'O1', 'O2', 0.8567150937118776, 3.0397884845733643]
['CO', 339, 'UO', 26, 'wc', 'nm', 'O0', 'O2', 0.8321280991735537, 1.7245140075683594]
['CO', 48, 'UO', 4, 'ls', 'strip', 'O3', 'O1', 0.7205641193834044, 2.7679097652435303]
['CO', 231, 'BO', 60, 'pr', 'openssl', 'O2', 'O0', 0.9208544644229292, 15.642016172409058]
['UO', 52, 'CO', 25, 'ld', 'chgrp', 'O3', 'O3', 0.8602650546384562, 2.288600206375122]
['UO', 52, 'CO', 70, 'ld', 'b2sum', 'O3', 'O3', 0.8926079243051449, 2.211810827255249]
['CO', 103, 'BO', 74, 'ln', 'dot', 'O3', 'O1', 0.727932285368803, 0.04678773880004883]
['UO', 13, 'CO', 395, 'addr2line', 'csplit', 'O1', 'O0', 0.7976916735366859, 1.6223914623260498]
['BO', 27, 'CO', 210, 'perl', 'stat', 'O3', 'O2', 0.929470887245841, 3.5742790699005127]
['CO', 298, 'BO', 78, 'tr', 'ssh', 'O2', 'O0', 0.9322445264701421, 3.3524880409240723]
['CO', 73, 'BO', 3, 'hostid', 'openssl', 'O3', 'O1', 0.9505373559497604, 11.811310768127441]
['CO', 47, 'BO', 40, 'numfmt', 'lua', 'O3', 'O0', 0.8279655931186237, 1.0920219421386719]
['CO', 127, 'UO', 39, 'pr', 'size', 'O1', 'O2', 0.8039621016365203, 1.7208454608917236]
['CO', 58, 'BO', 71, 'df', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.8814167958867216, 11.64762568473816]
['CO', 175, 'UO', 78, 'readlink', 'elfedit', 'O1', 'O0', 0.10088272383354346, 0.05380606651306152]
['CO', 221, 'BO', 58, 'printenv', 'svn', 'O2', 'O1', 0.8539513171057019, 0.685042142868042]
['CO', 189, 'BO', 66, '[', 'svn', 'O1', 'O2', 0.7471839799749687, 0.8104808330535889]
['CO', 284, 'BO', 46, 'md5sum', 'ruby', 'O2', 'O3', 0.9811957201947586, 19.082106351852417]
['UO', 73, 'CO', 319, 'objcopy', 'fmt', 'O0', 'O0', 0.9195157048578375, 3.7719991207122803]
['CO', 173, 'BO', 18, 'who', 'libvlc.so.12.0.0', 'O1', 'O1', 0.700131356727341, 0.7124552726745605]
['BO', 55, 'CO', 231, 'make', 'pr', 'O1', 'O2', 0.6310888252148997, 0.33334994316101074]
['CO', 178, 'UO', 21, 'unexpand', 'sdiff', 'O1', 'O1', 0.20023696682464454, 0.05636882781982422]
['CO', 399, 'BO', 47, 'id', 'libvlc.so.12.0.0', 'O0', 'O0', 0.7123309985339632, 1.028052806854248]
['CO', 95, 'BO', 28, 'sha224sum', 'ruby', 'O3', 'O0', 0.9771271036248239, 20.156343460083008]
