['UO', 35, 'CO', 323, 'gprof', 'groups', 'O2', 'O0', 0.8769026033435915, 1.3552377223968506]
['CO', 168, 'UO', 32, 'tty', 'strings', 'O1', 'O2', 0.8991043684883934, 1.333362340927124]
['CO', 400, 'BO', 39, 'shred', 'codeblocks', 'O0', 'O3', 0.9342623447440169, 22.455164432525635]
['CO', 339, 'UO', 72, 'wc', 'strings', 'O0', 'O0', 0.8867266918385129, 3.7536017894744873]
['BO', 9, 'CO', 317, 'git', 'basename', 'O0', 'O0', 0.9742981957803593, 8.708304643630981]
['CO', 46, 'UO', 31, 'whoami', 'c++filt', 'O3', 'O2', 0.892492878801801, 1.2823951244354248]
['CO', 257, 'BO', 75, 'nice', 'gvmap', 'O2', 'O1', 0.7136136430461629, 0.16266393661499023]
['BO', 70, 'CO', 246, 'diff', 'sha1sum', 'O3', 'O2', 0.5710809871393813, 0.11252069473266602]
['CO', 308, 'BO', 48, 'tac', 'libvlccore.so.9.0.0', 'O2', 'O0', 0.9620642215262125, 16.339766263961792]
['CO', 104, 'UO', 0, 'sha384sum', 'locate', 'O1', 'O1', 0.5209501814582645, 0.1777200698852539]
['UO', 56, 'CO', 292, 'elfedit', 'vdir', 'O3', 'O2', 0.46621621621621623, 0.12397289276123047]
['UO', 75, 'CO', 328, 'gprof', 'dirname', 'O0', 'O0', 0.9292155094679891, 3.052919387817383]
['BO', 36, 'CO', 256, 'cluster', 'ls', 'O2', 'O2', 0.1842560553633218, 0.2913095951080322]
['UO', 75, 'CO', 71, 'gprof', 'readlink', 'O0', 'O3', 0.9109076699787876, 3.0263805389404297]
['CO', 209, 'BO', 6, 'touch', 'codeblocks', 'O2', 'O0', 0.9621715382344257, 48.984962701797485]
['UO', 17, 'CO', 231, 'objdump', 'pr', 'O1', 'O2', 0.887086165314624, 2.795743703842163]
['UO', 26, 'BO', 37, 'nm', 'gvmap', 'O2', 'O2', 0.5781435349940688, 1.7769780158996582]
['BO', 39, 'CO', 353, 'codeblocks', 'echo', 'O3', 'O0', 0.9687042318661836, 14.685250997543335]
['UO', 34, 'BO', 13, 'ld', 'ruby', 'O2', 'O1', 0.603101311143485, 72.74144434928894]
['BO', 67, 'CO', 383, 'libSDL2-2.0.so.0.16.0', 'readlink', 'O1', 'O0', 0.9132136719495895, 7.491864442825317]
['BO', 73, 'UO', 25, 'cluster', 'sdiff', 'O1', 'O2', 0.48642108093573544, 0.18130254745483398]
['BO', 45, 'CO', 343, 'diff', 'date', 'O2', 'O0', 0.2541404911479155, 0.1889052391052246]
['CO', 27, 'UO', 56, 'wc', 'elfedit', 'O3', 'O3', 0.164572864321608, 0.043813228607177734]
['CO', 161, 'UO', 49, 'od', 'c++filt', 'O1', 'O3', 0.8175901654162524, 1.3006577491760254]
['BO', 52, 'CO', 39, 'svn', 'paste', 'O3', 'O3', 0.7923635216156516, 0.5662672519683838]
['CO', 139, 'BO', 46, 'base32', 'ruby', 'O1', 'O3', 0.9789906998017991, 19.185850143432617]
['UO', 32, 'BO', 53, 'strings', 'bash', 'O2', 'O0', 0.4506006244377414, 15.469300746917725]
['CO', 97, 'BO', 28, 'uniq', 'ruby', 'O3', 'O0', 0.973062446147567, 20.187986373901367]
['UO', 20, 'CO', 253, 'diff', 'split', 'O1', 'O2', 0.4437420986093552, 0.1540670394897461]
['CO', 238, 'UO', 45, 'expand', 'strip', 'O2', 'O3', 0.9115505480187016, 1.448777675628662]
['CO', 223, 'UO', 73, 'join', 'objcopy', 'O2', 'O0', 0.924768633694895, 4.033912658691406]
['CO', 403, 'BO', 40, 'comm', 'lua', 'O0', 'O0', 0.839516129032258, 1.0993974208831787]
['BO', 31, 'CO', 389, 'bash', 'env', 'O2', 'O0', 0.9378039311838503, 3.668282985687256]
['UO', 19, 'CO', 60, 'cmp', 'base64', 'O1', 'O3', 0.15431679129843645, 0.03906750679016113]
['CO', 51, 'BO', 83, 'realpath', 'lua', 'O3', 'O2', 0.7786927431806485, 0.5810341835021973]
['UO', 49, 'CO', 305, 'c++filt', 'uniq', 'O3', 'O2', 0.8659985152190052, 1.0449519157409668]
['UO', 11, 'CO', 176, 'ld', 'head', 'O1', 'O1', 0.9100474043241993, 2.689401626586914]
['CO', 238, 'BO', 19, 'expand', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9535164746636591, 6.948285341262817]
['BO', 34, 'CO', 90, 'cp', 'tr', 'O2', 'O3', 0.4299304793267471, 0.10922932624816895]
['BO', 47, 'CO', 346, 'libvlc.so.12.0.0', 'tail', 'O0', 'O0', 0.5504238526746565, 1.0122296810150146]
['UO', 42, 'CO', 105, 'xargs', 'touch', 'O2', 'O1', 0.1355648535564853, 0.1204841136932373]
['UO', 39, 'CO', 269, 'size', 'cksum', 'O2', 'O2', 0.9102517329441809, 1.1882379055023193]
['UO', 37, 'CO', 18, 'ar', 'uptime', 'O2', 'O3', 0.8577405857740585, 1.3636250495910645]
['UO', 30, 'CO', 97, 'ranlib', 'uniq', 'O2', 'O3', 0.8518889166875157, 1.3627042770385742]
['BO', 20, 'UO', 64, 'sort', 'diff', 'O1', 'O3', 0.13473193473193468, 0.25596141815185547]
['UO', 79, 'BO', 26, 'size', 'gvmap', 'O0', 'O3', 0.7029083706869592, 3.5904879570007324]
['CO', 285, 'UO', 65, 'env', 'sdiff', 'O2', 'O3', 0.3280943025540275, 0.042801618576049805]
['CO', 39, 'UO', 0, 'paste', 'locate', 'O3', 'O1', 0.5585464333781965, 0.1539478302001953]
['BO', 4, 'CO', 130, 'libgeany.so.0.0.0', 'kill', 'O2', 'O1', 0.9797266116070719, 38.04327344894409]
['BO', 55, 'CO', 193, 'make', 'pathchk', 'O1', 'O1', 0.7764774722059684, 0.2795989513397217]
['BO', 26, 'CO', 184, 'gvmap', 'uname', 'O3', 'O1', 0.6729191090269636, 0.14232945442199707]
['CO', 401, 'BO', 7, 'pathchk', 'sort', 'O0', 'O0', 0.5910870219813309, 0.23267078399658203]
['UO', 21, 'CO', 92, 'sdiff', 'sha512sum', 'O1', 'O3', 0.1945701357466063, 0.0528407096862793]
['BO', 78, 'CO', 335, 'ssh', 'pr', 'O0', 'O0', 0.8679245283018868, 3.1587796211242676]
['UO', 45, 'CO', 101, 'strip', 'rmdir', 'O3', 'O3', 0.8934183557276247, 1.3332350254058838]
['UO', 20, 'CO', 147, 'diff', 'chroot', 'O1', 'O1', 0.5058043117744611, 0.14790630340576172]
['BO', 53, 'CO', 61, 'bash', 'cksum', 'O0', 'O3', 0.9548453828868995, 4.823866367340088]
['BO', 81, 'CO', 361, 'sort', 'nice', 'O3', 'O0', 0.5196008553100498, 0.11641407012939453]
['CO', 183, 'BO', 32, 'link', 'ruby', 'O1', 'O2', 0.9812739831158864, 21.669450044631958]
['BO', 56, 'CO', 78, 'libvlc.so.12.0.0', 'chcon', 'O3', 'O3', 0.6024632227163873, 0.5856993198394775]
['CO', 283, 'UO', 6, 'mv', 'as', 'O2', 'O1', 0.7682704019488429, 4.133022785186768]
['BO', 60, 'CO', 63, 'openssl', 'logname', 'O0', 'O3', 0.9548778103616813, 12.179409265518188]
['BO', 83, 'UO', 26, 'lua', 'nm', 'O2', 'O2', 0.22417820315615566, 3.4719181060791016]
