['BV', 46, 'CV', 155, 'cluster', 'cat', 'V3', 'V3', 0.6050175029171528, 0.13896560668945312]
['CV', 123, 'BV', 26, 'chroot', 'geany', 'V3', 'V2', 0.9709565282398236, 30.837228298187256]
['UV', 52, 'CV', 233, 'strip', 'head', 'V1', 'V0', 0.9252649191299498, 1.4636809825897217]
['UV', 21, 'CV', 138, 'objdump', 'printf', 'V2', 'V3', 0.8956533038788903, 1.7862379550933838]
['UV', 78, 'BV', 47, 'c++filt', 'dot', 'V0', 'V3', 0.9561531715872552, 0.9056310653686523]
['BV', 67, 'CV', 190, 'cluster', 'dd', 'V0', 'V0', 0.5290824261275272, 0.12919354438781738]
['UV', 61, 'CV', 234, 'addr2line', 'hostid', 'V1', 'V0', 0.9368554369459019, 1.023613452911377]
['BV', 41, 'CV', 8, 'libvlccore.so', 'du', 'V1', 'V2', 0.8336464733661707, 3.7081005573272705]
['BV', 33, 'CV', 23, 'openssl', 'wc', 'V0', 'V2', 0.9678825956489122, 6.896052122116089]
['CV', 115, 'BV', 60, 'chown', 'codeblocks', 'V3', 'V1', 0.9347585114806017, 16.436413526535034]
['CV', 66, 'BV', 81, 'link', 'dot', 'V2', 'V1', 0.3997155049786629, 0.011828422546386719]
['UV', 86, 'CV', 253, 'size', 'fold', 'V0', 'V0', 0.9331761645394684, 0.9517838954925537]
['CV', 140, 'BV', 16, 'tty', 'libvlc.so', 'V3', 'V3', 0.7821292775665399, 0.44257450103759766]
['CV', 272, 'BV', 73, 'printenv', 'geany', 'V1', 'V0', 0.9842356076518283, 19.393370389938354]
['UV', 76, 'BV', 54, 'as', 'lua', 'V0', 'V3', 0.3969087963571085, 3.553858995437622]
['UV', 67, 'CV', 307, 'cmp', 'cut', 'V0', 'V1', 0.20318725099601598, 0.02937173843383789]
['CV', 338, 'UV', 19, 'nl', 'elfedit', 'V1', 'V2', 0.293425975414217, 0.044631004333496094]
['CV', 151, 'BV', 67, 'md5sum', 'cluster', 'V3', 'V0', 0.5319548872180451, 0.13444805145263672]
['CV', 219, 'UV', 46, 'cp', 'diff', 'V0', 'V1', 0.4135257952419139, 0.15527629852294922]
