['BO', 69, 'UO', 11, 'cmp', 'ld', 'O3', 'O1', 0.9127011693875188, 3.1245033740997314]
['CO', 116, 'BO', 40, 'ptx', 'lua', 'O1', 'O0', 0.7864608772101201, 1.2235701084136963]
['UO', 78, 'CO', 265, 'elfedit', 'od', 'O0', 'O2', 0.12305025996533792, 0.05496716499328613]
['UO', 3, 'CO', 200, 'nm', 'fold', 'O1', 'O1', 0.8905743991818647, 1.4633793830871582]
['CO', 7, 'UO', 59, 'fmt', 'locate', 'O3', 'O3', 0.49716713881019836, 0.1309373378753662]
['BO', 19, 'CO', 131, 'libvlccore.so.9.0.0', 'wc', 'O1', 'O1', 0.9342771684945165, 6.530273199081421]
['CO', 367, 'UO', 28, 'cp', 'readelf', 'O0', 'O2', 0.2927927927927928, 0.8121042251586914]
['BO', 21, 'UO', 56, 'cp', 'elfedit', 'O1', 'O3', 0.47991234477720957, 0.12836360931396484]
['BO', 12, 'CO', 52, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O3', 0.8988179577259758, 38.43165421485901]
['CO', 209, 'UO', 32, 'touch', 'strings', 'O2', 'O2', 0.8224872829328188, 1.6096420288085938]
['CO', 156, 'BO', 75, 'sha256sum', 'gvmap', 'O1', 'O1', 0.6027472527472527, 0.1963181495666504]
['CO', 288, 'UO', 42, 'uname', 'xargs', 'O2', 'O2', 0.4733861834654587, 0.07616662979125977]
['BO', 45, 'CO', 224, 'diff', 'dirname', 'O2', 'O2', 0.6534541336353341, 0.11337518692016602]
['UO', 76, 'CO', 1, 'addr2line', 'touch', 'O0', 'O3', 0.8693976180887175, 3.0470869541168213]
['CO', 100, 'UO', 11, 'tac', 'ld', 'O3', 'O1', 0.9074063383940426, 3.11618971824646]
['CO', 215, 'BO', 17, 'fmt', 'codeblocks', 'O2', 'O2', 0.969008802541799, 17.293215036392212]
['CO', 361, 'BO', 2, 'nice', 'perl', 'O0', 'O1', 0.9644261473095295, 4.017742872238159]
['UO', 11, 'CO', 210, 'ld', 'stat', 'O1', 'O2', 0.8623527422354997, 3.0140066146850586]
['UO', 38, 'BO', 72, 'elfedit', 'make', 'O2', 'O2', 0.7292083712465878, 0.34899449348449707]
['UO', 14, 'BO', 82, 'ar', 'cp', 'O1', 'O3', 0.7000733675715334, 1.8832306861877441]
['UO', 15, 'CO', 97, 'elfedit', 'uniq', 'O1', 'O3', 0.16121212121212125, 0.043892621994018555]
['UO', 60, 'CO', 82, 'xargs', 'shuf', 'O3', 'O3', 0.16383701188455002, 0.10532116889953613]
['CO', 390, 'UO', 11, 'chcon', 'ld', 'O0', 'O1', 0.8226954267115353, 3.965029716491699]
['CO', 128, 'UO', 1, 'tee', 'xargs', 'O1', 'O1', 0.33333333333333326, 0.09843301773071289]
['CO', 70, 'UO', 59, 'b2sum', 'locate', 'O3', 'O3', 0.4064473246925888, 0.14987468719482422]
['BO', 32, 'CO', 289, 'ruby', 'cat', 'O2', 'O2', 0.9817809621289663, 20.311517000198364]
['UO', 31, 'BO', 80, 'c++filt', 'ssh', 'O2', 'O3', 0.19295896668504375, 5.5236382484436035]
['CO', 247, 'BO', 58, 'paste', 'svn', 'O2', 'O1', 0.8256730137885752, 0.685091495513916]
['CO', 353, 'UO', 22, 'echo', 'diff3', 'O0', 'O2', 0.21716514954486343, 0.050814151763916016]
['CO', 241, 'UO', 53, 'chown', 'gprof', 'O2', 'O3', 0.8117337282975396, 1.4885976314544678]
['CO', 34, 'BO', 26, 'tail', 'gvmap', 'O3', 'O3', 0.4231527093596059, 0.19185662269592285]
['CO', 250, 'UO', 24, 'sum', 'diff', 'O2', 'O2', 0.5498938428874734, 0.13673973083496094]
['CO', 137, 'BO', 59, 'chown', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9620778010715118, 46.47235727310181]
['BO', 14, 'CO', 263, 'cmp', 'cp', 'O0', 'O2', 0.3630305156085585, 0.1410069465637207]
