['BV', 36, 'CV', 112, 'libvlc.so', 'expand', 'V2', 'V3', 0.7420915519166357, 0.47440147399902344]
['UV', 35, 'CV', 251, 'size', 'nl', 'V3', 'V0', 0.7945334590009425, 1.2273693084716797]
['CV', 131, 'UV', 75, 'true', 'readelf', 'V3', 'V0', 0.680047225501771, 0.1030731201171875]
['CV', 235, 'BV', 43, 'ginstall', 'lua', 'V0', 'V0', 0.6431326016018986, 0.5029404163360596]
['CV', 129, 'UV', 37, 'dircolors', 'locate', 'V3', 'V3', 0.49065255731922397, 0.12799477577209473]
['CV', 32, 'UV', 66, 'paste', 'diff3', 'V2', 'V0', 0.3197831978319783, 0.03329634666442871]
['CV', 38, 'UV', 80, 'split', 'objcopy', 'V2', 'V0', 0.862417520707567, 1.7006375789642334]
['CV', 321, 'BV', 26, 'hostid', 'geany', 'V1', 'V2', 0.9864378684849969, 28.08142590522766]
['CV', 216, 'BV', 14, 'dircolors', 'openssl', 'V0', 'V3', 0.9500732677412602, 7.5656418800354]
['BV', 51, 'CV', 292, 'cp', 'sha1sum', 'V0', 'V1', 0.39021329987452946, 0.04187130928039551]
['CV', 332, 'UV', 54, '[', 'as', 'V1', 'V1', 0.94139578236048, 2.1167497634887695]
['UV', 66, 'CV', 24, 'diff3', 'factor', 'V0', 'V2', 0.28759894459102897, 0.03390669822692871]
['UV', 68, 'CV', 208, 'diff', 'echo', 'V0', 'V0', 0.692512184315463, 0.06491827964782715]
['CV', 317, 'BV', 47, 'yes', 'dot', 'V1', 'V3', 0.2989690721649485, 0.009943246841430664]
['CV', 279, 'UV', 47, 'pwd', 'sdiff', 'V1', 'V1', 0.37644656228727025, 0.03672599792480469]
['CV', 28, 'UV', 69, 'chown', 'sdiff', 'V2', 'V0', 0.09259259259259256, 0.05820798873901367]
['BV', 56, 'CV', 307, 'ssh', 'cut', 'V3', 'V1', 0.9337060177573167, 1.5670819282531738]
['BV', 34, 'CV', 253, 'svn', 'fold', 'V0', 'V0', 0.8362034441329596, 0.36199259757995605]
['CV', 38, 'BV', 7, 'split', 'libSDL2-2.0.so', 'V2', 'V0', 0.8689339965049065, 4.2868287563323975]
['BV', 67, 'UV', 49, 'cluster', 'xargs', 'V0', 'V1', 0.5161490683229814, 0.12591886520385742]
['BV', 75, 'UV', 9, 'cmp', 'readelf', 'V2', 'V2', 0.6492364645997224, 0.15541291236877441]
['UV', 75, 'CV', 192, 'readelf', 'pwd', 'V0', 'V0', 0.7269686834904227, 0.09183192253112793]
