['CV', 85, 'UV', 16, 'mknod', 'gprof', 'V2', 'V2', 0.9112815809222046, 1.3887665271759033]
['CV', 232, 'BV', 28, 'readlink', 'openssl', 'V0', 'V1', 0.9813926507663818, 8.866242170333862]
['CV', 129, 'BV', 55, 'dircolors', 'codeblocks', 'V3', 'V3', 0.9618558306087498, 16.785789251327515]
['UV', 0, 'CV', 250, 'locate', 'comm', 'V2', 'V0', 0.4913359418669647, 0.054847002029418945]
['CV', 35, 'BV', 10, 'sum', 'gvmap', 'V2', 'V2', 0.6502824858757063, 0.1620035171508789]
['BV', 59, 'UV', 46, 'make', 'diff', 'V1', 'V1', 0.25323107513137333, 0.4394679069519043]
['CV', 87, 'UV', 9, 'touch', 'readelf', 'V3', 'V2', 0.5190466056607789, 0.18545317649841309]
['CV', 290, 'BV', 18, 'tail', 'sort', 'V1', 'V3', 0.4703448275862069, 0.11451411247253418]
['BV', 58, 'UV', 2, 'ruby', 'find', 'V3', 'V2', 0.9480079118395027, 0.14838600158691406]
['UV', 87, 'BV', 26, 'objdump', 'geany', 'V0', 'V2', 0.5674920899003253, 123.99709463119507]
['CV', 201, 'UV', 39, 'expr', 'find', 'V0', 'V3', 0.5926884503396959, 0.5041518211364746]
['BV', 57, 'CV', 122, 'svn', 'sum', 'V2', 'V3', 0.7272089761570828, 0.4749565124511719]
['UV', 8, 'CV', 335, 'strip', 'pathchk', 'V2', 'V1', 0.9405523365189254, 1.4267551898956299]
['CV', 193, 'UV', 74, 'pr', 'strip', 'V0', 'V0', 0.8889363519863306, 1.7586262226104736]
['CV', 69, 'BV', 63, 'csplit', 'ruby', 'V2', 'V0', 0.9398519856304353, 16.18360185623169]
['CV', 36, 'UV', 17, 'chroot', 'addr2line', 'V2', 'V2', 0.8894624421502314, 1.3467841148376465]
['CV', 289, 'UV', 14, 'chown', 'objcopy', 'V1', 'V2', 0.8795918367346939, 1.7778472900390625]
['CV', 184, 'UV', 52, 'ptx', 'strip', 'V0', 'V1', 0.8288741721854305, 1.9951097965240479]
['BV', 41, 'CV', 163, 'libvlccore.so', 'comm', 'V1', 'V3', 0.919630043055334, 3.5381126403808594]
['CV', 9, 'UV', 69, 'users', 'sdiff', 'V2', 'V0', 0.3095994914176732, 0.040955305099487305]
['CV', 215, 'UV', 85, 'nice', 'elfedit', 'V0', 'V0', 0.27835051546391754, 0.025081396102905273]
['UV', 52, 'CV', 287, 'strip', 'date', 'V1', 'V1', 0.9111418685121108, 1.6177947521209717]
['CV', 252, 'BV', 7, 'rm', 'libSDL2-2.0.so', 'V0', 'V0', 0.897142077620899, 4.479967355728149]
['BV', 1, 'UV', 56, 'libSDL2-2.0.so', 'c++filt', 'V3', 'V1', 0.35894072824932866, 12.253852128982544]
['BV', 21, 'CV', 317, 'cp', 'yes', 'V1', 'V1', 0.5178933153274814, 0.03854084014892578]
['CV', 124, 'UV', 51, 'seq', 'nm', 'V3', 'V1', 0.8700429184549356, 1.3761775493621826]
['CV', 338, 'BV', 7, 'nl', 'libSDL2-2.0.so', 'V1', 'V0', 0.8414044385558132, 4.642033815383911]
['CV', 179, 'BV', 66, 'mkdir', 'lua', 'V0', 'V1', 0.8348847855943843, 0.46039700508117676]
['UV', 67, 'CV', 35, 'cmp', 'sum', 'V0', 'V2', 0.13372093023255816, 0.0370481014251709]
['UV', 56, 'CV', 185, 'c++filt', 'printenv', 'V1', 'V0', 0.9380100871160019, 1.109874963760376]
['BV', 62, 'CV', 310, 'diff', 'tsort', 'V0', 'V1', 0.47633313361294194, 0.04855084419250488]
['BV', 32, 'CV', 311, 'perl', 'cksum', 'V0', 'V1', 0.9679831045406547, 2.5119314193725586]
['BV', 11, 'CV', 192, 'bash', 'pwd', 'V1', 'V0', 0.9577053504144687, 2.7572426795959473]
['CV', 325, 'BV', 7, 'md5sum', 'libSDL2-2.0.so', 'V1', 'V0', 0.93269364483382, 4.242945194244385]
['CV', 147, 'UV', 73, 'hostid', 'nm', 'V3', 'V0', 0.8952276467361492, 1.205838680267334]
['UV', 69, 'BV', 4, 'sdiff', 'geany', 'V0', 'V3', 0.9648504937504316, 37.66252684593201]
['UV', 72, 'CV', 231, 'find', 'who', 'V0', 'V0', 0.6507936507936508, 0.14947795867919922]
['CV', 122, 'BV', 30, 'sum', 'bash', 'V3', 'V0', 0.923235294117647, 3.078423500061035]
['UV', 21, 'CV', 24, 'objdump', 'factor', 'V2', 'V2', 0.9282268191130791, 1.7985093593597412]
['CV', 90, 'UV', 84, 'test', 'ar', 'V3', 'V0', 0.8715976842650998, 1.3740036487579346]
['CV', 34, 'UV', 63, 'echo', 'elfedit', 'V2', 'V1', 0.22775800711743766, 0.02648472785949707]
['CV', 264, 'UV', 72, 'test', 'find', 'V1', 'V0', 0.7022778312479949, 0.15921759605407715]
['CV', 136, 'UV', 70, 'tsort', 'locate', 'V3', 'V0', 0.38428137212331737, 0.08299088478088379]
['CV', 121, 'UV', 82, 'echo', 'gprof', 'V3', 'V0', 0.9021832559738697, 1.3221170902252197]
['CV', 99, 'UV', 58, 'stty', 'objcopy', 'V3', 'V1', 0.8788950877670432, 1.8894481658935547]
['UV', 66, 'CV', 222, 'diff3', 'df', 'V0', 'V0', 0.1568975725281232, 0.047910213470458984]
['BV', 73, 'CV', 14, 'geany', 'dirname', 'V0', 'V2', 0.978204088984959, 18.911381483078003]
['UV', 58, 'CV', 134, 'objcopy', 'od', 'V1', 'V3', 0.8539205155746509, 1.655196189880371]
['UV', 21, 'CV', 38, 'objdump', 'split', 'V2', 'V2', 0.8741007194244604, 1.9037156105041504]
['BV', 50, 'CV', 239, 'sort', 'env', 'V0', 'V0', 0.4481132075471699, 0.030060768127441406]
['BV', 5, 'CV', 313, 'libvlccore.so', 'logname', 'V0', 'V1', 0.9597122302158273, 3.3613007068634033]
['CV', 166, 'BV', 31, 'fold', 'codeblocks', 'V3', 'V0', 0.9628293730554255, 14.33949089050293]
['BV', 67, 'CV', 168, 'cluster', 'sleep', 'V0', 'V3', 0.6036745406824147, 0.11987972259521484]
['BV', 54, 'CV', 291, 'lua', 'pinky', 'V3', 'V1', 0.847887323943662, 0.48072290420532227]
