['UO', 14, 'CO', 185, 'ar', 'cat', 'O1', 'O1', 0.8974737532808399, 1.4986844062805176]
['BO', 46, 'CO', 5, 'ruby', 'basename', 'O3', 'O3', 0.9816191624811077, 17.358741283416748]
['CO', 255, 'BO', 2, 'numfmt', 'perl', 'O2', 'O1', 0.9600811017194618, 3.96855092048645]
['BO', 66, 'CO', 404, 'svn', 'sha512sum', 'O2', 'O0', 0.7218624730188098, 0.7083256244659424]
['CO', 268, 'UO', 60, 'base64', 'xargs', 'O2', 'O3', 0.39323467230443976, 0.07933402061462402]
['CO', 244, 'BO', 34, 'pinky', 'cp', 'O2', 'O2', 0.495190457868411, 0.12174129486083984]
['BO', 81, 'UO', 18, 'sort', 'diff3', 'O3', 'O1', 0.3472353870458136, 0.1368868350982666]
['UO', 64, 'CO', 361, 'diff', 'nice', 'O3', 'O0', 0.5404023184452779, 0.13360810279846191]
['CO', 90, 'UO', 57, 'tr', 'size', 'O3', 'O3', 0.8566757493188011, 1.1934566497802734]
['UO', 35, 'BO', 1, 'gprof', 'ssh', 'O2', 'O2', 0.15320903142846332, 5.952465534210205]
['BO', 81, 'UO', 47, 'sort', 'as', 'O3', 'O3', 0.7705307488796501, 3.0414443016052246]
['UO', 85, 'CO', 1, 'locate', 'touch', 'O0', 'O3', 0.462386200287494, 0.27252197265625]
['CO', 167, 'BO', 44, 'logname', 'cmp', 'O1', 'O2', 0.1739463601532567, 0.03740286827087402]
['CO', 146, 'UO', 56, 'sum', 'elfedit', 'O1', 'O3', 0.14740484429065748, 0.04435539245605469]
['UO', 59, 'CO', 4, 'locate', 'test', 'O3', 'O3', 0.4864579669363349, 0.13193798065185547]
['CO', 286, 'UO', 85, 'chcon', 'locate', 'O2', 'O0', 0.46969331079449406, 0.3237745761871338]
['UO', 85, 'CO', 67, 'locate', 'nohup', 'O0', 'O3', 0.6372417493962973, 0.24187231063842773]
['CO', 243, 'BO', 49, 'base32', 'svn', 'O2', 'O0', 0.8287161155793864, 0.8282632827758789]
['CO', 67, 'BO', 3, 'nohup', 'openssl', 'O3', 'O1', 0.9409036248067343, 11.81951117515564]
['UO', 85, 'BO', 80, 'locate', 'ssh', 'O0', 'O3', 0.6648469809760132, 3.962918519973755]
['CO', 175, 'UO', 73, 'readlink', 'objcopy', 'O1', 'O0', 0.9232375459878691, 4.137722015380859]
['BO', 50, 'CO', 368, 'perl', 'cut', 'O2', 'O0', 0.9479393921281491, 3.453981876373291]
['CO', 113, 'UO', 31, 'du', 'c++filt', 'O1', 'O2', 0.6973792648755562, 1.9327616691589355]
['CO', 389, 'BO', 63, 'env', 'cluster', 'O0', 'O0', 0.6873838529836878, 0.29619574546813965]
['CO', 317, 'UO', 16, 'basename', 'size', 'O0', 'O1', 0.8866032843560934, 1.5767817497253418]
['BO', 35, 'UO', 8, 'make', 'c++filt', 'O3', 'O1', 0.3963481514936448, 3.0418941974639893]
['UO', 46, 'BO', 41, 'readelf', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.5527016444792482, 12.527132272720337]
['CO', 73, 'BO', 50, 'hostid', 'perl', 'O3', 'O2', 0.9654434158550191, 3.529078722000122]
['BO', 21, 'CO', 141, 'cp', 'truncate', 'O1', 'O1', 0.5344958301743745, 0.1229853630065918]
['BO', 30, 'UO', 77, 'libvlccore.so.9.0.0', 'ar', 'O2', 'O0', 0.19250639756651056, 17.46109676361084]
['UO', 10, 'BO', 30, 'objcopy', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.311516509308156, 21.50869870185852]
['UO', 84, 'CO', 285, 'sdiff', 'env', 'O0', 'O2', 0.3974208675263775, 0.06078338623046875]
['CO', 88, 'UO', 45, 'shred', 'strip', 'O3', 'O3', 0.8304711580801409, 1.6885459423065186]
['CO', 371, 'UO', 3, 'tsort', 'nm', 'O0', 'O1', 0.8695432327658857, 1.664748191833496]
['CO', 408, 'UO', 5, 'fold', 'readelf', 'O0', 'O1', 0.7801608579088471, 0.4575009346008301]
['BO', 81, 'CO', 246, 'sort', 'sha1sum', 'O3', 'O2', 0.5505454545454546, 0.10480332374572754]
['CO', 65, 'BO', 80, 'false', 'ssh', 'O3', 'O3', 0.9300690360521606, 1.8063077926635742]
['CO', 243, 'BO', 4, 'base32', 'libgeany.so.0.0.0', 'O2', 'O2', 0.981650207072316, 41.63908076286316]
['CO', 320, 'BO', 44, 'dir', 'cmp', 'O0', 'O2', 0.5758087201125176, 0.22359251976013184]
['UO', 26, 'BO', 61, 'nm', 'git', 'O2', 'O1', 0.6512976799056233, 28.650895357131958]
['CO', 402, 'BO', 8, 'tr', 'cp', 'O0', 'O0', 0.5201544774318126, 0.30463361740112305]
['UO', 21, 'CO', 366, 'sdiff', 'true', 'O1', 'O0', 0.268384663733501, 0.05323076248168945]
['UO', 29, 'CO', 131, 'as', 'wc', 'O2', 'O1', 0.9059653916211293, 2.288612127304077]
['CO', 134, 'BO', 74, 'expand', 'dot', 'O1', 'O1', 0.5189309576837416, 0.02139592170715332]
['BO', 63, 'CO', 371, 'cluster', 'tsort', 'O0', 'O0', 0.6828665568369028, 0.26738667488098145]
['UO', 15, 'CO', 336, 'elfedit', 'tee', 'O1', 'O0', 0.15269655620532818, 0.05281496047973633]
['CO', 155, 'BO', 13, 'realpath', 'ruby', 'O1', 'O1', 0.9754386498866282, 19.75695776939392]
['CO', 324, 'BO', 78, 'ptx', 'ssh', 'O0', 'O0', 0.8680158380994281, 4.095058441162109]
['BO', 83, 'CO', 399, 'lua', 'id', 'O2', 'O0', 0.7702650787552824, 0.5571291446685791]
['UO', 36, 'CO', 282, 'addr2line', 'unexpand', 'O2', 'O2', 0.8931809938338774, 1.1782209873199463]
['CO', 40, 'BO', 20, 'sync', 'sort', 'O3', 'O1', 0.5340097707628711, 0.12902498245239258]
['UO', 81, 'BO', 69, 'diff3', 'cmp', 'O0', 'O3', 0.2593330014932802, 0.0774986743927002]
['UO', 63, 'CO', 368, 'cmp', 'cut', 'O3', 'O0', 0.12615384615384617, 0.0583806037902832]
['CO', 29, 'BO', 6, 'nproc', 'codeblocks', 'O3', 'O0', 0.9758073507005092, 41.79484415054321]
['UO', 31, 'BO', 44, 'c++filt', 'cmp', 'O2', 'O2', 0.8635541078537822, 1.1776816844940186]
['UO', 74, 'CO', 176, 'ld', 'head', 'O0', 'O1', 0.9355266429104169, 5.298029184341431]
['CO', 282, 'UO', 4, 'unexpand', 'strip', 'O2', 'O1', 0.9140271493212669, 1.8521449565887451]
['UO', 53, 'BO', 61, 'gprof', 'git', 'O3', 'O1', 0.641400651465798, 28.47394061088562]
['CO', 262, 'BO', 3, 'true', 'openssl', 'O2', 'O1', 0.962991920771436, 11.37181544303894]
['BO', 11, 'CO', 254, 'ssh', 'whoami', 'O1', 'O2', 0.9404548939432661, 1.8472583293914795]
['BO', 37, 'CO', 221, 'gvmap', 'printenv', 'O2', 'O2', 0.7339421613394216, 0.13811731338500977]
['BO', 63, 'CO', 203, 'cluster', 'sort', 'O0', 'O1', 0.35579911663667596, 0.4497385025024414]
['UO', 32, 'CO', 251, 'strings', 'chroot', 'O2', 'O2', 0.8807131867137298, 1.2158305644989014]
['CO', 240, 'UO', 32, 'expr', 'strings', 'O2', 'O2', 0.8590087672213276, 1.3715901374816895]
['CO', 70, 'BO', 0, 'b2sum', 'codeblocks', 'O3', 'O1', 0.9529161918574537, 17.23963952064514]
['CO', 287, 'BO', 48, 'link', 'libvlccore.so.9.0.0', 'O2', 'O0', 0.9731535721644933, 15.176575422286987]
['UO', 50, 'CO', 283, 'strings', 'mv', 'O3', 'O2', 0.6353688953254486, 1.4409894943237305]
['BO', 64, 'CO', 169, 'dot', 'false', 'O0', 'O1', 0.4369973190348526, 0.017182350158691406]
['CO', 139, 'BO', 53, 'base32', 'bash', 'O1', 'O0', 0.950948634891254, 5.642693758010864]
