['UV', 68, 'BV', 54, 'diff', 'lua', 'V0', 'V3', 0.5671743578085928, 0.7445478439331055]
['BV', 6, 'UV', 11, 'libvlc.so', 'ranlib', 'V0', 'V2', 0.511406333870102, 2.965167999267578]
['CV', 243, 'BV', 6, 'csplit', 'libvlc.so', 'V0', 'V0', 0.4684844892313772, 0.394819974899292]
['CV', 116, 'UV', 72, 'tail', 'find', 'V3', 'V0', 0.4015544041450777, 0.20193886756896973]
['BV', 10, 'UV', 75, 'gvmap', 'readelf', 'V2', 'V0', 0.11033883579496084, 0.2812480926513672]
['UV', 63, 'CV', 19, 'elfedit', 'pr', 'V1', 'V2', 0.17738791423001943, 0.03816938400268555]
['CV', 276, 'BV', 66, 'uptime', 'lua', 'V1', 'V1', 0.850130789352208, 0.40567541122436523]
['CV', 336, 'BV', 37, 'tr', 'geany', 'V1', 'V1', 0.9778804369103081, 26.925252676010132]
['CV', 225, 'UV', 86, 'printf', 'size', 'V0', 'V0', 0.9183607615359793, 1.143667459487915]
['CV', 306, 'UV', 30, 'cp', 'ld', 'V1', 'V3', 0.8694237918215614, 2.8487801551818848]
['UV', 55, 'BV', 49, 'ranlib', 'make', 'V1', 'V3', 0.4195230998509687, 2.1148459911346436]
['UV', 40, 'CV', 111, 'diff3', 'factor', 'V3', 'V3', 0.06465726786582404, 0.053343772888183594]
['CV', 339, 'BV', 31, 'rm', 'codeblocks', 'V1', 'V0', 0.9566339133776143, 15.131114959716797]
['CV', 113, 'BV', 9, 'date', 'dot', 'V3', 'V2', 0.6710526315789473, 0.0293729305267334]
['CV', 117, 'BV', 66, 'pinky', 'lua', 'V3', 'V1', 0.7652237710931769, 0.46307802200317383]
['BV', 5, 'CV', 244, 'libvlccore.so', 'vdir', 'V0', 'V0', 0.8621233633065152, 3.9316954612731934]
['BV', 53, 'CV', 177, 'ssh', 'test', 'V2', 'V0', 0.9699655506873139, 4.54925537109375]
['BV', 77, 'CV', 152, 'perl', 'env', 'V2', 'V3', 0.9578824596643556, 2.8051693439483643]
['CV', 248, 'BV', 54, 'pathchk', 'lua', 'V0', 'V3', 0.8943894389438944, 0.46262574195861816]
['BV', 59, 'CV', 8, 'make', 'du', 'V1', 'V2', 0.4580026455026456, 0.34093499183654785]
['BV', 29, 'CV', 206, 'perl', 'paste', 'V3', 'V0', 0.9720494674387018, 2.872267961502075]
['CV', 304, 'UV', 67, 'chmod', 'cmp', 'V1', 'V0', 0.07952410770194118, 0.04134941101074219]
['UV', 81, 'BV', 71, 'ld', 'ruby', 'V0', 'V1', 0.9876881900301104, 1.5537805557250977]
['BV', 54, 'UV', 61, 'lua', 'addr2line', 'V3', 'V1', 0.2238958676746433, 3.3033478260040283]
['CV', 219, 'UV', 85, 'cp', 'elfedit', 'V0', 'V0', 0.2691662003357582, 0.05052328109741211]
['CV', 200, 'UV', 86, 'date', 'size', 'V0', 'V0', 0.8970881531711209, 1.1837561130523682]
['CV', 236, 'BV', 10, 'unexpand', 'gvmap', 'V0', 'V2', 0.7539849624060151, 0.13946747779846191]
['CV', 202, 'BV', 46, 'chown', 'cluster', 'V0', 'V3', 0.5585227272727272, 0.1631009578704834]
['BV', 11, 'CV', 81, 'bash', 'sleep', 'V1', 'V2', 0.9500821018062398, 2.706127643585205]
['CV', 278, 'UV', 84, 'mkfifo', 'ar', 'V1', 'V0', 0.9309975929392886, 1.1895866394042969]
['BV', 42, 'CV', 110, 'libvlc.so', 'wc', 'V1', 'V3', 0.6544354838709677, 0.3344755172729492]
['CV', 297, 'UV', 78, 'chroot', 'c++filt', 'V1', 'V0', 0.9274193548387096, 1.039534330368042]
['BV', 36, 'CV', 143, 'libvlc.so', 'yes', 'V2', 'V3', 0.7787072243346007, 0.3868839740753174]
['CV', 174, 'UV', 76, 'touch', 'as', 'V0', 'V0', 0.9269147136989611, 2.1459383964538574]
['CV', 345, 'BV', 45, 'rmdir', 'svn', 'V1', 'V3', 0.8900432900432901, 0.761784553527832]
['CV', 127, 'UV', 35, 'ls', 'size', 'V3', 'V3', 0.6634401777213583, 1.9438211917877197]
['UV', 83, 'CV', 111, 'addr2line', 'factor', 'V0', 'V3', 0.8181330951317553, 1.0902271270751953]
['BV', 31, 'CV', 45, 'codeblocks', 'cp', 'V0', 'V2', 0.9081881206670414, 13.469213008880615]
['UV', 68, 'BV', 70, 'diff', 'ssh', 'V0', 'V0', 0.8740105540897097, 6.271855115890503]
['UV', 5, 'BV', 69, 'diff', 'gvmap', 'V2', 'V0', 0.11120366513952518, 0.2562522888183594]
['UV', 81, 'CV', 55, 'ld', 'nohup', 'V0', 'V2', 0.9265840845709838, 1.725358247756958]
['CV', 4, 'UV', 11, 'basename', 'ranlib', 'V2', 'V2', 0.9170993276023491, 1.334765911102295]
['UV', 28, 'CV', 85, 'strings', 'mknod', 'V3', 'V2', 0.9025819446987731, 1.1081857681274414]
['BV', 13, 'CV', 117, 'cp', 'pinky', 'V2', 'V3', 0.3669579030976966, 0.0863032341003418]
['BV', 46, 'CV', 226, 'cluster', 'logname', 'V3', 'V0', 0.7725363489499192, 0.11697268486022949]
['BV', 62, 'CV', 269, 'diff', 'du', 'V0', 'V1', 0.07943323314727346, 0.08216977119445801]
['CV', 36, 'UV', 0, 'chroot', 'locate', 'V2', 'V2', 0.3647058823529412, 0.06222343444824219]
['BV', 72, 'CV', 311, 'perl', 'cksum', 'V1', 'V1', 0.9746148693904889, 2.591568946838379]
['UV', 41, 'CV', 74, 'cmp', 'pathchk', 'V3', 'V2', 0.23296354992076074, 0.028057575225830078]
['CV', 75, 'UV', 9, 'tr', 'readelf', 'V2', 'V2', 0.6812072624381043, 0.14013886451721191]
['CV', 314, 'UV', 53, 'tty', 'readelf', 'V1', 'V1', 0.7851829812555787, 0.09995079040527344]
['CV', 133, 'UV', 87, 'cut', 'objdump', 'V3', 'V0', 0.9009771986970684, 1.9516043663024902]
['CV', 224, 'BV', 8, 'cksum', 'cluster', 'V0', 'V2', 0.7639871382636656, 0.12599706649780273]
['CV', 321, 'BV', 28, 'hostid', 'openssl', 'V1', 'V1', 0.9839156465016531, 8.421796083450317]
['CV', 225, 'BV', 70, 'printf', 'ssh', 'V0', 'V0', 0.9650020749757919, 4.640224933624268]
['UV', 20, 'CV', 32, 'size', 'paste', 'V2', 'V2', 0.9097595981341945, 1.0983879566192627]
['CV', 214, 'BV', 54, 'ls', 'lua', 'V0', 'V3', 0.6865471398951092, 0.6889915466308594]
['BV', 41, 'UV', 39, 'libvlccore.so', 'find', 'V1', 'V3', 0.5727715877437326, 5.2293477058410645]
['CV', 236, 'BV', 33, 'unexpand', 'openssl', 'V0', 'V0', 0.9806517071329134, 7.599411725997925]
['UV', 82, 'CV', 100, 'gprof', 'join', 'V0', 'V3', 0.8375819978410695, 1.1574115753173828]
['UV', 30, 'CV', 177, 'ld', 'test', 'V3', 'V0', 0.9457106583640651, 2.1962246894836426]
['CV', 9, 'BV', 77, 'users', 'perl', 'V2', 'V2', 0.9639270741932339, 3.1182985305786133]
['CV', 279, 'UV', 63, 'pwd', 'elfedit', 'V1', 'V1', 0.19469026548672563, 0.025765180587768555]
['BV', 25, 'CV', 328, 'git', 'uname', 'V3', 'V1', 0.988666085440279, 11.07823634147644]
['UV', 82, 'BV', 6, 'gprof', 'libvlc.so', 'V0', 'V0', 0.5048616305160808, 2.068620204925537]
['UV', 30, 'BV', 66, 'ld', 'lua', 'V3', 'V1', 0.4568403908794788, 3.831665277481079]
['CV', 105, 'UV', 19, 'pwd', 'elfedit', 'V3', 'V2', 0.14595375722543347, 0.03239631652832031]
['CV', 104, 'UV', 76, 'mkfifo', 'as', 'V3', 'V0', 0.925170478546859, 2.089343786239624]
['BV', 66, 'CV', 150, 'lua', 'mv', 'V1', 'V3', 0.4504968274871304, 0.5995821952819824]
['CV', 257, 'BV', 64, 'tac', 'openssl', 'V0', 'V2', 0.8664107485604606, 7.331588983535767]
['CV', 192, 'UV', 8, 'pwd', 'strip', 'V0', 'V2', 0.9326987933748032, 1.559899091720581]
['BV', 2, 'UV', 8, 'cmp', 'strip', 'V1', 'V2', 0.8899230487358006, 1.7054364681243896]
['UV', 2, 'CV', 132, 'find', 'cp', 'V2', 'V3', 0.27223230490018147, 0.3391880989074707]
['BV', 50, 'CV', 142, 'sort', 'nohup', 'V0', 'V3', 0.17837165941578625, 0.03911900520324707]
['CV', 97, 'BV', 2, 'ptx', 'cmp', 'V3', 'V1', 0.22523461939520328, 0.05109357833862305]
['BV', 28, 'CV', 47, 'openssl', 'od', 'V1', 'V2', 0.9611341754261991, 8.119104862213135]
['UV', 26, 'CV', 259, 'ranlib', 'mknod', 'V3', 'V0', 0.9275853086741339, 1.1943087577819824]
['CV', 154, 'BV', 24, 'uname', 'git', 'V3', 'V0', 0.9681333297141771, 4.88660454750061]
['CV', 248, 'UV', 64, 'pathchk', 'size', 'V0', 'V1', 0.9309290403813293, 1.1583609580993652]
['CV', 217, 'UV', 11, 'chmod', 'ranlib', 'V0', 'V2', 0.8872224549643905, 1.4272446632385254]
