['CO', 51, 'UO', 57, 'realpath', 'size', 'O3', 'O3', 0.8449458483754513, 1.241102933883667]
['UO', 39, 'CO', 227, 'size', 'dd', 'O2', 'O2', 0.8070750647109577, 1.352583646774292]
['UO', 46, 'CO', 100, 'readelf', 'tac', 'O3', 'O3', 0.7592063730647828, 0.30623650550842285]
['CO', 142, 'BO', 25, 'sha1sum', 'dot', 'O1', 'O3', 0.5376458112407211, 0.024692058563232422]
['CO', 414, 'UO', 43, 'mknod', 'find', 'O0', 'O2', 0.5088396969246769, 0.7717885971069336]
['UO', 12, 'CO', 20, 'gprof', 'mkfifo', 'O1', 'O3', 0.8992279561154003, 1.470426082611084]
['UO', 41, 'CO', 155, 'locate', 'realpath', 'O2', 'O1', 0.47271531886916507, 0.16358137130737305]
['CO', 31, 'UO', 44, 'date', 'nm', 'O3', 'O3', 0.8017361111111111, 1.3562111854553223]
['CO', 239, 'BO', 11, 'date', 'ssh', 'O2', 'O1', 0.8735426562210844, 2.590070962905884]
['BO', 42, 'CO', 272, 'cmp', 'tty', 'O1', 'O2', 0.2565359477124183, 0.033908843994140625]
['BO', 25, 'CO', 132, 'dot', 'factor', 'O3', 'O1', 0.6415247364152473, 0.03190422058105469]
['UO', 10, 'CO', 229, 'objcopy', 'mktemp', 'O1', 'O2', 0.8938474870017331, 1.7922406196594238]
['UO', 71, 'CO', 166, 'c++filt', 'printf', 'O0', 'O1', 0.9102480610976259, 2.9347000122070312]
['CO', 145, 'UO', 53, 'echo', 'gprof', 'O1', 'O3', 0.9059903047091413, 1.2715857028961182]
['CO', 300, 'UO', 87, 'sha512sum', 'find', 'O2', 'O0', 0.828686327077748, 0.9067699909210205]
['CO', 299, 'UO', 32, 'comm', 'strings', 'O2', 'O2', 0.8887475004544628, 1.3720462322235107]
['CO', 168, 'UO', 29, 'tty', 'as', 'O1', 'O2', 0.9361628310396669, 2.5590837001800537]
['BO', 41, 'CO', 314, 'libSDL2-2.0.so.0.16.0', 'stat', 'O2', 'O0', 0.8502161247885736, 8.210095405578613]
['CO', 176, 'UO', 76, 'head', 'addr2line', 'O1', 'O0', 0.9085996240601504, 3.325103282928467]
['CO', 383, 'BO', 21, 'readlink', 'cp', 'O0', 'O1', 0.38152062734401637, 0.17203044891357422]
['BO', 38, 'CO', 377, 'acyclic', 'false', 'O2', 'O0', 0.4289099526066351, 0.0233306884765625]
['UO', 82, 'CO', 345, 'cmp', 'chown', 'O0', 'O0', 0.2325383304940375, 0.1173243522644043]
['CO', 124, 'UO', 8, 'mkfifo', 'c++filt', 'O1', 'O1', 0.8981015452538631, 1.5368461608886719]
['BO', 83, 'CO', 409, 'lua', 'uniq', 'O2', 'O0', 0.7639402832716601, 0.5803232192993164]
['CO', 371, 'UO', 8, 'tsort', 'c++filt', 'O0', 'O1', 0.8656483249435862, 1.6405613422393799]
['UO', 32, 'CO', 179, 'strings', 'mv', 'O2', 'O1', 0.6310512298292339, 1.7882297039031982]
['CO', 284, 'UO', 76, 'md5sum', 'addr2line', 'O2', 'O0', 0.9269363064879611, 3.36468243598938]
['UO', 46, 'CO', 349, 'readelf', 'truncate', 'O3', 'O0', 0.7775752051048314, 0.33688926696777344]
['UO', 57, 'CO', 138, 'size', 'tail', 'O3', 'O1', 0.7945974390457814, 1.2928502559661865]
['BO', 36, 'CO', 192, 'cluster', 'shred', 'O2', 'O1', 0.42979177789642287, 0.2122955322265625]
['UO', 25, 'BO', 50, 'sdiff', 'perl', 'O2', 'O2', 0.941845915509742, 4.32409143447876]
['UO', 35, 'CO', 296, 'gprof', 'shred', 'O2', 'O2', 0.8392697041323661, 1.466259241104126]
['BO', 41, 'UO', 11, 'libSDL2-2.0.so.0.16.0', 'ld', 'O2', 'O1', 0.23374758354045844, 19.15149974822998]
