['BO', 37, 'CO', 185, 'gvmap', 'cat', 'O2', 'O1', 0.6422811059907834, 0.1558842658996582]
['CO', 304, 'UO', 61, 'fold', 'find', 'O2', 'O3', 0.8016831320892792, 0.4211156368255615]
['CO', 381, 'BO', 19, 'who', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.9253026394125818, 7.716755628585815]
['UO', 35, 'CO', 410, 'gprof', 'sleep', 'O2', 'O0', 0.8882101916157644, 1.3384060859680176]
['CO', 288, 'BO', 68, 'uname', 'git', 'O2', 'O3', 0.9815961776676695, 9.098647594451904]
['CO', 155, 'BO', 49, 'realpath', 'svn', 'O1', 'O0', 0.7678905687544997, 0.875901460647583]
['CO', 382, 'UO', 81, 'b2sum', 'diff3', 'O0', 'O0', 0.09318377911993103, 0.10609102249145508]
['BO', 21, 'CO', 404, 'cp', 'sha512sum', 'O1', 'O0', 0.385719166381961, 0.1490023136138916]
['BO', 51, 'UO', 7, 'lua', 'ranlib', 'O1', 'O1', 0.23430873621713322, 4.347419500350952]
['CO', 189, 'BO', 83, '[', 'lua', 'O1', 'O2', 0.7904416526356689, 0.6147286891937256]
['BO', 37, 'CO', 60, 'gvmap', 'base64', 'O2', 'O3', 0.6065296932169997, 0.15305399894714355]
['CO', 55, 'UO', 58, 'cp', 'objdump', 'O3', 'O3', 0.7815999571344371, 3.227813243865967]
['CO', 90, 'UO', 14, 'tr', 'ar', 'O3', 'O1', 0.8721372501416201, 1.6588709354400635]
['CO', 65, 'BO', 49, 'false', 'svn', 'O3', 'O0', 0.8375710439724798, 0.7294788360595703]
['UO', 76, 'CO', 277, 'addr2line', 'who', 'O0', 'O2', 0.9158018867924528, 2.8406009674072266]
['CO', 213, 'UO', 28, 'basename', 'readelf', 'O2', 'O2', 0.84454457676215, 0.3209700584411621]
['CO', 112, 'BO', 58, 'dir', 'svn', 'O1', 'O1', 0.4662825716904544, 1.0681440830230713]
['BO', 64, 'CO', 171, 'dot', 'nohup', 'O0', 'O1', 0.5028901734104047, 0.02115797996520996]
['UO', 67, 'CO', 405, 'strip', 'nl', 'O0', 'O0', 0.9177077136625025, 3.6520822048187256]
['UO', 2, 'CO', 349, 'find', 'truncate', 'O1', 'O0', 0.7577063307921776, 0.5132143497467041]
['CO', 116, 'BO', 32, 'ptx', 'ruby', 'O1', 'O2', 0.9623980134799575, 25.14771270751953]
['BO', 29, 'CO', 187, 'libvlc.so.12.0.0', 'csplit', 'O2', 'O1', 0.6537610619469026, 0.5771689414978027]
['BO', 24, 'CO', 294, 'cluster', 'timeout', 'O3', 'O2', 0.5775480059084195, 0.15291047096252441]
['CO', 273, 'BO', 69, 'false', 'cmp', 'O2', 'O3', 0.2830508474576271, 0.03006124496459961]
['CO', 220, 'UO', 5, 'ptx', 'readelf', 'O2', 'O1', 0.7040205303678357, 0.48657727241516113]
['CO', 7, 'UO', 43, 'fmt', 'find', 'O3', 'O2', 0.7536656891495601, 0.5094108581542969]
['CO', 94, 'BO', 48, 'rm', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9269884158785823, 17.089847326278687]
['BO', 28, 'CO', 217, 'ruby', 'du', 'O0', 'O2', 0.947538048343778, 20.050283432006836]
['UO', 20, 'BO', 4, 'diff', 'libgeany.so.0.0.0', 'O1', 'O2', 0.9295840183639917, 58.69296479225159]
['CO', 340, 'UO', 19, 'factor', 'cmp', 'O0', 'O1', 0.32087511394712853, 0.09175395965576172]
['CO', 351, 'UO', 35, 'paste', 'gprof', 'O0', 'O2', 0.8775272485231717, 1.5186431407928467]
['CO', 67, 'BO', 51, 'nohup', 'lua', 'O3', 'O1', 0.8276768941765811, 0.6174557209014893]
['BO', 70, 'CO', 204, 'diff', 'tac', 'O3', 'O1', 0.5085141903171954, 0.12469983100891113]
['BO', 56, 'CO', 266, 'libvlc.so.12.0.0', 'df', 'O3', 'O2', 0.561292471685543, 0.6640796661376953]
['BO', 21, 'CO', 371, 'cp', 'tsort', 'O1', 'O0', 0.4481772694781987, 0.13899588584899902]
['UO', 53, 'CO', 106, 'gprof', 'stat', 'O3', 'O1', 0.7900813008130081, 1.3450555801391602]
['CO', 66, 'BO', 40, 'runcon', 'lua', 'O3', 'O0', 0.8855608345383186, 0.9477624893188477]
['BO', 64, 'CO', 319, 'dot', 'fmt', 'O0', 'O0', 0.5826086956521739, 0.030562162399291992]
['BO', 39, 'UO', 54, 'codeblocks', 'addr2line', 'O3', 'O3', 0.580043294505721, 22.3413188457489]
['CO', 77, 'BO', 76, 'env', 'openssl', 'O3', 'O2', 0.9442920809050395, 11.441530227661133]
