['BO', 28, 'CO', 314, 'ruby', 'stat', 'O0', 'O0', 0.9523154241952854, 19.504124641418457]
['UO', 41, 'CO', 323, 'locate', 'groups', 'O2', 'O0', 0.5045378151260504, 0.16685724258422852]
['BO', 82, 'CO', 303, 'cp', 'sha224sum', 'O3', 'O2', 0.5270170244263509, 0.10546135902404785]
['UO', 37, 'CO', 74, 'ar', 'unexpand', 'O2', 'O3', 0.8792855328874968, 1.3604371547698975]
['CO', 361, 'UO', 1, 'nice', 'xargs', 'O0', 'O1', 0.34408602150537637, 0.1018226146697998]
['UO', 27, 'CO', 214, 'strip', 'mkdir', 'O2', 'O2', 0.8876655259633983, 1.6090095043182373]
['UO', 45, 'CO', 376, 'strip', 'tty', 'O3', 'O0', 0.9045437189767087, 1.3779876232147217]
['BO', 14, 'UO', 19, 'cmp', 'cmp', 'O0', 'O1', 0.10340705319784815, 0.0603795051574707]
['UO', 78, 'CO', 308, 'elfedit', 'tac', 'O0', 'O2', 0.17647058823529416, 0.04588508605957031]
['CO', 28, 'UO', 15, 'factor', 'elfedit', 'O3', 'O1', 0.2020258863252673, 0.04830574989318848]
['CO', 181, 'UO', 6, 'env', 'as', 'O1', 'O1', 0.9326416245908007, 2.853306770324707]
['UO', 43, 'CO', 198, 'find', 'rm', 'O2', 'O1', 0.5946582875098193, 0.5848910808563232]
['BO', 69, 'CO', 204, 'cmp', 'tac', 'O3', 'O1', 0.10201342281879189, 0.04802227020263672]
['BO', 21, 'CO', 385, 'cp', 'hostid', 'O1', 'O0', 0.5342673229837183, 0.1289529800415039]
['CO', 168, 'UO', 46, 'tty', 'readelf', 'O1', 'O3', 0.8275538894095595, 0.3319823741912842]
['CO', 408, 'BO', 51, 'fold', 'lua', 'O0', 'O1', 0.8163036714374611, 0.7093443870544434]
['CO', 290, 'BO', 11, 'shuf', 'ssh', 'O2', 'O1', 0.8843528973818091, 2.6222386360168457]
['BO', 83, 'CO', 78, 'lua', 'chcon', 'O2', 'O3', 0.703721962040917, 0.5610373020172119]
['CO', 281, 'UO', 8, 'hostid', 'c++filt', 'O2', 'O1', 0.9189430458846635, 1.4640023708343506]
['BO', 48, 'UO', 48, 'libvlccore.so.9.0.0', 'ranlib', 'O0', 'O3', 0.5163115770488107, 22.79582953453064]
['BO', 72, 'CO', 253, 'make', 'split', 'O2', 'O2', 0.68325952170062, 0.3286271095275879]
['BO', 78, 'CO', 98, 'ssh', 'sleep', 'O0', 'O3', 0.9380293118312287, 2.7367002964019775]
['UO', 38, 'BO', 57, 'elfedit', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9408937437934459, 6.77124285697937]
['CO', 332, 'BO', 29, 'mkfifo', 'libvlc.so.12.0.0', 'O0', 'O2', 0.4883644165703911, 0.8613100051879883]
['CO', 175, 'UO', 28, 'readlink', 'readelf', 'O1', 'O2', 0.7625711210210672, 0.3935544490814209]
['CO', 388, 'BO', 50, 'md5sum', 'perl', 'O0', 'O2', 0.9480558295226994, 4.190749168395996]
['UO', 50, 'CO', 313, 'strings', 'touch', 'O3', 'O0', 0.7772520154223624, 1.2576019763946533]
['CO', 232, 'BO', 50, 'tee', 'perl', 'O2', 'O2', 0.9637853635021542, 3.6772828102111816]
['CO', 295, 'BO', 10, 'id', 'openssl', 'O2', 'O3', 0.9439412799931322, 11.91889238357544]
['BO', 22, 'CO', 363, 'perl', 'realpath', 'O0', 'O0', 0.940592839095335, 5.308114290237427]
['BO', 65, 'CO', 105, 'gvmap', 'touch', 'O0', 'O1', 0.58497043677284, 0.3172893524169922]
['CO', 16, 'BO', 6, 'dirname', 'codeblocks', 'O3', 'O0', 0.9781597648547085, 41.10239553451538]
['CO', 331, 'UO', 8, 'dd', 'c++filt', 'O0', 'O1', 0.7671818480762906, 2.0066888332366943]
['UO', 9, 'CO', 200, 'strings', 'fold', 'O1', 'O1', 0.8882798225006525, 1.3887519836425781]
['CO', 42, 'UO', 11, 'sum', 'ld', 'O3', 'O1', 0.9096110501069179, 3.0982749462127686]
['UO', 81, 'CO', 127, 'diff3', 'pr', 'O0', 'O1', 0.06477225240284157, 0.11220383644104004]
['UO', 10, 'CO', 211, 'objcopy', 'unlink', 'O1', 'O2', 0.9323607427055703, 1.6766505241394043]
['BO', 4, 'UO', 13, 'libgeany.so.0.0.0', 'addr2line', 'O2', 'O1', 0.7018890119961153, 53.0051805973053]
