['BV', 16, 'CV', 199, 'libvlc.so', 'expand', 'V3', 'V0', 0.8396856581532417, 0.3950233459472656]
['CV', 90, 'UV', 23, 'test', 'strip', 'V3', 'V3', 0.8893521965748324, 1.7023913860321045]
['CV', 22, 'UV', 29, 'kill', 'objcopy', 'V2', 'V3', 0.9180588101897347, 1.6454365253448486]
['UV', 4, 'CV', 215, 'cmp', 'nice', 'V2', 'V0', 0.3263525305410122, 0.026995420455932617]
['UV', 25, 'CV', 241, 'as', 'uname', 'V3', 'V0', 0.9587013746709564, 2.103210210800171]
['BV', 3, 'CV', 239, 'diff', 'env', 'V1', 'V0', 0.6895179124281291, 0.06816506385803223]
['UV', 33, 'CV', 209, 'ar', 'sum', 'V3', 'V0', 0.9159402778976439, 1.5765833854675293]
['BV', 9, 'CV', 230, 'dot', 'yes', 'V2', 'V0', 0.2854640980735552, 0.010033607482910156]
['UV', 29, 'CV', 214, 'objcopy', 'ls', 'V3', 'V0', 0.8139734247749678, 1.7713770866394043]
['UV', 73, 'CV', 264, 'nm', 'test', 'V0', 'V1', 0.9139506970732157, 1.0745325088500977]
['CV', 135, 'UV', 29, 'df', 'objcopy', 'V3', 'V3', 0.7937371880964162, 2.1205296516418457]
['CV', 154, 'UV', 5, 'uname', 'diff', 'V3', 'V2', 0.5838068181818182, 0.11082816123962402]
['CV', 184, 'BV', 10, 'ptx', 'gvmap', 'V0', 'V2', 0.3905395768956501, 0.20129108428955078]
['CV', 120, 'UV', 9, 'sync', 'readelf', 'V3', 'V2', 0.7019551740581783, 0.15094280242919922]
['BV', 74, 'UV', 77, 'git', 'ranlib', 'V1', 'V0', 0.5915155403747806, 11.391120195388794]
['BV', 59, 'CV', 23, 'make', 'wc', 'V1', 'V2', 0.7313960337718437, 0.26006269454956055]
['CV', 167, 'BV', 62, 'uniq', 'diff', 'V3', 'V0', 0.18982571832312767, 0.06534409523010254]
['CV', 26, 'UV', 20, 'date', 'size', 'V2', 'V2', 0.8701686577652846, 1.3972983360290527]
['UV', 39, 'BV', 44, 'find', 'make', 'V3', 'V0', 0.15763656633221856, 0.8162143230438232]
['CV', 321, 'BV', 69, 'hostid', 'gvmap', 'V1', 'V0', 0.755199454483464, 0.11779212951660156]
['UV', 10, 'CV', 143, 'as', 'yes', 'V2', 'V3', 0.9323381937640481, 2.1540794372558594]
['CV', 159, 'BV', 32, 'id', 'perl', 'V3', 'V0', 0.9367335910545788, 3.0983200073242188]
['CV', 215, 'BV', 49, 'nice', 'make', 'V0', 'V3', 0.8489978595057405, 0.28304219245910645]
['UV', 9, 'CV', 19, 'readelf', 'pr', 'V2', 'V2', 0.6083916083916084, 0.1534104347229004]
['CV', 204, 'BV', 34, 'pinky', 'svn', 'V0', 'V0', 0.7843938509437633, 0.48508358001708984]
['BV', 64, 'CV', 86, 'openssl', 'ln', 'V2', 'V2', 0.9015532461727568, 6.184655666351318]
['CV', 297, 'UV', 81, 'chroot', 'ld', 'V1', 'V0', 0.9503643884183572, 1.9213695526123047]
['CV', 207, 'BV', 18, 'sync', 'sort', 'V0', 'V3', 0.7235246564268392, 0.08873963356018066]
['UV', 30, 'CV', 318, 'ld', 'who', 'V3', 'V1', 0.9312331233123312, 2.3938803672790527]
['CV', 255, 'UV', 51, 'sleep', 'nm', 'V0', 'V1', 0.9312117720060278, 1.2621405124664307]
['CV', 19, 'BV', 59, 'pr', 'make', 'V2', 'V1', 0.6710252037142316, 0.303997278213501]
['UV', 5, 'CV', 140, 'diff', 'tty', 'V2', 'V3', 0.5888849305308158, 0.10064840316772461]
['UV', 46, 'CV', 306, 'diff', 'cp', 'V1', 'V1', 0.41282938514772427, 0.1557772159576416]
['CV', 100, 'UV', 17, 'join', 'addr2line', 'V3', 'V2', 0.8316225308375744, 1.4454784393310547]
['CV', 219, 'BV', 1, 'cp', 'libSDL2-2.0.so', 'V0', 'V3', 0.9021406727828746, 8.282875299453735]
['BV', 64, 'CV', 154, 'openssl', 'uname', 'V2', 'V3', 0.9333106112247217, 6.032353401184082]
['CV', 327, 'BV', 70, 'link', 'ssh', 'V1', 'V0', 0.9746307558644657, 4.690511226654053]
['CV', 326, 'UV', 12, 'env', 'c++filt', 'V1', 'V2', 0.9331980070123639, 1.2204389572143555]
['UV', 27, 'BV', 50, 'c++filt', 'sort', 'V3', 'V0', 0.8358142436937338, 1.2611925601959229]
['CV', 24, 'UV', 69, 'factor', 'sdiff', 'V2', 'V0', 0.3222293401665599, 0.039076805114746094]
['CV', 196, 'UV', 7, 'kill', 'nm', 'V0', 'V2', 0.9234807367203488, 1.3353519439697266]
['CV', 60, 'UV', 79, 'hostid', 'strings', 'V2', 'V0', 0.9104280595889119, 1.1303229331970215]
['BV', 10, 'CV', 169, 'gvmap', 'sort', 'V2', 'V3', 0.1931840697444026, 0.2994272708892822]
