['UV', 37, 'CV', 216, 'locate', 'dircolors', 'V3', 'V0', 0.6305781916957702, 0.10545921325683594]
['BV', 4, 'UV', 9, 'geany', 'readelf', 'V3', 'V2', 0.882354886720688, 32.50720930099487]
['CV', 5, 'BV', 34, 'mkdir', 'svn', 'V2', 'V0', 0.7119402985074627, 0.4779658317565918]
['UV', 77, 'BV', 0, 'ranlib', 'bash', 'V0', 'V2', 0.34516198109455787, 9.670650243759155]
['UV', 5, 'CV', 68, 'diff', 'cat', 'V2', 'V2', 0.44131910766246363, 0.1126558780670166]
['UV', 85, 'CV', 50, 'elfedit', 'cksum', 'V0', 'V2', 0.2148403796376186, 0.024507522583007812]
['CV', 305, 'BV', 61, 'true', 'cmp', 'V1', 'V0', 0.13411078717201164, 0.012525320053100586]
['BV', 35, 'CV', 106, 'libvlccore.so', 'pr', 'V2', 'V3', 0.8930741190765492, 4.212608098983765]
['CV', 14, 'BV', 7, 'dirname', 'libSDL2-2.0.so', 'V2', 'V0', 0.93269364483382, 3.871997117996216]
['BV', 14, 'CV', 8, 'openssl', 'du', 'V3', 'V2', 0.8381924917369641, 7.575164556503296]
['CV', 267, 'UV', 26, 'fmt', 'ranlib', 'V1', 'V3', 0.9225772928033256, 1.2819015979766846]
['CV', 279, 'UV', 45, 'pwd', 'cmp', 'V1', 'V1', 0.24752475247524752, 0.028176307678222656]
['UV', 67, 'CV', 300, 'cmp', 'whoami', 'V0', 'V1', 0.3428317008014248, 0.02411198616027832]
['BV', 38, 'CV', 94, 'ruby', 'dir', 'V2', 'V3', 0.9172661870503597, 0.06727981567382812]
['CV', 118, 'BV', 73, 'sha1sum', 'geany', 'V3', 'V0', 0.966558477895915, 21.821595430374146]
['CV', 135, 'BV', 29, 'df', 'perl', 'V3', 'V3', 0.8994732674630771, 4.3550615310668945]
['CV', 205, 'UV', 56, 'sha1sum', 'c++filt', 'V0', 'V1', 0.90946873870618, 1.1598069667816162]
['BV', 31, 'CV', 101, 'codeblocks', 'dirname', 'V0', 'V3', 0.9683030537301894, 11.46343994140625]
['CV', 0, 'BV', 10, 'touch', 'gvmap', 'V2', 'V2', 0.6053860950810662, 0.16669058799743652]
['BV', 8, 'CV', 338, 'cluster', 'nl', 'V2', 'V1', 0.3942625031733943, 0.1638026237487793]
['CV', 61, 'BV', 56, 'ginstall', 'ssh', 'V2', 'V3', 0.7975178822522467, 2.7537834644317627]
['UV', 56, 'CV', 130, 'c++filt', 'chmod', 'V1', 'V3', 0.8105028698706417, 1.1516857147216797]
['CV', 113, 'UV', 40, 'date', 'diff3', 'V3', 'V3', 0.0705774518790101, 0.0600285530090332]
['CV', 333, 'UV', 43, 'id', 'sdiff', 'V1', 'V3', 0.3778080326752893, 0.03815412521362305]
['UV', 7, 'CV', 281, 'nm', 'tee', 'V2', 'V1', 0.9227964066530285, 1.1297614574432373]
['BV', 75, 'UV', 65, 'cmp', 'objdump', 'V2', 'V1', 0.9043533123028391, 2.084113121032715]
['CV', 218, 'BV', 6, 'true', 'libvlc.so', 'V0', 'V0', 0.838001514004542, 0.2695610523223877]
['BV', 5, 'CV', 288, 'libvlccore.so', 'expr', 'V0', 'V1', 0.868115636210171, 3.4182627201080322]
['BV', 30, 'CV', 99, 'bash', 'stty', 'V0', 'V3', 0.9132003706051592, 2.533954620361328]
['UV', 47, 'CV', 121, 'sdiff', 'echo', 'V1', 'V3', 0.302915082382763, 0.038600921630859375]
['UV', 21, 'CV', 113, 'objdump', 'date', 'V2', 'V3', 0.8546818384082385, 1.8707029819488525]
['CV', 7, 'UV', 61, 'dir', 'addr2line', 'V2', 'V1', 0.7423283000487092, 1.7387909889221191]
['CV', 242, 'UV', 51, 'cat', 'nm', 'V0', 'V1', 0.9279646017699115, 1.206794023513794]
['UV', 86, 'CV', 75, 'size', 'tr', 'V0', 'V2', 0.8922574998010663, 1.0085365772247314]
['CV', 314, 'UV', 52, 'tty', 'strip', 'V1', 'V1', 0.949043686922154, 1.5925939083099365]
['CV', 253, 'BV', 17, 'fold', 'codeblocks', 'V0', 'V2', 0.9780858437749933, 13.755041360855103]
['UV', 10, 'BV', 30, 'as', 'bash', 'V2', 'V0', 0.10970011819356262, 9.306430578231812]
['CV', 253, 'BV', 27, 'fold', 'libSDL2-2.0.so', 'V0', 'V1', 0.9541933686263583, 4.733028888702393]
['CV', 193, 'UV', 49, 'pr', 'xargs', 'V0', 'V1', 0.05882352941176472, 0.037993431091308594]
['BV', 32, 'CV', 246, 'perl', 'id', 'V0', 'V0', 0.9622641509433962, 2.3426692485809326]
['BV', 56, 'CV', 216, 'ssh', 'dircolors', 'V3', 'V0', 0.9371458690209514, 1.5409185886383057]
['UV', 70, 'CV', 302, 'locate', 'nice', 'V0', 'V1', 0.5979746835443038, 0.05633687973022461]
['CV', 195, 'UV', 41, 'chgrp', 'cmp', 'V0', 'V3', 0.05898123324396787, 0.03874945640563965]
['BV', 47, 'CV', 42, 'dot', 'dircolors', 'V3', 'V2', 0.44041450777202074, 0.013430356979370117]
['BV', 80, 'CV', 164, 'cluster', 'nl', 'V1', 'V3', 0.585471317382531, 0.14350461959838867]
['UV', 69, 'CV', 95, 'sdiff', 'du', 'V0', 'V3', 0.29871035203903795, 0.10901618003845215]
['CV', 343, 'UV', 26, 'sort', 'ranlib', 'V1', 'V3', 0.8185094185094185, 1.5281705856323242]
['CV', 98, 'BV', 28, 'printenv', 'openssl', 'V3', 'V1', 0.9750911840583578, 8.389842987060547]
['CV', 168, 'UV', 78, 'sleep', 'c++filt', 'V3', 'V0', 0.8850704225352113, 1.0976922512054443]
['CV', 298, 'BV', 55, 'seq', 'codeblocks', 'V1', 'V3', 0.9776097930998404, 14.794200420379639]
['CV', 14, 'BV', 76, 'dirname', 'diff', 'V2', 'V2', 0.643199410246959, 0.0948030948638916]
['CV', 216, 'UV', 1, 'dircolors', 'xargs', 'V0', 'V2', 0.45547945205479445, 0.04830503463745117]
['CV', 269, 'BV', 83, 'du', 'git', 'V1', 'V2', 0.9572478029579687, 9.68894362449646]
['CV', 102, 'BV', 28, 'uptime', 'openssl', 'V3', 'V1', 0.9624342599549212, 8.977607250213623]
['CV', 251, 'UV', 83, 'nl', 'addr2line', 'V0', 'V0', 0.7892053445850914, 1.2874350547790527]
['CV', 241, 'BV', 37, 'uname', 'geany', 'V0', 'V1', 0.9861225773479577, 25.565088272094727]
['CV', 173, 'BV', 81, 'ln', 'dot', 'V3', 'V1', 0.727932285368803, 0.04302024841308594]
['UV', 77, 'BV', 50, 'ranlib', 'sort', 'V0', 'V0', 0.8444387711684112, 1.1672024726867676]
['CV', 70, 'UV', 56, 'vdir', 'c++filt', 'V2', 'V1', 0.7394088669950739, 1.703381061553955]
['CV', 124, 'BV', 60, 'seq', 'codeblocks', 'V3', 'V1', 0.9595306193365588, 14.560586929321289]
