['BO', 17, 'CO', 378, 'codeblocks', 'runcon', 'O2', 'O0', 0.9614486587453951, 14.562845945358276]
['CO', 187, 'UO', 46, 'csplit', 'readelf', 'O1', 'O3', 0.7152910130479402, 0.398113489151001]
['CO', 239, 'UO', 26, 'date', 'nm', 'O2', 'O2', 0.824275672895594, 1.5684230327606201]
['UO', 45, 'CO', 415, 'strip', 'ln', 'O3', 'O0', 0.7720619582208328, 1.7344591617584229]
['UO', 1, 'BO', 59, 'xargs', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9574876832026772, 48.47252917289734]
['BO', 6, 'CO', 244, 'codeblocks', 'pinky', 'O0', 'O2', 0.9751467419570548, 39.67222309112549]
['CO', 15, 'UO', 64, 'join', 'diff', 'O3', 'O3', 0.3969725054062403, 0.13511323928833008]
['UO', 35, 'CO', 168, 'gprof', 'tty', 'O2', 'O1', 0.9067173637515843, 1.3320438861846924]
['UO', 39, 'CO', 393, 'size', 'cat', 'O2', 'O0', 0.8626823194592672, 1.3145251274108887]
['UO', 40, 'CO', 261, 'objdump', 'chmod', 'O2', 'O2', 0.8866829740030718, 2.4911441802978516]
['BO', 47, 'CO', 213, 'libvlc.so.12.0.0', 'basename', 'O0', 'O2', 0.8312663755458515, 0.7586820125579834]
['CO', 257, 'BO', 41, 'nice', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9516304886510061, 7.723424911499023]
['CO', 57, 'UO', 9, 'od', 'strings', 'O3', 'O1', 0.817907697462099, 1.6666615009307861]
['CO', 75, 'UO', 0, 'mv', 'locate', 'O3', 'O1', 0.11130247578040908, 0.2983419895172119]
['CO', 193, 'BO', 64, 'pathchk', 'dot', 'O1', 'O0', 0.4629861982434128, 0.018795013427734375]
['BO', 5, 'CO', 236, 'libgeany.so.0.0.0', 'factor', 'O1', 'O2', 0.9656080459405438, 39.119133949279785]
['CO', 293, 'BO', 73, '[', 'cluster', 'O2', 'O1', 0.6010498687664042, 0.1743946075439453]
['BO', 69, 'CO', 49, 'cmp', 'nice', 'O3', 'O3', 0.1638501102130786, 0.03539896011352539]
['CO', 349, 'BO', 70, 'truncate', 'diff', 'O0', 'O3', 0.5105315947843531, 0.1455707550048828]
['BO', 9, 'CO', 389, 'git', 'env', 'O0', 'O0', 0.9702455426962777, 8.735329151153564]
['UO', 67, 'BO', 78, 'strip', 'ssh', 'O0', 'O0', 0.07363000338110226, 12.727653503417969]
['UO', 3, 'CO', 351, 'nm', 'paste', 'O1', 'O0', 0.8755495434562056, 1.4747917652130127]
['CO', 14, 'UO', 20, 'stty', 'diff', 'O3', 'O1', 0.43860759493670887, 0.15315604209899902]
['UO', 8, 'CO', 400, 'c++filt', 'shred', 'O1', 'O0', 0.7839004149377593, 1.659839153289795]
['UO', 49, 'CO', 306, 'c++filt', 'sleep', 'O3', 'O2', 0.9065137005783636, 1.0257868766784668]
['BO', 58, 'CO', 365, 'svn', 'chmod', 'O1', 'O0', 0.613633067440174, 0.8303706645965576]
['BO', 55, 'CO', 340, 'make', 'factor', 'O1', 'O0', 0.5223132207922447, 0.4135568141937256]
['CO', 259, 'BO', 45, 'realpath', 'diff', 'O2', 'O2', 0.5056720522516328, 0.14095020294189453]
['CO', 68, 'BO', 32, 'yes', 'ruby', 'O3', 'O2', 0.9799907964481107, 21.991652488708496]
['UO', 13, 'BO', 7, 'addr2line', 'sort', 'O1', 'O0', 0.6098929494278331, 2.1550636291503906]
['BO', 61, 'UO', 44, 'git', 'nm', 'O1', 'O3', 0.6584715639810427, 14.567915201187134]
['CO', 172, 'UO', 47, 'yes', 'as', 'O1', 'O3', 0.934033514278971, 2.155596971511841]
['BO', 55, 'CO', 77, 'make', 'env', 'O1', 'O3', 0.7517294388931591, 0.27340126037597656]
['CO', 328, 'UO', 59, 'dirname', 'locate', 'O0', 'O3', 0.5439882697947214, 0.14728403091430664]
['CO', 81, 'BO', 42, 'cat', 'cmp', 'O3', 'O1', 0.15644383184011024, 0.03996777534484863]
['CO', 237, 'BO', 19, 'nproc', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9576168563816905, 7.02698278427124]
['CO', 203, 'BO', 22, 'sort', 'perl', 'O1', 'O0', 0.8788222308403687, 8.448355197906494]
['BO', 40, 'CO', 18, 'lua', 'uptime', 'O0', 'O3', 0.8305594545819129, 0.9606742858886719]
['BO', 32, 'CO', 77, 'ruby', 'env', 'O2', 'O3', 0.9778670661944974, 21.06842565536499]
['CO', 48, 'BO', 16, 'ls', 'make', 'O3', 'O0', 0.41417756366139025, 0.5559947490692139]
['BO', 72, 'CO', 389, 'make', 'env', 'O2', 'O0', 0.7238751814223512, 0.31260013580322266]
['BO', 48, 'UO', 5, 'libvlccore.so.9.0.0', 'readelf', 'O0', 'O1', 0.7006406523005242, 18.853716135025024]
['UO', 36, 'CO', 206, 'addr2line', 'mknod', 'O2', 'O1', 0.8877034358047017, 1.2376625537872314]
['CO', 220, 'UO', 14, 'ptx', 'ar', 'O2', 'O1', 0.8353034510115034, 1.82208251953125]
['CO', 69, 'UO', 78, 'who', 'elfedit', 'O3', 'O0', 0.1359807460890493, 0.04819226264953613]
['CO', 223, 'BO', 57, 'join', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.939969031643308, 6.737383127212524]
['CO', 292, 'BO', 40, 'vdir', 'lua', 'O2', 'O0', 0.6597435434350731, 1.488281011581421]
['UO', 75, 'BO', 13, 'gprof', 'ruby', 'O0', 'O1', 0.5826485577040307, 77.87119436264038]
['UO', 76, 'CO', 251, 'addr2line', 'chroot', 'O0', 'O2', 0.9220349009168884, 2.959848403930664]
['UO', 63, 'CO', 93, 'cmp', 'nl', 'O3', 'O3', 0.1154625253207292, 0.03969979286193848]
['CO', 340, 'BO', 67, 'factor', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.8668716228805664, 9.876369714736938]
['CO', 49, 'BO', 36, 'nice', 'cluster', 'O3', 'O2', 0.634257848217007, 0.15424871444702148]
['CO', 101, 'BO', 14, 'rmdir', 'cmp', 'O3', 'O0', 0.1843575418994413, 0.051476478576660156]
['CO', 6, 'UO', 84, 'mkdir', 'sdiff', 'O3', 'O0', 0.19557904853435848, 0.07988715171813965]
['UO', 87, 'CO', 21, 'find', 'mktemp', 'O0', 'O3', 0.7765348595213319, 0.8157119750976562]
['BO', 5, 'CO', 319, 'libgeany.so.0.0.0', 'fmt', 'O1', 'O0', 0.9692630441347087, 39.75605821609497]
['CO', 404, 'UO', 17, 'sha512sum', 'objdump', 'O0', 'O1', 0.900314621626097, 3.2588095664978027]
['UO', 31, 'CO', 97, 'c++filt', 'uniq', 'O2', 'O3', 0.8412726785235499, 1.2300388813018799]
['CO', 324, 'UO', 85, 'ptx', 'locate', 'O0', 'O0', 0.38573706994759627, 0.35744786262512207]
['CO', 35, 'UO', 15, 'base32', 'elfedit', 'O3', 'O1', 0.17133105802047788, 0.037683725357055664]
['BO', 34, 'UO', 13, 'cp', 'addr2line', 'O2', 'O1', 0.6995173594893352, 2.24336314201355]
['CO', 92, 'BO', 37, 'sha512sum', 'gvmap', 'O3', 'O2', 0.5802879291251384, 0.17270350456237793]
['BO', 78, 'CO', 171, 'ssh', 'nohup', 'O0', 'O1', 0.935082033623658, 2.7652127742767334]
['UO', 54, 'CO', 411, 'addr2line', 'sort', 'O3', 'O0', 0.5891563449404066, 2.7798657417297363]
['BO', 66, 'UO', 37, 'svn', 'ar', 'O2', 'O2', 0.34232452196847096, 3.9359848499298096]
['BO', 22, 'CO', 246, 'perl', 'sha1sum', 'O0', 'O2', 0.9615049208919896, 4.956605911254883]
['BO', 39, 'UO', 48, 'codeblocks', 'ranlib', 'O3', 'O3', 0.5595930824008138, 23.160183906555176]
['CO', 350, 'UO', 40, 'sha1sum', 'objdump', 'O0', 'O2', 0.8996506100005728, 2.8801074028015137]
['UO', 49, 'CO', 166, 'c++filt', 'printf', 'O3', 'O1', 0.8597854236034036, 1.0922951698303223]
['CO', 336, 'UO', 62, 'tee', 'diff3', 'O0', 'O3', 0.16327652556349648, 0.06438112258911133]
