['CV', 254, 'UV', 71, 'uniq', 'xargs', 'V0', 'V0', 0.09895833333333337, 0.026465892791748047]
['BV', 19, 'CV', 90, 'cp', 'test', 'V3', 'V3', 0.4718460441910193, 0.09518766403198242]
['CV', 270, 'BV', 6, 'users', 'libvlc.so', 'V1', 'V0', 0.7809290953545233, 0.2938375473022461]
['BV', 33, 'CV', 92, 'openssl', 'mkdir', 'V0', 'V3', 0.9583790215337237, 7.3271262645721436]
['CV', 58, 'UV', 15, 'readlink', 'ld', 'V2', 'V2', 0.9209087595674887, 2.2306206226348877]
['UV', 18, 'CV', 337, 'ar', 'comm', 'V2', 'V1', 0.9202046035805627, 1.2139286994934082]
['BV', 39, 'CV', 53, 'svn', 'tty', 'V1', 'V2', 0.8250231696014828, 0.4296698570251465]
['BV', 25, 'UV', 9, 'git', 'readelf', 'V3', 'V2', 0.8942935104994661, 12.918576002120972]
['BV', 71, 'CV', 281, 'ruby', 'tee', 'V1', 'V1', 0.6501901140684411, 0.007562398910522461]
['BV', 71, 'CV', 54, 'ruby', 'false', 'V1', 'V2', 0.6495238095238095, 0.006516695022583008]
['UV', 30, 'CV', 115, 'ld', 'chown', 'V3', 'V3', 0.8575715604801477, 2.3751564025878906]
['CV', 243, 'UV', 32, 'csplit', 'addr2line', 'V0', 'V3', 0.7606679035250464, 1.4955885410308838]
['UV', 38, 'CV', 347, 'xargs', 'ln', 'V3', 'V1', 0.37780093798853565, 0.07237935066223145]
['CV', 176, 'BV', 4, 'unlink', 'geany', 'V0', 'V3', 0.9878089249847175, 32.94249105453491]
['CV', 262, 'BV', 25, 'stat', 'git', 'V1', 'V3', 0.9841560781633477, 12.479901790618896]
['BV', 27, 'CV', 137, 'libSDL2-2.0.so', 'cksum', 'V1', 'V3', 0.9303132052622888, 4.466111898422241]
['BV', 46, 'CV', 234, 'cluster', 'hostid', 'V3', 'V0', 0.7748301520543514, 0.11486101150512695]
['UV', 43, 'CV', 219, 'sdiff', 'cp', 'V3', 'V0', 0.08404154863078372, 0.06584978103637695]
['UV', 66, 'BV', 40, 'diff3', 'lua', 'V0', 'V2', 0.7360640173606402, 0.5198826789855957]
['BV', 36, 'CV', 4, 'libvlc.so', 'basename', 'V2', 'V2', 0.8124031007751938, 0.3747522830963135]
