['BO', 69, 'CO', 344, 'cmp', 'expr', 'O3', 'O0', 0.1883733929569592, 0.06629562377929688]
['BO', 11, 'CO', 147, 'ssh', 'chroot', 'O1', 'O1', 0.906471659029565, 1.9412202835083008]
['BO', 15, 'CO', 0, 'diff', 'sha384sum', 'O0', 'O3', 0.5587126703392288, 0.1916639804840088]
['CO', 173, 'UO', 48, 'who', 'ranlib', 'O1', 'O3', 0.8622229857412815, 1.36268949508667]
['CO', 122, 'UO', 28, 'uptime', 'readelf', 'O1', 'O2', 0.7504581551618815, 0.40261292457580566]
['UO', 75, 'CO', 367, 'gprof', 'cp', 'O0', 'O0', 0.690106094251172, 4.110446453094482]
['UO', 59, 'CO', 413, 'locate', 'rmdir', 'O3', 'O0', 0.49626998223801067, 0.14562058448791504]
['BO', 45, 'CO', 391, 'diff', 'link', 'O2', 'O0', 0.5592737629049483, 0.12812376022338867]
['CO', 407, 'UO', 59, 'sha224sum', 'locate', 'O0', 'O3', 0.40326340326340326, 0.16668105125427246]
['CO', 165, 'UO', 58, 'cksum', 'objdump', 'O1', 'O3', 0.9312430923157466, 2.227221727371216]
['CO', 61, 'BO', 65, 'cksum', 'gvmap', 'O3', 'O0', 0.7382943143812709, 0.25636911392211914]
['UO', 7, 'CO', 329, 'ranlib', 'stdbuf', 'O1', 'O0', 0.8645925687112114, 1.5581331253051758]
['UO', 52, 'BO', 15, 'ld', 'diff', 'O3', 'O0', 0.7131388814557131, 2.916153907775879]
['CO', 399, 'BO', 46, 'id', 'ruby', 'O0', 'O3', 0.9727347335785282, 19.80396294593811]
['CO', 21, 'UO', 41, 'mktemp', 'locate', 'O3', 'O2', 0.4480980012894906, 0.16171669960021973]
['CO', 53, 'BO', 38, 'chmod', 'acyclic', 'O3', 'O2', 0.6240822320117474, 0.028884410858154297]
['UO', 50, 'CO', 23, 'strings', 'pr', 'O3', 'O3', 0.7967753366406803, 1.0970478057861328]
['BO', 44, 'UO', 81, 'cmp', 'diff3', 'O2', 'O0', 0.2593330014932802, 0.08066558837890625]
['UO', 6, 'CO', 186, 'as', 'shuf', 'O1', 'O1', 0.8855627131489201, 2.6988041400909424]
['CO', 97, 'UO', 19, 'uniq', 'cmp', 'O3', 'O1', 0.13285024154589375, 0.04419589042663574]
['CO', 209, 'UO', 67, 'touch', 'strip', 'O2', 'O0', 0.90056008646949, 4.221625328063965]
['CO', 346, 'UO', 28, 'tail', 'readelf', 'O0', 'O2', 0.5634974764697859, 0.519158124923706]
['UO', 70, 'CO', 266, 'ranlib', 'df', 'O0', 'O2', 0.8522301298419079, 3.378148078918457]
['CO', 149, 'UO', 74, 'split', 'ld', 'O1', 'O0', 0.9198553285931528, 6.408917665481567]
['UO', 25, 'CO', 143, 'sdiff', 'paste', 'O2', 'O1', 0.22933499067743934, 0.05066180229187012]
['CO', 119, 'UO', 72, 'join', 'strings', 'O1', 'O0', 0.9001930614871585, 3.2960164546966553]
['CO', 3, 'UO', 61, 'unlink', 'find', 'O3', 'O3', 0.7882139619220309, 0.39948606491088867]
