['UV', 36, 'CV', 46, 'objdump', 'cut', 'V3', 'V2', 0.9204400694846555, 2.3250796794891357]
['BV', 70, 'CV', 213, 'ssh', 'whoami', 'V0', 'V0', 0.9749052865732856, 4.315793514251709]
['CV', 76, 'BV', 48, 'comm', 'gvmap', 'V2', 'V3', 0.6617396247868107, 0.15922880172729492]
['CV', 296, 'UV', 38, 'sum', 'xargs', 'V1', 'V3', 0.4542447629547961, 0.0735633373260498]
['CV', 1, 'BV', 17, 'stat', 'codeblocks', 'V2', 'V2', 0.9677513459039435, 15.803893327713013]
['BV', 63, 'UV', 49, 'ruby', 'xargs', 'V0', 'V1', 0.9687605841451995, 12.556755065917969]
['CV', 28, 'UV', 38, 'chown', 'xargs', 'V2', 'V3', 0.1846808510638298, 0.10282754898071289]
['CV', 128, 'UV', 19, 'nice', 'elfedit', 'V3', 'V2', 0.16315378610460574, 0.03126955032348633]
['BV', 43, 'UV', 67, 'lua', 'cmp', 'V0', 'V0', 0.7607518317935649, 0.385451078414917]
['CV', 231, 'UV', 39, 'who', 'find', 'V0', 'V3', 0.795077484047402, 0.43175196647644043]
['BV', 31, 'CV', 78, 'codeblocks', 'rm', 'V0', 'V2', 0.9435644374165053, 13.145373582839966]
['CV', 178, 'UV', 8, 'basename', 'strip', 'V0', 'V2', 0.9464110498905578, 1.6055793762207031]
['CV', 237, 'UV', 71, 'mv', 'xargs', 'V0', 'V0', 0.35953878406708595, 0.06288409233093262]
['CV', 28, 'UV', 75, 'chown', 'readelf', 'V2', 'V0', 0.4682498709344347, 0.14467358589172363]
['UV', 85, 'CV', 180, 'elfedit', 'fmt', 'V0', 'V0', 0.2269058295964126, 0.026174545288085938]
['BV', 40, 'CV', 69, 'lua', 'csplit', 'V2', 'V2', 0.6142208774583964, 0.5364549160003662]
['UV', 48, 'CV', 196, 'locate', 'kill', 'V1', 'V0', 0.6233026719229084, 0.07179641723632812]
['BV', 21, 'CV', 205, 'cp', 'sha1sum', 'V1', 'V0', 0.38338461538461543, 0.04712057113647461]
