['BO', 70, 'CO', 276, 'diff', 'yes', 'O3', 'O2', 0.9871677360219981, 0.13349366188049316]
['BO', 4, 'CO', 38, 'libgeany.so.0.0.0', 'sha1sum', 'O2', 'O3', 0.9991676440543301, 7.504272699356079]
['BO', 58, 'CO', 355, 'svn', 'chroot', 'O1', 'O0', 0.9896414342629483, 0.8146698474884033]
['CO', 95, 'UO', 65, 'sha224sum', 'sdiff', 'O3', 'O3', 0.9243085880640466, 0.10629630088806152]
['CO', 17, 'BO', 60, 'stdbuf', 'openssl', 'O3', 'O0', 0.9960055921709606, 3.666764259338379]
['CO', 361, 'BO', 70, 'nice', 'diff', 'O0', 'O3', 0.9155900086132644, 0.2075183391571045]
['CO', 44, 'UO', 0, 'seq', 'locate', 'O3', 'O1', 0.944954128440367, 0.2686777114868164]
['BO', 11, 'CO', 380, 'ssh', 'yes', 'O1', 'O0', 0.9940749518589839, 1.3447256088256836]
['CO', 121, 'UO', 41, 'stdbuf', 'locate', 'O1', 'O2', 0.9495213228894691, 0.2668774127960205]
['UO', 21, 'CO', 385, 'sdiff', 'hostid', 'O1', 'O0', 0.9368770764119602, 0.0915372371673584]
['CO', 66, 'UO', 5, 'runcon', 'readelf', 'O3', 'O1', 0.9675558759913483, 0.4612555503845215]
['CO', 280, 'BO', 6, 'head', 'codeblocks', 'O2', 'O0', 0.9956064073226545, 7.282892227172852]
['UO', 33, 'CO', 224, 'objcopy', 'dirname', 'O2', 'O2', 0.9960417416336812, 0.7904753684997559]
['BO', 45, 'UO', 77, 'diff', 'ar', 'O2', 'O0', 0.9820605456584028, 5.815014839172363]
['CO', 366, 'UO', 20, 'true', 'diff', 'O0', 'O1', 0.9205058717253839, 0.1938169002532959]
['CO', 261, 'UO', 23, 'chmod', 'cmp', 'O2', 'O2', 0.9373134328358209, 0.10315799713134766]
['UO', 76, 'CO', 129, 'addr2line', 'chgrp', 'O0', 'O1', 0.9925599338660788, 2.8089547157287598]
['CO', 131, 'BO', 30, 'wc', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9893526000570396, 3.293806791305542]
['BO', 67, 'CO', 209, 'libSDL2-2.0.so.0.16.0', 'touch', 'O1', 'O2', 0.9927658548348204, 3.0609326362609863]
['UO', 1, 'BO', 31, 'xargs', 'bash', 'O1', 'O2', 0.9744579198823962, 4.531715154647827]
['UO', 62, 'CO', 313, 'diff3', 'touch', 'O3', 'O0', 0.9235095613048369, 0.1893761157989502]
['BO', 52, 'CO', 356, 'svn', 'seq', 'O3', 'O0', 0.9914396887159533, 0.7634270191192627]
['UO', 27, 'CO', 234, 'strip', 'kill', 'O2', 'O2', 0.9964241015555159, 0.9451098442077637]
['CO', 198, 'UO', 44, 'rm', 'nm', 'O1', 'O3', 0.9620640424230064, 1.9540050029754639]
['BO', 9, 'CO', 263, 'git', 'cp', 'O0', 'O2', 0.9973749947076507, 12.49735975265503]
['CO', 187, 'UO', 37, 'csplit', 'ar', 'O1', 'O2', 0.9674861221252974, 1.612257957458496]
['CO', 318, 'UO', 26, 'mkdir', 'nm', 'O0', 'O2', 0.9624031007751938, 2.8281548023223877]
['UO', 41, 'CO', 204, 'locate', 'tac', 'O2', 'O1', 0.9738219895287958, 0.25325942039489746]
['CO', 364, 'BO', 43, 'sha256sum', 'diff', 'O0', 'O1', 0.894566098945661, 0.3062887191772461]
['CO', 123, 'UO', 37, 'dd', 'ar', 'O1', 'O2', 0.9661610268378062, 1.968379020690918]
['CO', 235, 'UO', 34, 'wc', 'ld', 'O2', 'O2', 0.980869320579547, 1.8409104347229004]
['UO', 31, 'CO', 183, 'c++filt', 'link', 'O2', 'O1', 0.996020340481981, 0.8205792903900146]
['UO', 36, 'CO', 409, 'addr2line', 'uniq', 'O2', 'O0', 0.9885665890323947, 1.328087568283081]
['CO', 145, 'UO', 34, 'echo', 'ld', 'O1', 'O2', 0.9835086721637759, 1.3812487125396729]
['CO', 265, 'BO', 80, 'od', 'ssh', 'O2', 'O3', 0.9794262532599246, 2.1482231616973877]
['BO', 17, 'UO', 86, 'codeblocks', 'xargs', 'O2', 'O0', 0.9992712698123519, 7.945530414581299]
['CO', 3, 'BO', 23, 'unlink', 'git', 'O3', 'O2', 0.9929806317431431, 4.3373236656188965]
['UO', 41, 'CO', 335, 'locate', 'pr', 'O2', 'O0', 0.969718817591925, 0.4570276737213135]
['UO', 70, 'CO', 151, 'ranlib', 'numfmt', 'O0', 'O1', 0.993307455494579, 2.0726301670074463]
['BO', 63, 'CO', 343, 'cluster', 'date', 'O0', 'O0', 0.9772830531576556, 0.7971847057342529]
['BO', 56, 'UO', 78, 'libvlc.so.12.0.0', 'elfedit', 'O3', 'O0', 0.99146110056926, 0.5057988166809082]
['CO', 172, 'BO', 74, 'yes', 'dot', 'O1', 'O1', 0.9927007299270073, 0.028725147247314453]
['CO', 37, 'BO', 30, 'truncate', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.9935046327251886, 2.5303902626037598]
['CO', 36, 'BO', 48, 'pinky', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9954285714285714, 7.44250750541687]
['BO', 21, 'CO', 157, 'cp', 'chmod', 'O1', 'O1', 0.9389942291838417, 0.2748749256134033]
['CO', 300, 'UO', 11, 'sha512sum', 'ld', 'O2', 'O1', 0.9817225145389089, 1.5943958759307861]
['CO', 179, 'BO', 4, 'mv', 'libgeany.so.0.0.0', 'O1', 'O2', 0.9842734790313054, 24.896547079086304]
['CO', 177, 'UO', 5, 'hostid', 'readelf', 'O1', 'O1', 0.9666182873730044, 0.45984673500061035]
['BO', 41, 'CO', 132, 'libSDL2-2.0.so.0.16.0', 'factor', 'O2', 'O1', 0.9940981187753597, 2.58012056350708]
['CO', 219, 'UO', 55, 'groups', 'ar', 'O2', 'O3', 0.9800498753117207, 0.9145755767822266]
['CO', 87, 'BO', 66, 'id', 'svn', 'O3', 'O2', 0.9792415169660679, 0.7486698627471924]
['CO', 322, 'BO', 46, 'users', 'ruby', 'O0', 'O3', 0.9923648510464245, 6.709859132766724]
['UO', 28, 'CO', 114, 'readelf', 'users', 'O2', 'O1', 0.9837157660991858, 0.5090804100036621]
['CO', 165, 'BO', 24, 'cksum', 'cluster', 'O1', 'O3', 0.9541984732824428, 0.25000953674316406]
['CO', 2, 'UO', 51, 'stat', 'objcopy', 'O3', 'O3', 0.9661942974218883, 2.208388566970825]
['CO', 224, 'BO', 68, 'dirname', 'git', 'O2', 'O3', 0.9944379263894321, 3.596160411834717]
['UO', 81, 'CO', 134, 'diff3', 'expand', 'O0', 'O1', 0.91701244813278, 0.12015485763549805]
