['BV', 77, 'CV', 81, 'perl', 'sleep', 'V2', 'V2', 0.9985665137614679, 2.0294909477233887]
['BV', 3, 'CV', 138, 'diff', 'printf', 'V1', 'V3', 0.9670932358318098, 0.19183802604675293]
['UV', 80, 'CV', 43, 'objcopy', 'chmod', 'V0', 'V2', 0.995047052996533, 1.5935869216918945]
['BV', 58, 'UV', 30, 'ruby', 'ld', 'V3', 'V3', 0.9970879440885265, 0.24356293678283691]
['UV', 57, 'BV', 75, 'strings', 'cmp', 'V1', 'V2', 0.9966624947851481, 1.10219144821167]
['UV', 3, 'CV', 246, 'diff3', 'id', 'V2', 'V0', 0.9638989169675091, 0.05730271339416504]
['CV', 230, 'UV', 49, 'yes', 'xargs', 'V0', 'V1', 0.8703703703703703, 0.040392398834228516]
['BV', 83, 'CV', 333, 'git', 'id', 'V2', 'V1', 0.9993024675211439, 2.942919969558716]
['CV', 339, 'BV', 47, 'rm', 'dot', 'V1', 'V3', 1.0, 0.0362699031829834]
['CV', 157, 'UV', 20, 'vdir', 'size', 'V3', 'V2', 0.9572953736654805, 3.22405743598938]
['BV', 69, 'CV', 87, 'gvmap', 'touch', 'V0', 'V3', 0.9748177601060305, 0.4191398620605469]
['CV', 267, 'UV', 17, 'fmt', 'addr2line', 'V1', 'V2', 0.9758099352051836, 0.6925544738769531]
['BV', 81, 'CV', 178, 'dot', 'basename', 'V1', 'V0', 0.9900497512437811, 0.018174171447753906]
['UV', 63, 'BV', 10, 'elfedit', 'gvmap', 'V1', 'V2', 0.9244505494505495, 0.26117515563964844]
['CV', 170, 'BV', 10, 'tac', 'gvmap', 'V3', 'V2', 0.9405940594059405, 0.3429555892944336]
['CV', 309, 'UV', 23, 'df', 'strip', 'V1', 'V3', 0.9767031415460642, 1.3580045700073242]
['CV', 29, 'BV', 9, 'tail', 'dot', 'V2', 'V2', 1.0, 0.04324531555175781]
['UV', 37, 'CV', 13, 'locate', 'join', 'V3', 'V2', 0.9875776397515528, 0.2314586639404297]
['UV', 45, 'CV', 104, 'cmp', 'mkfifo', 'V1', 'V3', 0.935361216730038, 0.06220221519470215]
['UV', 20, 'CV', 313, 'size', 'logname', 'V2', 'V1', 0.997398091934085, 0.5339765548706055]
['UV', 39, 'BV', 58, 'find', 'ruby', 'V3', 'V3', 0.9941491955143832, 0.06486153602600098]
['BV', 27, 'CV', 67, 'libSDL2-2.0.so', 'uname', 'V1', 'V2', 0.9963958968672026, 1.0627572536468506]
['CV', 259, 'BV', 75, 'mknod', 'cmp', 'V0', 'V2', 0.8636363636363636, 0.045401811599731445]
['CV', 251, 'UV', 7, 'nl', 'nm', 'V0', 'V2', 0.9603332011106703, 1.776257038116455]
['CV', 3, 'UV', 87, 'test', 'objdump', 'V2', 'V0', 0.982412835544585, 1.2709760665893555]
['CV', 101, 'UV', 6, 'dirname', 'sdiff', 'V3', 'V2', 0.9058441558441559, 0.08257889747619629]
['BV', 43, 'CV', 77, 'lua', 'nl', 'V0', 'V2', 0.9847009735744089, 0.9765119552612305]
['CV', 286, 'UV', 15, 'expand', 'ld', 'V1', 'V2', 0.9850187265917603, 0.9766466617584229]
['CV', 290, 'BV', 52, 'tail', 'libSDL2-2.0.so', 'V1', 'V2', 0.9797772942531678, 2.3710100650787354]
['CV', 191, 'UV', 87, 'mkfifo', 'objdump', 'V0', 'V0', 0.9871794871794872, 0.8633773326873779]
['CV', 212, 'UV', 23, 'split', 'strip', 'V0', 'V3', 0.9792375156613567, 0.9783604145050049]
['BV', 8, 'UV', 84, 'cluster', 'ar', 'V2', 'V0', 0.9456521739130435, 3.9048538208007812]
['CV', 45, 'UV', 37, 'cp', 'locate', 'V2', 'V3', 0.9670402109426499, 0.5493571758270264]
['BV', 0, 'UV', 76, 'bash', 'as', 'V2', 'V0', 0.9865992568678809, 47.91894602775574]
['UV', 40, 'CV', 313, 'diff3', 'logname', 'V3', 'V1', 0.9632352941176471, 0.04818320274353027]
['BV', 41, 'CV', 84, 'libvlccore.so', 'rmdir', 'V1', 'V2', 0.9989723827874117, 1.5312516689300537]
['BV', 82, 'CV', 81, 'gvmap', 'sleep', 'V1', 'V2', 0.9843416370106761, 0.23253965377807617]
['BV', 80, 'CV', 120, 'cluster', 'sync', 'V1', 'V3', 0.9824175824175824, 0.2632477283477783]
['BV', 0, 'CV', 306, 'bash', 'cp', 'V2', 'V1', 0.9939843593342691, 3.2830634117126465]
['CV', 38, 'BV', 65, 'split', 'ssh', 'V2', 'V1', 0.9776242679080943, 3.5900933742523193]
