['UO', 61, 'CO', 254, 'find', 'whoami', 'O3', 'O2', 0.9917808219178083, 0.3333101272583008]
['BO', 75, 'UO', 19, 'gvmap', 'cmp', 'O1', 'O1', 0.9676985195154778, 0.33837151527404785]
['UO', 42, 'CO', 165, 'xargs', 'cksum', 'O2', 'O1', 0.9599427753934192, 0.12648487091064453]
['CO', 193, 'UO', 73, 'pathchk', 'objcopy', 'O1', 'O0', 0.9926172898309121, 1.8671283721923828]
['CO', 65, 'BO', 27, 'false', 'perl', 'O3', 'O3', 0.9930488511295616, 2.564774990081787]
['UO', 56, 'CO', 196, 'elfedit', 'sha512sum', 'O3', 'O1', 0.9476635514018692, 0.09025096893310547]
['UO', 15, 'CO', 129, 'elfedit', 'chgrp', 'O1', 'O1', 0.9380888290713324, 0.14598464965820312]
['BO', 21, 'CO', 218, 'cp', 'users', 'O1', 'O2', 0.9696969696969697, 0.13402581214904785]
['BO', 55, 'UO', 23, 'make', 'cmp', 'O1', 'O2', 0.9836140191169777, 0.4884316921234131]
['CO', 44, 'UO', 67, 'seq', 'strip', 'O3', 'O0', 0.9926947095557912, 2.435091972351074]
['UO', 83, 'BO', 17, 'diff', 'codeblocks', 'O0', 'O2', 0.9850949310936299, 17.67326021194458]
['UO', 10, 'CO', 100, 'objcopy', 'tac', 'O1', 'O3', 0.9931740614334471, 1.4569287300109863]
['BO', 43, 'CO', 415, 'diff', 'ln', 'O1', 'O0', 0.9468791500664011, 0.4860520362854004]
['BO', 66, 'CO', 104, 'svn', 'sha384sum', 'O2', 'O1', 0.9894907033144705, 0.6891844272613525]
['UO', 2, 'BO', 50, 'find', 'perl', 'O1', 'O2', 0.9693661971830986, 21.60152578353882]
['BO', 72, 'CO', 250, 'make', 'sum', 'O2', 'O2', 0.98125, 0.4553835391998291]
['CO', 172, 'UO', 75, 'yes', 'gprof', 'O1', 'O0', 0.991354856139403, 1.668105125427246]
['CO', 36, 'UO', 29, 'pinky', 'as', 'O3', 'O2', 0.9752823920265781, 1.92633056640625]
['CO', 216, 'BO', 47, 'dir', 'libvlc.so.12.0.0', 'O2', 'O0', 0.9715536105032823, 1.7709763050079346]
['BO', 65, 'CO', 221, 'gvmap', 'printenv', 'O0', 'O2', 0.9873150105708245, 0.2944965362548828]
['BO', 65, 'CO', 154, 'gvmap', 'dircolors', 'O0', 'O1', 0.9759398496240601, 0.46039676666259766]
['CO', 170, 'UO', 86, 'runcon', 'xargs', 'O1', 'O0', 0.9376558603491272, 0.15560245513916016]
['UO', 33, 'BO', 71, 'objcopy', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.9821391770282338, 42.86319446563721]
['BO', 39, 'CO', 186, 'codeblocks', 'shuf', 'O3', 'O1', 0.998061076102763, 5.813465356826782]
['BO', 21, 'CO', 61, 'cp', 'cksum', 'O1', 'O3', 0.9692898272552783, 0.15601396560668945]
['CO', 394, 'BO', 27, 'shuf', 'perl', 'O0', 'O3', 0.9843147176016698, 5.9794981479644775]
['BO', 50, 'CO', 75, 'perl', 'mv', 'O2', 'O3', 0.9947003154574132, 9.79117226600647]
['UO', 80, 'BO', 1, 'objdump', 'ssh', 'O0', 'O2', 0.9803494734364888, 46.46507000923157]
['CO', 37, 'UO', 8, 'truncate', 'c++filt', 'O3', 'O1', 0.9751159848165332, 1.0082244873046875]
['CO', 28, 'UO', 65, 'factor', 'sdiff', 'O3', 'O3', 0.9327521793275217, 0.13192200660705566]
['BO', 65, 'CO', 402, 'gvmap', 'tr', 'O0', 'O0', 0.9762920815552395, 0.6266226768493652]
['BO', 23, 'CO', 117, 'git', 'printenv', 'O2', 'O1', 0.9989583333333333, 3.3827474117279053]
['CO', 308, 'BO', 41, 'tac', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.978198220774339, 2.255241632461548]
['CO', 222, 'UO', 38, 'stty', 'elfedit', 'O2', 'O2', 0.9754385964912281, 0.09382367134094238]
['CO', 143, 'UO', 35, 'paste', 'gprof', 'O1', 'O2', 0.978017585931255, 1.1290616989135742]
['UO', 82, 'CO', 336, 'cmp', 'tee', 'O0', 'O0', 0.9351701782820098, 0.09508180618286133]
['CO', 371, 'UO', 63, 'tsort', 'cmp', 'O0', 'O3', 0.8973451327433628, 0.0802304744720459]
['BO', 74, 'CO', 98, 'dot', 'sleep', 'O1', 'O3', 0.9935064935064936, 0.02900552749633789]
['BO', 72, 'CO', 401, 'make', 'pathchk', 'O2', 'O0', 0.9857714539795465, 0.4694497585296631]
['CO', 304, 'BO', 33, 'fold', 'sort', 'O2', 'O2', 0.9004237288135594, 0.14281892776489258]
['BO', 24, 'CO', 65, 'cluster', 'false', 'O3', 'O3', 0.9877488514548239, 0.23109698295593262]
['CO', 349, 'BO', 5, 'truncate', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9920963635672759, 8.463416337966919]
['CO', 159, 'UO', 59, 'cp', 'locate', 'O1', 'O3', 0.9802834257547751, 0.6450493335723877]
['UO', 45, 'BO', 39, 'strip', 'codeblocks', 'O3', 'O3', 0.974001770488748, 74.0103542804718]
['BO', 77, 'UO', 28, 'libSDL2-2.0.so.0.16.0', 'readelf', 'O3', 'O2', 0.9907550077041603, 15.568328619003296]
['BO', 40, 'CO', 127, 'lua', 'pr', 'O0', 'O1', 0.9864644107351225, 1.52829909324646]
['CO', 382, 'BO', 34, 'b2sum', 'cp', 'O0', 'O2', 0.8903170522707797, 0.2840006351470947]
['CO', 37, 'UO', 32, 'truncate', 'strings', 'O3', 'O2', 0.980931744312026, 1.0278329849243164]
['CO', 246, 'BO', 43, 'sha1sum', 'diff', 'O2', 'O1', 0.9061116031886626, 0.19170022010803223]
['UO', 66, 'CO', 299, 'nm', 'comm', 'O0', 'O2', 0.9963737796373779, 1.4708049297332764]
['UO', 35, 'CO', 375, 'gprof', 'logname', 'O2', 'O0', 0.995189416716777, 1.0032260417938232]
['CO', 401, 'UO', 9, 'pathchk', 'strings', 'O0', 'O1', 0.9710994764397906, 1.125453233718872]
['UO', 48, 'CO', 182, 'ranlib', 'chcon', 'O3', 'O1', 0.9878312070657508, 1.8725941181182861]
['UO', 79, 'CO', 144, 'size', 'sync', 'O0', 'O1', 0.9960300581312916, 1.4319236278533936]
['CO', 148, 'UO', 67, 'seq', 'strip', 'O1', 'O0', 0.9912550224533208, 2.3734755516052246]
['UO', 42, 'CO', 158, 'xargs', 'true', 'O2', 'O1', 0.9731743666169895, 0.11148500442504883]
['UO', 69, 'CO', 107, 'as', 'unlink', 'O0', 'O1', 0.9962518740629686, 1.9583654403686523]
['CO', 414, 'UO', 44, 'mknod', 'nm', 'O0', 'O3', 0.9693593314763231, 2.5868990421295166]
['CO', 127, 'UO', 59, 'pr', 'locate', 'O1', 'O3', 0.9762282091917591, 0.37929487228393555]
['BO', 2, 'CO', 76, 'perl', 'md5sum', 'O1', 'O3', 0.9988565547996112, 3.522458076477051]
['CO', 91, 'BO', 79, 'comm', 'bash', 'O3', 'O3', 0.9848969438521677, 2.605062484741211]
['UO', 43, 'CO', 56, 'find', 'cut', 'O2', 'O3', 0.9872068230277186, 0.5413825511932373]
['BO', 37, 'CO', 43, 'gvmap', 'chroot', 'O2', 'O3', 0.9714479945615228, 0.33802032470703125]
['CO', 40, 'UO', 8, 'sync', 'c++filt', 'O3', 'O1', 0.9759137967462498, 0.9694230556488037]
['CO', 235, 'UO', 61, 'wc', 'find', 'O2', 'O3', 0.9720767888307156, 0.5614593029022217]
['UO', 15, 'CO', 367, 'elfedit', 'cp', 'O1', 'O0', 0.9726918075422627, 0.4040203094482422]
['UO', 21, 'CO', 389, 'sdiff', 'env', 'O1', 'O0', 0.9455370650529501, 0.11182999610900879]
['CO', 170, 'BO', 52, 'runcon', 'svn', 'O1', 'O3', 0.9861956963053187, 0.5727684497833252]
['UO', 74, 'CO', 260, 'ld', 'sha256sum', 'O0', 'O2', 0.9974237019421324, 2.165083646774292]
['UO', 34, 'CO', 300, 'ld', 'sha512sum', 'O2', 'O2', 0.9960424028268551, 1.3579645156860352]
['CO', 175, 'UO', 79, 'readlink', 'size', 'O1', 'O0', 0.9865300968149291, 2.1434876918792725]
['BO', 78, 'CO', 260, 'ssh', 'sha256sum', 'O0', 'O2', 0.9957637091080254, 1.740499496459961]
['BO', 1, 'CO', 406, 'ssh', 'rm', 'O2', 'O0', 0.993249894529602, 3.2608883380889893]
['BO', 33, 'CO', 119, 'sort', 'join', 'O2', 'O1', 0.9531835205992509, 0.20864582061767578]
['UO', 13, 'CO', 340, 'addr2line', 'factor', 'O1', 'O0', 0.9901960784313726, 2.136373519897461]
['BO', 36, 'CO', 219, 'cluster', 'groups', 'O2', 'O2', 0.9690162664601084, 0.2405989170074463]
['CO', 50, 'BO', 39, 'dircolors', 'codeblocks', 'O3', 'O3', 0.9943875061005368, 5.319019556045532]
['BO', 9, 'UO', 53, 'git', 'gprof', 'O0', 'O3', 0.994408945686901, 70.53910326957703]
['UO', 86, 'BO', 64, 'xargs', 'dot', 'O0', 'O0', 0.9824304538799414, 0.05665087699890137]
['UO', 45, 'CO', 181, 'strip', 'env', 'O3', 'O1', 0.9935437589670014, 1.0266492366790771]
['UO', 9, 'CO', 177, 'strings', 'hostid', 'O1', 'O1', 0.9936575052854123, 0.8627152442932129]
['CO', 123, 'BO', 16, 'dd', 'make', 'O1', 'O0', 0.9697542533081286, 0.9012851715087891]
['BO', 77, 'CO', 20, 'libSDL2-2.0.so.0.16.0', 'mkfifo', 'O3', 'O3', 0.9970447829052057, 1.629728078842163]
['BO', 21, 'CO', 247, 'cp', 'paste', 'O1', 'O2', 0.9657258064516129, 0.13665986061096191]
['UO', 39, 'CO', 224, 'size', 'dirname', 'O2', 'O2', 0.9960552268244576, 0.6932382583618164]
['UO', 40, 'CO', 300, 'objdump', 'sha512sum', 'O2', 'O2', 0.9972755755346683, 1.4819459915161133]
['BO', 15, 'CO', 290, 'diff', 'shuf', 'O0', 'O2', 0.9557774607703281, 0.33029627799987793]
