['CV', 136, 'UV', 80, 'tsort', 'objcopy', 'V3', 'V0', 0.9799129561432876, 1.4011037349700928]
['BV', 74, 'CV', 40, 'git', 'ls', 'V1', 'V2', 0.998075559607009, 8.939121723175049]
['CV', 264, 'UV', 67, 'test', 'cmp', 'V1', 'V0', 0.8652173913043478, 0.052275657653808594]
['BV', 22, 'CV', 39, 'cmp', 'whoami', 'V3', 'V2', 0.9491525423728814, 0.05004549026489258]
['CV', 271, 'BV', 19, 'ptx', 'cp', 'V1', 'V3', 0.9096209912536444, 0.3575916290283203]
['BV', 58, 'CV', 84, 'ruby', 'rmdir', 'V3', 'V2', 0.9922779922779923, 0.013893365859985352]
['BV', 5, 'CV', 21, 'libvlccore.so', 'chgrp', 'V0', 'V2', 0.9976777190039995, 2.2283895015716553]
['UV', 44, 'CV', 277, 'diff3', 'dd', 'V1', 'V1', 0.9454022988505747, 0.09352445602416992]
['CV', 37, 'BV', 71, 'seq', 'ruby', 'V2', 'V1', 1.0, 0.011094331741333008]
['BV', 75, 'CV', 247, 'cmp', 'shred', 'V2', 'V0', 0.9491833030852994, 0.06685805320739746]
['CV', 83, 'UV', 11, 'tac', 'ranlib', 'V2', 'V2', 0.96076212035465, 2.007380962371826]
['CV', 215, 'UV', 7, 'nice', 'nm', 'V0', 'V2', 0.980379611857539, 0.6526057720184326]
['BV', 83, 'CV', 161, 'git', 'pathchk', 'V2', 'V3', 0.999045014541824, 4.451652526855469]
['UV', 17, 'CV', 4, 'addr2line', 'basename', 'V2', 'V2', 0.9957016978293574, 0.7171106338500977]
['UV', 44, 'CV', 246, 'diff3', 'id', 'V1', 'V0', 0.9638336347197106, 0.06001639366149902]
['BV', 57, 'CV', 197, 'svn', 'wc', 'V2', 'V0', 0.9952785646836638, 0.3733670711517334]
['CV', 128, 'UV', 31, 'nice', 'gprof', 'V3', 'V3', 0.9772182254196643, 1.110161304473877]
['UV', 1, 'BV', 43, 'xargs', 'lua', 'V2', 'V0', 0.952112676056338, 1.0282070636749268]
['BV', 24, 'UV', 86, 'git', 'size', 'V0', 'V0', 0.9925812584040432, 56.31542134284973]
['CV', 319, 'UV', 2, 'readlink', 'find', 'V1', 'V2', 0.9415873015873015, 0.2097640037536621]
['CV', 102, 'BV', 45, 'uptime', 'svn', 'V3', 'V3', 0.982330954808019, 0.9745047092437744]
['UV', 74, 'CV', 4, 'strip', 'basename', 'V0', 'V2', 0.996937212863706, 0.8389573097229004]
['CV', 307, 'UV', 65, 'cut', 'objdump', 'V1', 'V1', 0.9822663059813646, 1.1802067756652832]
['CV', 26, 'UV', 83, 'date', 'addr2line', 'V2', 'V0', 0.9716033202271734, 1.1656105518341064]
['BV', 0, 'CV', 346, 'bash', 'mknod', 'V2', 'V1', 0.9981420313790256, 1.2423596382141113]
['UV', 70, 'CV', 42, 'locate', 'dircolors', 'V0', 'V2', 0.969047619047619, 0.10945677757263184]
['UV', 87, 'CV', 178, 'objdump', 'basename', 'V0', 'V0', 0.9978077043532728, 0.6797990798950195]
['BV', 49, 'CV', 263, 'make', 'unlink', 'V3', 'V1', 0.9925163704396632, 0.23919105529785156]
['CV', 344, 'UV', 62, 'tac', 'ar', 'V1', 'V1', 0.9611760271390878, 1.9049088954925537]
['CV', 23, 'UV', 79, 'wc', 'strings', 'V2', 'V0', 0.9805996472663139, 1.0618929862976074]
['BV', 4, 'CV', 191, 'geany', 'mkfifo', 'V3', 'V0', 0.9994995621168522, 3.036345958709717]
['CV', 336, 'BV', 9, 'tr', 'dot', 'V1', 'V2', 0.9930555555555556, 0.02671360969543457]
['CV', 60, 'BV', 75, 'hostid', 'cmp', 'V2', 'V2', 0.9191489361702128, 0.05392646789550781]
['CV', 158, 'UV', 46, '[', 'diff', 'V3', 'V1', 0.8854314002828855, 0.2625110149383545]
['CV', 50, 'BV', 79, 'cksum', 'bash', 'V2', 'V3', 0.9869462025316456, 1.6660947799682617]
['UV', 68, 'CV', 206, 'diff', 'paste', 'V0', 'V0', 0.9869706840390879, 0.09308028221130371]
['CV', 290, 'UV', 77, 'tail', 'ranlib', 'V1', 'V0', 0.9737651158024185, 1.255333423614502]
['UV', 19, 'CV', 146, 'elfedit', 'head', 'V2', 'V3', 0.9757785467128027, 0.09807085990905762]
['CV', 41, 'BV', 73, 'nice', 'geany', 'V2', 'V0', 0.9924625821040164, 4.073211193084717]
['UV', 29, 'CV', 13, 'objcopy', 'join', 'V3', 'V2', 0.9950825430277485, 1.2713499069213867]
['CV', 201, 'UV', 44, 'expr', 'diff3', 'V0', 'V1', 0.9497267759562842, 0.16104435920715332]
['UV', 13, 'CV', 95, 'strings', 'du', 'V2', 'V3', 0.9907550077041603, 2.6364362239837646]
['UV', 8, 'CV', 235, 'strip', 'ginstall', 'V2', 'V0', 0.9929601072745559, 2.188465118408203]
['UV', 51, 'CV', 45, 'nm', 'cp', 'V1', 'V2', 0.989413988657845, 2.593716859817505]
['UV', 81, 'CV', 57, 'ld', 'who', 'V0', 'V2', 0.9966986794717887, 1.4916858673095703]
['UV', 72, 'CV', 66, 'find', 'link', 'V0', 'V2', 0.9872, 0.15756535530090332]
['CV', 228, 'BV', 34, 'false', 'svn', 'V0', 'V0', 0.9834881320949432, 0.27608799934387207]
['BV', 66, 'CV', 346, 'lua', 'mknod', 'V1', 'V1', 0.9940893978574067, 0.38574934005737305]
['CV', 53, 'BV', 74, 'tty', 'git', 'V2', 'V1', 0.9942984502151039, 2.598747730255127]
['CV', 32, 'BV', 64, 'paste', 'openssl', 'V2', 'V2', 0.9943502824858758, 1.6425974369049072]
['CV', 275, 'UV', 53, 'dirname', 'readelf', 'V1', 'V1', 0.9747545582047685, 0.18836236000061035]
