['CV', 89, 'UV', 9, 'unlink', 'readelf', 'V3', 'V2', 0.9695431472081218, 0.3082113265991211]
['BV', 21, 'CV', 279, 'cp', 'pwd', 'V1', 'V1', 0.9573070607553367, 0.06379342079162598]
['BV', 18, 'CV', 98, 'sort', 'printenv', 'V3', 'V3', 0.9907578558225508, 0.1488957405090332]
['BV', 1, 'CV', 146, 'libSDL2-2.0.so', 'head', 'V3', 'V3', 0.9964265773311, 2.1455941200256348]
['CV', 332, 'BV', 13, '[', 'cp', 'V1', 'V2', 0.8838268792710706, 0.11846518516540527]
['CV', 91, 'UV', 50, 'basename', 'find', 'V3', 'V1', 0.9243697478991597, 0.29113197326660156]
['UV', 47, 'BV', 3, 'sdiff', 'diff', 'V1', 'V1', 0.9062233589087809, 0.24758529663085938]
['BV', 76, 'UV', 12, 'diff', 'c++filt', 'V2', 'V2', 0.9563663720142938, 3.339223623275757]
['CV', 235, 'UV', 74, 'ginstall', 'strip', 'V0', 'V0', 0.970139565076274, 2.376768112182617]
['UV', 58, 'CV', 307, 'objcopy', 'cut', 'V1', 'V1', 0.9977079240340537, 0.9483852386474609]
['UV', 42, 'CV', 161, 'diff', 'pathchk', 'V3', 'V3', 0.9781328847771237, 0.1987910270690918]
['BV', 48, 'CV', 279, 'gvmap', 'pwd', 'V3', 'V1', 0.9868804664723032, 0.21118617057800293]
['CV', 331, 'UV', 73, 'vdir', 'nm', 'V1', 'V0', 0.9665101082295283, 2.0677382946014404]
['BV', 18, 'CV', 93, 'sort', 'fmt', 'V3', 'V3', 0.9878260869565217, 0.19301939010620117]
['BV', 83, 'UV', 29, 'git', 'objcopy', 'V2', 'V3', 0.991691816083792, 87.1686418056488]
['CV', 177, 'UV', 80, 'test', 'objcopy', 'V0', 'V0', 0.9863411302714701, 0.9089765548706055]
['BV', 83, 'UV', 22, 'git', 'nm', 'V2', 'V3', 0.993245475569913, 70.69293093681335]
['UV', 20, 'CV', 298, 'size', 'seq', 'V2', 'V1', 0.996548748921484, 0.6404702663421631]
['CV', 303, 'BV', 38, 'dircolors', 'ruby', 'V1', 'V2', 1.0, 0.01056218147277832]
['CV', 14, 'UV', 3, 'dirname', 'diff3', 'V2', 'V2', 0.8715277777777778, 0.06780529022216797]
['UV', 6, 'BV', 50, 'sdiff', 'sort', 'V2', 'V0', 0.9259259259259259, 0.12156081199645996]
['UV', 65, 'CV', 7, 'objdump', 'dir', 'V1', 'V2', 0.9954935924517674, 3.3284912109375]
['CV', 55, 'UV', 13, 'nohup', 'strings', 'V2', 'V2', 0.976824034334764, 0.9043047428131104]
['BV', 75, 'CV', 115, 'cmp', 'chown', 'V2', 'V3', 0.916030534351145, 0.13099884986877441]
['UV', 84, 'BV', 42, 'ar', 'libvlc.so', 'V0', 'V1', 0.9887550200803212, 5.656924247741699]
['BV', 2, 'UV', 51, 'cmp', 'nm', 'V1', 'V1', 0.9729895641497851, 1.2840297222137451]
['CV', 257, 'BV', 5, 'tac', 'libvlccore.so', 'V0', 'V0', 0.9819223424570337, 3.3539376258850098]
['UV', 66, 'CV', 257, 'diff3', 'tac', 'V0', 'V0', 0.8958097395243488, 0.1540660858154297]
['CV', 135, 'UV', 87, 'df', 'objdump', 'V3', 'V0', 0.9704764688687518, 3.2224280834198]
['BV', 6, 'CV', 24, 'libvlc.so', 'factor', 'V0', 'V2', 0.9878345498783455, 0.30138206481933594]
['BV', 37, 'CV', 288, 'geany', 'expr', 'V1', 'V1', 0.9992611747321758, 8.637129068374634]
['BV', 60, 'CV', 322, 'codeblocks', 'ginstall', 'V1', 'V1', 0.9986163522012579, 6.713675022125244]
['CV', 273, 'BV', 34, 'stty', 'svn', 'V1', 'V0', 0.9931170108161259, 0.46886253356933594]
['UV', 24, 'CV', 209, 'readelf', 'sum', 'V3', 'V0', 0.9932152280437241, 0.391040563583374]
['CV', 330, 'BV', 3, 'csplit', 'diff', 'V1', 'V1', 0.9295154185022027, 0.35392165184020996]
['CV', 301, 'BV', 15, 'ls', 'libvlccore.so', 'V1', 'V3', 0.9895764027500554, 4.7281341552734375]
['CV', 94, 'BV', 51, 'dir', 'cp', 'V3', 'V0', 0.9706563706563707, 0.31099963188171387]
['UV', 12, 'CV', 346, 'c++filt', 'mknod', 'V2', 'V1', 0.9973695747479175, 0.6269190311431885]
['UV', 72, 'CV', 288, 'find', 'expr', 'V0', 'V1', 0.9697732997481109, 0.4234292507171631]
['BV', 38, 'CV', 246, 'ruby', 'id', 'V2', 'V0', 0.9895287958115183, 0.011575698852539062]
['UV', 6, 'CV', 79, 'sdiff', 'fold', 'V2', 'V2', 0.956738768718802, 0.07081770896911621]
['CV', 319, 'BV', 9, 'readlink', 'dot', 'V1', 'V2', 0.991304347826087, 0.021612167358398438]
['UV', 44, 'BV', 52, 'diff3', 'libSDL2-2.0.so', 'V1', 'V2', 0.9754616746774601, 3.004805326461792]
['CV', 73, 'UV', 19, 'shred', 'elfedit', 'V2', 'V2', 0.9837133550488599, 0.10895061492919922]
['CV', 255, 'UV', 71, 'sleep', 'xargs', 'V0', 'V0', 0.8532608695652174, 0.03533053398132324]
['BV', 78, 'CV', 296, 'make', 'sum', 'V2', 'V1', 0.9874698795180723, 0.3219168186187744]
['UV', 20, 'CV', 229, 'size', 'nohup', 'V2', 'V0', 0.9961198534166846, 0.6552431583404541]
['BV', 63, 'CV', 73, 'ruby', 'shred', 'V0', 'V2', 0.998649986499865, 6.013052940368652]
['CV', 276, 'BV', 31, 'uptime', 'codeblocks', 'V1', 'V0', 0.9959048877146631, 3.234835147857666]
['BV', 17, 'UV', 24, 'codeblocks', 'readelf', 'V2', 'V3', 0.9937994795991807, 26.871543169021606]
['CV', 172, 'BV', 14, 'mknod', 'openssl', 'V3', 'V3', 0.9929824561403509, 2.395294666290283]
