['CO', 2, 'BO', 32, 'stat', 'ruby', 'O3', 'O2', 0.9869588702832008, 10.786198616027832]
['CO', 269, 'UO', 26, 'cksum', 'nm', 'O2', 'O2', 0.9806368330464716, 0.815727949142456]
['UO', 75, 'CO', 370, 'gprof', 'df', 'O0', 'O0', 0.9969492818100928, 4.007522821426392]
['CO', 29, 'BO', 51, 'nproc', 'lua', 'O3', 'O1', 0.9671837708830548, 0.6715233325958252]
['UO', 74, 'CO', 130, 'ld', 'kill', 'O0', 'O1', 0.9960348929421095, 2.1792848110198975]
['UO', 80, 'BO', 62, 'objdump', 'bash', 'O0', 'O1', 0.9642874472317919, 84.74683213233948]
['CO', 80, 'UO', 73, 'uname', 'objcopy', 'O3', 'O0', 0.9928715694427943, 2.1975722312927246]
['CO', 335, 'BO', 21, 'pr', 'cp', 'O0', 'O1', 0.9127105666156202, 0.3671438694000244]
['UO', 52, 'BO', 7, 'ld', 'sort', 'O3', 'O0', 0.9891097885272888, 5.519235372543335]
['BO', 31, 'CO', 335, 'bash', 'pr', 'O2', 'O0', 0.9972423936023531, 4.2734315395355225]
['CO', 98, 'UO', 83, 'sleep', 'diff', 'O3', 'O0', 0.9362859362859363, 0.24979519844055176]
['CO', 351, 'UO', 84, 'paste', 'sdiff', 'O0', 'O0', 0.9108635097493036, 0.12752079963684082]
['BO', 56, 'CO', 101, 'libvlc.so.12.0.0', 'rmdir', 'O3', 'O3', 0.996142719382835, 0.5111875534057617]
['CO', 256, 'BO', 8, 'ls', 'cp', 'O2', 'O0', 0.9295984134853743, 0.8221697807312012]
['UO', 12, 'BO', 0, 'gprof', 'codeblocks', 'O1', 'O1', 0.9807256782151978, 59.682990312576294]
['UO', 33, 'CO', 176, 'objcopy', 'head', 'O2', 'O1', 0.9936719985937774, 1.370898723602295]
['CO', 288, 'UO', 59, 'uname', 'locate', 'O2', 'O3', 0.9618090452261306, 0.16002345085144043]
['UO', 82, 'CO', 101, 'cmp', 'rmdir', 'O0', 'O3', 0.9278688524590164, 0.08586764335632324]
['UO', 38, 'CO', 148, 'elfedit', 'seq', 'O2', 'O1', 0.9566787003610109, 0.08892965316772461]
['UO', 65, 'CO', 306, 'sdiff', 'sleep', 'O3', 'O2', 0.9440559440559441, 0.06497311592102051]
['BO', 42, 'UO', 9, 'cmp', 'strings', 'O1', 'O1', 0.975103734439834, 1.2115240097045898]
['BO', 18, 'CO', 286, 'libvlc.so.12.0.0', 'chcon', 'O1', 'O2', 0.9823584029712163, 0.8123564720153809]
['UO', 84, 'CO', 200, 'sdiff', 'fold', 'O0', 'O1', 0.9181286549707602, 0.11514830589294434]
['UO', 2, 'CO', 202, 'find', 'sleep', 'O1', 'O1', 0.9872935196950444, 0.45522499084472656]
['UO', 70, 'CO', 383, 'ranlib', 'readlink', 'O0', 'O0', 0.9970576434398823, 2.069368600845337]
['BO', 62, 'CO', 23, 'bash', 'pr', 'O1', 'O3', 0.9967921502028493, 3.604036569595337]
['BO', 57, 'UO', 16, 'libvlccore.so.9.0.0', 'size', 'O3', 'O1', 0.9865473868298917, 37.46180820465088]
['UO', 8, 'CO', 112, 'c++filt', 'dir', 'O1', 'O1', 0.982274184423911, 3.0265614986419678]
['UO', 69, 'BO', 52, 'as', 'svn', 'O0', 'O3', 0.9968617605523301, 17.893107414245605]
['CO', 59, 'UO', 1, 'tsort', 'xargs', 'O3', 'O1', 0.9574468085106383, 0.1608588695526123]
['CO', 352, 'UO', 81, 'sync', 'diff3', 'O0', 'O0', 0.9098591549295775, 0.1232748031616211]
['UO', 79, 'CO', 103, 'size', 'ln', 'O0', 'O3', 0.9943335132218025, 3.3382480144500732]
['BO', 8, 'CO', 138, 'cp', 'tail', 'O0', 'O1', 0.9472450175849941, 0.5027327537536621]
['UO', 77, 'CO', 367, 'ar', 'cp', 'O0', 'O0', 0.9959523809523809, 7.114879608154297]
['CO', 81, 'UO', 68, 'cat', 'readelf', 'O3', 'O0', 0.9885951270088128, 0.9552810192108154]
['UO', 11, 'CO', 18, 'ld', 'uptime', 'O1', 'O3', 0.9972655181843041, 2.007265090942383]
['CO', 146, 'BO', 61, 'sum', 'git', 'O1', 'O1', 0.9910884236026994, 4.820876359939575]
['BO', 2, 'CO', 402, 'perl', 'tr', 'O1', 'O0', 0.9980648833238475, 4.6928558349609375]
['BO', 3, 'UO', 69, 'openssl', 'as', 'O1', 'O0', 0.9866756883360225, 91.54653286933899]
['UO', 67, 'CO', 16, 'strip', 'dirname', 'O0', 'O3', 0.9980977291641897, 1.5865769386291504]
['CO', 243, 'UO', 13, 'base32', 'addr2line', 'O2', 'O1', 0.974816369359916, 0.9689285755157471]
['UO', 52, 'CO', 73, 'ld', 'hostid', 'O3', 'O3', 0.9980251093243052, 1.1874327659606934]
['CO', 230, 'BO', 55, 'pwd', 'make', 'O2', 'O1', 0.9557230334432407, 0.3795740604400635]
['UO', 1, 'CO', 312, 'xargs', 'sha384sum', 'O1', 'O0', 0.9527186761229315, 0.2152843475341797]
['CO', 302, 'UO', 62, 'rm', 'diff3', 'O2', 'O3', 0.9343891402714932, 0.1628108024597168]
['CO', 289, 'UO', 50, 'cat', 'strings', 'O2', 'O3', 0.9844132709864173, 0.8492550849914551]
['CO', 6, 'UO', 70, 'mkdir', 'ranlib', 'O3', 'O0', 0.9917333333333334, 2.5895681381225586]
['UO', 22, 'CO', 266, 'diff3', 'df', 'O2', 'O2', 0.8648648648648649, 0.16891026496887207]
['BO', 12, 'CO', 323, 'libgeany.so.0.0.0', 'groups', 'O0', 'O0', 0.999709400881484, 5.833309888839722]
['CO', 154, 'UO', 74, 'dircolors', 'ld', 'O1', 'O0', 0.9911032028469751, 2.6725523471832275]
