['CO', 198, 'UO', 87, 'rm', 'find', 'O1', 'O0', 0.9668711656441717, 1.3774397373199463]
['UO', 18, 'CO', 294, 'diff3', 'timeout', 'O1', 'O2', 0.9240121580547113, 0.1672375202178955]
['CO', 158, 'UO', 22, 'true', 'diff3', 'O1', 'O2', 0.8970588235294118, 0.13359522819519043]
['CO', 61, 'UO', 55, 'cksum', 'ar', 'O3', 'O3', 0.9748816141651225, 1.169492244720459]
['CO', 354, 'UO', 82, 'sum', 'cmp', 'O0', 'O0', 0.9106317411402157, 0.10260534286499023]
['CO', 367, 'BO', 50, 'cp', 'perl', 'O0', 'O2', 0.9671643640418809, 14.039588928222656]
['CO', 247, 'BO', 51, 'paste', 'lua', 'O2', 'O1', 0.9691189827429609, 0.5773768424987793]
['CO', 51, 'UO', 57, 'realpath', 'size', 'O3', 'O3', 0.9696126685212926, 1.358257532119751]
['UO', 39, 'CO', 227, 'size', 'dd', 'O2', 'O2', 0.9925558312655087, 1.6366212368011475]
['UO', 46, 'CO', 100, 'readelf', 'tac', 'O3', 'O3', 0.9902200488997555, 0.6674172878265381]
['CO', 142, 'BO', 25, 'sha1sum', 'dot', 'O1', 'O3', 0.9940298507462687, 0.036435604095458984]
['CO', 414, 'UO', 43, 'mknod', 'find', 'O0', 'O2', 0.9492158327109783, 1.2969248294830322]
['UO', 12, 'CO', 20, 'gprof', 'mkfifo', 'O1', 'O3', 0.9965075669383003, 1.0207579135894775]
['UO', 41, 'CO', 155, 'locate', 'realpath', 'O2', 'O1', 0.9694137638062872, 0.2957954406738281]
['CO', 31, 'UO', 44, 'date', 'nm', 'O3', 'O3', 0.9658365918913356, 1.7781391143798828]
['CO', 239, 'BO', 11, 'date', 'ssh', 'O2', 'O1', 0.9699552217246858, 2.244778871536255]
['BO', 42, 'CO', 272, 'cmp', 'tty', 'O1', 'O2', 0.9334811529933481, 0.05056619644165039]
['BO', 25, 'CO', 132, 'dot', 'factor', 'O3', 'O1', 0.987012987012987, 0.04844474792480469]
['UO', 10, 'CO', 229, 'objcopy', 'mktemp', 'O1', 'O2', 0.9924359635550971, 1.4079136848449707]
['UO', 71, 'CO', 166, 'c++filt', 'printf', 'O0', 'O1', 0.9954545454545455, 1.852881908416748]
['CO', 145, 'UO', 53, 'echo', 'gprof', 'O1', 'O3', 0.979955001022704, 0.9139242172241211]
['CO', 300, 'UO', 87, 'sha512sum', 'find', 'O2', 'O0', 0.9812771648278168, 0.7296426296234131]
['CO', 299, 'UO', 32, 'comm', 'strings', 'O2', 'O2', 0.9751579864894313, 0.9683446884155273]
['CO', 168, 'UO', 29, 'tty', 'as', 'O1', 'O2', 0.9816538513422366, 1.403355598449707]
['BO', 41, 'CO', 314, 'libSDL2-2.0.so.0.16.0', 'stat', 'O2', 'O0', 0.992089176555196, 4.1182990074157715]
['CO', 176, 'UO', 76, 'head', 'addr2line', 'O1', 'O0', 0.9856297548605241, 2.125501871109009]
['CO', 383, 'BO', 21, 'readlink', 'cp', 'O0', 'O1', 0.9000892060660125, 0.2650601863861084]
['BO', 38, 'CO', 377, 'acyclic', 'false', 'O2', 'O0', 0.9586206896551724, 0.03643321990966797]
