['CO', 397, 'UO', 43, '[', 'find', 'O0', 'O2', 0.956357532522031, 0.6920731067657471]
['UO', 29, 'CO', 180, 'as', 'md5sum', 'O2', 'O1', 0.9962546816479401, 1.628981113433838]
['BO', 34, 'CO', 191, 'cp', 'id', 'O2', 'O1', 0.9597701149425287, 0.18251895904541016]
['CO', 119, 'UO', 50, 'join', 'strings', 'O1', 'O3', 0.9705627705627705, 1.6118452548980713]
['CO', 28, 'UO', 83, 'factor', 'diff', 'O3', 'O0', 0.915068493150685, 0.7590641975402832]
['BO', 64, 'UO', 44, 'dot', 'nm', 'O0', 'O3', 0.9923954372623575, 0.7819478511810303]
['BO', 16, 'CO', 347, 'make', 'base32', 'O0', 'O0', 0.9854780153287616, 1.0791573524475098]
['CO', 62, 'UO', 74, 'printf', 'ld', 'O3', 'O0', 0.9941020347979946, 3.058751106262207]
['CO', 317, 'UO', 18, 'basename', 'diff3', 'O0', 'O1', 0.9235668789808917, 0.09992265701293945]
['CO', 174, 'BO', 78, 'b2sum', 'ssh', 'O1', 'O0', 0.9881243450925603, 2.6989078521728516]
['CO', 229, 'UO', 53, 'mktemp', 'gprof', 'O2', 'O3', 0.97865055387714, 1.1647520065307617]
['UO', 5, 'CO', 10, 'readelf', 'users', 'O1', 'O3', 0.9900709219858156, 0.5626220703125]
['CO', 21, 'BO', 52, 'mktemp', 'svn', 'O3', 'O3', 0.990023023791251, 0.8881666660308838]
['BO', 32, 'CO', 69, 'ruby', 'who', 'O2', 'O3', 0.9993785925120398, 5.978172540664673]
['UO', 65, 'CO', 153, 'sdiff', 'nice', 'O3', 'O1', 0.9437086092715232, 0.08481264114379883]
['CO', 320, 'BO', 6, 'dir', 'codeblocks', 'O0', 'O0', 0.9847409040793825, 28.479225158691406]
['BO', 20, 'CO', 171, 'sort', 'nohup', 'O1', 'O1', 0.9706744868035191, 0.16303133964538574]
