['UO', 21, 'CO', 95, 'sdiff', 'sha224sum', 'O1', 'O3', 0.9262536873156342, 0.10481142997741699]
['CO', 321, 'UO', 0, 'du', 'locate', 'O0', 'O1', 0.9623502567027952, 0.7858359813690186]
['CO', 183, 'BO', 19, 'link', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9895470383275261, 2.2735071182250977]
['BO', 70, 'CO', 42, 'diff', 'sum', 'O3', 'O3', 0.9674267100977199, 0.21793437004089355]
['UO', 2, 'CO', 10, 'find', 'users', 'O1', 'O3', 0.9908713692946058, 0.4997415542602539]
['BO', 38, 'CO', 305, 'acyclic', 'uniq', 'O2', 'O2', 0.9774647887323944, 0.042784929275512695]
['CO', 21, 'BO', 40, 'mktemp', 'lua', 'O3', 'O0', 0.98565965583174, 1.2538964748382568]
['CO', 344, 'BO', 36, 'expr', 'cluster', 'O0', 'O2', 0.94579945799458, 0.42044687271118164]
['BO', 41, 'CO', 326, 'libSDL2-2.0.so.0.16.0', 'stty', 'O2', 'O0', 0.994077729796422, 2.5238800048828125]
['CO', 266, 'UO', 4, 'df', 'strip', 'O2', 'O1', 0.9664308046733585, 2.5777406692504883]
['UO', 3, 'CO', 45, 'nm', 'split', 'O1', 'O3', 0.9917208752217622, 1.669290542602539]
['CO', 197, 'UO', 21, 'nl', 'sdiff', 'O1', 'O1', 0.9153605015673981, 0.09912753105163574]
['UO', 63, 'CO', 104, 'cmp', 'sha384sum', 'O3', 'O1', 0.9274047186932849, 0.08076190948486328]
['BO', 2, 'CO', 116, 'perl', 'ptx', 'O1', 'O1', 0.996822695035461, 5.378643751144409]
['BO', 32, 'CO', 82, 'ruby', 'shuf', 'O2', 'O3', 0.9993803973202184, 7.464502811431885]
['UO', 46, 'BO', 72, 'readelf', 'make', 'O3', 'O2', 0.9438226903664692, 3.5765440464019775]
['UO', 73, 'CO', 172, 'objcopy', 'yes', 'O0', 'O1', 0.9957107113070416, 1.6261167526245117]
['CO', 69, 'UO', 10, 'who', 'objcopy', 'O3', 'O1', 0.9714188499489622, 1.592088222503662]
