['CV', 209, 'BV', 79, 'sum', 'bash', 'V0', 'V3', 0.9897101019095677, 1.7829670906066895]
['UV', 23, 'CV', 207, 'strip', 'sync', 'V3', 'V0', 0.9985501993475897, 0.5790483951568604]
['CV', 299, 'UV', 46, 'split', 'diff', 'V1', 'V1', 0.9075500770416025, 0.18237686157226562]
['UV', 3, 'BV', 43, 'diff3', 'lua', 'V2', 'V0', 0.9618208516886931, 0.8145828247070312]
['UV', 31, 'CV', 77, 'gprof', 'nl', 'V3', 'V2', 0.9958599924727136, 2.075068950653076]
['UV', 87, 'CV', 261, 'objdump', 'touch', 'V0', 'V1', 0.9972252196701095, 1.2314634323120117]
['UV', 47, 'CV', 79, 'sdiff', 'fold', 'V1', 'V2', 0.9533333333333334, 0.07182455062866211]
['CV', 44, 'UV', 18, 'true', 'ar', 'V2', 'V2', 0.9804639804639804, 0.7497460842132568]
['BV', 1, 'CV', 264, 'libSDL2-2.0.so', 'test', 'V3', 'V1', 0.9968203497615262, 1.2871346473693848]
['BV', 15, 'CV', 26, 'libvlccore.so', 'date', 'V3', 'V2', 0.999088630667578, 2.2215793132781982]
['UV', 74, 'CV', 144, 'strip', 'who', 'V0', 'V3', 0.9953496096993855, 1.5366792678833008]
['BV', 76, 'CV', 315, 'diff', 'false', 'V2', 'V1', 0.9922178988326849, 0.09143853187561035]
['CV', 341, 'BV', 65, 'uniq', 'ssh', 'V1', 'V1', 0.9859916254282451, 2.167417049407959]
['CV', 37, 'BV', 9, 'seq', 'dot', 'V2', 'V2', 1.0, 0.028529882431030273]
['UV', 23, 'CV', 338, 'strip', 'nl', 'V3', 'V1', 0.9938837920489296, 2.040062427520752]
['UV', 5, 'CV', 169, 'diff', 'sort', 'V2', 'V3', 0.9425675675675675, 0.6264569759368896]
['BV', 80, 'CV', 16, 'cluster', 'dd', 'V1', 'V2', 0.9827242524916944, 0.4175431728363037]
['UV', 26, 'CV', 291, 'ranlib', 'pinky', 'V3', 'V1', 0.9971329100962523, 0.9206163883209229]
['CV', 129, 'UV', 77, 'dircolors', 'ranlib', 'V3', 'V0', 0.9765769467844668, 1.2165040969848633]
['BV', 75, 'CV', 51, 'cmp', 'printf', 'V2', 'V2', 0.924006908462867, 0.07412314414978027]
['BV', 75, 'CV', 171, 'cmp', 'rmdir', 'V2', 'V3', 0.946524064171123, 0.0724637508392334]
['CV', 2, 'BV', 80, 'unlink', 'cluster', 'V2', 'V1', 0.9631901840490797, 0.20734524726867676]
['UV', 80, 'CV', 167, 'objcopy', 'uniq', 'V0', 'V3', 0.9956989247311828, 1.5737249851226807]
['UV', 37, 'CV', 38, 'locate', 'split', 'V3', 'V2', 0.9835796387520526, 0.3227853775024414]
['CV', 127, 'UV', 78, 'ls', 'c++filt', 'V3', 'V0', 0.964292721208554, 3.1072452068328857]
['CV', 30, 'UV', 74, 'pinky', 'strip', 'V2', 'V0', 0.9814908295473667, 1.3819591999053955]
['CV', 205, 'BV', 29, 'sha1sum', 'perl', 'V0', 'V3', 0.992521877486078, 2.1153111457824707]
['CV', 117, 'BV', 25, 'pinky', 'git', 'V3', 'V3', 0.9930772363241482, 7.49148154258728]
['BV', 70, 'UV', 7, 'ssh', 'nm', 'V0', 'V2', 0.9914549923914315, 40.853158712387085]
['UV', 83, 'CV', 84, 'addr2line', 'rmdir', 'V0', 'V2', 0.9946984758117959, 0.8218934535980225]
['CV', 4, 'BV', 66, 'basename', 'lua', 'V2', 'V1', 0.9686131386861314, 0.43530917167663574]
['CV', 252, 'UV', 15, 'rm', 'ld', 'V0', 'V2', 0.9807909604519774, 1.7988018989562988]
['CV', 290, 'UV', 73, 'tail', 'nm', 'V1', 'V0', 0.973458904109589, 1.2134804725646973]
['CV', 265, 'UV', 84, 'basename', 'ar', 'V1', 'V0', 0.9847554520431929, 0.6382980346679688]
['UV', 85, 'BV', 36, 'elfedit', 'libvlc.so', 'V0', 'V2', 0.9443396226415094, 0.46283674240112305]
['CV', 176, 'BV', 52, 'unlink', 'libSDL2-2.0.so', 'V0', 'V2', 0.9866544550569148, 1.0987467765808105]
['UV', 0, 'CV', 33, 'locate', 'sync', 'V2', 'V2', 0.9711815561959655, 0.08008408546447754]
['CV', 296, 'UV', 15, 'sum', 'ld', 'V1', 'V2', 0.9833572453371593, 1.1772181987762451]
