['BO', 62, 'CO', 367, 'bash', 'cp', 'O1', 'O0', 0.9906935908691835, 9.730355739593506]
['UO', 38, 'CO', 82, 'elfedit', 'shuf', 'O2', 'O3', 0.9854862119013063, 0.13342595100402832]
['UO', 40, 'CO', 346, 'objdump', 'tail', 'O2', 'O0', 0.9922309983167164, 3.5519964694976807]
['BO', 52, 'UO', 43, 'svn', 'find', 'O3', 'O2', 0.9541984732824428, 3.968667507171631]
['BO', 75, 'CO', 110, 'gvmap', 'mkdir', 'O1', 'O1', 0.9656311962987442, 0.38538694381713867]
['CO', 208, 'BO', 61, 'sha384sum', 'git', 'O2', 'O1', 0.9913359902963091, 4.0658183097839355]
['BO', 54, 'CO', 289, 'lua', 'cat', 'O3', 'O2', 0.9922680412371134, 0.5316612720489502]
['BO', 13, 'CO', 160, 'ruby', 'cut', 'O1', 'O1', 0.9982285811616419, 5.872336387634277]
['BO', 67, 'CO', 206, 'libSDL2-2.0.so.0.16.0', 'mknod', 'O1', 'O1', 0.9938514510575505, 1.9592859745025635]
['UO', 21, 'CO', 154, 'sdiff', 'dircolors', 'O1', 'O1', 0.9285714285714286, 0.09439516067504883]
['BO', 64, 'UO', 45, 'dot', 'strip', 'O0', 'O3', 0.9937361827560796, 0.44052982330322266]
['CO', 327, 'BO', 56, 'join', 'libvlc.so.12.0.0', 'O0', 'O3', 0.987985212569316, 0.829185962677002]
['UO', 31, 'CO', 92, 'c++filt', 'sha512sum', 'O2', 'O3', 0.99524015577672, 1.0823988914489746]
['CO', 75, 'BO', 79, 'mv', 'bash', 'O3', 'O3', 0.968445787176905, 7.458981990814209]
['UO', 46, 'CO', 234, 'readelf', 'kill', 'O3', 'O2', 0.9941797017097126, 0.45093822479248047]
['UO', 71, 'BO', 68, 'c++filt', 'git', 'O0', 'O3', 0.9687911642516972, 130.17110872268677]
['CO', 244, 'UO', 31, 'pinky', 'c++filt', 'O2', 'O2', 0.9754601226993865, 1.061936855316162]
['UO', 25, 'CO', 314, 'sdiff', 'stat', 'O2', 'O0', 0.9137577002053388, 0.2187974452972412]
['CO', 262, 'UO', 31, 'true', 'c++filt', 'O2', 'O2', 0.9812332439678284, 0.6927306652069092]
['BO', 25, 'CO', 11, 'dot', 'groups', 'O3', 'O3', 0.9878787878787879, 0.037627220153808594]
['BO', 46, 'CO', 412, 'ruby', 'tac', 'O3', 'O0', 0.9993881505149733, 7.1005942821502686]
['CO', 197, 'UO', 2, 'nl', 'find', 'O1', 'O1', 0.9458784346378019, 0.5529615879058838]
['BO', 83, 'CO', 196, 'lua', 'sha512sum', 'O2', 'O1', 0.9900280461202867, 0.7271969318389893]
['CO', 1, 'BO', 56, 'touch', 'libvlc.so.12.0.0', 'O3', 'O3', 0.9920141969831411, 0.8953907489776611]
['UO', 0, 'BO', 42, 'locate', 'cmp', 'O1', 'O1', 0.973109243697479, 0.2597041130065918]
['BO', 36, 'CO', 85, 'cluster', '[', 'O2', 'O3', 0.9643620812544548, 0.3132779598236084]
['UO', 16, 'CO', 48, 'size', 'ls', 'O1', 'O3', 0.988929889298893, 3.1687676906585693]
['CO', 238, 'BO', 5, 'expand', 'libgeany.so.0.0.0', 'O2', 'O1', 0.993528000913694, 6.506240606307983]
['CO', 60, 'UO', 87, 'base64', 'find', 'O3', 'O0', 0.9848184818481848, 0.7954349517822266]
['BO', 28, 'CO', 103, 'ruby', 'ln', 'O0', 'O3', 0.9991277216761163, 11.454439878463745]
['CO', 212, 'UO', 5, 'test', 'readelf', 'O2', 'O1', 0.9649874955341193, 0.5312783718109131]
['UO', 34, 'CO', 43, 'ld', 'chroot', 'O2', 'O3', 0.9966391261728049, 1.6214659214019775]
['BO', 4, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O2', 'O3', 0.9993188268684957, 6.126757383346558]
['UO', 83, 'BO', 46, 'diff', 'ruby', 'O0', 'O3', 0.9792302587923026, 26.371180772781372]
['CO', 95, 'UO', 19, 'sha224sum', 'cmp', 'O3', 'O1', 0.9103448275862069, 0.0806570053100586]
['BO', 69, 'CO', 169, 'cmp', 'false', 'O3', 'O1', 0.9364406779661016, 0.056722402572631836]
['UO', 56, 'CO', 384, 'elfedit', 'head', 'O3', 'O0', 0.9746835443037974, 0.11825680732727051]
['CO', 168, 'BO', 57, 'tty', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9923838537699924, 2.4568347930908203]
['UO', 65, 'CO', 401, 'sdiff', 'pathchk', 'O3', 'O0', 0.9371069182389937, 0.09871459007263184]
['UO', 54, 'CO', 224, 'addr2line', 'dirname', 'O3', 'O2', 0.9959866220735786, 0.6504209041595459]
['UO', 5, 'CO', 55, 'readelf', 'cp', 'O1', 'O3', 0.9729093050647821, 1.6809918880462646]
['CO', 117, 'UO', 18, 'printenv', 'diff3', 'O1', 'O1', 0.8705281090289608, 0.07802176475524902]
['CO', 132, 'UO', 68, 'factor', 'readelf', 'O1', 'O0', 0.9738824711200402, 1.2297163009643555]
['BO', 41, 'CO', 269, 'libSDL2-2.0.so.0.16.0', 'cksum', 'O2', 'O2', 0.9962125994192652, 1.2377634048461914]
['UO', 44, 'CO', 102, 'nm', 'mknod', 'O3', 'O3', 0.9944253859348199, 1.0879859924316406]
['CO', 19, 'BO', 11, 'dd', 'ssh', 'O3', 'O1', 0.971707455085585, 2.8145387172698975]
['CO', 277, 'BO', 27, 'who', 'perl', 'O2', 'O3', 0.9920472036942022, 3.3789522647857666]
['BO', 69, 'UO', 11, 'cmp', 'ld', 'O3', 'O1', 0.9788257940327237, 1.8602116107940674]
['CO', 116, 'BO', 40, 'ptx', 'lua', 'O1', 'O0', 0.9742870500233755, 1.516925573348999]
['UO', 78, 'CO', 265, 'elfedit', 'od', 'O0', 'O2', 0.972768532526475, 0.12641620635986328]
['UO', 3, 'CO', 200, 'nm', 'fold', 'O1', 'O1', 0.988909426987061, 1.0349931716918945]
['CO', 7, 'UO', 59, 'fmt', 'locate', 'O3', 'O3', 0.9693693693693693, 0.2334446907043457]
['BO', 19, 'CO', 131, 'libvlccore.so.9.0.0', 'wc', 'O1', 'O1', 0.995975469528555, 2.991795301437378]
['CO', 367, 'UO', 28, 'cp', 'readelf', 'O0', 'O2', 0.9516778523489933, 2.460848331451416]
['BO', 21, 'UO', 56, 'cp', 'elfedit', 'O1', 'O3', 0.9887429643527205, 0.2304069995880127]
['BO', 12, 'CO', 52, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O3', 0.9991294254207778, 5.729771852493286]
['CO', 209, 'UO', 32, 'touch', 'strings', 'O2', 'O2', 0.9667368421052631, 1.5569469928741455]
['CO', 156, 'BO', 75, 'sha256sum', 'gvmap', 'O1', 'O1', 0.9453551912568307, 0.3200192451477051]
['CO', 288, 'UO', 42, 'uname', 'xargs', 'O2', 'O2', 0.9571209800918836, 0.1044149398803711]
['BO', 45, 'CO', 224, 'diff', 'dirname', 'O2', 'O2', 0.9923150816522575, 0.12453746795654297]
['UO', 76, 'CO', 1, 'addr2line', 'touch', 'O0', 'O3', 0.996141124586549, 2.53033447265625]
['CO', 100, 'UO', 11, 'tac', 'ld', 'O3', 'O1', 0.9794520547945206, 1.9439923763275146]
['CO', 215, 'BO', 17, 'fmt', 'codeblocks', 'O2', 'O2', 0.9960184148314047, 4.186664819717407]
['CO', 361, 'BO', 2, 'nice', 'perl', 'O0', 'O1', 0.9886435331230284, 2.8849735260009766]
['UO', 11, 'CO', 210, 'ld', 'stat', 'O1', 'O2', 0.993831299450181, 2.7964425086975098]
['UO', 38, 'BO', 72, 'elfedit', 'make', 'O2', 'O2', 0.9353711790393013, 0.4571974277496338]
['UO', 14, 'BO', 82, 'ar', 'cp', 'O1', 'O3', 0.9848724714160071, 3.279872179031372]
['UO', 15, 'CO', 97, 'elfedit', 'uniq', 'O1', 'O3', 0.9751166407465007, 0.11224675178527832]
['UO', 60, 'CO', 82, 'xargs', 'shuf', 'O3', 'O3', 0.9733629300776915, 0.21124672889709473]
['CO', 390, 'UO', 11, 'chcon', 'ld', 'O0', 'O1', 0.9684252072095777, 3.9447081089019775]
