['CO', 378, 'BO', 32, 'runcon', 'ruby', 'O0', 'O2', 0.9907313653711348, 6.5036234855651855]
['BO', 73, 'CO', 46, 'cluster', 'whoami', 'O1', 'O3', 0.9836431226765799, 0.2520771026611328]
['UO', 17, 'CO', 305, 'objdump', 'uniq', 'O1', 'O2', 0.9955327815004599, 1.7723886966705322]
['BO', 19, 'CO', 108, 'libvlccore.so.9.0.0', 'test', 'O1', 'O1', 0.9961612284069098, 2.668301820755005]
['UO', 47, 'CO', 142, 'as', 'sha1sum', 'O3', 'O1', 0.9940460081190798, 1.5818932056427002]
['BO', 60, 'CO', 311, 'openssl', 'ln', 'O0', 'O2', 0.9949064550886473, 5.097382307052612]
['BO', 2, 'CO', 387, 'perl', 'mv', 'O1', 'O0', 0.995237064299632, 15.148499965667725]
['CO', 75, 'UO', 21, 'mv', 'sdiff', 'O3', 'O1', 0.9538690476190477, 0.2942070960998535]
['CO', 148, 'BO', 31, 'seq', 'bash', 'O1', 'O2', 0.9860902255639098, 2.538177967071533]
['BO', 83, 'CO', 267, 'lua', 'tsort', 'O2', 'O2', 0.9924074659917748, 0.6019697189331055]
['CO', 67, 'UO', 80, 'nohup', 'objdump', 'O3', 'O0', 0.9942244993013507, 2.9640743732452393]
['UO', 11, 'CO', 414, 'ld', 'mknod', 'O1', 'O0', 0.9921197793538219, 3.764937162399292]
['CO', 316, 'BO', 53, 'test', 'bash', 'O0', 'O0', 0.985017506717694, 3.8177452087402344]
['BO', 77, 'CO', 370, 'libSDL2-2.0.so.0.16.0', 'df', 'O3', 'O0', 0.9887250650477016, 4.9180872440338135]
['CO', 324, 'BO', 56, 'ptx', 'libvlc.so.12.0.0', 'O0', 'O3', 0.9870689655172413, 1.0928964614868164]
['CO', 413, 'BO', 43, 'rmdir', 'diff', 'O0', 'O1', 0.9012987012987013, 0.23198437690734863]
['CO', 89, 'UO', 4, 'pathchk', 'strip', 'O3', 'O1', 0.972131429554447, 1.2066810131072998]
['CO', 211, 'BO', 22, 'unlink', 'perl', 'O2', 'O0', 0.9959039548022599, 2.7673072814941406]
['BO', 31, 'CO', 382, 'bash', 'b2sum', 'O2', 'O0', 0.996284599665614, 3.417257308959961]
['CO', 4, 'BO', 75, 'test', 'gvmap', 'O3', 'O1', 0.9409792085848424, 0.32743072509765625]
['BO', 38, 'CO', 188, 'acyclic', 'vdir', 'O2', 'O1', 0.9844097995545658, 0.11118817329406738]
['CO', 97, 'BO', 8, 'uniq', 'cp', 'O3', 'O0', 0.9289719626168225, 0.38548851013183594]
['UO', 3, 'CO', 3, 'nm', 'unlink', 'O1', 'O3', 0.9946568023016852, 0.913435697555542]
