['UV', 59, 'CV', 235, 'ld', 'ginstall', 'V1', 'V0', 0.9955868156116398, 2.539048194885254]
['UV', 14, 'CV', 295, 'objcopy', 'echo', 'V2', 'V1', 0.9982215898986306, 0.6325080394744873]
['CV', 48, 'BV', 24, 'df', 'git', 'V2', 'V0', 0.9820973383128816, 5.482743263244629]
['UV', 42, 'BV', 55, 'diff', 'codeblocks', 'V3', 'V3', 0.9901066809702604, 15.317596912384033]
['CV', 188, 'UV', 73, 'dirname', 'nm', 'V0', 'V0', 0.9835738068812431, 0.6198029518127441]
['UV', 16, 'CV', 112, 'gprof', 'expand', 'V2', 'V3', 0.9960990832845719, 1.1045618057250977]
['BV', 45, 'CV', 11, 'svn', 'printenv', 'V3', 'V2', 0.994256999282125, 0.4511420726776123]
['CV', 280, 'BV', 24, 'pr', 'git', 'V1', 'V0', 0.9879136001914677, 3.8960182666778564]
['CV', 330, 'BV', 6, 'csplit', 'libvlc.so', 'V1', 'V0', 0.9920752847944527, 0.8271658420562744]
['UV', 51, 'BV', 28, 'nm', 'openssl', 'V1', 'V1', 0.9721359699297271, 66.1055223941803]
['CV', 283, 'UV', 21, 'kill', 'objdump', 'V1', 'V2', 0.982782908123337, 0.9937188625335693]
['UV', 49, 'CV', 178, 'xargs', 'basename', 'V1', 'V0', 0.9540229885057472, 0.036656856536865234]
['CV', 243, 'BV', 27, 'csplit', 'libSDL2-2.0.so', 'V0', 'V1', 0.9703217334208798, 3.901285171508789]
['BV', 34, 'CV', 1, 'svn', 'stat', 'V0', 'V2', 0.9902581587920117, 0.45305466651916504]
['BV', 54, 'UV', 15, 'lua', 'ld', 'V3', 'V2', 0.9644142754293942, 14.38033938407898]
['BV', 55, 'CV', 80, 'codeblocks', 'uniq', 'V3', 'V2', 0.9991313519885835, 3.5655264854431152]
['UV', 3, 'CV', 113, 'diff3', 'date', 'V2', 'V3', 0.9153936545240893, 0.14603781700134277]
['UV', 20, 'CV', 210, 'size', 'chroot', 'V2', 'V0', 0.9973986559722523, 0.5488274097442627]
['CV', 212, 'UV', 87, 'split', 'objdump', 'V0', 'V0', 0.983875968992248, 1.1523652076721191]
['BV', 71, 'CV', 265, 'ruby', 'basename', 'V1', 'V1', 0.9881656804733728, 0.009848833084106445]
['CV', 68, 'UV', 23, 'cat', 'strip', 'V2', 'V3', 0.9724450645273806, 1.576355218887329]
['UV', 31, 'CV', 100, 'gprof', 'join', 'V3', 'V3', 0.9961277831558567, 1.4517464637756348]
['CV', 53, 'BV', 24, 'tty', 'git', 'V2', 'V0', 0.9930095215138002, 2.476700782775879]
['UV', 20, 'BV', 64, 'size', 'openssl', 'V2', 'V2', 0.9843849296413981, 25.630879163742065]
['CV', 161, 'UV', 87, 'pathchk', 'objdump', 'V3', 'V0', 0.9800705196995247, 1.4624764919281006]
['CV', 35, 'UV', 73, 'sum', 'nm', 'V2', 'V0', 0.9783221331021028, 0.9950993061065674]
['UV', 79, 'BV', 63, 'strings', 'ruby', 'V0', 'V0', 0.9739107149688229, 73.17609739303589]
['CV', 231, 'UV', 74, 'who', 'strip', 'V0', 'V0', 0.982706002034588, 1.1163053512573242]
['CV', 85, 'UV', 12, 'mknod', 'c++filt', 'V2', 'V2', 0.9765777488614183, 0.8449833393096924]
['BV', 11, 'UV', 38, 'bash', 'xargs', 'V1', 'V3', 0.9983228511530399, 3.2923905849456787]
['CV', 15, 'BV', 82, 'uptime', 'gvmap', 'V2', 'V1', 0.9515905947441217, 0.2961695194244385]
['CV', 307, 'BV', 27, 'cut', 'libSDL2-2.0.so', 'V1', 'V1', 0.9842061512884456, 1.4808859825134277]
['CV', 83, 'UV', 77, 'tac', 'ranlib', 'V2', 'V0', 0.965705378020265, 2.076472759246826]
['BV', 4, 'CV', 311, 'geany', 'cksum', 'V3', 'V1', 0.9996663747445682, 2.9543731212615967]
['CV', 52, 'BV', 37, 'logname', 'geany', 'V2', 'V1', 0.9941833192607187, 4.751267910003662]
['UV', 4, 'BV', 61, 'cmp', 'cmp', 'V2', 'V0', 0.9271844660194175, 0.03486204147338867]
['CV', 307, 'UV', 70, 'cut', 'locate', 'V1', 'V0', 0.8898408812729498, 0.1137993335723877]
['CV', 196, 'BV', 12, 'kill', 'sort', 'V0', 'V2', 0.9277708592777086, 0.10017204284667969]
['BV', 32, 'CV', 27, 'perl', 'expr', 'V0', 'V2', 0.9958021536776784, 4.108769416809082]
['CV', 198, 'UV', 18, 'factor', 'ar', 'V0', 'V2', 0.9804241435562806, 0.7066364288330078]
['UV', 48, 'CV', 43, 'locate', 'chmod', 'V1', 'V2', 0.9625334522747547, 0.22127771377563477]
['UV', 77, 'CV', 29, 'ranlib', 'tail', 'V0', 'V2', 0.9943775100401606, 1.4276318550109863]
['CV', 127, 'BV', 18, 'ls', 'sort', 'V3', 'V3', 0.9084588644264194, 0.5624346733093262]
['BV', 16, 'UV', 82, 'libvlc.so', 'gprof', 'V3', 'V0', 0.9625456760048721, 7.500127077102661]
['CV', 134, 'BV', 38, 'od', 'ruby', 'V3', 'V2', 1.0, 0.018984079360961914]
['UV', 70, 'CV', 153, 'locate', 'link', 'V0', 'V3', 0.9605110336817654, 0.12264752388000488]
['CV', 312, 'BV', 32, 'printf', 'perl', 'V1', 'V0', 0.9886535552193646, 1.7241120338439941]
['CV', 330, 'UV', 48, 'csplit', 'locate', 'V1', 'V1', 0.9207772795216741, 0.33994531631469727]
['CV', 140, 'UV', 43, 'tty', 'sdiff', 'V3', 'V3', 0.8928571428571429, 0.08752870559692383]
['CV', 32, 'BV', 53, 'paste', 'ssh', 'V2', 'V2', 0.986322188449848, 2.232804536819458]
['CV', 60, 'UV', 66, 'hostid', 'diff3', 'V2', 'V0', 0.872791519434629, 0.06804537773132324]
['BV', 33, 'CV', 20, 'openssl', 'tee', 'V0', 'V2', 0.9989470359060756, 2.718756675720215]
['CV', 121, 'UV', 53, 'echo', 'readelf', 'V3', 'V1', 0.9707446808510638, 0.27669405937194824]
['BV', 76, 'CV', 77, 'diff', 'nl', 'V2', 'V2', 0.9559228650137741, 0.3701629638671875]
['CV', 73, 'UV', 84, 'shred', 'ar', 'V2', 'V0', 0.9736842105263158, 1.509476900100708]
['BV', 40, 'CV', 281, 'lua', 'tee', 'V2', 'V1', 0.9979181124219292, 0.4113807678222656]
['CV', 223, 'UV', 66, 'tsort', 'diff3', 'V0', 'V0', 0.8743068391866913, 0.06135416030883789]
['CV', 113, 'UV', 84, 'date', 'ar', 'V3', 'V0', 0.9666798889329631, 1.8499951362609863]
['UV', 39, 'CV', 87, 'find', 'touch', 'V3', 'V3', 0.9854604200323102, 0.7488086223602295]
['CV', 272, 'UV', 38, 'printenv', 'xargs', 'V1', 'V3', 0.9677938808373591, 0.08890724182128906]
['UV', 78, 'CV', 151, 'c++filt', 'md5sum', 'V0', 'V3', 0.9955869373345102, 1.0064599514007568]
['UV', 65, 'CV', 317, 'objdump', 'yes', 'V1', 'V1', 0.9987873275731393, 0.7270770072937012]
['UV', 79, 'CV', 312, 'strings', 'printf', 'V0', 'V1', 0.9968652037617555, 0.6956522464752197]
