['CO', 229, 'UO', 51, 'mktemp', 'objcopy', 'O2', 'O3', 0.9797369356558834, 1.3024914264678955]
['CO', 396, 'BO', 69, 'vdir', 'cmp', 'O0', 'O3', 0.9824945295404814, 0.2727811336517334]
['CO', 258, 'UO', 22, 'dircolors', 'diff3', 'O2', 'O2', 0.9178082191780822, 0.07640314102172852]
['CO', 206, 'UO', 6, 'mknod', 'as', 'O1', 'O1', 0.9776768332251784, 1.550567865371704]
['UO', 51, 'CO', 169, 'objcopy', 'false', 'O3', 'O1', 0.9945867917719234, 0.9056735038757324]
['UO', 79, 'CO', 28, 'size', 'factor', 'O0', 'O3', 0.9972417597572748, 2.3160436153411865]
['BO', 29, 'CO', 75, 'libvlc.so.12.0.0', 'mv', 'O2', 'O3', 0.9842105263157894, 1.5135974884033203]
['UO', 26, 'CO', 290, 'nm', 'shuf', 'O2', 'O2', 0.9925326695706285, 1.3808670043945312]
['UO', 57, 'BO', 61, 'size', 'git', 'O3', 'O1', 0.9611521907074274, 69.88189816474915]
['CO', 189, 'BO', 0, '[', 'codeblocks', 'O1', 'O1', 0.9910819347247166, 4.742996454238892]
['CO', 92, 'BO', 21, 'sha512sum', 'cp', 'O3', 'O1', 0.8792314730100641, 0.20631790161132812]
['CO', 323, 'BO', 1, 'groups', 'ssh', 'O0', 'O2', 0.9790930506478209, 1.5858864784240723]
['BO', 64, 'CO', 225, 'dot', 'stdbuf', 'O0', 'O2', 0.9935897435897436, 0.03179812431335449]
['BO', 77, 'CO', 388, 'libSDL2-2.0.so.0.16.0', 'md5sum', 'O3', 'O0', 0.9905362776025236, 2.415555238723755]
['CO', 133, 'UO', 16, 'nproc', 'size', 'O1', 'O1', 0.9719958202716823, 1.0310137271881104]
['UO', 27, 'CO', 262, 'strip', 'true', 'O2', 'O2', 0.9967538322813345, 0.7137706279754639]
['UO', 69, 'CO', 95, 'as', 'sha224sum', 'O0', 'O3', 0.9977709668431318, 2.5320897102355957]
['UO', 34, 'CO', 211, 'ld', 'unlink', 'O2', 'O2', 0.9974304068522484, 0.956282377243042]
['UO', 47, 'CO', 258, 'as', 'dircolors', 'O3', 'O2', 0.9956480348157215, 1.4157772064208984]
['BO', 54, 'CO', 298, 'lua', 'tr', 'O3', 'O2', 0.9898862199747156, 0.6507618427276611]
['UO', 20, 'CO', 338, 'diff', 'kill', 'O1', 'O0', 0.979469632164243, 0.2229466438293457]
['CO', 133, 'BO', 56, 'nproc', 'libvlc.so.12.0.0', 'O1', 'O3', 0.9832098765432099, 0.5522346496582031]
