['BV', 54, 'CV', 34, 'lua', 'echo', 'V3', 'V2', 0.995492594977463, 0.4707367420196533]
['BV', 39, 'UV', 29, 'svn', 'objcopy', 'V1', 'V3', 0.9635274904735982, 9.342516899108887]
['UV', 34, 'CV', 214, 'elfedit', 'ls', 'V3', 'V0', 0.9873257287705957, 0.16177606582641602]
['UV', 5, 'CV', 185, 'diff', 'printenv', 'V2', 'V0', 0.9903006789524733, 0.09055137634277344]
['BV', 49, 'CV', 56, 'make', 'yes', 'V3', 'V2', 0.9917469050894085, 0.3042259216308594]
['CV', 142, 'UV', 84, 'nohup', 'ar', 'V3', 'V0', 0.9735973597359736, 1.0647940635681152]
['CV', 223, 'BV', 3, 'tsort', 'diff', 'V0', 'V1', 0.9165775401069519, 0.11462807655334473]
['BV', 79, 'CV', 114, 'bash', 'expr', 'V3', 'V3', 0.9961074347995329, 2.6078903675079346]
['UV', 74, 'CV', 191, 'strip', 'mkfifo', 'V0', 'V0', 0.997941327843541, 0.6653134822845459]
['UV', 53, 'CV', 230, 'readelf', 'yes', 'V1', 'V0', 0.9943342776203966, 0.15177583694458008]
['UV', 50, 'CV', 334, 'find', 'shred', 'V1', 'V1', 0.9885189437428243, 0.36257171630859375]
['BV', 80, 'CV', 236, 'cluster', 'unexpand', 'V1', 'V0', 0.9874213836477987, 0.1773388385772705]
['CV', 256, 'UV', 68, 'sort', 'diff', 'V0', 'V0', 0.9332161687170475, 0.2354135513305664]
['BV', 69, 'CV', 61, 'gvmap', 'ginstall', 'V0', 'V2', 0.9614260666277031, 0.6326332092285156]
['BV', 77, 'CV', 254, 'perl', 'uniq', 'V2', 'V0', 0.9982798165137615, 2.1268839836120605]
['CV', 259, 'BV', 59, 'mknod', 'make', 'V0', 'V1', 0.974180734856008, 0.2882370948791504]
['BV', 32, 'UV', 78, 'perl', 'c++filt', 'V0', 'V0', 0.9881025641025641, 30.12828230857849]
['BV', 55, 'CV', 18, 'codeblocks', 'pwd', 'V3', 'V2', 0.9987561415510915, 3.1198012828826904]
['CV', 282, 'UV', 54, 'chgrp', 'as', 'V1', 'V1', 0.9778755164600826, 1.882911205291748]
['BV', 81, 'CV', 152, 'dot', 'env', 'V1', 'V3', 0.9938271604938271, 0.02931523323059082]
['UV', 30, 'CV', 28, 'ld', 'chown', 'V3', 'V2', 0.9966891985101394, 2.117410182952881]
['UV', 19, 'CV', 177, 'elfedit', 'test', 'V2', 'V0', 0.9810874704491725, 0.05680394172668457]
['BV', 2, 'CV', 297, 'cmp', 'chroot', 'V1', 'V1', 0.9669811320754716, 0.036774635314941406]
['BV', 27, 'CV', 52, 'libSDL2-2.0.so', 'logname', 'V1', 'V2', 0.9963958968672026, 1.0623064041137695]
['UV', 66, 'CV', 210, 'diff3', 'chroot', 'V0', 'V0', 0.9690522243713733, 0.04530930519104004]
['UV', 40, 'CV', 218, 'diff3', 'true', 'V3', 'V0', 0.969639468690702, 0.04301095008850098]
['BV', 36, 'UV', 5, 'libvlc.so', 'diff', 'V2', 'V2', 0.9812409812409812, 1.4868152141571045]
['BV', 12, 'CV', 294, 'sort', 'sync', 'V2', 'V1', 0.9844961240310077, 0.06877565383911133]
['CV', 269, 'UV', 54, 'du', 'as', 'V1', 'V1', 0.9716609813697192, 2.4731905460357666]
['UV', 44, 'CV', 161, 'diff3', 'pathchk', 'V1', 'V3', 0.9542682926829268, 0.08551263809204102]
['UV', 59, 'BV', 2, 'ld', 'cmp', 'V1', 'V1', 0.9971695442966317, 1.4959642887115479]
['BV', 44, 'CV', 73, 'make', 'shred', 'V0', 'V2', 0.9787336877718704, 0.5167551040649414]
['CV', 127, 'UV', 82, 'ls', 'gprof', 'V3', 'V0', 0.9676317209135048, 3.3621041774749756]
['UV', 2, 'CV', 2, 'find', 'unlink', 'V2', 'V2', 0.9949968730456535, 0.19613313674926758]
['CV', 274, 'BV', 37, 'join', 'geany', 'V1', 'V1', 0.9931689514808403, 6.471075534820557]
['UV', 76, 'CV', 82, 'as', 'sort', 'V0', 'V2', 0.9928277327666357, 3.3195812702178955]
['UV', 8, 'CV', 118, 'strip', 'sha1sum', 'V2', 'V3', 0.9948132780082988, 1.3225946426391602]
['UV', 21, 'CV', 334, 'objdump', 'shred', 'V2', 'V1', 0.9960220318237454, 1.6297929286956787]
['BV', 3, 'CV', 291, 'diff', 'pinky', 'V1', 'V1', 0.9837728194726166, 0.13771581649780273]
['CV', 36, 'UV', 21, 'chroot', 'objdump', 'V2', 'V2', 0.9795855242808537, 1.3701305389404297]
['CV', 260, 'BV', 9, 'ln', 'dot', 'V0', 'V2', 0.9930313588850174, 0.02686333656311035]
['CV', 5, 'BV', 46, 'mkdir', 'cluster', 'V2', 'V3', 0.9507389162561576, 0.33257198333740234]
['BV', 65, 'CV', 133, 'ssh', 'cut', 'V1', 'V3', 0.9975796081990772, 2.7732481956481934]
['UV', 11, 'BV', 12, 'ranlib', 'sort', 'V2', 'V2', 0.9914767463405596, 2.4379360675811768]
['BV', 49, 'CV', 259, 'make', 'mknod', 'V3', 'V0', 0.9916628068550255, 0.28344273567199707]
['CV', 101, 'BV', 53, 'dirname', 'ssh', 'V3', 'V2', 0.9852907726135416, 2.35402774810791]
['UV', 85, 'CV', 101, 'elfedit', 'dirname', 'V0', 'V3', 0.9580712788259959, 0.07239556312561035]
['UV', 18, 'BV', 83, 'ar', 'git', 'V2', 'V2', 0.96504614490226, 85.64908146858215]
