['BO', 37, 'CO', 6, 'gvmap', 'mkdir', 'O2', 'O3', 0.9710144927536232, 0.3935389518737793]
['CO', 316, 'UO', 70, 'test', 'ranlib', 'O0', 'O0', 0.9831302717900656, 2.2932045459747314]
['BO', 57, 'CO', 217, 'libvlccore.so.9.0.0', 'du', 'O3', 'O2', 0.9961800818553889, 5.931630611419678]
['CO', 49, 'UO', 19, 'nice', 'cmp', 'O3', 'O1', 0.9, 0.06829667091369629]
['CO', 234, 'BO', 34, 'kill', 'cp', 'O2', 'O2', 0.8782249742002064, 0.14387130737304688]
['BO', 16, 'CO', 280, 'make', 'head', 'O0', 'O2', 0.9876948318293683, 0.540116548538208]
['CO', 164, 'BO', 74, 'base64', 'dot', 'O1', 'O1', 0.9938271604938271, 0.03599214553833008]
['CO', 5, 'BO', 7, 'basename', 'sort', 'O3', 'O0', 0.936558287073751, 0.24776172637939453]
['CO', 181, 'UO', 29, 'env', 'as', 'O1', 'O2', 0.9792871553463349, 1.8466236591339111]
['CO', 151, 'UO', 8, 'numfmt', 'c++filt', 'O1', 'O1', 0.9642337284258682, 1.3599166870117188]
['CO', 387, 'UO', 30, 'mv', 'ranlib', 'O0', 'O2', 0.958011420893517, 5.276434898376465]
['CO', 114, 'UO', 5, 'users', 'readelf', 'O1', 'O1', 0.9619526202440776, 0.5446040630340576]
['UO', 73, 'CO', 253, 'objcopy', 'split', 'O0', 'O2', 0.9960136006565834, 2.479372978210449]
['CO', 109, 'UO', 59, 'basename', 'locate', 'O1', 'O3', 0.9477250726040658, 0.19866609573364258]
['CO', 183, 'UO', 87, 'link', 'find', 'O1', 'O0', 0.973595125253893, 0.6041839122772217]
['CO', 16, 'BO', 77, 'dirname', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.9838231943495102, 1.979180097579956]
['UO', 2, 'CO', 366, 'find', 'true', 'O1', 'O0', 0.9881053525913339, 0.46334242820739746]
['CO', 212, 'UO', 69, 'test', 'as', 'O2', 'O0', 0.9906664177711406, 2.8057332038879395]
['BO', 17, 'UO', 38, 'codeblocks', 'elfedit', 'O2', 'O2', 0.9995043063386827, 3.520104169845581]
