['UO', 86, 'CO', 94, 'xargs', 'rm', 'O0', 'O3', 0.9769503546099291, 0.31725358963012695]
['CO', 302, 'BO', 49, 'rm', 'svn', 'O2', 'O0', 0.9822525597269625, 1.2979636192321777]
['BO', 45, 'UO', 4, 'diff', 'strip', 'O2', 'O1', 0.9660647571606475, 3.9582295417785645]
['UO', 45, 'CO', 121, 'strip', 'stdbuf', 'O3', 'O1', 0.992181947405828, 1.2347872257232666]
['BO', 67, 'CO', 70, 'libSDL2-2.0.so.0.16.0', 'b2sum', 'O1', 'O3', 0.9954034111527761, 2.635963201522827]
['BO', 1, 'CO', 201, 'ssh', 'uniq', 'O2', 'O1', 0.9947306791569087, 1.7091753482818604]
['CO', 377, 'UO', 69, 'false', 'as', 'O0', 'O0', 0.9913849611386834, 2.5211541652679443]
['BO', 13, 'CO', 72, 'ruby', 'head', 'O1', 'O3', 0.9993880257029205, 6.442161321640015]
['CO', 234, 'BO', 15, 'kill', 'diff', 'O2', 'O0', 0.9296, 0.22063446044921875]
['CO', 280, 'UO', 86, 'head', 'xargs', 'O2', 'O0', 0.947187141216992, 0.18521833419799805]
['BO', 63, 'CO', 398, 'cluster', 'timeout', 'O0', 'O0', 0.9765166340508806, 0.5820434093475342]
['CO', 66, 'UO', 66, 'runcon', 'nm', 'O3', 'O0', 0.9927364157005168, 1.7368066310882568]
['CO', 387, 'UO', 33, 'mv', 'objcopy', 'O0', 'O2', 0.9583395774014686, 5.846915245056152]
['UO', 25, 'CO', 130, 'sdiff', 'kill', 'O2', 'O1', 0.9404958677685951, 0.08857583999633789]
['CO', 220, 'UO', 52, 'ptx', 'ld', 'O2', 'O3', 0.9768945124467061, 2.4357378482818604]
['CO', 205, 'UO', 26, 'rmdir', 'nm', 'O1', 'O2', 0.9745222929936306, 1.0586698055267334]
['CO', 402, 'BO', 40, 'tr', 'lua', 'O0', 'O0', 0.9673218091404215, 1.3437020778656006]
['BO', 52, 'CO', 66, 'svn', 'runcon', 'O3', 'O3', 0.9967832730197025, 0.5123271942138672]
['CO', 208, 'BO', 57, 'sha384sum', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9931695285077318, 2.694876194000244]
['UO', 42, 'CO', 334, 'xargs', 'pwd', 'O2', 'O0', 0.9501965923984272, 0.1698627471923828]
['BO', 65, 'CO', 245, 'gvmap', 'truncate', 'O0', 'O2', 0.9864935064935065, 0.3482053279876709]
['UO', 51, 'CO', 356, 'objcopy', 'seq', 'O3', 'O0', 0.9932790944464096, 1.3526601791381836]
['CO', 57, 'UO', 14, 'od', 'ar', 'O3', 'O1', 0.9674673728012105, 1.7919583320617676]
['UO', 4, 'CO', 386, 'strip', 'unexpand', 'O1', 'O0', 0.99211383507629, 1.420626163482666]
['CO', 358, 'BO', 52, 'whoami', 'svn', 'O0', 'O3', 0.9887685519454472, 0.6542859077453613]
['CO', 111, 'UO', 29, 'fmt', 'as', 'O1', 'O2', 0.9753648413442227, 1.6589350700378418]
['BO', 16, 'CO', 71, 'make', 'readlink', 'O0', 'O3', 0.989558232931727, 0.583336591720581]
['BO', 34, 'CO', 307, 'cp', 'sort', 'O2', 'O2', 0.9222148978246539, 0.47359538078308105]
['BO', 53, 'CO', 257, 'bash', 'nice', 'O0', 'O2', 0.9975286267402587, 2.1503183841705322]
['UO', 83, 'CO', 273, 'diff', 'false', 'O0', 'O2', 0.9717138103161398, 0.24795937538146973]
['BO', 24, 'UO', 69, 'cluster', 'as', 'O3', 'O0', 0.971305099394987, 10.175452470779419]
['BO', 82, 'UO', 40, 'cp', 'objdump', 'O3', 'O2', 0.9692811280372655, 5.006751775741577]
['CO', 164, 'UO', 79, 'base64', 'size', 'O1', 'O0', 0.9890047927826332, 1.9690196514129639]
['BO', 68, 'CO', 60, 'git', 'base64', 'O3', 'O3', 0.9992215542965878, 4.5829315185546875]
['CO', 232, 'UO', 34, 'tee', 'ld', 'O2', 'O2', 0.9830052400509843, 1.556351661682129]
['CO', 21, 'UO', 13, 'mktemp', 'addr2line', 'O3', 'O1', 0.9742278584577623, 1.4236340522766113]
['CO', 160, 'UO', 33, 'cut', 'objcopy', 'O1', 'O2', 0.9727819017320608, 1.372727394104004]
['CO', 114, 'BO', 80, 'users', 'ssh', 'O1', 'O3', 0.9822878228782288, 1.4422059059143066]
['UO', 67, 'CO', 83, 'strip', 'csplit', 'O0', 'O3', 0.9974403723094822, 2.7149696350097656]
['BO', 20, 'CO', 381, 'sort', 'who', 'O1', 'O0', 0.9666374012291483, 0.26263928413391113]
['BO', 39, 'CO', 159, 'codeblocks', 'cp', 'O3', 'O1', 0.9960953676862095, 11.10530138015747]
['UO', 40, 'BO', 15, 'objdump', 'diff', 'O2', 'O0', 0.991418413632463, 5.969792127609253]
