['CO', 380, 'BO', 16, 'yes', 'make', 'O0', 'O0', 0.9683597002497918, 0.5085070133209229]
['BO', 74, 'CO', 135, 'dot', 'date', 'O1', 'O1', 0.984, 0.051390886306762695]
['CO', 111, 'BO', 67, 'fmt', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9789241514520279, 2.393015146255493]
['CO', 260, 'UO', 56, 'sha256sum', 'elfedit', 'O2', 'O3', 0.9683168316831683, 0.0785226821899414]
['BO', 3, 'CO', 257, 'openssl', 'nice', 'O1', 'O2', 0.9975319721785955, 1.854935884475708]
['CO', 319, 'BO', 30, 'fmt', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.9862987630827783, 3.1883792877197266]
['CO', 280, 'UO', 51, 'head', 'objcopy', 'O2', 'O3', 0.9818376068376068, 1.2169547080993652]
['BO', 51, 'CO', 347, 'lua', 'base32', 'O1', 'O0', 0.9958920187793427, 0.8593623638153076]
['BO', 61, 'CO', 385, 'git', 'hostid', 'O1', 'O0', 0.9994797537501083, 3.803429365158081]
['UO', 71, 'BO', 71, 'c++filt', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9832925067520885, 53.30632495880127]
['BO', 11, 'UO', 9, 'ssh', 'strings', 'O1', 'O1', 0.9745027124773961, 22.084449768066406]
['UO', 12, 'CO', 220, 'gprof', 'ptx', 'O1', 'O2', 0.9928531126575136, 1.6979615688323975]
