['CO', 71, 'UO', 57, 'readlink', 'size', 'O3', 'O3', 0.9672836848902282, 1.1524252891540527]
['CO', 9, 'UO', 51, 'du', 'objcopy', 'O3', 'O3', 0.9669069462647444, 3.1998908519744873]
['UO', 60, 'CO', 222, 'xargs', 'stty', 'O3', 'O2', 0.9616368286445013, 0.1535031795501709]
['UO', 73, 'CO', 226, 'objcopy', 'uptime', 'O0', 'O2', 0.9966887417218543, 2.0564792156219482]
['UO', 21, 'CO', 315, 'sdiff', 'unlink', 'O1', 'O0', 0.9369817578772802, 0.0920555591583252]
['CO', 304, 'UO', 70, 'fold', 'ranlib', 'O2', 'O0', 0.9918356238944074, 1.7237083911895752]
['BO', 68, 'CO', 386, 'git', 'unexpand', 'O3', 'O0', 0.9994813053814566, 4.931323289871216]
['CO', 293, 'BO', 27, '[', 'perl', 'O2', 'O3', 0.9908904285347704, 2.9770705699920654]
['CO', 48, 'UO', 70, 'ls', 'ranlib', 'O3', 'O0', 0.981275745849457, 5.443694591522217]
['BO', 35, 'UO', 0, 'make', 'locate', 'O3', 'O1', 0.9711340206185567, 1.3754384517669678]
['BO', 73, 'CO', 115, 'cluster', 'groups', 'O1', 'O1', 0.9675036927621861, 0.2813088893890381]
['BO', 7, 'CO', 369, 'sort', 'od', 'O0', 'O0', 0.9589041095890412, 0.3687007427215576]
['BO', 63, 'CO', 412, 'cluster', 'tac', 'O0', 'O0', 0.9773844641101278, 0.5622477531433105]
['CO', 360, 'UO', 47, 'ls', 'as', 'O0', 'O3', 0.9654164637116415, 6.374386548995972]
['CO', 159, 'BO', 20, 'cp', 'sort', 'O1', 'O1', 0.925645872715816, 0.5287222862243652]
['CO', 118, 'BO', 38, 'stty', 'acyclic', 'O1', 'O2', 0.9902200488997555, 0.045722246170043945]
['UO', 66, 'CO', 187, 'nm', 'csplit', 'O0', 'O1', 0.9939833173800082, 2.3591468334198]
['CO', 142, 'UO', 62, 'sha1sum', 'diff3', 'O1', 'O3', 0.9051851851851852, 0.10198163986206055]
['CO', 102, 'BO', 14, 'mknod', 'cmp', 'O3', 'O0', 0.9235880398671097, 0.09344887733459473]
['CO', 259, 'UO', 5, 'realpath', 'readelf', 'O2', 'O1', 0.958981612446959, 0.6076960563659668]
['UO', 15, 'BO', 61, 'elfedit', 'git', 'O1', 'O1', 0.9897134459955915, 5.628066778182983]
['CO', 371, 'UO', 43, 'tsort', 'find', 'O0', 'O2', 0.9536480686695279, 0.6112370491027832]
['CO', 14, 'UO', 45, 'stty', 'strip', 'O3', 'O3', 0.9751226348983882, 1.647385597229004]
['CO', 0, 'UO', 53, 'sha384sum', 'gprof', 'O3', 'O3', 0.968349358974359, 1.2173311710357666]
['BO', 48, 'CO', 61, 'libvlccore.so.9.0.0', 'cksum', 'O0', 'O3', 0.9992824339839265, 3.119190216064453]
['CO', 116, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O1', 'O1', 0.989653740135181, 12.415017127990723]
['CO', 55, 'BO', 73, 'cp', 'cluster', 'O3', 'O1', 0.943791517629024, 0.8221108913421631]
['CO', 306, 'UO', 73, 'sleep', 'objcopy', 'O2', 'O0', 0.9952204564464093, 1.7371289730072021]
['BO', 6, 'CO', 190, 'codeblocks', 'timeout', 'O0', 'O1', 0.9982636509024446, 6.747567176818848]
['CO', 321, 'UO', 80, 'du', 'objdump', 'O0', 'O0', 0.9803869599787967, 8.21564793586731]
['UO', 62, 'CO', 193, 'diff3', 'pathchk', 'O3', 'O1', 0.9289176090468497, 0.08427596092224121]
['UO', 56, 'CO', 403, 'elfedit', 'comm', 'O3', 'O0', 0.9856887298747764, 0.09853672981262207]
['BO', 7, 'CO', 322, 'sort', 'users', 'O0', 'O0', 0.9874804381846636, 0.22513890266418457]
['BO', 54, 'CO', 106, 'lua', 'stat', 'O3', 'O1', 0.9782672540381792, 1.2452497482299805]
['BO', 12, 'UO', 6, 'libgeany.so.0.0.0', 'as', 'O0', 'O1', 0.9842802282596992, 122.42426872253418]
['CO', 306, 'UO', 13, 'sleep', 'addr2line', 'O2', 'O1', 0.9826748362560743, 0.8485736846923828]
['BO', 70, 'CO', 29, 'diff', 'nproc', 'O3', 'O3', 0.9691780821917808, 0.1815178394317627]
['UO', 39, 'CO', 341, 'size', 'nproc', 'O2', 'O0', 0.9918244406196214, 1.1045036315917969]
['UO', 63, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9967100488654507, 7.93865966796875]
['UO', 76, 'CO', 88, 'addr2line', 'shred', 'O0', 'O3', 0.9953155139156793, 2.65645432472229]
['CO', 138, 'UO', 87, 'tail', 'find', 'O1', 'O0', 0.9676214196762142, 1.2389283180236816]
['CO', 403, 'UO', 60, 'comm', 'xargs', 'O0', 'O3', 0.9566326530612245, 0.17908287048339844]
['UO', 44, 'CO', 373, 'nm', 'cksum', 'O3', 'O0', 0.993537268418785, 0.9844255447387695]
['CO', 218, 'UO', 73, 'users', 'objcopy', 'O2', 'O0', 0.9935599284436494, 1.9759471416473389]
['CO', 237, 'BO', 80, 'nproc', 'ssh', 'O2', 'O3', 0.9878284102716343, 1.2100214958190918]
['CO', 42, 'UO', 12, 'sum', 'gprof', 'O3', 'O1', 0.9647442038704732, 1.2824430465698242]
['CO', 66, 'UO', 71, 'runcon', 'c++filt', 'O3', 'O0', 0.9931163057507529, 1.6321055889129639]
['CO', 260, 'BO', 78, 'sha256sum', 'ssh', 'O2', 'O0', 0.991998117204048, 1.9535117149353027]
['CO', 245, 'UO', 14, 'truncate', 'ar', 'O2', 'O1', 0.9813380980742505, 0.9209203720092773]
['BO', 66, 'CO', 222, 'svn', 'stty', 'O2', 'O2', 0.9967948717948718, 0.706671953201294]
['UO', 39, 'CO', 300, 'size', 'sha512sum', 'O2', 'O2', 0.9948208890807078, 0.952303409576416]
['CO', 200, 'UO', 72, 'fold', 'strings', 'O1', 'O0', 0.9880597014925373, 1.7345128059387207]
['BO', 43, 'CO', 314, 'diff', 'stat', 'O1', 'O0', 0.9600532623169108, 0.4717857837677002]
['CO', 127, 'UO', 76, 'pr', 'addr2line', 'O1', 'O0', 0.984249792760431, 2.8261184692382812]
['CO', 209, 'UO', 41, 'touch', 'locate', 'O2', 'O2', 0.9525316455696202, 0.3443446159362793]
['CO', 192, 'BO', 49, 'shred', 'svn', 'O1', 'O0', 0.9811122770199371, 1.207249641418457]
['UO', 19, 'CO', 390, 'cmp', 'chcon', 'O1', 'O0', 0.9556048834628191, 0.1781623363494873]
['CO', 361, 'UO', 76, 'nice', 'addr2line', 'O0', 'O0', 0.9872177247550064, 1.799851894378662]
['CO', 50, 'BO', 65, 'dircolors', 'gvmap', 'O3', 'O0', 0.9663532904502722, 0.4630720615386963]
['CO', 107, 'UO', 64, 'unlink', 'diff', 'O1', 'O3', 0.9214986619090098, 0.16956806182861328]
['UO', 41, 'CO', 186, 'locate', 'shuf', 'O2', 'O1', 0.9764521193092621, 0.35496973991394043]
['UO', 41, 'CO', 111, 'locate', 'fmt', 'O2', 'O1', 0.9717064544650752, 0.23703217506408691]
