['CO', 342, 'UO', 27, 'expand', 'strip', 'O0', 'O2', 0.9675656619072801, 1.4389622211456299]
['CO', 342, 'BO', 61, 'expand', 'git', 'O0', 'O1', 0.9904012452438603, 4.9942946434021]
['CO', 150, 'BO', 6, 'whoami', 'codeblocks', 'O1', 'O0', 0.9959616355376073, 5.9905877113342285]
['BO', 58, 'UO', 56, 'svn', 'elfedit', 'O1', 'O3', 0.9886593762656947, 0.5285260677337646]
['BO', 80, 'CO', 28, 'ssh', 'factor', 'O3', 'O3', 0.9956877964639931, 2.070237874984741]
['UO', 42, 'CO', 368, 'xargs', 'cut', 'O2', 'O0', 0.9550561797752809, 0.19431757926940918]
['BO', 39, 'CO', 106, 'codeblocks', 'stat', 'O3', 'O1', 0.9974698795180723, 7.155661106109619]
['BO', 17, 'CO', 171, 'codeblocks', 'nohup', 'O2', 'O1', 0.9986325211337643, 3.60459041595459]
['UO', 6, 'CO', 52, 'as', 'sha256sum', 'O1', 'O3', 0.9971696899523993, 1.768019199371338]
['CO', 275, 'BO', 64, 'nohup', 'dot', 'O2', 'O0', 0.9926470588235294, 0.028293132781982422]
['UO', 0, 'CO', 229, 'locate', 'mktemp', 'O1', 'O2', 0.9727195225916454, 0.25605106353759766]
['CO', 148, 'BO', 49, 'seq', 'svn', 'O1', 'O0', 0.9780139245144742, 0.7899661064147949]
['CO', 150, 'UO', 70, 'whoami', 'ranlib', 'O1', 'O0', 0.9910240718074256, 1.6100542545318604]
['UO', 54, 'BO', 49, 'addr2line', 'svn', 'O3', 'O0', 0.9896739932143384, 8.121392250061035]
['BO', 50, 'CO', 165, 'perl', 'cksum', 'O2', 'O1', 0.997219463753724, 2.4792873859405518]
['BO', 15, 'CO', 385, 'diff', 'hostid', 'O0', 'O0', 0.9858044164037855, 0.19996333122253418]
['BO', 79, 'CO', 246, 'bash', 'sha1sum', 'O3', 'O2', 0.996065808297568, 2.038510799407959]
['UO', 86, 'CO', 185, 'xargs', 'cat', 'O0', 'O1', 0.9641148325358851, 0.17359495162963867]
['CO', 342, 'BO', 64, 'expand', 'dot', 'O0', 'O0', 0.9772079772079773, 0.03892087936401367]
['CO', 114, 'BO', 23, 'users', 'git', 'O1', 'O2', 0.9917663373201595, 4.500792741775513]
['CO', 52, 'UO', 25, 'sha256sum', 'sdiff', 'O3', 'O2', 0.9130434782608696, 0.10176253318786621]
['BO', 55, 'CO', 402, 'make', 'tr', 'O1', 'O0', 0.9798687089715536, 0.6345052719116211]
['CO', 75, 'UO', 74, 'mv', 'ld', 'O3', 'O0', 0.9828032544378699, 8.298630714416504]
['CO', 336, 'BO', 8, 'tee', 'cp', 'O0', 'O0', 0.9372549019607843, 0.3263356685638428]
['BO', 79, 'CO', 326, 'bash', 'stty', 'O3', 'O0', 0.9955826486438731, 3.1585206985473633]
['CO', 383, 'UO', 86, 'readlink', 'xargs', 'O0', 'O0', 0.9551282051282052, 0.2557792663574219]
['BO', 15, 'CO', 292, 'diff', 'vdir', 'O0', 'O2', 0.9383938393839384, 0.6787323951721191]
['CO', 289, 'BO', 58, 'cat', 'svn', 'O2', 'O1', 0.9841070681723129, 0.5563502311706543]
['UO', 27, 'BO', 83, 'strip', 'lua', 'O2', 'O2', 0.9781722235548093, 10.73162841796875]
['CO', 33, 'BO', 21, 'chown', 'cp', 'O3', 'O1', 0.8825347758887172, 0.3203308582305908]
['CO', 229, 'BO', 19, 'mktemp', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9907727797001153, 2.8750343322753906]
['UO', 41, 'BO', 59, 'locate', 'libgeany.so.0.0.0', 'O2', 'O3', 0.9813171752146, 22.679086446762085]
['BO', 70, 'CO', 156, 'diff', 'sha256sum', 'O3', 'O1', 0.9764309764309764, 0.21035075187683105]
['UO', 71, 'CO', 60, 'c++filt', 'base64', 'O0', 'O3', 0.997155858930603, 1.620307445526123]
['UO', 78, 'CO', 233, 'elfedit', 'chgrp', 'O0', 'O2', 0.9456521739130435, 0.15079808235168457]
['CO', 73, 'UO', 5, 'hostid', 'readelf', 'O3', 'O1', 0.9697841726618706, 0.46858644485473633]
['UO', 20, 'CO', 84, 'diff', 'vdir', 'O1', 'O3', 0.928449744463373, 0.5982732772827148]
['CO', 372, 'UO', 45, 'base64', 'strip', 'O0', 'O3', 0.9805619367379396, 1.4972612857818604]
['BO', 27, 'UO', 74, 'perl', 'ld', 'O3', 'O0', 0.9872935196950444, 105.88269305229187]
['BO', 55, 'CO', 213, 'make', 'basename', 'O1', 'O2', 0.987535953978907, 0.33182239532470703]
['BO', 29, 'CO', 209, 'libvlc.so.12.0.0', 'touch', 'O2', 'O2', 0.9904214559386973, 0.697960376739502]
['CO', 26, 'UO', 22, 'kill', 'diff3', 'O3', 'O2', 0.8890701468189233, 0.08744359016418457]
['UO', 3, 'CO', 398, 'nm', 'timeout', 'O1', 'O0', 0.9903536977491961, 1.4974265098571777]
['BO', 16, 'CO', 254, 'make', 'whoami', 'O0', 'O2', 0.9906183368869936, 0.36023807525634766]
['CO', 176, 'BO', 12, 'head', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9948737788954445, 7.753864526748657]
['UO', 32, 'BO', 72, 'strings', 'make', 'O2', 'O2', 0.9733124018838305, 6.020326614379883]
['UO', 53, 'CO', 31, 'gprof', 'date', 'O3', 'O3', 0.9949563530552862, 1.6885309219360352]
['UO', 38, 'CO', 221, 'elfedit', 'printenv', 'O2', 'O2', 0.9726651480637813, 0.05897068977355957]
['BO', 4, 'CO', 294, 'libgeany.so.0.0.0', 'timeout', 'O2', 'O2', 0.9993940082566375, 6.107539415359497]
['CO', 149, 'UO', 47, 'split', 'as', 'O1', 'O3', 0.9722444622364559, 2.2627627849578857]
['CO', 27, 'BO', 37, 'wc', 'gvmap', 'O3', 'O2', 0.9628893306825712, 0.38553857803344727]
['BO', 72, 'CO', 58, 'make', 'df', 'O2', 'O3', 0.966820987654321, 0.968198299407959]
['UO', 51, 'CO', 277, 'objcopy', 'who', 'O3', 'O2', 0.9943070628002135, 1.1583139896392822]
['BO', 45, 'CO', 337, 'diff', 'chgrp', 'O2', 'O0', 0.9631728045325779, 0.4121696949005127]
['BO', 34, 'CO', 388, 'cp', 'md5sum', 'O2', 'O0', 0.9797794117647058, 0.2205822467803955]
['CO', 307, 'UO', 74, 'sort', 'ld', 'O2', 'O0', 0.9869860430026405, 7.000177621841431]
['UO', 87, 'CO', 4, 'find', 'test', 'O0', 'O3', 0.9901574803149606, 0.6995484828948975]
['BO', 30, 'UO', 87, 'libvlccore.so.9.0.0', 'find', 'O2', 'O0', 0.9930625144530949, 22.029524087905884]
['BO', 5, 'CO', 120, 'libgeany.so.0.0.0', 'dirname', 'O1', 'O1', 0.9993143118357396, 4.836379766464233]
['CO', 259, 'UO', 34, 'realpath', 'ld', 'O2', 'O2', 0.978899985933324, 1.7375133037567139]
['CO', 173, 'UO', 22, 'who', 'diff3', 'O1', 'O2', 0.8440366972477065, 0.09881067276000977]
['CO', 270, 'BO', 45, 'printf', 'diff', 'O2', 'O2', 0.8951111111111111, 0.1911931037902832]
['UO', 24, 'BO', 8, 'diff', 'cp', 'O2', 'O0', 0.9379407616361072, 0.914339542388916]
['UO', 58, 'BO', 54, 'objdump', 'lua', 'O3', 'O3', 0.9887195725311696, 13.877222776412964]
['CO', 202, 'BO', 23, 'sleep', 'git', 'O1', 'O2', 0.9922813407918131, 3.871185302734375]
['UO', 1, 'CO', 84, 'xargs', 'vdir', 'O1', 'O3', 0.9650655021834061, 0.436556339263916]
['BO', 29, 'CO', 87, 'libvlc.so.12.0.0', 'id', 'O2', 'O3', 0.9939909864797196, 0.5296311378479004]
['CO', 350, 'UO', 72, 'sha1sum', 'strings', 'O0', 'O0', 0.9882072160606487, 2.324665069580078]
['CO', 191, 'UO', 5, 'id', 'readelf', 'O1', 'O1', 0.9625838333921638, 0.6519806385040283]
['UO', 20, 'CO', 208, 'diff', 'sha384sum', 'O1', 'O2', 0.9700967458223395, 0.190582275390625]
['CO', 115, 'BO', 39, 'groups', 'codeblocks', 'O1', 'O3', 0.9924117251086225, 4.706928014755249]
['CO', 413, 'BO', 13, 'rmdir', 'ruby', 'O0', 'O1', 0.9924345692475464, 6.251271486282349]
['UO', 39, 'CO', 28, 'size', 'factor', 'O2', 'O3', 0.9925124792013311, 1.4201271533966064]
