['CV', 32, 'BV', 42, 'paste', 'libvlc.so', 'V2', 'V1', 0.9792802617230099, 0.36774706840515137]
['CV', 140, 'BV', 7, 'tty', 'libSDL2-2.0.so', 'V3', 'V0', 0.980346614257638, 1.405717372894287]
['CV', 303, 'UV', 41, 'dircolors', 'cmp', 'V1', 'V3', 0.8760683760683761, 0.05333828926086426]
['CV', 105, 'UV', 9, 'pwd', 'readelf', 'V3', 'V2', 0.9526952695269527, 0.371415376663208]
['CV', 134, 'BV', 16, 'od', 'libvlc.so', 'V3', 'V3', 0.9843817787418655, 0.8838033676147461]
['UV', 25, 'CV', 321, 'as', 'hostid', 'V3', 'V1', 0.9978219439150559, 0.8427362442016602]
['CV', 293, 'UV', 17, 'paste', 'addr2line', 'V1', 'V2', 0.9804899197918925, 0.6766335964202881]
['CV', 177, 'BV', 19, 'test', 'cp', 'V0', 'V3', 0.9262948207171314, 0.13237762451171875]
['UV', 23, 'CV', 238, 'strip', 'md5sum', 'V3', 'V0', 0.9982072427393331, 0.853790283203125]
['CV', 221, 'UV', 87, 'od', 'objdump', 'V0', 'V0', 0.9821373575608254, 1.4456753730773926]
['UV', 42, 'CV', 85, 'diff', 'mknod', 'V3', 'V2', 0.9840142095914742, 0.1587052345275879]
['CV', 228, 'UV', 78, 'false', 'c++filt', 'V0', 'V0', 0.9885136687342063, 0.5357961654663086]
['UV', 17, 'CV', 333, 'addr2line', 'id', 'V2', 'V1', 0.9961148284049213, 0.6867568492889404]
['CV', 30, 'BV', 27, 'pinky', 'libSDL2-2.0.so', 'V2', 'V1', 0.9805052169137837, 1.937150239944458]
['UV', 71, 'CV', 206, 'xargs', 'paste', 'V0', 'V0', 0.8918918918918919, 0.03206825256347656]
['UV', 10, 'CV', 94, 'as', 'dir', 'V2', 'V3', 0.9923343224530168, 4.763534784317017]
['CV', 322, 'UV', 50, 'ginstall', 'find', 'V1', 'V1', 0.92, 0.6053509712219238]
['CV', 173, 'UV', 2, 'ln', 'find', 'V3', 'V2', 0.9174635128334172, 0.6517889499664307]
['CV', 106, 'BV', 43, 'pr', 'lua', 'V3', 'V0', 0.9455587392550143, 0.9051332473754883]
['BV', 20, 'CV', 267, 'sort', 'fmt', 'V1', 'V1', 0.9632721202003339, 0.06346869468688965]
['CV', 114, 'UV', 68, 'expr', 'diff', 'V3', 'V0', 0.8595555555555555, 0.2197117805480957]
['BV', 59, 'UV', 31, 'make', 'gprof', 'V1', 'V3', 0.9445198251168401, 6.812927484512329]
['CV', 55, 'UV', 25, 'nohup', 'as', 'V2', 'V3', 0.9795451487013861, 1.38954758644104]
['BV', 16, 'CV', 196, 'libvlc.so', 'kill', 'V3', 'V0', 0.9940682155215027, 0.3057835102081299]
['UV', 37, 'CV', 182, 'locate', 'du', 'V3', 'V0', 0.9789303079416531, 0.35124850273132324]
['UV', 10, 'BV', 19, 'as', 'cp', 'V2', 'V3', 0.9935531862137367, 4.561934947967529]
['CV', 44, 'BV', 45, 'true', 'svn', 'V2', 'V3', 0.9798488664987406, 0.485626220703125]
['CV', 321, 'UV', 52, 'hostid', 'strip', 'V1', 'V1', 0.9861202908129544, 0.7710738182067871]
['CV', 306, 'BV', 8, 'cp', 'cluster', 'V1', 'V2', 0.9487836107554417, 0.47930455207824707]
['CV', 244, 'UV', 57, 'vdir', 'strings', 'V0', 'V1', 0.970071827613727, 2.1160240173339844]
['UV', 1, 'CV', 299, 'xargs', 'split', 'V2', 'V1', 0.9715909090909091, 0.0863807201385498]
['CV', 52, 'BV', 23, 'logname', 'diff', 'V2', 'V3', 0.8896925858951176, 0.1490170955657959]
['CV', 223, 'BV', 75, 'tsort', 'cmp', 'V0', 'V2', 0.8471910112359551, 0.04703783988952637]
['BV', 64, 'CV', 75, 'openssl', 'tr', 'V2', 'V2', 0.9973533303925893, 1.808176040649414]
['UV', 11, 'CV', 194, 'ranlib', 'tee', 'V2', 'V0', 0.9971457696228339, 0.6668434143066406]
['CV', 259, 'UV', 34, 'mknod', 'elfedit', 'V0', 'V3', 0.9586206896551724, 0.05569100379943848]
['CV', 299, 'UV', 47, 'split', 'sdiff', 'V1', 'V1', 0.8783783783783784, 0.06839632987976074]
['UV', 66, 'CV', 77, 'diff3', 'nl', 'V0', 'V2', 0.883495145631068, 0.16107797622680664]
['UV', 27, 'CV', 3, 'c++filt', 'test', 'V3', 'V2', 0.9964835164835165, 0.8295769691467285]
['CV', 260, 'UV', 65, 'ln', 'objdump', 'V0', 'V1', 0.9799461239149955, 1.3628432750701904]
['UV', 49, 'CV', 264, 'xargs', 'test', 'V1', 'V1', 0.9498956158663883, 0.05043911933898926]
['UV', 10, 'BV', 6, 'as', 'libvlc.so', 'V2', 'V0', 0.9946906740535549, 7.609755039215088]
['UV', 69, 'CV', 85, 'sdiff', 'mknod', 'V0', 'V2', 0.9535655058043118, 0.0744485855102539]
['UV', 46, 'CV', 41, 'diff', 'nice', 'V1', 'V2', 0.9907478797224364, 0.17327260971069336]
['BV', 16, 'CV', 261, 'libvlc.so', 'touch', 'V3', 'V1', 0.9923664122137404, 0.4595789909362793]
['UV', 68, 'CV', 170, 'diff', 'tac', 'V0', 'V3', 0.9651695692025665, 0.1959540843963623]
['CV', 323, 'BV', 63, 'unexpand', 'ruby', 'V1', 'V0', 0.9929148878190571, 3.092578887939453]
['UV', 73, 'CV', 10, 'nm', 'ptx', 'V0', 'V2', 0.9889655172413793, 2.253763437271118]
['CV', 106, 'BV', 22, 'pr', 'cmp', 'V3', 'V3', 0.9516778523489933, 0.1125631332397461]
['BV', 60, 'UV', 25, 'codeblocks', 'as', 'V1', 'V3', 0.9831152758132956, 91.16662907600403]
['BV', 52, 'UV', 53, 'libSDL2-2.0.so', 'readelf', 'V2', 'V1', 0.9909111565553284, 6.777090787887573]
['UV', 80, 'CV', 9, 'objcopy', 'users', 'V0', 'V2', 0.997289054557777, 0.972618579864502]
['BV', 59, 'UV', 68, 'make', 'diff', 'V1', 'V0', 0.975, 1.1518256664276123]
['CV', 51, 'UV', 23, 'printf', 'strip', 'V2', 'V3', 0.976429199648197, 1.4513704776763916]
['BV', 17, 'CV', 100, 'codeblocks', 'join', 'V2', 'V3', 0.9983731698160431, 4.707005739212036]
['CV', 17, 'BV', 49, 'mkfifo', 'make', 'V2', 'V3', 0.9626763768775604, 0.3297269344329834]
['BV', 0, 'UV', 8, 'bash', 'strip', 'V2', 'V2', 0.9829651317540591, 36.737056016922]
['CV', 142, 'BV', 9, 'nohup', 'dot', 'V3', 'V2', 1.0, 0.03123164176940918]
['CV', 325, 'BV', 49, 'md5sum', 'make', 'V1', 'V3', 0.9697663765460376, 0.3536040782928467]
['CV', 271, 'BV', 58, 'ptx', 'ruby', 'V1', 'V3', 0.9964476021314387, 0.021819353103637695]
['BV', 41, 'CV', 137, 'libvlccore.so', 'cksum', 'V1', 'V3', 0.9989743589743589, 1.6122500896453857]
['CV', 25, 'UV', 74, 'expand', 'strip', 'V2', 'V0', 0.9847224579867595, 1.0335016250610352]
['CV', 64, 'BV', 4, 'md5sum', 'geany', 'V2', 'V3', 0.993433356884585, 6.210342645645142]
['CV', 338, 'BV', 49, 'nl', 'make', 'V1', 'V3', 0.9519807923169268, 0.808701753616333]
['UV', 57, 'BV', 24, 'strings', 'git', 'V1', 'V0', 0.9569769109422056, 56.582154989242554]
['UV', 69, 'CV', 259, 'sdiff', 'mknod', 'V0', 'V0', 0.9528985507246377, 0.05515599250793457]
['UV', 62, 'CV', 68, 'ar', 'cat', 'V1', 'V2', 0.9957240038872692, 1.295464038848877]
['BV', 80, 'CV', 325, 'cluster', 'md5sum', 'V1', 'V1', 0.9815100154083205, 0.2071840763092041]
['UV', 45, 'CV', 77, 'cmp', 'nl', 'V1', 'V2', 0.9131483715319663, 0.13286995887756348]
['UV', 55, 'CV', 134, 'ranlib', 'od', 'V1', 'V3', 0.992372234935164, 1.6335828304290771]
['UV', 40, 'CV', 162, 'diff3', 'tr', 'V3', 'V3', 0.9308437067773168, 0.10448169708251953]
['BV', 59, 'UV', 76, 'make', 'as', 'V1', 'V0', 0.9478559176672384, 8.927890062332153]
['UV', 63, 'CV', 253, 'elfedit', 'fold', 'V1', 'V0', 0.9851485148514851, 0.05170011520385742]
