['UV', 82, 'CV', 37, 'gprof', 'seq', 'V0', 'V2', 0.9979761181946974, 0.917834997177124]
['UV', 77, 'CV', 223, 'ranlib', 'tsort', 'V0', 'V0', 0.9974678202152353, 0.5996217727661133]
['UV', 24, 'CV', 124, 'readelf', 'seq', 'V3', 'V3', 0.9898953446409239, 0.5893402099609375]
['CV', 46, 'BV', 3, 'cut', 'diff', 'V2', 'V1', 0.8962536023054755, 0.17473578453063965]
['BV', 41, 'CV', 47, 'libvlccore.so', 'od', 'V1', 'V2', 0.9989874699405139, 2.1766483783721924]
['CV', 219, 'UV', 29, 'cp', 'objcopy', 'V0', 'V3', 0.9670668953687822, 2.1588828563690186]
['BV', 76, 'CV', 108, 'diff', 'chgrp', 'V2', 'V3', 0.9583632447954056, 0.35149073600769043]
['CV', 324, 'UV', 19, 'mv', 'elfedit', 'V1', 'V2', 0.979002624671916, 0.15690088272094727]
['CV', 5, 'BV', 53, 'mkdir', 'ssh', 'V2', 'V2', 0.979951763641845, 3.2352535724639893]
['UV', 84, 'CV', 258, 'ar', 'rmdir', 'V0', 'V0', 0.9978768577494692, 0.5176029205322266]
['CV', 270, 'BV', 65, 'users', 'ssh', 'V1', 'V1', 0.9896111832556719, 1.8654799461364746]
['UV', 79, 'CV', 239, 'strings', 'env', 'V0', 'V0', 0.9986372927549398, 0.47896695137023926]
['CV', 125, 'UV', 50, 'split', 'find', 'V3', 'V1', 0.9016568679850347, 0.518761396408081]
['CV', 242, 'UV', 43, 'cat', 'sdiff', 'V0', 'V3', 0.878003696857671, 0.059055328369140625]
['CV', 64, 'BV', 69, 'md5sum', 'gvmap', 'V2', 'V0', 0.9530148786217698, 0.2332003116607666]
['UV', 58, 'BV', 51, 'objcopy', 'cp', 'V1', 'V0', 0.9955954066383514, 2.084447145462036]
['UV', 6, 'CV', 294, 'sdiff', 'sync', 'V2', 'V1', 0.9656488549618321, 0.044782400131225586]
['UV', 43, 'CV', 254, 'sdiff', 'uniq', 'V3', 'V0', 0.9463986599664992, 0.0703425407409668]
['CV', 331, 'UV', 10, 'vdir', 'as', 'V1', 'V2', 0.9757450651528835, 3.2024154663085938]
['BV', 18, 'UV', 31, 'sort', 'gprof', 'V3', 'V3', 0.954239091876552, 3.576672077178955]
['CV', 234, 'UV', 8, 'hostid', 'strip', 'V0', 'V2', 0.9854118484255471, 0.6739363670349121]
['UV', 39, 'CV', 347, 'find', 'ln', 'V3', 'V1', 0.9902265659706797, 0.4330916404724121]
['UV', 45, 'CV', 99, 'cmp', 'stty', 'V1', 'V3', 0.9435736677115988, 0.09034609794616699]
['CV', 120, 'UV', 20, 'sync', 'size', 'V3', 'V2', 0.9771331780647893, 1.0053324699401855]
['BV', 56, 'CV', 331, 'ssh', 'vdir', 'V3', 'V1', 0.9962099125364432, 2.8073740005493164]
['UV', 48, 'CV', 215, 'locate', 'nice', 'V1', 'V0', 0.982122905027933, 0.09096598625183105]
['CV', 1, 'BV', 24, 'stat', 'git', 'V2', 'V0', 0.9909872018265937, 3.1112794876098633]
['CV', 249, 'UV', 49, 'tr', 'xargs', 'V0', 'V1', 0.8416988416988417, 0.10773539543151855]
['CV', 157, 'UV', 25, 'vdir', 'as', 'V3', 'V3', 0.9618528610354223, 5.297442197799683]
['UV', 87, 'CV', 332, 'objdump', '[', 'V0', 'V1', 0.9978277734678045, 1.0005223751068115]
['UV', 29, 'CV', 235, 'objcopy', 'ginstall', 'V3', 'V0', 0.9942038868053188, 2.080857515335083]
['CV', 287, 'UV', 28, 'date', 'strings', 'V1', 'V3', 0.9774011299435028, 1.0921080112457275]
['UV', 2, 'CV', 290, 'find', 'tail', 'V2', 'V1', 0.9953325554259043, 0.3322107791900635]
['CV', 174, 'UV', 64, 'touch', 'size', 'V0', 'V1', 0.9764606977721731, 1.0412468910217285]
['BV', 8, 'CV', 317, 'cluster', 'yes', 'V2', 'V1', 0.9936102236421726, 0.1609489917755127]
['UV', 84, 'BV', 15, 'ar', 'libvlccore.so', 'V0', 'V3', 0.974307998164857, 30.572265625]
['CV', 25, 'BV', 43, 'expand', 'lua', 'V2', 'V0', 0.9597474348855565, 0.428173303604126]
['BV', 75, 'CV', 187, 'cmp', 'join', 'V2', 'V0', 0.9155470249520153, 0.06258320808410645]
['UV', 63, 'CV', 164, 'elfedit', 'nl', 'V1', 'V3', 0.9552238805970149, 0.09527301788330078]
['CV', 218, 'BV', 61, 'true', 'cmp', 'V0', 'V0', 0.9330543933054394, 0.01809096336364746]
['CV', 252, 'UV', 85, 'rm', 'elfedit', 'V0', 'V0', 0.9744990892531876, 0.10272026062011719]
['CV', 13, 'UV', 22, 'join', 'nm', 'V2', 'V3', 0.9727463312368972, 1.1909270286560059]
['CV', 196, 'UV', 41, 'kill', 'cmp', 'V0', 'V3', 0.8826185101580135, 0.04697585105895996]
['BV', 41, 'CV', 87, 'libvlccore.so', 'touch', 'V1', 'V3', 0.9980017484700887, 2.7845799922943115]
['CV', 106, 'UV', 39, 'pr', 'find', 'V3', 'V3', 0.9556809024979855, 0.8404858112335205]
['BV', 76, 'CV', 147, 'diff', 'hostid', 'V2', 'V3', 0.9752212389380531, 0.16542410850524902]
['CV', 68, 'BV', 2, 'cat', 'cmp', 'V2', 'V1', 0.9234449760765551, 0.08239340782165527]
['UV', 32, 'BV', 74, 'addr2line', 'git', 'V3', 'V1', 0.9662921348314607, 53.87488007545471]
['BV', 2, 'CV', 246, 'cmp', 'id', 'V1', 'V0', 0.9644444444444444, 0.04505801200866699]
['UV', 10, 'CV', 122, 'as', 'sum', 'V2', 'V3', 0.9965489779665516, 1.746126413345337]
['CV', 219, 'BV', 76, 'cp', 'diff', 'V0', 'V2', 0.9018587360594795, 0.32211732864379883]
['UV', 57, 'CV', 167, 'strings', 'uniq', 'V1', 'V3', 0.9971199341699238, 1.2709593772888184]
['CV', 93, 'UV', 16, 'fmt', 'gprof', 'V3', 'V2', 0.9669067549153202, 1.114267349243164]
['UV', 63, 'CV', 75, 'elfedit', 'tr', 'V1', 'V2', 0.9730769230769231, 0.08011364936828613]
['UV', 41, 'CV', 250, 'cmp', 'comm', 'V3', 'V0', 0.9427312775330396, 0.044934749603271484]
['CV', 109, 'BV', 72, 'kill', 'perl', 'V3', 'V1', 0.9876995167667301, 2.4393653869628906]
['UV', 29, 'CV', 141, 'objcopy', 'false', 'V3', 'V3', 0.9967880085653105, 0.9084575176239014]
['CV', 73, 'UV', 22, 'shred', 'nm', 'V2', 'V3', 0.9676884838442419, 1.4357972145080566]
['CV', 182, 'BV', 33, 'du', 'openssl', 'V0', 'V0', 0.9834375, 6.32506251335144]
['CV', 186, 'BV', 4, 'stty', 'geany', 'V0', 'V3', 0.9952592839023578, 5.903682231903076]
['CV', 329, 'UV', 46, 'cat', 'diff', 'V1', 'V1', 0.9137380191693291, 0.14926958084106445]
['CV', 319, 'BV', 42, 'readlink', 'libvlc.so', 'V1', 'V1', 0.9855635757912271, 0.36310815811157227]
['CV', 181, 'BV', 17, 'dir', 'codeblocks', 'V0', 'V2', 0.9915496458307443, 9.03641414642334]
['BV', 43, 'CV', 175, 'lua', 'stat', 'V0', 'V0', 0.9912767644726408, 0.4267435073852539]
['CV', 102, 'UV', 23, 'uptime', 'strip', 'V3', 'V3', 0.9765775214123404, 1.6307098865509033]
['BV', 12, 'CV', 269, 'sort', 'du', 'V2', 'V1', 0.9476145930776426, 0.23224091529846191]
['CV', 293, 'BV', 46, 'paste', 'cluster', 'V1', 'V3', 0.9637509850275807, 0.18193912506103516]
['CV', 242, 'BV', 29, 'cat', 'perl', 'V0', 'V3', 0.9917019069656108, 1.6496238708496094]
['UV', 41, 'CV', 200, 'cmp', 'date', 'V3', 'V0', 0.92, 0.06628227233886719]
['UV', 25, 'CV', 86, 'as', 'ln', 'V3', 'V2', 0.9936482731242556, 1.9801976680755615]
['UV', 58, 'CV', 269, 'objcopy', 'du', 'V1', 'V1', 0.9943253467843631, 2.044039726257324]
['UV', 64, 'BV', 7, 'size', 'libSDL2-2.0.so', 'V1', 'V0', 0.981029263370333, 19.48274040222168]
['BV', 75, 'CV', 55, 'cmp', 'nohup', 'V2', 'V2', 0.9365079365079365, 0.057645320892333984]
['BV', 27, 'CV', 92, 'libSDL2-2.0.so', 'mkdir', 'V1', 'V3', 0.9948502507114785, 1.9337165355682373]
