['CO', 91, 'BO', 8, 'comm', 'cp', 'O3', 'O0', 0.9238218205293738, 0.3280632495880127]
['CO', 344, 'BO', 44, 'expr', 'cmp', 'O0', 'O2', 0.9254843517138599, 0.10680079460144043]
['CO', 313, 'UO', 41, 'touch', 'locate', 'O0', 'O2', 0.9630723781388478, 0.45128798484802246]
['CO', 391, 'BO', 40, 'link', 'lua', 'O0', 'O0', 0.9768928220255654, 0.9102208614349365]
['CO', 230, 'BO', 59, 'pwd', 'libgeany.so.0.0.0', 'O2', 'O3', 0.9951219512195122, 7.495159149169922]
['CO', 341, 'BO', 38, 'nproc', 'acyclic', 'O0', 'O2', 0.9820359281437125, 0.03990316390991211]
['UO', 8, 'CO', 246, 'c++filt', 'sha1sum', 'O1', 'O2', 0.9927920288318847, 0.9804987907409668]
['CO', 242, 'BO', 39, 'tail', 'codeblocks', 'O2', 'O3', 0.9934668199141008, 8.610418319702148]
['BO', 27, 'CO', 98, 'perl', 'sleep', 'O3', 'O3', 0.998714900726081, 2.630768060684204]
['UO', 51, 'CO', 280, 'objcopy', 'head', 'O3', 'O2', 0.9957264957264957, 1.1310739517211914]
['CO', 405, 'UO', 54, 'nl', 'addr2line', 'O0', 'O3', 0.9740315948928804, 1.265685796737671]
['CO', 113, 'UO', 80, 'du', 'objdump', 'O1', 'O0', 0.9840829830993473, 7.004868030548096]
['CO', 162, 'BO', 42, 'df', 'cmp', 'O1', 'O1', 0.9738095238095238, 0.14460277557373047]
['CO', 53, 'BO', 13, 'chmod', 'ruby', 'O3', 'O1', 0.9880827436774215, 10.371864557266235]
['UO', 46, 'BO', 63, 'readelf', 'cluster', 'O3', 'O0', 0.9746121297602257, 3.127915382385254]
['UO', 76, 'BO', 62, 'addr2line', 'bash', 'O0', 'O1', 0.9508941745853745, 55.365861892700195]
['BO', 24, 'CO', 176, 'cluster', 'head', 'O3', 'O1', 0.9683680805176133, 0.33173060417175293]
['UO', 24, 'CO', 200, 'diff', 'fold', 'O2', 'O1', 0.972972972972973, 0.18718314170837402]
['UO', 65, 'CO', 289, 'sdiff', 'cat', 'O3', 'O2', 0.9556313993174061, 0.07355356216430664]
['CO', 69, 'UO', 41, 'who', 'locate', 'O3', 'O2', 0.9619205298013245, 0.3072206974029541]
['CO', 233, 'UO', 1, 'chgrp', 'xargs', 'O2', 'O1', 0.9597457627118644, 0.2485954761505127]
['CO', 310, 'UO', 85, 'mknod', 'locate', 'O2', 'O0', 0.975397973950796, 0.28424835205078125]
['BO', 55, 'CO', 86, 'make', 'timeout', 'O1', 'O3', 0.9874439461883409, 0.5415694713592529]
['UO', 74, 'BO', 53, 'ld', 'bash', 'O0', 'O0', 0.9887264561660786, 100.9603385925293]
['BO', 45, 'CO', 13, 'diff', 'printenv', 'O2', 'O3', 0.989010989010989, 0.15184473991394043]
['UO', 8, 'CO', 319, 'c++filt', 'fmt', 'O1', 'O0', 0.9916370478779009, 1.2201941013336182]
['BO', 8, 'UO', 19, 'cp', 'cmp', 'O0', 'O1', 0.9765777488614183, 0.30554938316345215]
['UO', 39, 'CO', 239, 'size', 'date', 'O2', 'O2', 0.994577685088634, 1.4874238967895508]
['CO', 246, 'UO', 37, 'sha1sum', 'ar', 'O2', 'O2', 0.9755201958384333, 1.019711971282959]
['CO', 290, 'UO', 52, 'shuf', 'ld', 'O2', 'O3', 0.9800526388696496, 2.2240281105041504]
['UO', 49, 'BO', 68, 'c++filt', 'git', 'O3', 'O3', 0.9592785216332854, 76.9691698551178]
['CO', 49, 'BO', 68, 'nice', 'git', 'O3', 'O3', 0.9933281344770817, 4.816821575164795]
['CO', 146, 'UO', 63, 'sum', 'cmp', 'O1', 'O3', 0.891500904159132, 0.07416081428527832]
['CO', 119, 'UO', 43, 'join', 'find', 'O1', 'O2', 0.9578414839797639, 0.6593096256256104]
['UO', 87, 'CO', 304, 'find', 'fold', 'O0', 'O2', 0.9925499492041991, 0.5666401386260986]
